OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
102.0,21146980.0,100.0,2017-12-01,102.4,100.0
100.5,3409018.0,101.0,2017-12-04,101.5,100.0
101.0,5194350.0,101.0,2017-12-05,101.2,100.8
101.0,1565250.0,101.0,2017-12-06,101.0,100.5
101.0,1576524.0,101.0,2017-12-07,101.4,100.1
101.0,1457556.0,100.2,2017-12-08,101.0,100.2
100.2,75630.0,101.0,2017-12-11,101.0,100.2
101.4,2890645.0,101.9,2017-12-12,102.0,101.4
101.0,65665.0,101.1,2017-12-14,101.1,101.0
101.9,1019.0,101.9,2017-12-15,101.9,101.9
101.5,101860.0,101.9,2017-12-18,101.9,101.5
101.8,40730.0,101.9,2017-12-19,101.9,101.8
101.7,502398.0,101.7,2017-12-20,101.7,101.7
101.7,361162.0,101.1,2017-12-21,101.7,101.1
101.7,5697683.0,102.2,2017-12-22,102.2,101.7
102.0,540600.0,102.0,2017-12-27,102.0,102.0
102.0,671145.0,100.2,2017-12-29,102.0,100.2
102.0,62590.0,102.0,2018-01-03,102.0,100.9
102.0,153000.0,102.0,2018-01-04,102.0,102.0
102.0,1429020.0,102.0,2018-01-09,102.0,102.0
102.0,212160.0,102.0,2018-01-10,102.0,102.0
102.1,838248.0,102.0,2018-01-11,102.2,102.0
102.1,1668304.0,102.1,2018-01-12,102.1,102.0
102.0,735120.0,101.4,2018-01-15,102.0,101.4
101.1,1245990.0,102.0,2018-01-16,102.0,101.1
102.0,531420.0,102.0,2018-01-17,102.0,102.0
102.0,1045215.0,101.5,2018-01-18,102.0,101.5
101.3,449800.0,101.3,2018-01-19,102.0,101.3
101.2,1326982.0,101.2,2018-01-22,101.3,101.2
102.0,734998.0,101.3,2018-01-23,102.0,101.3
101.3,847881.0,101.3,2018-01-24,101.3,101.3
101.2,179379.0,101.7,2018-01-25,101.7,101.2
101.2,1319983.0,101.2,2018-01-26,101.7,101.2
101.2,202676.0,101.9,2018-01-29,101.9,101.2
102.0,1994252.0,102.1,2018-01-30,102.1,102.0
101.2,151900.0,101.3,2018-01-31,101.3,101.2
101.3,101300.0,101.3,2018-02-01,101.3,101.3
101.3,61859.0,101.9,2018-02-02,101.9,101.3
101.5,4086546.0,101.5,2018-02-05,101.9,101.5
101.3,1145451.0,101.5,2018-02-06,101.5,101.3
101.5,416150.0,101.5,2018-02-07,101.5,101.5
101.8,4736795.0,101.9,2018-02-08,101.9,101.5
101.7,729760.0,101.9,2018-02-12,101.9,101.3
101.3,571238.0,101.9,2018-02-13,101.9,101.3
101.3,3172220.0,101.3,2018-02-14,101.9,101.3
101.3,450259.0,101.3,2018-02-15,101.8,101.3
101.3,131890.0,101.5,2018-02-19,101.5,101.3
101.9,2686914.0,101.3,2018-02-20,101.9,101.3
101.8,1177973.0,101.9,2018-02-21,101.9,101.8
101.3,7203889.0,101.6,2018-02-22,101.6,101.3
101.6,6303264.0,101.6,2018-02-23,101.6,101.6
101.6,859536.0,101.6,2018-02-26,101.6,101.6
101.3,1634982.0,101.3,2018-02-27,101.3,101.3
101.3,20260.0,101.3,2018-02-28,101.3,101.3
101.3,658450.0,101.3,2018-03-01,101.3,101.3
101.4,1064650.0,101.3,2018-03-02,101.4,101.3
101.3,1344251.0,101.3,2018-03-05,101.3,101.3
100.5,3661901.0,100.1,2018-03-06,101.2,100.1
100.7,1535811.0,100.2,2018-03-07,101.6,100.2
100.4,2007363.0,100.3,2018-03-08,100.4,100.3
100.5,302500.0,101.5,2018-03-12,101.5,100.5
101.5,2550695.0,101.5,2018-03-13,101.5,101.5
101.0,10100.0,101.0,2018-03-16,101.0,101.0
101.0,454500.0,101.0,2018-03-19,101.0,101.0
101.5,1672500.0,101.0,2018-03-20,101.5,101.0
101.0,1102264.0,101.9,2018-03-21,101.9,101.0
101.0,1007081.0,100.7,2018-03-22,101.0,100.7
101.7,1017.0,101.7,2018-03-23,101.7,101.7
100.7,2612640.0,100.2,2018-03-26,100.8,100.2
100.3,3009000.0,100.3,2018-03-28,100.3,100.3
100.3,3009000.0,100.3,2018-04-02,100.3,100.3
100.3,70360.0,100.6,2018-04-03,100.6,100.3
101.5,11165.0,101.5,2018-04-05,101.5,101.5
101.5,61685.0,100.5,2018-04-06,101.5,100.5
100.3,100300.0,100.3,2018-04-11,100.3,100.3
100.3,50150.0,100.3,2018-04-12,100.3,100.3
100.3,7893610.0,100.3,2018-04-16,100.3,100.3
100.3,2136390.0,100.3,2018-04-17,100.3,100.3
100.3,1103300.0,100.3,2018-04-19,100.3,100.3
100.5,106372.0,100.3,2018-04-23,100.5,100.3
100.3,1008015.0,100.3,2018-04-25,100.3,100.3
100.3,1002319.0,100.2,2018-04-26,100.3,100.2
100.2,50100.0,100.2,2018-04-30,100.2,100.2
100.3,73233.0,101.0,2018-05-02,101.0,100.3
100.3,298894.0,100.3,2018-05-04,100.3,100.3
101.0,3030.0,101.0,2018-05-08,101.0,101.0
100.5,100500.0,100.5,2018-05-09,100.5,100.5
100.3,2858550.0,100.3,2018-05-10,100.3,100.3
101.0,553720.0,100.4,2018-05-11,101.0,100.3
100.5,914590.0,100.9,2018-05-16,100.9,100.5
100.4,7600674.0,100.9,2018-05-17,100.9,100.4
100.0,1550000.0,100.0,2018-05-18,100.0,100.0
100.0,2828370.0,100.1,2018-05-21,100.5,100.0
100.1,35001.0,100.0,2018-05-22,100.1,100.0
100.0,560000.0,100.0,2018-05-23,100.0,100.0
99.95,99950.0,99.95,2018-05-24,99.95,99.95
100.0,3973405.0,97.7,2018-05-25,100.3,97.0
97.7,88730.0,99.45,2018-05-28,99.95,97.7
99.45,57039.0,97.3,2018-05-29,99.45,97.1
100.2,50100.0,100.2,2018-06-01,100.2,100.2
97.5,48750.0,97.5,2018-06-04,97.5,97.5
100.2,20040.0,100.2,2018-06-06,100.2,100.2
100.2,16012.0,100.0,2018-06-08,100.2,100.0
100.0,90000.0,100.0,2018-06-11,100.0,100.0
100.0,555000.0,100.0,2018-06-14,100.0,99.0
100.0,1017001.0,99.5,2018-06-18,100.0,99.5
99.4,92451.0,99.5,2018-06-19,99.5,99.4
99.5,120395.0,99.5,2018-06-20,99.5,99.5
100.0,1094000.0,99.0,2018-06-21,100.0,99.0
99.0,415800.0,99.0,2018-06-22,99.0,99.0
99.5,1394354.0,99.0,2018-06-25,99.5,98.6
99.3,106257.0,99.9,2018-06-26,99.9,99.3
99.9,2040314.0,99.9,2018-06-27,99.9,98.65
99.9,549450.0,99.9,2018-06-28,99.9,99.9
100.0,150000.0,100.0,2018-06-29,100.0,100.0
100.0,199000.0,99.0,2018-07-02,100.0,99.0
100.0,2358096.0,99.0,2018-07-03,100.0,99.0
99.5,547250.0,99.5,2018-07-04,99.5,99.5
100.3,1539605.0,100.3,2018-07-05,100.3,100.3
100.0,1239550.0,99.1,2018-07-06,100.0,99.0
99.9,990345.0,99.0,2018-07-09,99.9,99.0
99.0,2146030.0,100.3,2018-07-11,100.3,99.0
99.1,1982.0,99.1,2018-07-13,99.1,99.1
100.3,1998103.0,99.3,2018-07-17,100.3,99.3
99.4,547200.0,99.5,2018-07-18,99.5,99.4
100.2,24042.0,100.0,2018-07-23,100.2,100.0
99.6,991520.0,99.5,2018-07-24,99.6,99.5
99.6,995100.0,99.5,2018-07-25,99.6,99.5
100.2,94188.0,100.2,2018-07-26,100.2,100.2
100.0,1504164.0,100.3,2018-07-27,100.3,100.0
100.3,30090.0,100.3,2018-07-30,100.3,100.3
100.3,52156.0,100.3,2018-07-31,100.3,100.3
100.0,151350.0,100.3,2018-08-01,100.3,100.0
100.2,331673.0,100.2,2018-08-02,100.3,100.2
100.3,1311929.0,100.8,2018-08-03,100.8,100.3
100.8,1227839.0,101.0,2018-08-06,101.0,100.1
101.0,211090.0,101.0,2018-08-07,101.0,101.0
100.1,250010.0,100.0,2018-08-08,100.1,100.0
101.0,2020.0,101.0,2018-08-09,101.0,101.0
100.0,1105550.0,101.0,2018-08-10,101.0,100.0
101.0,16160.0,101.0,2018-08-13,101.0,101.0
101.0,337340.0,101.0,2018-08-14,101.0,101.0
99.7,997000.0,99.7,2018-08-15,99.7,99.7
99.5,9950.0,99.5,2018-08-16,99.5,99.5
99.5,112202.0,101.1,2018-08-17,101.1,99.5
99.6,979098.0,101.0,2018-08-20,101.1,99.6
101.0,71418.0,99.6,2018-08-24,101.0,99.6
99.6,5976.0,99.6,2018-08-31,99.6,99.6
99.8,19960.0,99.8,2018-09-03,99.8,99.8
99.6,26892.0,99.6,2018-09-05,99.6,99.6
99.6,263685.0,99.5,2018-09-11,99.6,99.5
99.0,990000.0,99.0,2018-09-13,99.0,99.0
99.0,6410864.0,100.0,2018-09-17,100.0,95.0
97.0,3574154.0,99.9,2018-09-18,100.0,95.0
95.3,152358.0,99.9,2018-09-19,99.9,95.1
95.25,1191598.5,99.0,2018-09-20,99.0,93.0
99.0,2158217.0,96.0,2018-09-21,99.0,93.1
99.0,2158217.0,96.0,2018-09-21,99.0,93.1
96.95,153384.5,95.0,2018-09-25,96.95,95.0
95.0,78220.0,96.0,2018-09-26,96.0,95.0
96.0,613479.0,96.1,2018-09-27,96.1,96.0
95.2,48682.0,95.2,2018-09-28,96.5,95.2
95.2,863942.0,95.4,2018-10-01,96.9,95.2
95.5,84976.5,95.5,2018-10-02,95.5,95.4
95.4,1357542.0,95.4,2018-10-03,95.4,95.4
95.0,94820.0,98.0,2018-10-04,98.0,95.0
98.0,8820.0,98.0,2018-10-05,98.0,98.0
98.0,19600.0,98.0,2018-10-08,98.0,98.0
99.0,968960.0,95.2,2018-10-09,99.0,95.2
95.55,47775.0,95.55,2018-10-10,95.55,95.55
95.55,27709.5,95.55,2018-10-11,95.55,95.55
99.0,436500.0,96.0,2018-10-18,99.0,96.0
96.05,81642.5,96.05,2018-10-19,96.05,96.05
99.0,128700.0,99.0,2018-10-23,99.0,99.0
99.0,147390.0,96.0,2018-10-24,99.0,96.0
96.8,99704.0,96.8,2018-10-25,96.8,96.8
96.0,171992.0,96.8,2018-10-26,96.8,96.0
96.8,28711.0,95.65,2018-10-29,96.8,95.65
98.95,8905.5,98.95,2018-10-30,98.95,98.95
98.0,29400.0,98.0,2018-10-31,98.0,98.0
98.0,107000.0,97.0,2018-11-05,98.0,97.0
98.8,50388.0,98.8,2018-11-06,98.8,98.8
98.8,146400.0,97.0,2018-11-07,98.8,97.0
97.0,234740.0,97.0,2018-11-09,97.0,97.0
97.0,125886.0,96.8,2018-11-12,97.0,96.8
96.0,63360.0,96.0,2018-11-13,96.0,96.0
95.0,56082.0,95.0,2018-11-19,95.1,95.0
95.0,19000.0,95.0,2018-11-20,95.0,95.0
96.0,32640.0,96.0,2018-11-21,96.0,96.0
96.0,6720.0,96.0,2018-11-22,96.0,96.0
96.0,40860.0,95.0,2018-11-23,96.0,95.0
95.0,57000.0,95.0,2018-11-27,95.0,95.0
95.0,194750.0,95.0,2018-11-29,95.0,95.0
95.0,145350.0,95.0,2018-12-03,95.0,95.0
95.0,31450.0,97.0,2018-12-04,97.0,95.0
94.45,330205.5,94.0,2018-12-06,95.0,94.0
94.55,9455.0,94.55,2018-12-07,94.55,94.55
97.0,21340.0,97.0,2018-12-10,97.0,97.0
95.0,134205.0,95.0,2018-12-14,97.0,95.0
95.0,9500.0,95.0,2018-12-17,95.0,95.0
96.9,38760.0,96.9,2018-12-18,96.9,96.9
97.0,14550.0,97.0,2018-12-20,97.0,97.0
97.0,14550.0,97.0,2018-12-21,97.0,97.0
95.05,381005.0,96.0,2018-12-26,96.0,95.0
96.0,144000.0,96.0,2018-12-27,96.0,96.0
96.0,19200.0,96.0,2018-12-28,96.0,96.0
96.0,114100.0,95.0,2019-01-02,96.0,95.0
96.0,307850.0,95.0,2019-01-03,96.0,95.0
95.0,66500.0,95.0,2019-01-04,95.0,95.0
96.0,484635.5,95.0,2019-01-09,96.0,95.0
96.0,57600.0,96.0,2019-01-10,96.0,96.0
95.05,287855.0,95.0,2019-01-11,95.05,95.0
96.0,18240.0,96.0,2019-01-14,96.0,96.0
96.0,62400.0,96.0,2019-01-15,96.0,96.0
96.0,86400.0,96.0,2019-01-16,96.0,96.0
96.0,960.0,96.0,2019-01-17,96.0,96.0
96.0,124795.0,95.95,2019-01-18,96.0,95.95
95.0,9500.0,95.0,2019-01-21,95.0,95.0
96.0,39360.0,96.0,2019-01-22,96.0,96.0
96.0,3297600.0,96.0,2019-01-23,96.0,96.0
96.0,495450.0,95.25,2019-01-24,96.0,95.25
95.2,419942.0,95.0,2019-01-25,95.2,95.0
95.5,143235.0,95.1,2019-01-28,96.0,95.1
95.0,54220.0,96.0,2019-01-29,96.0,95.0
96.0,237120.0,96.0,2019-01-30,96.0,96.0
95.0,47490.5,94.05,2019-01-31,95.0,94.05
96.0,3840.0,96.0,2019-02-01,96.0,96.0
96.0,62150.0,95.5,2019-02-04,96.0,95.5
95.05,908538.5,96.0,2019-02-06,96.0,95.05
95.55,124620.0,96.0,2019-02-07,96.0,95.55
95.8,339590.0,95.6,2019-02-08,95.8,95.6
96.0,571206.0,96.0,2019-02-11,96.1,96.0
96.5,710815.0,96.05,2019-02-12,96.5,96.05
96.5,274604.0,95.95,2019-02-13,96.5,95.95
96.0,7680.0,96.0,2019-02-14,96.0,96.0
95.0,143850.0,96.0,2019-02-19,96.0,95.0
95.0,1804962.0,90.0,2019-02-21,95.0,90.0
96.0,33600.0,96.0,2019-02-26,96.0,96.0
96.0,67200.0,96.0,2019-02-27,96.0,96.0
96.0,144000.0,96.0,2019-02-28,96.0,96.0
96.0,45880.0,95.0,2019-03-01,96.0,95.0
95.95,57028.5,95.0,2019-03-04,95.95,95.0
95.95,959.5,95.95,2019-03-05,95.95,95.95
95.0,280242.0,95.0,2019-03-06,95.0,94.6
95.0,76000.0,95.0,2019-03-07,95.0,95.0
95.0,268850.0,95.0,2019-03-08,95.0,95.0
95.0,969950.0,95.0,2019-03-11,95.0,95.0
95.0,33250.0,95.0,2019-03-14,95.0,95.0
96.5,15365.0,96.0,2019-03-19,96.5,96.0
96.0,6720.0,96.0,2019-03-20,96.0,96.0
96.0,174720.0,96.0,2019-03-21,96.0,96.0
96.0,83520.0,96.0,2019-03-22,96.0,96.0
95.0,199455.0,94.55,2019-03-25,95.0,94.55
95.0,119664.0,95.0,2019-03-26,95.95,94.5
94.5,216150.0,94.8,2019-03-27,95.0,94.5
94.8,172293.0,94.0,2019-03-28,94.8,94.0
93.15,3163060.0,93.0,2019-03-29,93.15,93.0
93.0,207780.0,94.95,2019-04-01,94.95,93.0
94.0,28200.0,94.0,2019-04-02,94.0,94.0
95.85,4792.5,95.85,2019-04-03,95.85,95.85
95.75,957.5,95.75,2019-04-04,95.75,95.75
95.0,71250.0,95.0,2019-04-08,95.0,95.0
94.95,174269.5,91.0,2019-04-12,95.0,91.0
92.1,23025.0,92.1,2019-04-15,92.1,92.1
94.9,7592.0,94.9,2019-04-16,94.9,94.9
94.95,29434.5,94.95,2019-04-17,94.95,94.95
92.35,764164.0,95.95,2019-04-22,95.95,92.35
95.9,71827.0,95.0,2019-04-23,95.95,95.0
95.9,33577.5,95.95,2019-04-24,95.95,95.9
95.9,19180.0,95.9,2019-04-25,95.9,95.9
95.85,299256.0,96.0,2019-04-30,96.0,95.85
96.0,128640.0,96.0,2019-05-02,96.0,96.0
96.0,2373990.0,96.5,2019-05-03,96.5,96.0
96.5,594435.0,96.5,2019-05-06,96.5,96.45
96.5,23183.5,98.85,2019-05-07,98.85,96.5
97.75,84067.5,98.0,2019-05-09,98.0,97.75
91.0,3835.0,97.5,2019-05-10,97.5,91.0
93.0,23250.0,93.0,2019-05-15,93.0,93.0
97.5,975.0,97.5,2019-05-16,97.5,97.5
95.1,1902000.0,95.1,2019-05-20,95.1,95.1
95.1,132116.0,95.0,2019-05-21,95.1,95.0
97.5,975.0,97.5,2019-05-24,97.5,97.5
95.0,38000.0,95.0,2019-05-29,95.0,95.0
95.0,47500.0,95.0,2019-05-30,95.0,95.0
