OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.2,8000.0,0.2,2009-10-21,0.2,0.2
0.29,2900.0,0.29,2009-10-23,0.29,0.29
0.29,78600.0,0.42,2009-10-26,0.43,0.29
0.63,88200.0,0.63,2009-10-27,0.63,0.63
0.8,1526400.0,0.94,2009-10-28,0.94,0.8
0.82,438400.0,0.78,2009-10-29,0.91,0.6
0.63,236600.0,0.62,2009-10-30,0.63,0.62
0.7,11300.0,0.43,2009-11-03,0.7,0.43
0.64,12800.0,0.64,2009-11-04,0.64,0.64
0.65,53400.0,0.68,2009-11-05,0.69,0.64
0.7,35900.0,0.69,2009-11-06,0.8,0.69
0.6,30000.0,0.6,2009-11-09,0.6,0.6
0.63,41700.0,0.58,2009-11-10,0.64,0.58
0.4,8000.0,0.4,2009-12-16,0.4,0.4
0.48,36800.0,0.4,2009-12-17,0.48,0.4
0.4,28000.0,0.4,2009-12-21,0.4,0.4
0.4,4000.0,0.4,2009-12-22,0.4,0.4
0.4,4000.0,0.4,2009-12-23,0.4,0.4
0.57,5700.0,0.57,2010-01-04,0.57,0.57
0.46,4600.0,0.46,2010-01-05,0.46,0.46
0.46,78400.0,0.42,2010-01-07,0.46,0.42
0.48,43200.0,0.48,2010-01-08,0.48,0.48
0.55,5500.0,0.55,2010-01-11,0.55,0.55
0.5,25000.0,0.5,2010-01-12,0.5,0.5
0.48,14600.0,0.49,2010-01-26,0.49,0.48
0.31,15500.0,0.31,2010-03-17,0.31,0.31
0.215,14450.0,0.31,2010-04-20,0.31,0.215
0.31,6200.0,0.31,2010-04-21,0.31,0.31
0.33,3300.0,0.33,2010-05-14,0.33,0.33
0.25,2500.0,0.25,2010-05-18,0.25,0.25
0.2,4000.0,0.2,2010-05-20,0.2,0.2
0.2,2000.0,0.2,2010-05-28,0.2,0.2
0.205,8200.0,0.205,2010-06-03,0.205,0.205
0.29,5800.0,0.29,2010-06-07,0.29,0.29
0.28,19600.0,0.28,2010-06-09,0.28,0.28
0.39,3900.0,0.39,2010-06-10,0.39,0.39
0.46,4600.0,0.46,2010-06-15,0.46,0.46
0.48,4800.0,0.48,2010-06-22,0.48,0.48
0.54,27500.0,0.42,2010-06-23,0.54,0.42
0.45,9700.0,0.52,2010-06-24,0.52,0.45
0.5,35000.0,0.5,2010-07-22,0.5,0.5
0.6,9600.0,0.6,2010-09-30,0.6,0.6
0.58,29000.0,0.58,2010-10-04,0.58,0.58
0.53,530.0,0.53,2010-10-15,0.53,0.53
0.54,2160.0,0.54,2010-10-27,0.54,0.54
0.27,540.0,0.27,2010-12-22,0.27,0.27
0.27,2700.0,0.27,2010-12-29,0.27,0.27
0.27,2700.0,0.27,2010-12-29,0.27,0.27
0.18,7200.0,0.18,2011-01-12,0.18,0.18
0.185,1850.0,0.185,2011-01-14,0.185,0.185
0.2,4000.0,0.2,2011-01-20,0.2,0.2
0.2,4000.0,0.2,2011-01-20,0.2,0.2
0.185,9250.0,0.185,2011-01-27,0.185,0.185
0.275,2750.0,0.275,2011-01-28,0.275,0.275
0.275,2750.0,0.275,2011-01-28,0.275,0.275
0.38,7600.0,0.38,2011-01-31,0.38,0.38
0.38,7600.0,0.38,2011-01-31,0.38,0.38
0.38,41200.0,0.56,2011-02-01,0.56,0.38
0.38,41200.0,0.56,2011-02-01,0.56,0.38
0.56,163750.0,0.75,2011-02-02,0.79,0.55
0.79,202520.0,0.8,2011-02-03,0.84,0.7
0.38,380.0,0.38,2011-02-17,0.38,0.38
0.4,4000.0,0.4,2011-02-23,0.4,0.4
0.4,4000.0,0.4,2011-02-23,0.4,0.4
0.3,6000.0,0.3,2011-03-04,0.3,0.3
0.3,6000.0,0.3,2011-03-04,0.3,0.3
0.59,47570.0,0.61,2011-03-11,0.7,0.58
0.59,47570.0,0.61,2011-03-11,0.7,0.58
0.62,125260.0,0.62,2011-04-08,0.63,0.62
0.5,59900.0,0.6,2011-04-26,0.6,0.5
0.65,650.0,0.65,2011-04-28,0.65,0.65
0.67,28490.0,0.6,2011-05-02,0.7,0.6
0.64,7680.0,0.64,2011-05-06,0.64,0.64
0.5,32500.0,0.5,2011-05-12,0.5,0.5
0.5,12500.0,0.5,2011-05-13,0.5,0.5
0.52,103000.0,0.58,2011-05-23,0.58,0.5
0.66,79360.0,0.68,2011-05-24,0.68,0.66
0.55,12250.0,0.53,2011-05-27,0.55,0.53
0.52,17160.0,0.52,2011-06-03,0.52,0.52
0.5,7500.0,0.5,2011-06-10,0.5,0.5
0.45,2250.0,0.45,2011-06-13,0.45,0.45
0.64,6400.0,0.64,2011-06-15,0.64,0.64
0.5,7500.0,0.5,2011-07-01,0.5,0.5
0.5,56380.0,0.6,2011-07-14,0.6,0.4
0.5,2500.0,0.5,2011-07-15,0.5,0.5
0.5,11500.0,0.5,2011-07-18,0.5,0.5
0.5,169400.0,0.6,2011-07-21,0.7,0.5
0.6,81000.0,0.6,2011-07-22,0.6,0.6
0.59,118000.0,0.59,2011-08-02,0.59,0.59
0.59,2360.0,0.59,2011-09-06,0.59,0.59
0.47,8460.0,0.47,2011-09-19,0.47,0.47
0.47,14100.0,0.47,2011-09-20,0.47,0.47
0.285,5700.0,0.285,2011-10-06,0.285,0.285
0.26,13008400.0,0.42,2011-11-16,0.42,0.26
0.63,126000.0,0.63,2011-11-17,0.63,0.63
0.94,453080.0,0.94,2011-11-18,0.94,0.94
1.41,3421670.0,1.41,2011-11-21,1.41,1.4
1.99,11488790.0,1.45,2011-11-22,2.07,1.45
1.6,6766520.0,1.66,2011-11-23,1.87,1.45
1.78,8651570.0,2.49,2011-11-24,2.49,1.78
2.99,22432940.0,2.69,2011-11-25,3.73,2.5
2.68,5597980.0,2.06,2011-11-28,2.75,1.9
2.0,6341630.0,2.1,2011-11-29,2.3,1.9
2.11,2978690.0,2.11,2011-12-01,2.21,2.04
2.1,1523910.0,2.0,2011-12-02,2.1,2.0
1.95,702000.0,1.95,2011-12-05,2.04,1.5
1.9,534670.0,1.78,2011-12-06,2.0,1.78
1.78,1224000.0,1.99,2011-12-07,1.99,1.6
1.99,964410.0,1.99,2011-12-08,2.06,1.8
2.0,39970.0,1.94,2011-12-09,2.0,1.82
1.94,833010.0,1.95,2011-12-12,2.02,1.9
1.95,3383990.0,2.02,2011-12-13,2.19,1.9
2.12,16151770.0,3.03,2011-12-14,3.03,2.12
3.47,26342600.0,3.08,2011-12-15,3.69,2.95
3.05,6583700.0,3.16,2011-12-16,3.4,2.95
3.16,12407730.0,3.46,2011-12-19,3.61,3.16
3.65,5983510.0,3.45,2011-12-20,3.65,3.45
3.45,5582120.0,3.22,2011-12-21,3.45,3.1
3.25,1570770.0,3.27,2011-12-22,3.39,3.22
3.3,2869900.0,3.3,2011-12-23,3.41,3.28
3.48,2065730.0,3.23,2011-12-26,3.48,3.22
3.25,549070.0,3.2,2011-12-27,3.25,3.2
3.15,1671890.0,3.01,2011-12-28,3.25,2.95
3.0,952860.0,3.06,2011-12-29,3.14,2.88
3.0,1858940.0,3.25,2012-01-02,3.27,2.96
3.26,7294020.0,3.54,2012-01-03,3.6,3.26
3.59,4853640.0,3.67,2012-01-04,3.74,3.51
3.79,9442190.0,3.92,2012-01-05,4.02,3.75
3.96,5739520.0,3.82,2012-01-06,3.98,3.52
3.9,15263550.0,4.1,2012-01-09,4.1,3.7
4.15,6965760.0,4.06,2012-01-10,4.2,3.98
3.97,66616560.0,4.57,2012-01-11,5.15,3.97
