OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.92,1920.0,1.92,2009-09-04,1.92,1.92
2.85,59850.0,2.85,2009-10-02,2.85,2.85
4.25,378250.0,4.25,2009-10-09,4.25,4.25
6.3,6300.0,6.3,2009-10-13,6.3,6.3
9.4,56400.0,9.4,2009-10-14,9.4,9.4
14.0,98000.0,14.0,2009-10-15,14.0,14.0
14.0,390950.0,21.0,2009-10-16,21.0,9.5
31.0,537600.0,31.5,2009-10-19,31.5,27.0
47.0,6081800.0,47.0,2009-10-20,47.0,47.0
62.0,2455450.0,49.0,2009-10-21,62.0,35.0
42.0,3541800.0,58.0,2009-10-22,58.0,42.0
58.0,3368400.0,53.0,2009-10-23,58.5,51.0
51.5,973900.0,46.5,2009-10-26,51.5,46.5
46.0,1349650.0,38.5,2009-10-27,46.0,37.5
38.0,603850.0,45.0,2009-10-28,47.0,38.0
45.0,1027800.0,43.5,2009-10-29,51.0,43.5
45.0,951700.0,41.5,2009-10-30,49.5,41.5
41.0,658150.0,37.5,2009-11-03,42.5,37.5
38.0,278250.0,39.0,2009-11-04,39.0,37.0
39.0,204700.0,38.5,2009-11-05,39.0,38.0
39.0,235950.0,41.0,2009-11-06,42.0,39.0
42.0,97500.0,40.5,2009-11-09,42.0,40.0
41.0,224700.0,40.5,2009-11-10,41.5,39.5
39.0,50800.0,38.0,2009-11-11,40.0,38.0
113.0,8615540.0,103.0,2009-12-15,122.0,94.0
94.0,3393210.0,101.0,2009-12-16,110.0,93.5
92.5,1061025.0,97.5,2009-12-17,101.0,92.5
99.0,1573850.0,100.0,2009-12-18,104.0,98.0
102.0,636600.0,100.0,2009-12-21,103.0,98.5
100.0,790300.0,99.5,2009-12-22,102.0,99.5
100.0,2731600.0,100.0,2009-12-23,105.0,100.0
100.0,232500.0,101.0,2009-12-29,105.0,99.0
97.0,1060345.0,100.0,2010-01-04,100.0,95.0
100.0,1932350.0,100.0,2010-01-05,100.0,95.0
99.5,2774250.0,99.5,2010-01-06,99.5,95.0
97.5,2384950.0,100.0,2010-01-07,100.0,96.0
97.0,2039350.0,98.0,2010-01-08,99.5,96.0
95.5,2059700.0,96.0,2010-01-11,97.0,94.0
95.0,1972400.0,96.5,2010-01-12,97.5,94.0
98.0,1035250.0,94.0,2010-01-13,98.0,92.0
91.5,856650.0,91.5,2010-01-14,92.5,89.5
92.0,1625200.0,91.0,2010-01-15,92.0,88.0
90.5,6436150.0,100.0,2010-01-18,100.0,89.0
100.0,816700.0,99.5,2010-01-19,100.0,97.5
99.5,1592150.0,99.5,2010-01-20,100.0,96.0
99.5,1384350.0,100.0,2010-01-21,100.0,97.0
98.0,271700.0,97.5,2010-01-22,98.0,96.5
97.5,559900.0,97.5,2010-01-25,97.5,94.5
97.5,307150.0,96.0,2010-01-26,97.5,94.0
97.0,520850.0,97.0,2010-01-27,97.0,92.0
97.0,422550.0,97.0,2010-01-28,97.0,92.0
97.0,48500.0,97.0,2010-01-29,97.0,97.0
97.0,400750.0,95.5,2010-02-01,97.0,93.0
95.5,614050.0,96.0,2010-02-02,97.0,92.5
95.0,1911250.0,97.0,2010-02-03,97.0,95.0
96.0,1827000.0,95.5,2010-02-04,96.5,92.0
92.0,239650.0,91.0,2010-02-05,95.0,91.0
94.5,293400.0,95.0,2010-02-08,95.0,94.0
94.0,688750.0,93.0,2010-02-09,95.0,90.0
92.0,3822450.0,94.0,2010-02-10,94.0,89.0
93.5,787400.0,94.0,2010-02-11,94.0,93.0
80.5,13122750.0,75.0,2010-03-08,80.5,69.5
64.5,5280500.0,61.0,2010-03-12,66.0,59.5
59.0,4324900.0,50.0,2010-03-15,61.0,47.0
45.0,4963300.0,50.0,2010-03-16,52.0,45.0
49.5,1981400.0,50.0,2010-03-17,50.0,48.0
50.0,1438400.0,50.0,2010-03-31,50.0,48.0
52.0,537750.0,51.5,2010-04-20,52.0,51.0
51.5,1271650.0,51.5,2010-04-21,51.5,51.0
51.5,1051150.0,51.0,2010-04-22,51.5,51.0
51.0,228500.0,51.0,2010-04-23,51.0,50.5
50.5,282850.0,50.0,2010-04-29,50.5,48.5
49.5,348350.0,50.0,2010-04-30,50.0,49.5
50.0,49700.0,50.0,2010-05-04,50.0,49.0
50.0,106650.0,49.0,2010-05-05,50.0,48.0
50.0,665300.0,49.5,2010-05-13,50.0,49.5
49.5,122600.0,49.0,2010-05-14,49.5,49.0
49.0,1106000.0,49.0,2010-05-17,49.5,48.5
49.0,303350.0,48.0,2010-05-18,49.0,48.0
48.0,739900.0,48.5,2010-05-19,49.0,48.0
48.5,168150.0,48.5,2010-05-20,48.5,48.0
48.5,538400.0,48.5,2010-05-21,48.5,48.0
48.5,58000.0,48.5,2010-05-24,48.5,48.0
47.5,62200.0,47.5,2010-05-25,48.5,47.5
47.5,1057250.0,47.5,2010-05-26,48.5,47.5
47.5,19000.0,47.5,2010-05-27,47.5,47.5
47.5,784250.0,47.5,2010-05-28,48.0,47.0
47.5,309500.0,47.5,2010-05-31,48.0,47.5
47.5,66100.0,47.5,2010-06-01,47.5,47.0
47.5,219350.0,47.5,2010-06-02,47.5,46.0
47.5,317550.0,47.5,2010-06-03,47.5,47.0
47.5,897050.0,48.0,2010-06-04,48.0,47.0
48.0,4800.0,48.0,2010-06-07,48.0,48.0
48.0,476600.0,47.0,2010-06-08,48.0,47.0
47.0,530600.0,47.0,2010-06-09,47.0,46.0
47.0,56150.0,47.0,2010-06-10,47.0,46.5
47.0,84000.0,47.0,2010-06-11,47.0,46.0
47.0,682150.0,47.0,2010-06-15,47.0,46.0
47.0,32700.0,46.5,2010-06-16,47.0,46.5
46.0,508800.0,46.0,2010-06-21,46.5,46.0
46.0,289200.0,45.5,2010-06-22,46.5,45.0
45.5,415950.0,45.5,2010-06-23,46.0,42.5
45.0,160150.0,45.0,2010-06-24,45.5,43.5
44.5,64900.0,44.0,2010-06-28,44.5,42.5
43.5,96100.0,44.0,2010-06-29,44.0,43.0
44.0,122900.0,44.0,2010-07-01,44.0,43.0
