OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.91,531400.0,0.95,2009-08-03,0.95,0.9
0.9,1119100.0,0.94,2009-08-04,0.94,0.9
0.9,1331200.0,0.93,2009-08-06,0.94,0.89
0.9,234700.0,0.91,2009-08-07,0.91,0.89
0.9,427200.0,0.9,2009-08-10,0.9,0.88
0.88,745500.0,0.92,2009-08-11,0.92,0.87
0.91,18300.0,0.92,2009-08-12,0.92,0.91
0.91,163800.0,0.92,2009-08-13,0.92,0.89
0.9,45300.0,0.92,2009-08-14,0.92,0.9
0.91,428700.0,0.92,2009-08-17,0.93,0.91
0.88,187100.0,0.91,2009-08-18,0.91,0.88
0.92,9200.0,0.92,2009-08-19,0.92,0.92
0.91,63800.0,0.92,2009-08-20,0.92,0.91
0.9,9000.0,0.9,2009-08-24,0.9,0.9
0.91,525800.0,0.93,2009-08-25,0.93,0.89
0.92,534800.0,0.9,2009-08-26,0.93,0.89
0.91,482600.0,0.95,2009-09-03,0.95,0.91
0.89,426300.0,0.94,2009-09-04,0.94,0.89
0.98,542400.0,0.95,2009-09-16,0.98,0.91
0.93,55900.0,0.94,2009-09-17,0.94,0.93
0.91,466400.0,0.94,2009-09-18,0.94,0.91
0.91,711600.0,0.91,2009-09-22,0.93,0.9
0.89,1454400.0,0.94,2009-09-23,0.94,0.89
0.91,230600.0,0.91,2009-09-30,0.91,0.88
0.91,1401800.0,0.93,2009-10-01,0.93,0.91
0.89,539700.0,0.93,2009-10-02,0.93,0.89
0.9,284900.0,0.91,2009-10-05,0.92,0.88
0.91,728600.0,0.91,2009-10-06,0.92,0.89
0.88,383000.0,0.91,2009-10-07,0.91,0.88
0.91,266200.0,0.91,2009-10-08,0.91,0.88
0.9,6677000.0,0.93,2009-10-09,0.94,0.9
0.9,523100.0,0.91,2009-10-12,0.91,0.88
0.89,742400.0,0.9,2009-10-13,0.9,0.88
0.88,1552000.0,0.89,2009-10-14,0.89,0.87
0.87,542200.0,0.88,2009-10-15,0.88,0.85
0.87,1964600.0,0.89,2009-10-16,0.89,0.87
0.87,631700.0,0.88,2009-10-19,0.89,0.87
0.87,578300.0,0.86,2009-10-20,0.87,0.85
0.83,396600.0,0.85,2009-10-21,0.86,0.83
0.8,338900.0,0.82,2009-10-22,0.85,0.8
0.85,1566800.0,0.82,2009-10-23,0.85,0.79
0.83,214700.0,0.85,2009-10-26,0.85,0.82
0.83,129000.0,0.83,2009-10-27,0.83,0.8
0.79,1428600.0,0.81,2009-10-28,0.81,0.78
0.8,597000.0,0.81,2009-10-29,0.84,0.78
0.81,612900.0,0.84,2009-10-30,0.85,0.8
0.8,1078400.0,0.88,2009-11-03,0.9,0.8
0.87,40636800.0,0.89,2009-11-04,0.92,0.86
0.88,62200.0,0.9,2009-11-05,0.9,0.88
0.85,2175500.0,0.94,2009-11-06,0.95,0.85
0.88,191300.0,0.94,2009-11-09,0.94,0.88
0.93,1141100.0,0.92,2009-11-10,0.93,0.88
0.87,424300.0,0.9,2009-11-11,0.91,0.87
0.82,541600.0,0.84,2009-12-15,0.86,0.82
0.83,342800.0,0.86,2009-12-16,0.86,0.83
0.84,581700.0,0.87,2009-12-17,0.87,0.82
0.86,93600.0,0.82,2009-12-18,0.87,0.82
0.85,350700.0,0.87,2009-12-21,0.87,0.85
0.86,1266200.0,0.87,2009-12-22,0.87,0.82
0.84,504100.0,0.87,2009-12-23,0.87,0.84
0.87,2072100.0,0.89,2009-12-29,0.9,0.86
0.9,310600.0,0.87,2010-01-04,0.9,0.86
0.85,2288700.0,0.87,2010-01-05,0.87,0.84
0.83,2433000.0,0.83,2010-01-06,0.86,0.8
0.8,1266300.0,0.84,2010-01-07,0.84,0.8
0.82,409200.0,0.86,2010-01-08,0.86,0.82
0.83,67600.0,0.86,2010-01-13,0.86,0.83
0.83,193000.0,0.86,2010-01-14,0.86,0.83
0.86,17300.0,0.87,2010-01-15,0.87,0.86
0.82,230000.0,0.84,2010-01-18,0.84,0.82
0.84,377497600.0,0.84,2010-01-19,0.87,0.82
0.84,2316000.0,0.85,2010-01-20,0.87,0.82
0.84,419000.0,0.86,2010-01-21,0.86,0.84
0.85,1431900.0,0.84,2010-01-22,0.86,0.81
0.8,929800.0,0.86,2010-01-25,0.86,0.8
0.82,2227600.0,0.84,2010-01-26,0.86,0.8
0.81,979800.0,0.81,2010-01-27,0.82,0.79
0.82,327500.0,0.83,2010-01-28,0.83,0.81
0.8,1909800.0,0.84,2010-01-29,0.84,0.77
0.8,2277100.0,0.82,2010-02-01,0.82,0.78
0.8,2116000.0,0.76,2010-02-02,0.8,0.76
0.78,6575900.0,0.9,2010-02-03,0.91,0.77
0.89,4996000.0,0.88,2010-02-04,0.9,0.85
0.84,7084100.0,1.0,2010-02-05,1.0,0.84
0.95,11896400.0,1.0,2010-02-08,1.0,0.92
0.95,13847900.0,0.98,2010-02-09,0.98,0.9
0.93,16987100.0,0.94,2010-02-10,0.94,0.89
0.9,37381300.0,0.85,2010-02-11,0.93,0.79
0.79,2333100.0,0.8,2010-03-08,0.8,0.77
0.77,5945700.0,0.74,2010-03-12,0.77,0.73
0.75,1904600.0,0.76,2010-03-15,0.76,0.74
0.72,20382200.0,0.69,2010-03-16,0.75,0.67
0.66,27681200.0,0.65,2010-03-17,0.67,0.6
0.62,22349000.0,0.62,2010-03-31,0.63,0.59
0.63,905700.0,0.65,2010-04-20,0.65,0.63
0.64,300900.0,0.65,2010-04-21,0.65,0.64
0.63,1940800.0,0.64,2010-04-22,0.65,0.62
0.64,6950700.0,0.66,2010-04-23,0.66,0.62
0.61,11383100.0,0.63,2010-04-29,0.64,0.6
0.61,5230700.0,0.6,2010-04-30,0.62,0.59
0.61,6972700.0,0.63,2010-05-04,0.63,0.59
0.61,6353900.0,0.6,2010-05-05,0.61,0.58
0.57,10877500.0,0.57,2010-05-13,0.57,0.55
0.55,10012900.0,0.55,2010-05-14,0.56,0.52
0.53,3793200.0,0.54,2010-05-17,0.55,0.52
0.53,139900.0,0.54,2010-05-18,0.54,0.53
0.54,3337800.0,0.55,2010-05-19,0.55,0.53
0.54,6951100.0,0.53,2010-05-20,0.55,0.5
0.51,1901500.0,0.52,2010-05-21,0.52,0.49
0.5,1129600.0,0.53,2010-05-24,0.53,0.5
0.5,3210400.0,0.5,2010-05-25,0.5,0.48
0.49,2415500.0,0.47,2010-05-26,0.5,0.47
0.48,12000300.0,0.48,2010-05-27,0.49,0.44
0.47,8290700.0,0.44,2010-05-28,0.47,0.44
0.45,5973800.0,0.47,2010-05-31,0.47,0.44
0.46,3118800.0,0.5,2010-06-01,0.5,0.46
0.47,2366900.0,0.49,2010-06-02,0.51,0.47
0.51,1700500.0,0.53,2010-06-03,0.53,0.5
0.54,6568700.0,0.56,2010-06-04,0.56,0.53
0.56,1641500.0,0.55,2010-06-07,0.56,0.53
0.54,1691100.0,0.55,2010-06-08,0.55,0.53
0.54,3214400.0,0.56,2010-06-09,0.56,0.54
0.56,5483300.0,0.56,2010-06-10,0.58,0.56
0.58,3054300.0,0.59,2010-06-11,0.59,0.57
0.59,715200.0,0.59,2010-06-15,0.59,0.58
0.59,6533900.0,0.61,2010-06-16,0.61,0.58
0.61,6995800.0,0.64,2010-06-21,0.64,0.61
0.63,8133200.0,0.65,2010-06-22,0.65,0.63
0.63,8122800.0,0.65,2010-06-23,0.65,0.63
0.64,2898700.0,0.64,2010-06-24,0.64,0.62
0.62,2446700.0,0.62,2010-06-25,0.63,0.61
0.61,1054900.0,0.63,2010-06-28,0.63,0.61
0.61,2788200.0,0.63,2010-06-29,0.63,0.61
0.6,6159900.0,0.61,2010-07-01,0.62,0.6
0.6,2713300.0,0.57,2010-07-02,0.6,0.57
0.56,2125600.0,0.58,2010-07-06,0.58,0.56
0.58,2929900.0,0.58,2010-07-07,0.58,0.56
0.58,14137000.0,0.55,2010-07-08,0.59,0.53
0.55,3886600.0,0.54,2010-07-09,0.55,0.53
0.53,1457800.0,0.55,2010-07-13,0.55,0.52
0.53,521000.0,0.55,2010-07-14,0.55,0.52
0.55,3008900.0,0.55,2010-07-15,0.56,0.54
0.56,6749900.0,0.6,2010-07-16,0.6,0.56
0.57,6166200.0,0.61,2010-07-19,0.61,0.57
0.6,2243100.0,0.61,2010-07-20,0.61,0.6
0.6,3192800.0,0.62,2010-07-21,0.62,0.6
0.61,5999400.0,0.64,2010-07-22,0.64,0.61
0.63,11417500.0,0.66,2010-07-23,0.66,0.62
0.58,236160.0,0.59,2010-09-20,0.59,0.58
0.58,7585670.0,0.63,2010-09-21,0.65,0.58
0.63,1946280.0,0.64,2010-09-22,0.64,0.62
0.62,3144610.0,0.64,2010-09-23,0.66,0.62
0.65,1241830.0,0.63,2010-09-24,0.65,0.62
0.63,1535370.0,0.62,2010-09-27,0.65,0.61
0.6,1842660.0,0.62,2010-09-28,0.62,0.59
0.59,4114490.0,0.61,2010-09-29,0.61,0.59
0.6,4046960.0,0.62,2010-09-30,0.62,0.59
0.61,1209440.0,0.62,2010-10-01,0.63,0.61
0.6,2173260.0,0.63,2010-10-04,0.63,0.59
