OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.0,31099460.0,15.02,2011-06-22,17.0,11.0
15.0,1037236.0,11.2,2011-06-23,15.0,10.0
10.6,695564.0,12.5,2011-06-24,12.72,10.6
13.0,9554584.0,16.2,2011-06-27,16.48,12.5
16.26,6393854.0,15.3,2011-06-28,16.78,15.1
15.9,384676.0,15.38,2011-06-29,15.9,15.12
15.4,2696046.0,16.0,2011-06-30,16.2,15.0
16.16,65616.0,15.88,2011-07-01,16.16,15.88
16.1,500004.0,15.5,2011-07-04,16.12,15.5
15.4,210906.0,15.7,2011-07-05,15.9,15.22
15.7,639536.0,15.5,2011-07-06,15.9,15.26
15.7,1315204.0,15.4,2011-07-07,15.8,15.24
15.8,223554.0,15.18,2011-07-08,15.8,15.18
15.5,119746.0,15.1,2011-07-11,15.5,15.1
15.4,644534.0,15.24,2011-07-12,15.4,15.0
15.28,474208.0,15.08,2011-07-13,15.28,15.0
15.18,1105498.0,15.28,2011-07-14,15.3,15.1
15.6,10598104.0,16.32,2011-07-15,16.48,15.3
16.4,4216102.0,17.5,2011-07-18,17.5,16.4
16.98,3003578.0,17.52,2011-07-19,17.98,16.76
17.8,9721502.0,19.2,2011-07-20,19.5,17.5
19.9,12168888.0,21.9,2011-07-21,22.65,19.28
22.7,22496220.0,23.5,2011-07-22,23.75,21.95
23.7,13700025.0,21.5,2011-07-25,23.7,20.8
22.0,12279255.0,21.65,2011-07-26,23.75,21.6
22.9,18405155.0,26.8,2011-07-27,28.0,22.0
27.35,13842605.0,28.5,2011-07-28,29.2,25.65
29.3,29169725.0,28.8,2011-07-29,29.85,28.25
29.7,16709360.0,30.3,2011-08-01,31.0,28.8
31.1,20906950.0,32.7,2011-08-02,32.95,30.3
32.65,25864475.0,34.75,2011-08-03,34.95,32.2
35.0,19760005.0,37.0,2011-08-04,37.5,34.55
36.0,24671020.0,37.0,2011-08-05,37.5,34.65
37.25,9856310.0,36.45,2011-08-08,37.7,36.05
35.15,20281570.0,33.1,2011-08-09,35.85,30.5
36.0,16949560.0,35.85,2011-08-10,36.1,34.0
34.75,27494145.0,39.05,2011-08-11,40.3,34.0
40.4,43060630.0,43.85,2011-08-12,45.0,40.3
47.0,37977290.0,47.85,2011-08-15,49.0,44.5
48.5,30768795.0,47.5,2011-08-16,49.45,46.7
48.6,22679755.0,46.9,2011-08-17,49.0,46.8
46.6,53862080.0,49.1,2011-08-18,50.0,46.5
48.05,9886410.0,48.0,2011-08-19,48.5,47.85
48.0,26461000.0,50.5,2011-08-22,51.4,48.0
51.0,36131495.0,50.45,2011-08-23,53.4,50.45
51.1,42442498.5,48.35,2011-08-24,51.95,48.1
49.5,23832070.0,44.5,2011-08-25,49.5,42.05
43.5,11361350.0,42.8,2011-08-26,44.5,42.0
44.0,18790795.0,40.05,2011-08-31,44.0,40.05
40.8,22658335.0,31.5,2011-09-01,40.8,30.05
29.5,32697360.0,30.55,2011-09-02,32.1,25.95
29.1,14325725.0,27.0,2011-09-05,31.0,26.9
27.4,13542305.0,22.5,2011-09-06,27.4,22.5
21.8,20150180.0,19.9,2011-09-07,23.0,19.9
21.1,33134695.0,29.85,2011-09-08,29.85,20.05
32.0,55768505.0,33.9,2011-09-09,35.2,29.85
34.5,16414885.0,29.2,2011-09-12,34.55,29.0
30.2,19089160.0,30.0,2011-09-13,33.8,29.3
30.65,12265310.0,28.5,2011-09-14,31.95,28.5
29.3,12978935.0,30.1,2011-09-15,31.6,27.0
31.0,28463765.0,33.95,2011-09-16,34.0,31.0
34.0,23037165.0,32.3,2011-09-19,35.4,32.25
32.25,16564210.0,31.7,2011-09-20,34.3,31.7
32.9,20732730.0,33.8,2011-09-21,35.0,31.45
33.1,27474735.0,31.15,2011-09-22,35.0,31.15
30.4,17241540.0,27.0,2011-09-23,30.4,25.3
26.55,4511465.0,23.0,2011-09-26,28.8,22.5
27.2,7197285.0,26.1,2011-09-28,28.0,25.25
25.9,6540995.0,28.0,2011-09-29,28.1,24.4
26.85,10703420.0,26.8,2011-10-03,29.85,26.8
26.0,7309685.0,26.8,2011-10-04,27.5,25.0
27.75,3676415.0,26.7,2011-10-05,27.85,25.6
26.9,1112755.0,26.75,2011-10-06,27.5,26.2
27.0,12604035.0,27.6,2011-10-07,29.5,27.0
27.9,7951085.0,29.5,2011-10-10,29.5,27.9
29.55,32060765.0,28.0,2011-10-11,31.4,28.0
28.9,7399860.0,29.3,2011-10-12,29.5,27.8
30.05,4317725.0,29.0,2011-10-13,30.35,28.8
29.7,1476545.0,28.9,2011-10-14,29.7,28.0
29.65,14243435.0,29.75,2011-10-17,31.2,29.5
29.45,1311065.0,28.85,2011-10-18,30.0,28.85
29.6,1626180.0,28.9,2011-10-19,29.9,28.35
29.0,6112585.0,27.5,2011-10-20,29.0,27.5
28.0,1827025.0,27.05,2011-10-21,28.0,27.0
27.5,3075610.0,26.7,2011-10-24,28.35,26.7
27.1,6097520.0,26.8,2011-10-25,28.0,26.4
27.0,7009210.0,27.15,2011-10-26,28.5,27.0
27.9,2482565.0,27.0,2011-10-27,28.0,27.0
27.0,3908930.0,26.95,2011-10-28,27.9,26.9
26.75,2103045.0,27.5,2011-11-02,27.5,26.6
27.5,853785.0,27.0,2011-11-03,27.5,26.5
27.0,7203890.0,28.0,2011-11-04,28.75,26.5
27.95,7046420.0,27.1,2011-11-08,29.0,27.1
28.0,2208165.0,27.5,2011-11-09,28.55,27.4
27.2,576495.0,27.5,2011-11-10,28.0,26.8
27.5,27255820.0,31.0,2011-11-11,32.5,27.5
31.3,19310655.0,31.6,2011-11-14,32.9,30.95
31.45,22082170.0,31.05,2011-11-15,32.8,31.05
31.1,11276910.0,29.5,2011-11-16,32.0,29.5
29.5,4740375.0,29.1,2011-11-17,30.15,28.6
29.9,1691275.0,30.2,2011-11-18,30.4,28.7
30.5,1435100.0,28.8,2011-11-21,30.5,28.75
28.7,5683300.0,28.45,2011-11-22,29.8,28.0
28.65,483135.0,28.45,2011-11-23,28.65,28.0
28.0,12778485.0,27.1,2011-11-24,28.65,27.0
27.9,799105.0,27.1,2011-11-25,28.1,27.0
27.95,55235.0,27.5,2011-11-28,27.95,27.1
27.5,505120.0,27.55,2011-11-29,27.85,27.1
27.55,2889525.0,28.0,2011-12-01,28.25,27.55
28.35,482990.0,27.5,2011-12-02,29.0,27.5
28.0,663950.0,27.55,2011-12-05,28.7,27.25
27.2,706685.0,27.55,2011-12-06,28.0,27.05
27.55,579185.0,27.35,2011-12-07,27.55,27.2
27.6,1354430.0,27.5,2011-12-08,27.65,27.0
27.6,846385.0,27.35,2011-12-09,27.6,27.0
27.5,965355.0,27.2,2011-12-12,27.5,26.95
27.05,401985.0,27.0,2011-12-13,27.5,26.9
27.1,860810.0,27.35,2011-12-14,27.6,26.95
27.0,1211125.0,26.95,2011-12-15,27.1,26.5
27.35,619670.0,27.0,2011-12-16,27.35,26.75
27.35,5405075.0,28.25,2011-12-19,29.0,26.75
28.5,1072100.0,27.1,2011-12-20,28.5,27.0
27.8,1444425.0,27.45,2011-12-21,27.8,27.0
27.0,956395.0,27.25,2011-12-22,27.95,26.8
27.4,529855.0,27.05,2011-12-23,27.5,26.9
27.55,808090.0,27.0,2011-12-26,27.55,26.7
27.5,1878265.0,27.0,2011-12-27,27.5,26.35
27.0,5197800.0,27.6,2011-12-28,28.1,26.85
27.65,4632355.0,27.3,2011-12-29,28.5,27.3
27.95,3715155.0,27.9,2012-01-02,28.5,27.1
28.0,1900740.0,27.7,2012-01-03,28.5,27.6
28.4,31496310.0,29.9,2012-01-04,31.0,28.0
30.0,7105390.0,29.9,2012-01-05,30.8,28.6
29.8,3170645.0,28.95,2012-01-06,30.45,28.95
29.65,9441505.0,30.6,2012-01-09,30.95,29.0
30.5,10127970.0,30.65,2012-01-10,32.5,30.0
31.5,5500640.0,30.0,2012-01-11,31.5,29.95
29.9,1869060.0,29.25,2012-01-12,30.35,29.2
29.85,2313970.0,28.85,2012-01-13,29.9,28.85
29.4,4361915.0,28.5,2012-01-16,29.4,28.0
28.5,9034240.0,28.45,2012-01-17,29.2,27.95
28.5,2513410.0,28.5,2012-01-18,28.8,27.9
28.9,6817745.0,28.1,2012-01-19,29.8,28.0
28.05,7662855.0,28.75,2012-01-20,28.8,28.0
28.25,25207470.0,30.2,2012-01-24,31.6,28.25
31.3,8770575.0,29.45,2012-01-25,31.3,28.5
29.8,4196515.0,30.1,2012-01-26,30.3,29.0
30.1,14168280.0,30.8,2012-01-27,31.95,29.95
32.0,59176680.0,36.3,2012-01-30,38.5,32.0
37.15,33673275.0,36.6,2012-01-31,38.0,35.5
36.5,40124175.0,40.1,2012-02-01,41.0,36.5
41.0,26185270.0,41.5,2012-02-02,42.5,39.0
41.75,23351275.0,42.3,2012-02-03,44.0,41.5
42.55,25116970.0,43.5,2012-02-06,44.75,41.85
45.0,122155540.0,47.1,2012-02-07,50.4,44.5
48.4,35548225.0,48.75,2012-02-08,50.4,47.55
48.8,33400965.0,49.0,2012-02-09,50.4,48.75
50.0,28531020.0,51.6,2012-02-10,52.8,48.5
53.0,47979593.0,48.95,2012-02-13,53.8,48.8
49.6,23074270.0,48.35,2012-02-14,51.8,47.0
49.1,156632040.0,52.0,2012-02-15,61.0,48.35
52.75,37267698.0,46.1,2012-02-16,52.9,46.0
46.1,9286805.0,48.0,2012-02-17,48.4,46.1
48.0,10067855.0,48.2,2012-02-20,48.95,48.0
49.5,17548665.0,48.0,2012-02-21,51.0,47.5
48.5,68095805.0,53.2,2012-02-22,54.0,47.7
54.0,44535706.5,53.0,2012-02-23,57.55,52.1
53.4,71673255.5,55.85,2012-02-24,59.55,53.4
55.95,17454130.5,53.1,2012-02-27,56.1,52.7
55.85,10839611.5,51.65,2012-02-28,56.0,51.65
53.5,10681156.0,51.5,2012-02-29,54.6,50.0
50.6,13526114.0,51.1,2012-03-01,52.9,50.05
52.0,8674289.0,52.45,2012-03-02,52.6,51.5
53.6,10063709.0,51.5,2012-03-05,53.6,50.5
51.0,30586863.0,50.0,2012-03-06,52.0,48.05
49.0,10653605.5,48.35,2012-03-07,50.0,48.15
50.0,4720035.0,48.05,2012-03-08,50.0,47.25
48.1,3376960.0,48.2,2012-03-09,49.5,48.1
50.0,610350.0,48.0,2012-03-12,50.0,48.0
48.5,7083975.0,47.1,2012-03-13,48.5,45.5
47.5,15349350.0,49.8,2012-03-14,52.0,47.5
50.85,11638545.0,50.5,2012-03-15,51.5,49.0
50.85,2940845.5,50.0,2012-03-16,50.85,48.9
50.0,33474414.5,52.5,2012-03-19,53.25,48.95
52.5,25737463.0,53.0,2012-03-20,54.75,52.05
54.0,22123696.5,51.2,2012-03-21,54.5,50.5
51.9,6952719.5,51.0,2012-03-22,52.0,50.0
51.95,2305217.5,50.9,2012-03-23,51.95,49.55
51.1,2192440.0,48.8,2012-03-26,51.1,48.8
50.0,2124690.0,48.2,2012-03-27,50.0,47.8
48.2,8646410.0,48.0,2012-03-28,48.2,47.0
49.0,8206620.0,46.3,2012-03-29,49.0,46.0
47.9,4792745.0,47.0,2012-03-30,47.9,46.95
47.8,2202300.0,47.7,2012-04-02,47.9,47.0
48.0,4525795.0,48.75,2012-04-03,49.35,47.6
49.5,8024375.0,49.05,2012-04-04,49.5,48.2
51.85,944165.0,47.2,2012-04-10,51.85,47.2
49.8,686835.0,47.8,2012-04-11,49.8,46.75
48.4,994710.0,47.5,2012-04-12,48.95,47.2
48.45,1972890.0,47.5,2012-04-13,48.45,47.1
46.5,5997810.0,46.6,2012-04-16,48.5,46.5
48.0,1234280.0,47.0,2012-04-17,48.0,46.5
47.9,21087465.0,47.2,2012-04-18,50.0,46.5
47.95,650515.0,48.0,2012-04-19,48.0,47.2
48.9,1631860.0,48.1,2012-04-20,48.9,48.0
49.0,435500.0,48.0,2012-04-23,49.0,47.4
48.85,445655.0,48.45,2012-04-24,48.9,47.75
48.45,2740345.0,48.95,2012-04-25,48.95,47.75
48.8,3010160.0,48.25,2012-04-26,48.9,47.85
48.7,1242220.0,48.5,2012-04-27,48.8,48.2
48.95,1092075.0,48.05,2012-04-30,49.0,48.05
48.0,1333640.0,48.0,2012-05-02,48.5,47.8
48.0,19068705.0,47.5,2012-05-03,49.8,46.5
48.5,2578695.0,46.6,2012-05-04,48.5,46.45
47.5,9190005.0,41.45,2012-05-07,47.5,40.0
42.0,5039135.0,41.5,2012-05-08,43.0,40.0
42.5,8172105.0,37.65,2012-05-09,42.5,36.0
38.9,1986695.0,36.5,2012-05-10,38.9,34.55
38.0,4591910.0,32.25,2012-05-11,38.0,32.0
34.0,5072655.0,32.75,2012-05-14,35.0,29.95
30.2,26429790.0,30.5,2012-05-15,35.0,30.0
