OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
25.0,2802350.0,25.5,2009-08-03,25.5,24.5
25.5,4725650.0,26.0,2009-08-04,26.0,25.5
26.0,626600.0,26.0,2009-08-06,26.0,26.0
25.5,1405150.0,25.5,2009-08-07,26.0,25.5
25.5,3191900.0,26.0,2009-08-10,26.0,25.5
26.5,2529300.0,27.0,2009-08-11,27.0,25.5
27.0,7562100.0,27.5,2009-08-12,27.5,26.5
28.0,18352750.0,31.0,2009-08-13,31.0,28.0
32.0,3550400.0,31.0,2009-08-14,32.0,30.0
31.5,532050.0,30.0,2009-08-17,31.5,30.0
30.0,2093900.0,29.5,2009-08-18,30.0,29.0
30.0,1703200.0,30.5,2009-08-19,31.0,30.0
29.5,4075250.0,30.0,2009-08-20,31.5,29.5
31.5,3924150.0,31.5,2009-08-24,32.0,31.0
31.0,7634700.0,31.5,2009-08-25,31.5,31.0
31.5,1307750.0,30.5,2009-08-26,31.5,30.5
31.0,369500.0,30.5,2009-09-03,31.0,30.5
31.0,4000150.0,32.0,2009-09-04,32.0,31.0
30.0,865950.0,30.0,2009-09-16,30.0,29.5
30.0,642000.0,30.0,2009-09-17,30.0,30.0
30.0,4915500.0,31.0,2009-09-18,31.0,30.0
30.5,646600.0,30.5,2009-09-22,30.5,30.5
30.5,292800.0,30.5,2009-09-23,30.5,30.5
30.0,330000.0,30.0,2009-09-30,30.0,30.0
30.0,387000.0,30.0,2009-10-01,30.0,30.0
29.5,940550.0,29.5,2009-10-02,30.0,29.5
29.5,1082900.0,30.0,2009-10-05,30.0,29.5
30.0,906000.0,30.0,2009-10-06,30.0,30.0
30.0,4267700.0,30.5,2009-10-07,30.5,29.5
30.5,283650.0,30.5,2009-10-08,30.5,30.5
30.0,150000.0,30.0,2009-10-09,30.0,30.0
30.5,859950.0,30.5,2009-10-12,30.5,30.0
30.0,615000.0,30.0,2009-10-13,30.0,30.0
30.0,255000.0,30.0,2009-10-14,30.0,30.0
30.0,15100.0,31.0,2009-10-15,31.0,30.0
31.0,939100.0,31.0,2009-10-16,31.0,30.5
31.0,123950.0,30.5,2009-10-19,31.0,30.5
30.5,39650.0,30.5,2009-10-20,30.5,30.5
30.0,352350.0,30.0,2009-10-21,31.0,30.0
30.0,4961400.0,29.0,2009-10-22,30.5,29.0
28.5,3627800.0,28.5,2009-10-23,30.5,28.5
29.0,3645000.0,30.0,2009-10-26,30.5,28.5
29.5,2150350.0,29.0,2009-10-27,29.5,29.0
29.0,29000.0,29.0,2009-10-28,29.0,29.0
28.5,2257200.0,28.5,2009-10-29,28.5,28.5
29.0,7088650.0,30.0,2009-10-30,30.0,28.5
30.0,1500000.0,30.0,2009-11-03,30.0,30.0
30.0,892800.0,29.0,2009-11-04,30.0,29.0
29.0,715400.0,28.5,2009-11-05,29.0,28.5
29.0,4144100.0,29.0,2009-11-06,29.0,29.0
29.0,6735850.0,29.5,2009-11-09,29.5,28.5
29.5,5717300.0,29.0,2009-11-10,29.5,29.0
29.0,504600.0,29.0,2009-11-11,29.0,29.0
29.0,791150.0,29.5,2009-12-16,29.5,29.0
29.0,139200.0,29.0,2009-12-17,29.0,29.0
28.5,17100.0,28.5,2009-12-18,28.5,28.5
29.0,455300.0,29.0,2009-12-21,29.0,29.0
29.0,142100.0,29.0,2009-12-22,29.0,29.0
29.0,92800.0,29.0,2009-12-23,29.0,29.0
29.0,1173500.0,28.5,2009-12-29,29.0,28.5
29.0,608200.0,29.0,2010-01-04,30.0,29.0
28.5,135050.0,29.0,2010-01-05,29.0,28.5
29.0,197200.0,29.0,2010-01-06,29.0,29.0
29.0,2844900.0,29.0,2010-01-07,29.0,29.0
29.0,1310800.0,29.0,2010-01-08,29.0,29.0
29.0,3326200.0,29.0,2010-01-11,29.5,28.5
29.0,310300.0,29.0,2010-01-12,29.0,29.0
31.0,2842200.0,29.0,2010-01-13,31.0,29.0
29.0,49300.0,29.0,2010-01-14,29.0,29.0
28.5,1937400.0,28.5,2010-01-15,29.0,28.0
28.5,276450.0,28.5,2010-01-18,28.5,28.5
28.5,42750.0,28.5,2010-01-19,28.5,28.5
28.5,108300.0,28.5,2010-01-20,28.5,28.5
28.5,2402450.0,28.0,2010-01-21,28.5,28.0
28.0,163400.0,28.5,2010-01-22,28.5,28.0
28.0,1449050.0,27.5,2010-01-25,28.0,27.0
27.0,2184900.0,27.5,2010-01-26,27.5,26.5
26.5,450750.0,27.5,2010-01-27,27.5,26.5
27.5,2350550.0,28.5,2010-01-28,28.5,27.5
28.0,19600.0,28.0,2010-02-01,28.0,28.0
28.0,48400.0,26.0,2010-02-02,28.0,26.0
26.0,170900.0,25.5,2010-02-03,26.0,25.5
25.5,176050.0,26.0,2010-02-04,26.0,25.5
26.0,2410450.0,28.0,2010-02-05,28.0,26.0
27.0,1553050.0,28.0,2010-02-08,28.0,27.0
27.0,274250.0,27.5,2010-02-09,27.5,27.0
27.5,5883800.0,27.5,2010-02-10,28.5,27.5
27.5,6958800.0,28.0,2010-02-11,28.0,27.0
27.5,41250.0,27.5,2010-03-08,27.5,27.5
27.5,11709500.0,27.5,2010-03-12,27.5,27.5
28.0,1532250.0,27.5,2010-03-15,28.0,27.0
27.5,66000.0,27.5,2010-03-16,27.5,27.5
27.5,1271150.0,28.0,2010-03-17,28.0,27.5
29.5,1460650.0,29.0,2010-04-20,29.5,29.0
29.0,4428350.0,29.0,2010-04-21,29.5,29.0
30.0,3413900.0,30.0,2010-04-22,30.0,29.5
29.5,10850050.0,29.5,2010-04-23,29.5,29.0
30.0,3010200.0,31.0,2010-04-29,31.0,30.0
31.0,9593250.0,33.0,2010-04-30,33.0,31.0
33.0,833800.0,32.0,2010-05-04,33.0,32.0
32.0,5860400.0,31.0,2010-05-05,32.0,31.0
34.5,2411100.0,34.0,2010-05-13,34.5,34.0
34.0,5153300.0,35.0,2010-05-14,35.5,34.0
35.5,3578400.0,34.0,2010-05-17,35.5,34.0
34.0,1782300.0,34.5,2010-05-18,34.5,34.0
34.0,5873100.0,36.5,2010-05-19,37.5,34.0
37.5,7255500.0,37.5,2010-05-20,38.0,37.5
37.5,5416600.0,36.5,2010-05-21,37.5,36.5
37.0,17162500.0,36.5,2010-05-24,37.0,36.0
36.0,1295200.0,35.0,2010-05-25,36.0,35.0
35.0,935200.0,35.5,2010-05-26,35.5,34.5
35.0,3968150.0,37.5,2010-05-27,37.5,35.0
38.0,6240900.0,38.5,2010-05-28,38.5,38.0
38.0,3975200.0,37.5,2010-05-31,38.0,37.0
37.5,7328450.0,38.0,2010-06-01,38.5,37.0
38.0,2317900.0,37.5,2010-06-02,38.0,37.0
37.5,4828000.0,38.0,2010-06-03,39.0,37.5
38.5,2948600.0,37.5,2010-06-04,39.0,37.5
38.5,1735950.0,37.0,2010-06-07,38.5,37.0
36.5,1887100.0,36.5,2010-06-08,37.0,36.5
36.5,2214100.0,36.0,2010-06-09,36.5,35.5
36.0,698150.0,36.0,2010-06-10,36.0,35.5
36.5,677200.0,36.0,2010-06-11,36.5,36.0
36.0,3070300.0,36.5,2010-06-15,36.5,36.0
36.5,152300.0,36.5,2010-06-16,36.5,36.0
36.0,6401400.0,37.0,2010-06-21,37.0,35.5
37.0,1047100.0,37.0,2010-06-22,37.0,37.0
37.0,556850.0,36.5,2010-06-23,37.0,36.5
36.5,2816700.0,36.0,2010-06-24,36.5,36.0
36.0,219650.0,36.5,2010-06-25,36.5,36.0
36.5,710200.0,36.0,2010-06-28,36.5,36.0
36.0,36050.0,36.5,2010-06-29,36.5,36.0
36.5,2322500.0,37.0,2010-07-01,37.0,36.0
37.0,4583950.0,37.0,2010-07-02,37.0,36.5
37.0,497850.0,36.5,2010-07-06,37.0,36.5
36.5,1186400.0,37.0,2010-07-07,37.0,36.5
37.5,798750.0,37.5,2010-07-08,37.5,37.5
37.5,145800.0,37.0,2010-07-09,37.5,37.0
37.0,3547300.0,38.0,2010-07-13,38.0,37.0
37.5,6020800.0,38.0,2010-07-15,38.0,37.0
38.0,3060700.0,37.5,2010-07-16,38.0,37.5
37.0,48100.0,37.0,2010-07-19,37.0,37.0
37.0,14115950.0,38.0,2010-07-20,38.0,37.0
37.0,740000.0,37.0,2010-07-21,37.0,37.0
37.0,11203850.0,37.5,2010-07-22,37.5,36.5
38.0,1145100.0,37.5,2010-07-23,38.0,37.5
54.1,4910279.0,54.95,2010-09-20,54.95,54.1
55.0,15373299.5,55.0,2010-09-21,55.0,54.05
54.5,14061404.0,55.0,2010-09-22,55.0,54.0
54.5,7285856.0,55.6,2010-09-23,55.6,54.5
55.0,3733190.5,55.6,2010-09-24,55.6,54.8
55.6,7102470.0,55.6,2010-09-27,55.6,54.75
55.0,4250845.0,56.0,2010-09-28,56.0,55.0
57.0,6607661.0,56.0,2010-09-29,57.0,55.0
55.5,509611.0,55.4,2010-09-30,55.5,55.3
55.5,138750.0,55.5,2010-10-01,55.5,55.5
55.3,1074750.0,55.3,2010-10-04,55.5,55.3
55.2,4416135.0,56.0,2010-10-05,56.0,55.2
56.0,2932240.0,56.0,2010-10-06,56.0,55.2
55.55,277750.0,55.55,2010-10-07,55.55,55.55
55.8,2030018.0,56.0,2010-10-08,56.0,55.5
55.5,7577534.0,56.0,2010-10-12,56.0,55.3
55.7,75365.0,55.9,2010-10-13,55.9,55.7
55.65,1617202.5,55.65,2010-10-14,56.0,55.6
