OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
25.0,6291500.0,25.5,2009-08-03,26.0,25.0
26.0,2182000.0,26.5,2009-08-04,26.5,25.5
26.5,13554750.0,26.5,2009-08-06,26.5,26.5
26.5,27446100.0,26.0,2009-08-07,26.5,26.0
26.5,1666400.0,26.0,2009-08-10,26.5,26.0
26.0,12661600.0,27.0,2009-08-11,27.0,26.0
27.0,41363350.0,28.0,2009-08-12,28.0,27.0
29.5,22356700.0,31.5,2009-08-13,32.0,29.5
31.0,11468950.0,31.5,2009-08-14,31.5,31.0
30.5,3489250.0,31.0,2009-08-17,31.0,30.0
30.5,11087000.0,31.5,2009-08-18,31.5,30.5
31.5,17943500.0,30.5,2009-08-19,32.0,30.5
31.5,10275650.0,32.0,2009-08-20,32.5,31.5
31.5,569550.0,32.0,2009-08-24,32.0,31.5
32.0,3663550.0,31.5,2009-08-25,32.0,31.5
31.0,5976900.0,30.5,2009-08-26,31.0,30.5
31.0,1210300.0,30.5,2009-09-03,31.0,30.5
32.0,49879400.0,32.0,2009-09-04,32.5,32.0
30.5,18300000.0,30.5,2009-09-16,30.5,30.5
30.0,15911500.0,30.5,2009-09-17,30.5,30.0
30.0,7367500.0,31.0,2009-09-18,31.5,30.0
30.0,7608600.0,30.5,2009-09-22,30.5,30.0
31.0,6589000.0,31.0,2009-09-23,31.0,30.5
30.0,3000000.0,30.0,2009-09-30,30.0,30.0
30.0,27482550.0,30.0,2009-10-01,30.5,30.0
30.0,1785000.0,30.0,2009-10-02,30.0,30.0
29.5,1937500.0,30.0,2009-10-05,30.0,29.5
31.0,19149400.0,31.0,2009-10-06,31.0,30.5
30.5,610000.0,30.5,2009-10-07,30.5,30.5
31.0,11240600.0,31.0,2009-10-08,31.0,31.0
31.0,3426200.0,31.0,2009-10-09,31.0,26.0
30.0,300000.0,30.0,2009-10-12,30.0,30.0
30.0,7801000.0,30.0,2009-10-13,30.5,30.0
30.5,3183050.0,30.5,2009-10-14,30.5,30.0
30.5,4840800.0,30.5,2009-10-15,30.5,30.0
31.0,775000.0,31.0,2009-10-16,31.0,31.0
30.5,164700.0,30.5,2009-10-20,30.5,30.5
30.5,756400.0,30.5,2009-10-21,30.5,30.5
30.5,4875550.0,30.5,2009-10-22,30.5,30.0
30.0,4240000.0,30.5,2009-10-23,30.5,30.0
30.0,1802000.0,30.5,2009-10-26,30.5,29.5
25.0,2961400.0,30.5,2009-10-27,30.5,25.0
30.0,2550000.0,30.0,2009-10-28,30.0,30.0
29.0,1517400.0,30.0,2009-10-29,30.0,29.0
30.0,1800000.0,30.0,2009-10-30,30.0,30.0
29.5,95429550.0,29.5,2009-11-04,29.5,29.5
29.5,5908850.0,29.5,2009-11-05,29.5,29.5
29.5,5975300.0,29.5,2009-11-06,30.0,29.5
30.0,7260000.0,30.0,2009-11-09,30.0,30.0
30.0,9006000.0,30.0,2009-11-10,30.0,30.0
30.0,21573000.0,30.0,2009-11-11,30.0,30.0
30.0,7944000.0,30.0,2009-12-16,30.0,30.0
30.0,1332500.0,29.5,2009-12-21,30.0,29.5
29.5,885000.0,29.5,2009-12-22,29.5,29.5
29.5,295000.0,29.5,2009-12-23,29.5,29.5
29.0,2900.0,29.0,2009-12-29,29.0,29.0
29.0,23353700.0,29.0,2010-01-04,29.0,29.0
29.0,13699600.0,29.0,2010-01-06,29.0,29.0
29.0,8401300.0,29.0,2010-01-07,29.0,29.0
29.0,324800.0,29.0,2010-01-12,29.0,29.0
28.5,1553850.0,28.0,2010-01-13,28.5,28.0
28.0,10497200.0,28.0,2010-01-14,28.0,28.0
28.0,8159200.0,28.0,2010-01-15,28.0,28.0
28.0,140036400.0,28.0,2010-01-18,28.0,28.0
28.5,105450.0,28.0,2010-01-19,29.0,28.0
28.0,34557600.0,28.0,2010-01-20,28.0,28.0
28.0,48319600.0,28.0,2010-01-21,28.0,28.0
28.0,19700800.0,28.0,2010-01-22,28.0,28.0
27.5,192500.0,27.5,2010-01-25,27.5,27.5
27.0,2817500.0,28.0,2010-01-26,28.0,27.0
27.0,2825250.0,28.5,2010-01-27,28.5,27.0
28.0,2830000.0,28.5,2010-01-28,28.5,28.0
28.0,7174200.0,28.0,2010-02-01,28.0,27.5
26.5,3565500.0,27.0,2010-02-02,27.0,26.0
26.5,3073000.0,26.0,2010-02-03,27.0,26.0
26.5,2919000.0,28.0,2010-02-04,28.0,26.5
28.0,840000.0,28.0,2010-02-05,28.0,28.0
27.5,827500.0,28.0,2010-02-08,28.0,27.5
28.0,71295800.0,27.0,2010-02-09,28.0,27.0
27.0,13708400.0,28.0,2010-02-10,28.0,26.5
