OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
302.5,212232100.0,320.0,2009-08-03,320.0,302.5
325.0,131890850.0,320.0,2009-08-04,327.5,320.0
315.0,150853725.0,310.0,2009-08-06,315.0,307.5
305.0,78441425.0,300.0,2009-08-07,310.0,297.5
307.5,81663825.0,305.0,2009-08-10,307.5,302.5
302.5,47969850.0,302.5,2009-08-11,305.0,302.5
300.0,133422675.0,295.0,2009-08-12,302.5,295.0
302.5,26301675.0,300.0,2009-08-13,302.5,297.5
305.0,68693550.0,307.5,2009-08-14,307.5,302.5
305.0,25160600.0,300.0,2009-08-17,305.0,295.0
295.0,94582225.0,297.5,2009-08-18,297.5,292.5
300.0,81199675.0,297.5,2009-08-19,305.0,297.5
302.5,88803250.0,297.5,2009-08-20,302.5,297.5
297.5,234015975.0,317.5,2009-08-24,325.0,297.5
315.0,97267300.0,312.5,2009-08-25,315.0,312.5
315.0,63729425.0,312.5,2009-08-26,315.0,312.5
300.0,82140850.0,302.5,2009-09-03,302.5,295.0
302.5,94352800.0,302.5,2009-09-04,305.0,300.0
307.5,65922450.0,307.5,2009-09-16,310.0,305.0
312.5,105420700.0,315.0,2009-09-17,315.0,312.5
315.0,73215175.0,312.5,2009-09-18,315.0,310.0
315.0,126025600.0,305.0,2009-09-22,315.0,305.0
305.0,207654575.0,302.5,2009-09-23,310.0,302.5
300.0,50671700.0,302.5,2009-09-30,302.5,300.0
300.0,377272700.0,302.5,2009-10-01,307.5,300.0
295.0,127687625.0,305.0,2009-10-02,305.0,292.5
305.0,63503500.0,302.5,2009-10-05,305.0,300.0
305.0,120019275.0,300.0,2009-10-06,307.5,300.0
307.5,147644875.0,312.5,2009-10-07,312.5,307.5
310.0,74447950.0,317.5,2009-10-08,317.5,310.0
315.0,207987275.0,310.0,2009-10-09,315.0,307.5
310.0,24252875.0,310.0,2009-10-12,310.0,305.0
307.5,59036450.0,312.5,2009-10-13,312.5,307.5
312.5,90166725.0,312.5,2009-10-14,312.5,310.0
315.0,140603650.0,310.0,2009-10-15,315.0,307.5
305.0,97411100.0,305.0,2009-10-16,307.5,302.5
305.0,46539150.0,310.0,2009-10-19,310.0,305.0
310.0,57116100.0,310.0,2009-10-20,312.5,307.5
310.0,93316475.0,302.5,2009-10-21,310.0,300.0
305.0,91278850.0,302.5,2009-10-22,305.0,300.0
302.5,108946550.0,300.0,2009-10-23,302.5,297.5
300.0,51931875.0,297.5,2009-10-26,300.0,297.5
297.5,166047700.0,300.0,2009-10-27,300.0,295.0
300.0,114891575.0,295.0,2009-10-28,300.0,290.0
290.0,145962775.0,290.0,2009-10-29,290.0,285.0
295.0,62204625.0,292.5,2009-10-30,297.5,290.0
292.5,138427175.0,287.5,2009-11-03,292.5,287.5
287.5,39640025.0,287.5,2009-11-04,292.5,287.5
287.5,45596050.0,295.0,2009-11-05,295.0,285.0
295.0,14950825.0,295.0,2009-11-06,295.0,290.0
295.0,88144975.0,287.5,2009-11-09,295.0,285.0
290.0,208408800.0,285.0,2009-11-10,290.0,282.5
287.5,131920050.0,300.0,2009-11-11,300.0,287.5
295.0,52430475.0,295.0,2009-12-15,297.5,292.5
297.5,70118875.0,295.0,2009-12-16,297.5,292.5
295.0,113946225.0,300.0,2009-12-17,302.5,295.0
290.0,98267750.0,300.0,2009-12-18,300.0,290.0
300.0,164375750.0,300.0,2009-12-21,300.0,297.5
297.5,110317000.0,300.0,2009-12-22,300.0,297.5
300.0,43888825.0,302.5,2009-12-23,302.5,300.0
300.0,49674825.0,302.5,2009-12-29,302.5,300.0
302.5,209511125.0,300.0,2010-01-04,302.5,300.0
302.5,183227500.0,300.0,2010-01-05,307.5,300.0
300.0,133869000.0,300.0,2010-01-06,300.0,300.0
300.0,66690700.0,297.5,2010-01-07,300.0,297.5
297.5,87585575.0,297.5,2010-01-08,300.0,297.5
300.0,246741875.0,300.0,2010-01-11,302.5,297.5
300.0,109775250.0,300.0,2010-01-12,300.0,297.5
300.0,106081850.0,302.5,2010-01-13,305.0,300.0
300.0,80752150.0,302.5,2010-01-14,302.5,300.0
300.0,39335225.0,300.0,2010-01-15,302.5,300.0
297.5,166142550.0,300.0,2010-01-18,300.0,297.5
300.0,54379650.0,300.0,2010-01-19,300.0,297.5
297.5,241856400.0,300.0,2010-01-20,300.0,297.5
297.5,182256450.0,297.5,2010-01-21,300.0,297.5
295.0,115148650.0,287.5,2010-01-22,295.0,287.5
285.0,70731050.0,282.5,2010-01-25,287.5,282.5
285.0,114020300.0,287.5,2010-01-26,287.5,285.0
290.0,25615700.0,290.0,2010-01-27,290.0,285.0
292.5,79267525.0,295.0,2010-01-28,295.0,290.0
290.0,107001125.0,290.0,2010-01-29,290.0,287.5
290.0,141720400.0,277.5,2010-02-01,290.0,275.0
280.0,58558425.0,272.5,2010-02-02,282.5,272.5
272.5,36320650.0,277.5,2010-02-03,280.0,272.5
277.5,43606200.0,277.5,2010-02-04,282.5,277.5
270.0,158911350.0,262.5,2010-02-05,270.0,260.0
262.5,142719450.0,265.0,2010-02-08,265.0,257.5
260.0,187778075.0,260.0,2010-02-09,265.0,260.0
265.0,255585550.0,267.5,2010-02-10,270.0,265.0
265.0,132643650.0,275.0,2010-02-11,277.5,265.0
302.5,80065325.0,300.0,2010-03-08,302.5,297.5
302.5,62437375.0,300.0,2010-03-12,302.5,300.0
302.5,73157575.0,300.0,2010-03-15,302.5,300.0
297.5,202904275.0,297.5,2010-03-16,300.0,295.0
297.5,153196325.0,292.5,2010-03-17,297.5,292.5
330.0,245675175.0,332.5,2010-03-31,335.0,330.0
322.5,111868225.0,307.5,2010-04-20,322.5,307.5
312.5,191561725.0,320.0,2010-04-21,322.5,312.5
320.0,122600200.0,335.0,2010-04-22,337.5,320.0
337.5,521114275.0,347.5,2010-04-23,355.0,337.5
342.5,109604850.0,342.5,2010-04-29,347.5,342.5
345.0,348044650.0,340.0,2010-04-30,347.5,340.0
342.5,80366300.0,340.0,2010-05-04,342.5,327.5
340.0,190366550.0,325.0,2010-05-05,340.0,322.5
332.5,211912925.0,327.5,2010-05-13,332.5,320.0
327.5,78900500.0,322.5,2010-05-14,327.5,322.5
322.5,118883350.0,317.5,2010-05-17,322.5,315.0
320.0,104238200.0,320.0,2010-05-18,322.5,317.5
322.5,378225900.0,320.0,2010-05-19,322.5,315.0
320.0,91292725.0,320.0,2010-05-20,320.0,317.5
315.0,16605825.0,315.0,2010-05-21,317.5,312.5
320.0,157423450.0,325.0,2010-05-24,327.5,320.0
322.5,610791350.0,320.0,2010-05-25,325.0,320.0
320.0,1667658650.0,320.0,2010-05-26,325.0,320.0
322.5,174844300.0,322.5,2010-05-27,327.5,320.0
325.0,223669275.0,335.0,2010-05-28,337.5,325.0
335.0,116303875.0,330.0,2010-05-31,335.0,330.0
330.0,58365825.0,330.0,2010-06-01,332.5,327.5
330.0,433641275.0,325.0,2010-06-02,332.5,320.0
330.0,355951600.0,335.0,2010-06-03,337.5,330.0
335.0,550236375.0,325.0,2010-06-04,335.0,320.0
320.0,81314550.0,320.0,2010-06-07,322.5,317.5
320.0,65669050.0,320.0,2010-06-08,320.0,317.5
320.0,37781950.0,317.5,2010-06-09,320.0,315.0
312.5,80309650.0,315.0,2010-06-10,315.0,312.5
320.0,176919850.0,320.0,2010-06-11,320.0,317.5
320.0,126036225.0,320.0,2010-06-15,320.0,317.5
325.0,106530075.0,320.0,2010-06-16,325.0,320.0
325.0,93791800.0,327.5,2010-06-21,330.0,325.0
327.5,35447275.0,327.5,2010-06-22,327.5,325.0
327.5,93531250.0,325.0,2010-06-23,327.5,322.5
325.0,118395225.0,322.5,2010-06-24,325.0,322.5
315.0,138572150.0,322.5,2010-06-25,322.5,315.0
325.0,68241675.0,327.5,2010-06-28,327.5,325.0
332.5,160476125.0,330.0,2010-06-29,332.5,330.0
317.5,84548975.0,322.5,2010-07-01,325.0,317.5
322.5,37851775.0,317.5,2010-07-02,322.5,317.5
317.5,23706050.0,322.5,2010-07-06,327.5,317.5
325.0,42100825.0,325.0,2010-07-07,330.0,325.0
327.5,12843350.0,325.0,2010-07-08,330.0,325.0
325.0,34636450.0,325.0,2010-07-09,327.5,325.0
332.5,81865450.0,332.5,2010-07-13,335.0,330.0
332.5,61977950.0,340.0,2010-07-14,342.5,332.5
337.5,105966925.0,345.0,2010-07-15,345.0,337.5
345.0,59423675.0,337.5,2010-07-16,345.0,337.5
337.5,13691100.0,332.5,2010-07-19,337.5,330.0
332.5,54860850.0,327.5,2010-07-20,332.5,327.5
330.0,70911975.0,327.5,2010-07-21,330.0,327.5
327.5,89866675.0,325.0,2010-07-22,330.0,325.0
330.0,26675975.0,330.0,2010-07-23,330.0,325.0
408.0,56763838.0,406.0,2010-09-20,410.0,401.0
408.0,111733526.0,409.0,2010-09-21,412.0,408.0
410.0,182296000.0,408.0,2010-09-22,410.0,408.0
409.0,83803480.0,407.0,2010-09-23,409.0,406.0
407.8,107046820.0,406.8,2010-09-24,407.8,406.6
410.2,251650304.0,409.0,2010-09-27,411.0,408.0
409.0,94774612.0,408.8,2010-09-28,409.2,407.0
411.0,195500228.0,409.0,2010-09-29,411.0,409.0
409.0,169668374.0,408.6,2010-09-30,409.2,407.0
409.0,175858690.0,405.0,2010-10-01,410.0,405.0
409.0,204829732.0,408.4,2010-10-04,409.0,406.0
408.4,72059224.0,400.0,2010-10-05,408.4,400.0
410.0,111321228.0,396.2,2010-10-06,410.0,396.2
396.0,89919572.0,394.0,2010-10-07,402.0,394.0
396.0,83539408.0,398.0,2010-10-08,400.0,395.0
402.0,170119502.0,404.6,2010-10-12,410.0,402.0
404.6,92799858.0,404.6,2010-10-13,404.6,402.0
409.0,95547176.0,408.6,2010-10-14,409.0,407.8
409.8,45105056.0,408.0,2010-10-15,409.8,406.0
408.0,11777946.0,409.6,2010-10-18,409.6,408.0
409.0,62097698.0,412.0,2010-10-19,412.0,408.8
411.0,83599598.0,417.0,2010-10-20,417.4,409.0
418.0,38232710.0,423.0,2010-10-21,424.0,418.0
423.0,67195630.0,415.4,2010-10-22,423.0,415.0
416.0,39030000.0,416.0,2010-10-26,419.0,411.0
416.0,105691664.0,416.0,2010-10-27,416.2,415.8
412.0,18700432.0,413.8,2010-10-28,414.0,412.0
410.0,168121030.0,402.0,2010-10-29,416.0,399.0
402.2,120354010.0,405.2,2010-11-02,409.0,402.2
405.2,126794508.0,410.0,2010-11-03,412.0,405.0
410.0,88011280.0,412.0,2010-11-04,412.0,409.0
410.0,74103396.0,398.0,2010-11-08,410.0,398.0
398.0,182149512.0,387.4,2010-11-09,398.0,386.0
387.4,331985516.0,387.0,2010-11-10,390.0,384.0
387.0,259058052.0,383.0,2010-11-11,388.0,373.0
382.0,147712200.0,380.0,2010-11-12,383.0,376.0
382.0,421799508.0,380.6,2010-11-15,382.0,378.4
384.4,153201360.0,370.0,2010-11-17,384.4,370.0
370.2,155643094.0,386.2,2010-11-18,386.2,370.2
386.2,128930186.0,400.0,2010-11-19,400.0,386.2
400.0,92608596.0,399.0,2010-11-22,400.2,397.0
399.0,85337214.0,394.8,2010-11-23,399.0,394.8
394.4,51389208.0,390.0,2010-11-24,394.4,390.0
390.0,42818988.0,376.0,2010-11-25,390.0,375.0
378.0,45843396.0,380.0,2010-11-26,380.0,375.0
380.0,83944434.0,370.0,2010-11-30,380.0,370.0
370.0,192455526.0,360.0,2010-12-01,370.4,360.0
370.0,257726324.0,382.8,2010-12-02,382.8,370.0
385.2,132354682.0,379.0,2010-12-03,388.0,379.0
380.0,290621598.0,388.0,2010-12-06,388.0,378.8
380.0,150844072.0,380.0,2010-12-07,381.0,379.0
380.2,194808056.0,390.0,2010-12-08,391.0,380.2
394.0,124181730.0,392.0,2010-12-16,395.0,390.0
390.2,145880630.0,395.0,2010-12-22,395.0,390.2
394.0,40810568.0,394.4,2010-12-23,395.0,392.0
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.4,43832020.0,394.0,2010-12-28,394.4,393.2
394.0,51077992.0,394.8,2010-12-29,395.0,394.0
394.0,51077992.0,394.8,2010-12-29,395.0,394.0
394.0,40111940.0,395.0,2011-01-03,395.0,393.0
394.0,40111940.0,395.0,2011-01-03,395.0,393.0
394.0,40111940.0,395.0,2011-01-03,395.0,393.0
395.0,167871518.0,399.0,2011-01-04,399.0,395.0
399.0,106148268.0,400.2,2011-01-05,402.0,399.0
400.2,121441130.0,404.0,2011-01-06,404.0,400.2
404.0,37910290.0,406.0,2011-01-07,406.4,402.0
406.0,115014670.0,390.0,2011-01-10,406.0,386.0
390.0,186341490.0,374.0,2011-01-11,390.0,365.0
390.0,186341490.0,374.0,2011-01-11,390.0,365.0
374.2,157408672.0,380.2,2011-01-12,382.0,374.2
380.8,87971714.0,383.0,2011-01-13,390.0,380.8
387.0,75110150.0,391.0,2011-01-14,391.0,383.0
394.0,134558330.0,392.0,2011-01-17,394.0,387.0
392.0,57491070.0,389.8,2011-01-18,392.0,388.0
386.0,61169702.0,387.2,2011-01-19,389.8,386.0
386.0,61169702.0,387.2,2011-01-19,389.8,386.0
387.0,49090396.0,383.0,2011-01-20,389.0,383.0
387.0,49090396.0,383.0,2011-01-20,389.0,383.0
360.0,248600934.0,348.0,2011-01-24,360.0,348.0
350.0,237476092.0,354.0,2011-01-25,357.0,350.0
352.0,103248066.0,346.8,2011-01-26,352.0,345.8
349.0,63346258.0,356.4,2011-01-27,360.0,349.0
366.0,18294752.0,359.0,2011-01-28,366.0,354.0
366.0,18294752.0,359.0,2011-01-28,366.0,354.0
353.0,212899170.0,340.0,2011-01-31,354.0,335.0
353.0,212899170.0,340.0,2011-01-31,354.0,335.0
341.2,130880992.0,341.0,2011-02-01,342.0,341.0
341.2,130880992.0,341.0,2011-02-01,342.0,341.0
342.0,152236054.0,359.0,2011-02-02,359.0,340.8
355.0,53075662.0,352.0,2011-02-03,355.0,349.0
326.0,47951622.0,339.8,2011-02-14,339.8,326.0
336.0,29901000.0,335.0,2011-02-16,336.8,334.0
336.0,29901000.0,335.0,2011-02-16,336.8,334.0
336.0,32827296.0,338.0,2011-02-17,342.0,336.0
335.0,95680760.0,335.0,2011-02-18,336.4,334.8
339.0,8977794.0,338.0,2011-02-21,339.0,337.0
339.0,8977794.0,338.0,2011-02-21,339.0,337.0
337.0,91708674.0,341.0,2011-02-22,349.0,335.6
337.0,91708674.0,341.0,2011-02-22,349.0,335.6
338.8,96657758.0,335.2,2011-02-23,340.0,332.0
338.8,96657758.0,335.2,2011-02-23,340.0,332.0
336.0,64049080.0,333.0,2011-02-24,336.0,333.0
336.0,64049080.0,333.0,2011-02-24,336.0,333.0
333.4,138360110.0,329.0,2011-02-25,333.4,327.0
333.0,56501190.0,331.0,2011-02-28,333.0,325.0
330.0,38770528.0,330.0,2011-03-02,331.0,330.0
330.0,55201578.0,331.6,2011-03-03,339.0,330.0
334.0,55403408.0,336.0,2011-03-04,340.2,334.0
334.0,55403408.0,336.0,2011-03-04,340.2,334.0
340.0,40106418.0,337.2,2011-03-07,345.6,337.2
338.0,32757460.0,337.0,2011-03-08,340.4,337.0
338.0,32757460.0,337.0,2011-03-08,340.4,337.0
347.0,51673656.0,352.0,2011-03-11,355.0,345.0
347.0,51673656.0,352.0,2011-03-11,355.0,345.0
353.0,107916502.0,355.4,2011-03-16,357.0,353.0
352.0,127751796.0,349.0,2011-03-17,354.0,348.4
350.0,65210926.0,351.0,2011-03-18,351.2,350.0
351.0,51287660.0,354.2,2011-03-21,354.2,351.0
355.0,63389484.0,359.0,2011-03-22,359.0,354.8
357.0,57649786.0,357.4,2011-03-23,359.0,355.0
358.0,105125252.0,358.6,2011-03-24,359.0,357.0
359.0,139732008.0,362.0,2011-03-25,362.8,358.8
363.0,83506834.0,364.0,2011-03-28,366.0,363.0
364.0,75029940.0,365.0,2011-03-29,365.2,364.0
365.0,150105608.0,378.4,2011-03-30,382.0,365.0
379.6,189178230.0,384.8,2011-03-31,385.2,378.4
386.0,208171118.0,397.0,2011-04-01,397.0,386.0
398.0,123837692.0,399.0,2011-04-04,400.0,398.0
399.0,172853500.0,394.0,2011-04-05,399.0,393.0
393.0,121600820.0,394.0,2011-04-06,394.8,390.0
393.0,124252928.0,394.0,2011-04-07,394.0,393.0
393.0,115265302.0,394.4,2011-04-08,394.4,393.0
396.8,66144252.0,394.4,2011-04-11,396.8,394.0
394.4,155443220.0,390.4,2011-04-12,394.4,390.0
390.4,60134672.0,392.0,2011-04-13,392.0,388.0
393.0,91344602.0,392.0,2011-04-14,393.0,391.8
392.0,151944942.0,392.2,2011-04-15,392.6,392.0
394.0,32388928.0,393.6,2011-04-26,394.0,393.2
393.6,92511158.0,390.8,2011-04-27,393.6,385.2
393.8,36295192.0,391.0,2011-04-28,393.8,390.0
391.0,24087690.0,391.0,2011-04-29,391.0,390.0
391.0,39862222.0,384.0,2011-05-02,391.0,382.0
384.0,28098694.0,379.4,2011-05-03,386.0,379.2
382.0,37501644.0,382.0,2011-05-04,382.0,379.8
382.0,20690982.0,379.2,2011-05-05,382.0,379.2
379.0,31178396.0,381.4,2011-05-06,382.0,376.8
377.4,13647566.0,382.0,2011-05-09,382.0,377.4
383.0,12385166.0,384.0,2011-05-10,385.0,382.0
384.2,22025706.0,385.0,2011-05-11,385.0,381.6
385.0,50797522.0,386.0,2011-05-12,389.0,385.0
386.0,77248070.0,386.6,2011-05-13,387.2,386.0
386.4,23740200.0,385.0,2011-05-16,387.0,385.0
380.0,71517624.0,369.2,2011-05-17,380.0,369.0
370.0,75016270.0,371.0,2011-05-18,379.8,369.8
371.0,66583674.0,370.4,2011-05-19,372.0,370.4
370.0,33759248.0,370.0,2011-05-20,370.4,370.0
370.6,37955840.0,372.0,2011-05-23,375.0,369.0
370.0,42997282.0,367.2,2011-05-24,370.0,366.8
367.2,46747544.0,369.4,2011-05-25,370.2,366.4
369.6,58873922.0,375.2,2011-05-26,375.2,369.6
380.0,54041430.0,386.8,2011-05-27,387.0,380.0
386.8,148648432.0,390.4,2011-05-30,396.8,386.8
394.8,575780038.0,386.0,2011-05-31,394.8,375.0
385.0,76994216.0,389.2,2011-06-01,391.0,385.0
390.0,66662282.0,390.0,2011-06-03,390.0,389.8
390.0,17709650.0,385.0,2011-06-06,390.0,385.0
383.0,84500202.0,384.0,2011-06-07,388.0,380.0
385.0,41103730.0,388.0,2011-06-08,388.0,384.0
388.0,33179532.0,385.0,2011-06-09,388.0,383.0
383.2,6720768.0,384.0,2011-06-10,384.0,383.0
384.0,35538914.0,378.0,2011-06-13,384.0,374.0
378.0,63201984.0,372.0,2011-06-14,378.0,372.0
372.6,33378706.0,382.8,2011-06-15,382.8,372.6
380.0,50601188.0,380.0,2011-06-16,380.0,376.0
380.0,46538578.0,374.0,2011-06-17,380.0,374.0
379.0,30153940.0,379.0,2011-06-21,379.2,377.0
379.0,145026598.0,380.0,2011-06-22,382.0,379.0
380.0,112300894.0,380.0,2011-06-23,380.4,379.8
381.0,54343720.0,383.0,2011-06-24,384.4,380.6
390.0,84350954.0,384.0,2011-06-27,390.0,384.0
384.0,87171752.0,383.4,2011-06-28,384.0,383.0
387.0,109595676.0,378.2,2011-06-29,387.0,378.0
314.0,129624340.0,319.0,2011-06-30,320.0,314.0
323.0,86051254.0,321.0,2011-07-01,324.0,320.8
326.0,41822408.0,329.4,2011-07-04,331.0,326.0
340.0,135594108.0,328.4,2011-07-05,340.0,328.4
328.8,52466818.0,323.0,2011-07-06,329.8,322.0
325.0,10777038.0,326.0,2011-07-07,327.0,324.0
328.0,37191684.0,326.0,2011-07-08,329.0,326.0
327.0,55028048.0,324.0,2011-07-11,327.2,322.0
320.0,27685474.0,323.4,2011-07-12,323.4,320.0
323.0,54092044.0,324.0,2011-07-13,325.0,322.0
324.0,36323328.0,325.0,2011-07-14,325.6,323.8
327.0,50459204.0,326.0,2011-07-15,327.0,325.0
326.0,156071502.0,325.8,2011-07-18,326.2,325.6
325.0,106128310.0,324.6,2011-07-19,325.0,324.0
324.6,94028860.0,325.8,2011-07-20,326.0,324.6
325.8,96957046.0,325.0,2011-07-21,326.2,324.2
325.0,13188624.0,325.4,2011-07-22,326.0,325.0
325.4,142075680.0,325.2,2011-07-25,325.8,325.0
325.0,40793688.0,323.2,2011-07-26,325.2,322.8
324.8,112859986.0,326.0,2011-07-27,326.0,324.0
326.0,55845372.0,325.8,2011-07-28,327.0,325.0
325.8,26167758.0,326.0,2011-07-29,326.0,325.0
325.2,93108576.0,335.0,2011-08-01,336.0,325.2
334.0,75843668.0,335.0,2011-08-02,335.0,332.0
331.0,103325884.0,330.0,2011-08-03,331.0,328.0
330.0,44373080.0,331.2,2011-08-04,332.0,330.0
324.0,88711268.0,324.0,2011-08-05,326.0,319.0
319.0,88979280.0,317.0,2011-08-08,320.0,315.0
308.0,125656246.0,302.0,2011-08-09,308.0,300.0
311.0,330407572.0,308.0,2011-08-10,315.0,305.4
305.0,56652514.0,305.2,2011-08-11,308.0,304.0
306.6,61919138.0,308.2,2011-08-12,310.0,306.6
309.0,50420354.0,310.0,2011-08-15,311.0,309.0
320.0,27624076.0,310.0,2011-08-16,320.0,310.0
318.0,42276466.0,313.0,2011-08-17,318.0,312.0
314.6,40723998.0,318.8,2011-08-18,318.8,314.0
309.4,111487604.0,315.0,2011-08-19,315.0,309.4
315.0,129289976.0,308.0,2011-08-22,315.0,308.0
309.0,22742576.0,314.0,2011-08-23,314.0,308.6
314.0,20930836.0,312.6,2011-08-24,315.0,309.8
