OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.5,8500.0,8.5,2009-08-07,8.5,8.5
7.6,38000.0,7.6,2009-08-12,7.6,7.6
8.2,8200.0,8.2,2009-08-13,8.2,8.2
7.0,99800.0,8.0,2009-08-17,8.0,7.0
7.9,245000.0,8.0,2009-08-19,8.0,7.5
7.5,23400.0,8.0,2009-08-24,8.0,7.5
8.0,46800.0,7.4,2009-08-25,8.0,7.4
7.1,106600.0,7.5,2009-08-26,7.5,7.0
6.8,509800.0,7.2,2009-09-03,7.2,6.7
6.7,185100.0,6.8,2009-09-04,6.8,6.6
6.0,90800.0,6.8,2009-09-16,6.8,6.0
6.5,49500.0,6.5,2009-09-17,6.5,6.0
6.6,6600.0,6.6,2009-09-30,6.6,6.6
5.9,129800.0,6.8,2009-10-01,6.8,5.5
5.8,585200.0,6.8,2009-10-05,6.8,5.6
5.5,91300.0,6.5,2009-10-19,6.8,5.5
6.5,32500.0,6.5,2009-10-21,6.5,6.5
5.5,249900.0,6.2,2009-10-23,6.5,5.4
5.5,50000.0,6.0,2009-10-28,6.0,5.5
5.5,70000.0,5.8,2009-10-29,5.8,5.3
5.3,116700.0,5.8,2009-10-30,5.8,5.0
5.4,267350.0,5.6,2009-11-03,5.6,4.75
5.6,75600.0,5.0,2009-11-04,5.6,5.0
4.8,459400.0,5.0,2009-11-05,5.0,4.2
4.55,27200.0,4.5,2009-11-06,4.55,4.5
4.2,12600.0,4.2,2009-11-09,4.2,4.2
4.5,683250.0,4.65,2009-11-10,4.75,4.05
4.65,49650.0,4.5,2009-11-11,4.65,4.5
3.05,27050.0,3.0,2009-12-16,3.05,3.0
3.0,3000.0,3.0,2009-12-22,3.0,3.0
3.45,203550.0,3.45,2010-01-06,3.5,2.8
2.95,347300.0,3.0,2010-01-07,3.45,2.8
3.0,619650.0,2.9,2010-01-08,3.1,2.8
2.9,14500.0,2.9,2010-01-11,2.9,2.9
2.95,17750.0,3.0,2010-01-12,3.0,2.95
3.0,77150.0,3.0,2010-01-13,3.0,2.95
2.9,121250.0,3.1,2010-01-14,3.1,2.8
2.9,60900.0,2.9,2010-01-15,2.9,2.9
2.9,29900.0,3.0,2010-01-19,3.0,2.9
3.0,153400.0,3.1,2010-01-20,3.1,2.9
3.05,6100.0,3.05,2010-01-21,3.05,3.05
3.0,27000.0,3.0,2010-01-22,3.0,3.0
3.0,6100.0,3.1,2010-01-26,3.1,3.0
2.7,30000.0,3.0,2010-01-27,3.0,2.7
3.0,129150.0,3.1,2010-01-29,3.1,2.95
2.7,5400.0,2.7,2010-02-10,2.7,2.7
3.05,3050.0,3.05,2010-03-08,3.05,3.05
3.0,3000.0,3.0,2010-04-20,3.0,3.0
2.75,2750.0,2.75,2010-04-21,2.75,2.75
2.75,8250.0,2.75,2010-05-04,2.75,2.75
2.7,35100.0,2.7,2010-05-05,2.7,2.7
2.95,5900.0,2.95,2010-05-14,2.95,2.95
2.9,11600.0,2.9,2010-05-17,2.9,2.9
2.75,8250.0,2.75,2010-05-18,2.75,2.75
2.7,5400.0,2.7,2010-05-19,2.7,2.7
2.7,5400.0,2.7,2010-05-20,2.7,2.7
2.5,55000.0,2.5,2010-05-25,2.5,2.5
2.4,5000.0,2.6,2010-05-26,2.6,2.4
2.4,9600.0,2.4,2010-05-27,2.4,2.4
2.5,10000.0,2.5,2010-05-28,2.5,2.5
2.5,12000.0,2.0,2010-05-31,2.5,2.0
2.0,2000.0,2.0,2010-06-07,2.0,2.0
2.3,23000.0,2.3,2010-06-15,2.3,2.3
2.75,5500.0,2.75,2010-06-16,2.75,2.75
2.5,12500.0,2.5,2010-06-23,2.5,2.5
2.2,122000.0,2.0,2010-06-28,2.2,2.0
2.4,111160.0,2.18,2010-07-01,2.4,2.0
2.18,2180.0,2.18,2010-07-07,2.18,2.18
2.1,8400.0,2.1,2010-07-08,2.1,2.1
2.3,37520.0,2.38,2010-07-13,2.38,2.3
2.44,9660.0,2.38,2010-07-19,2.44,2.38
2.38,19040.0,2.38,2010-07-22,2.38,2.38
2.99,2990.0,2.99,2010-09-23,2.99,2.99
2.99,9080.0,3.09,2010-09-24,3.09,2.99
4.2,63200.0,4.0,2010-09-27,4.4,4.0
2.14,32140.0,2.5,2010-10-13,2.5,2.14
3.5,57100.0,3.2,2010-10-14,3.5,2.5
2.8,2746750.0,3.0,2010-10-15,3.0,2.6
2.55,38700.0,3.0,2010-10-18,3.0,2.55
2.8,46160.0,2.36,2010-12-03,2.8,2.36
2.5,2725000.0,2.6,2010-12-06,2.6,2.5
2.6,652600.0,2.6,2010-12-07,2.6,2.6
2.6,254800.0,2.6,2010-12-08,2.6,2.6
2.95,6090.0,3.14,2011-01-03,3.14,2.95
2.95,6090.0,3.14,2011-01-03,3.14,2.95
2.95,6090.0,3.14,2011-01-03,3.14,2.95
3.2,9600.0,3.2,2011-01-24,3.2,3.2
2.5,8480.0,2.99,2011-01-26,2.99,2.5
2.19,21900.0,2.19,2011-02-02,2.19,2.19
2.16,10720.0,2.13,2011-02-24,2.16,2.13
2.16,10720.0,2.13,2011-02-24,2.16,2.13
2.14,106150.0,2.64,2011-02-25,2.64,2.01
2.4,24000.0,2.4,2011-02-28,2.4,2.4
2.25,2250.0,2.25,2011-03-02,2.25,2.25
2.39,10470.0,2.89,2011-03-03,2.89,2.39
2.8,20790.0,2.5,2011-03-07,2.8,2.5
2.0,10500.0,2.5,2011-03-16,2.5,2.0
2.4,2400.0,2.4,2011-03-22,2.4,2.4
2.76,7360.0,2.3,2011-03-23,2.76,2.3
2.5,2500.0,2.5,2011-04-05,2.5,2.5
2.49,4980.0,2.49,2011-04-07,2.49,2.49
2.1,6300.0,2.1,2011-05-03,2.1,2.1
2.1,73080.0,2.15,2011-05-09,2.16,2.1
2.4,24000.0,2.4,2011-05-11,2.4,2.4
2.59,7830.0,2.65,2011-05-12,2.65,2.59
1.86,75990.0,2.59,2011-05-17,2.59,1.82
2.53,5060.0,2.53,2011-06-10,2.53,2.53
1.87,35190.0,1.85,2011-06-27,1.87,1.85
2.12,50980.0,2.13,2011-06-29,2.13,2.12
2.45,11500.0,2.2,2011-07-05,2.45,2.2
2.28,2280.0,2.28,2011-07-07,2.28,2.28
2.28,9120.0,2.28,2011-07-11,2.28,2.28
2.1,8390.0,2.09,2011-07-12,2.1,2.09
1.96,13720.0,1.96,2011-07-20,1.96,1.96
2.59,2590.0,2.59,2011-07-22,2.59,2.59
2.76,8290.0,2.77,2011-07-25,2.77,2.76
2.75,5500.0,2.75,2011-07-27,2.75,2.75
2.2,4950.0,2.75,2011-07-29,2.75,2.2
2.75,1008250.0,3.22,2011-08-01,3.7,2.75
3.2,226820.0,2.8,2011-08-02,3.21,2.8
2.95,197630.0,2.7,2011-08-03,2.95,2.7
2.71,16147220.0,4.0,2011-08-04,4.0,2.71
3.9,262670.0,3.8,2011-08-05,3.9,3.6
3.4,8044850.0,3.78,2011-08-08,3.8,3.2
3.8,431040.0,3.77,2011-08-09,3.8,3.25
3.3,34070.0,3.97,2011-08-10,3.97,3.3
3.74,159070.0,3.54,2011-08-11,3.74,3.3
3.1,328810.0,3.4,2011-08-12,3.5,3.1
3.45,728180.0,3.33,2011-08-15,3.45,3.1
3.12,228630.0,3.2,2011-08-16,3.2,3.0
