OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
520.0,301600.0,520.0,2009-08-03,520.0,520.0
520.0,779500.0,515.0,2009-08-06,520.0,515.0
520.0,525200.0,520.0,2009-08-07,520.0,520.0
520.0,52000.0,520.0,2009-08-11,520.0,520.0
525.0,10500.0,525.0,2009-08-12,525.0,525.0
520.0,676000.0,520.0,2009-08-25,520.0,520.0
525.0,1043000.0,515.0,2009-08-26,525.0,515.0
520.0,3120000.0,520.0,2009-09-04,520.0,520.0
525.0,157500.0,525.0,2009-09-22,525.0,525.0
525.0,1575000.0,525.0,2009-09-30,525.0,525.0
525.0,525000.0,525.0,2009-10-02,525.0,525.0
525.0,5220000.0,520.0,2009-10-06,525.0,520.0
525.0,3150000.0,525.0,2009-10-15,525.0,525.0
520.0,208000.0,520.0,2009-11-03,520.0,520.0
520.0,104000.0,520.0,2009-11-10,520.0,520.0
525.0,5250000.0,525.0,2009-12-15,525.0,525.0
525.0,2714800.0,525.0,2009-12-16,530.0,525.0
525.0,15750.0,525.0,2009-12-21,525.0,525.0
525.0,4211250.0,520.0,2009-12-22,525.0,520.0
520.0,1055600.0,520.0,2009-12-23,520.0,520.0
525.0,52500.0,525.0,2010-01-05,525.0,525.0
525.0,63550.0,530.0,2010-01-11,530.0,525.0
530.0,5300.0,530.0,2010-01-14,530.0,530.0
530.0,21200.0,530.0,2010-01-18,530.0,530.0
530.0,10600.0,530.0,2010-01-20,530.0,530.0
535.0,53500.0,535.0,2010-01-21,535.0,535.0
530.0,64100.0,535.0,2010-01-22,535.0,530.0
540.0,32400.0,540.0,2010-01-26,540.0,540.0
520.0,15600.0,520.0,2010-01-28,520.0,520.0
525.0,36750.0,525.0,2010-01-29,525.0,525.0
525.0,1217500.0,530.0,2010-02-01,530.0,525.0
520.0,520000.0,520.0,2010-02-05,520.0,520.0
525.0,498750.0,525.0,2010-02-08,525.0,525.0
515.0,554100.0,520.0,2010-02-11,520.0,510.0
520.0,156000.0,520.0,2010-03-08,520.0,520.0
525.0,525000.0,525.0,2010-03-15,525.0,525.0
525.0,5250.0,525.0,2010-03-16,525.0,525.0
525.0,26250.0,525.0,2010-03-17,525.0,525.0
525.0,26250.0,525.0,2010-03-31,525.0,525.0
530.0,466400.0,530.0,2010-04-21,530.0,530.0
520.0,52000.0,520.0,2010-04-30,520.0,520.0
520.0,52000.0,520.0,2010-05-04,520.0,520.0
525.0,1050000.0,525.0,2010-05-13,525.0,525.0
525.0,10500000.0,525.0,2010-05-20,525.0,525.0
525.0,5250.0,525.0,2010-05-21,525.0,525.0
535.0,10700.0,535.0,2010-05-24,535.0,535.0
535.0,535000.0,535.0,2010-05-25,535.0,535.0
540.0,5400.0,540.0,2010-05-27,540.0,540.0
540.0,1717200.0,540.0,2010-05-28,540.0,540.0
540.0,5687400.0,525.0,2010-05-31,540.0,525.0
545.0,272500.0,545.0,2010-06-01,545.0,545.0
530.0,530000.0,530.0,2010-06-04,530.0,530.0
530.0,530000.0,530.0,2010-06-09,530.0,530.0
530.0,265000.0,530.0,2010-06-11,530.0,530.0
530.0,5785300.0,525.0,2010-06-21,530.0,525.0
525.0,1098250.0,530.0,2010-06-22,530.0,525.0
530.0,5300.0,530.0,2010-06-23,530.0,530.0
525.0,5515000.0,530.0,2010-06-25,530.0,525.0
530.0,530000.0,530.0,2010-06-28,530.0,530.0
530.0,159000.0,530.0,2010-07-01,530.0,530.0
530.0,478000.0,535.0,2010-07-08,535.0,530.0
535.0,107000.0,535.0,2010-07-09,535.0,535.0
535.0,1075350.0,535.0,2010-07-13,535.0,535.0
535.0,160500.0,535.0,2010-07-15,535.0,535.0
535.0,160500.0,535.0,2010-07-16,535.0,535.0
540.0,140400.0,540.0,2010-07-19,540.0,540.0
535.0,535000.0,535.0,2010-07-20,535.0,535.0
540.0,172800.0,540.0,2010-07-21,540.0,540.0
540.0,5400.0,540.0,2010-07-22,540.0,540.0
545.0,545000.0,545.0,2010-09-22,545.0,545.0
550.0,311700.0,545.5,2010-09-24,550.0,545.5
545.0,273500.0,550.0,2010-09-28,550.0,545.0
545.0,327000.0,545.0,2010-09-30,545.0,545.0
545.0,218000.0,545.0,2010-10-01,545.0,545.0
545.0,16350.0,545.0,2010-10-04,545.0,545.0
550.0,11011000.0,550.0,2010-10-07,550.0,550.0
548.0,1525050.0,545.0,2010-10-08,548.0,545.0
542.0,433600.0,542.0,2010-10-14,542.0,542.0
543.0,173740.0,542.0,2010-10-19,543.0,542.0
542.0,5116465.0,520.0,2010-10-20,542.0,520.0
545.0,163500.0,545.0,2010-10-22,545.0,545.0
526.0,231645.0,526.5,2010-10-26,526.5,526.0
527.0,105250.0,526.0,2010-10-28,527.0,526.0
530.0,1060000.0,530.0,2010-11-12,530.0,530.0
532.5,98171700.0,532.5,2010-11-15,532.5,532.5
530.0,1060000.0,530.0,2010-11-18,530.0,530.0
530.0,265000.0,530.0,2010-11-23,530.0,530.0
530.0,106000.0,530.0,2010-11-25,530.0,530.0
530.0,212000.0,530.0,2010-11-30,530.0,530.0
530.5,5305.0,530.5,2010-12-07,530.5,530.5
540.5,162050.0,540.0,2011-01-04,540.5,540.0
545.0,555820.0,541.0,2011-01-06,545.0,541.0
540.0,27000.0,540.0,2011-01-07,540.0,540.0
540.0,10800.0,540.0,2011-01-10,540.0,540.0
553.0,5530.0,553.0,2011-01-13,553.0,553.0
540.0,113500.0,550.0,2011-01-17,550.0,540.0
541.0,541000.0,541.0,2011-01-20,541.0,541.0
541.0,541000.0,541.0,2011-01-20,541.0,541.0
532.5,5325.0,532.5,2011-02-14,532.5,532.5
532.5,1171500.0,532.5,2011-02-16,532.5,532.5
532.5,1171500.0,532.5,2011-02-16,532.5,532.5
532.5,377725.0,532.0,2011-02-17,532.5,532.0
532.0,1941800.0,532.0,2011-02-18,532.0,532.0
531.0,1617650.0,530.0,2011-02-21,531.0,530.0
531.0,1617650.0,530.0,2011-02-21,531.0,530.0
530.0,424000.0,530.0,2011-02-22,530.0,530.0
530.0,424000.0,530.0,2011-02-22,530.0,530.0
530.0,142900.0,528.0,2011-02-23,530.0,528.0
530.0,142900.0,528.0,2011-02-23,530.0,528.0
528.0,656850.0,525.0,2011-02-24,528.0,525.0
528.0,656850.0,525.0,2011-02-24,528.0,525.0
520.0,3750000.0,525.0,2011-02-25,525.0,520.0
521.5,260750.0,521.5,2011-03-02,521.5,521.5
521.5,271180.0,521.5,2011-03-03,521.5,521.5
521.5,815775.0,530.0,2011-03-04,530.0,521.5
521.5,815775.0,530.0,2011-03-04,530.0,521.5
525.0,970400.0,524.0,2011-03-11,525.0,524.0
525.0,970400.0,524.0,2011-03-11,525.0,524.0
