OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
107.0,120860.0,106.0,2009-08-03,107.0,106.0
106.0,964600.0,106.0,2009-08-06,106.0,106.0
107.0,2997400.0,109.0,2009-08-07,109.0,107.0
108.0,1134000.0,108.0,2009-08-10,108.0,108.0
108.0,1047600.0,108.0,2009-08-11,108.0,108.0
109.0,1144500.0,109.0,2009-08-12,109.0,109.0
109.0,902520.0,109.0,2009-08-13,109.0,109.0
109.0,114450.0,109.0,2009-08-14,109.0,109.0
109.0,218000.0,109.0,2009-08-18,109.0,109.0
110.0,1598220.0,110.0,2009-08-20,111.0,109.0
112.0,288960.0,112.0,2009-08-24,112.0,112.0
111.0,88800.0,111.0,2009-08-25,111.0,111.0
112.0,380800.0,112.0,2009-08-26,112.0,112.0
111.0,1011210.0,111.0,2009-09-03,111.0,111.0
109.0,1117810.0,108.0,2009-09-16,109.0,107.0
108.0,396600.0,108.0,2009-09-17,108.0,107.0
107.0,701920.0,107.0,2009-09-18,107.0,107.0
109.0,545000.0,109.0,2009-09-22,109.0,109.0
110.0,720900.0,109.0,2009-09-23,110.0,109.0
106.0,1123600.0,106.0,2009-09-30,106.0,106.0
106.0,593600.0,106.0,2009-10-01,106.0,106.0
106.0,636000.0,106.0,2009-10-02,106.0,106.0
107.0,535000.0,107.0,2009-10-08,107.0,107.0
106.0,1060.0,106.0,2009-10-12,106.0,106.0
107.0,252520.0,107.0,2009-10-13,107.0,107.0
107.0,890240.0,107.0,2009-10-15,107.0,107.0
107.0,922500.0,106.0,2009-10-16,107.0,106.0
106.0,210416540.0,107.0,2009-10-19,107.0,105.0
106.0,1144800.0,106.0,2009-10-21,106.0,106.0
107.0,655320.0,106.0,2009-10-22,107.0,106.0
106.0,106000.0,106.0,2009-10-27,106.0,106.0
107.0,482450.0,106.0,2009-10-29,107.0,106.0
106.0,2454360.0,106.0,2009-10-30,106.0,105.0
106.0,3099440.0,106.0,2009-11-03,106.0,106.0
106.0,422940.0,106.0,2009-11-05,106.0,106.0
106.0,692200.0,107.0,2009-11-06,107.0,106.0
106.0,371000.0,106.0,2009-11-09,106.0,106.0
107.0,10700.0,107.0,2009-11-11,107.0,107.0
106.0,297100.0,107.0,2009-12-21,107.0,106.0
106.0,25440.0,106.0,2009-12-22,106.0,106.0
106.0,692340.0,105.0,2009-12-23,106.0,105.0
105.0,1762700.0,107.0,2009-12-29,107.0,105.0
107.0,861120.0,105.0,2010-01-04,107.0,105.0
106.0,805600.0,106.0,2010-01-06,106.0,106.0
106.0,339200.0,106.0,2010-01-07,106.0,106.0
106.0,77380.0,106.0,2010-01-08,106.0,106.0
106.0,127200.0,106.0,2010-01-11,106.0,106.0
107.0,5350.0,107.0,2010-01-13,107.0,107.0
106.0,657200.0,106.0,2010-01-14,106.0,106.0
106.0,1060000.0,106.0,2010-01-18,106.0,106.0
106.0,18020.0,106.0,2010-01-19,106.0,106.0
107.0,946450.0,106.0,2010-01-20,107.0,106.0
106.0,202460.0,106.0,2010-01-21,106.0,106.0
106.0,315880.0,106.0,2010-01-22,106.0,106.0
105.0,1680000.0,105.0,2010-01-25,105.0,105.0
106.0,63600.0,106.0,2010-01-26,106.0,106.0
106.0,162400.0,106.0,2010-01-27,110.0,106.0
106.0,115480.0,107.0,2010-01-28,107.0,106.0
107.0,117700.0,107.0,2010-01-29,107.0,107.0
107.0,79180.0,107.0,2010-02-02,107.0,107.0
108.0,193900.0,108.0,2010-02-03,108.0,107.0
106.0,886300.0,108.0,2010-02-05,108.0,106.0
106.0,127520.0,108.0,2010-02-08,108.0,106.0
108.0,328320.0,108.0,2010-02-09,108.0,108.0
108.0,216000.0,108.0,2010-02-11,108.0,108.0
107.0,256800.0,107.0,2010-03-08,107.0,107.0
