OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.6,6000.0,0.6,2009-08-10,0.6,0.6
0.6,18000.0,0.6,2009-08-11,0.6,0.6
0.6,179000.0,0.59,2009-08-13,0.6,0.59
0.62,18600.0,0.62,2009-08-19,0.62,0.62
0.56,28000.0,0.56,2009-08-25,0.56,0.56
0.58,73500.0,0.62,2009-08-26,0.62,0.58
0.58,63800.0,0.58,2009-09-04,0.58,0.58
0.59,17900.0,0.6,2009-09-17,0.6,0.59
0.6,150000.0,0.6,2009-09-22,0.6,0.6
0.62,124000.0,0.62,2009-10-09,0.62,0.62
0.52,5200.0,0.52,2009-10-12,0.52,0.52
0.55,517500.0,0.64,2009-10-16,0.64,0.55
0.62,1669200.0,0.71,2009-10-19,0.71,0.62
0.73,2222400.0,0.73,2009-10-20,0.76,0.7
0.71,626500.0,0.69,2009-10-21,0.71,0.69
0.68,352200.0,0.7,2009-10-22,0.7,0.68
0.72,618200.0,0.71,2009-10-23,0.73,0.71
0.73,21850400.0,0.89,2009-10-26,0.94,0.72
0.89,18161000.0,0.87,2009-10-27,0.93,0.86
0.87,3392600.0,0.81,2009-10-28,0.87,0.8
0.83,1234300.0,0.81,2009-10-29,0.83,0.79
0.87,16575800.0,0.89,2009-10-30,0.92,0.81
0.91,2238200.0,0.86,2009-11-03,0.91,0.86
0.88,1465800.0,0.86,2009-11-04,0.88,0.85
0.86,6413200.0,0.86,2009-11-05,0.88,0.85
0.88,3356100.0,0.87,2009-11-06,0.89,0.87
0.89,40829400.0,1.0,2009-11-09,1.08,0.89
1.06,23132200.0,1.04,2009-11-10,1.1,1.04
1.06,72259620.0,1.38,2009-11-11,1.46,1.04
1.38,17223460.0,1.3,2009-12-15,1.38,1.3
1.3,14481140.0,1.28,2009-12-16,1.32,1.28
1.28,18067960.0,1.3,2009-12-17,1.36,1.28
1.3,13096560.0,1.28,2009-12-18,1.34,1.28
1.3,8544000.0,1.24,2009-12-21,1.3,1.24
1.26,8259660.0,1.22,2009-12-22,1.26,1.2
1.22,3020700.0,1.2,2009-12-23,1.22,1.18
1.22,14813780.0,1.22,2009-12-29,1.24,1.2
