OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.0,217000.0,7.0,2009-08-03,7.0,7.0
7.0,7315000.0,7.0,2009-08-04,7.0,7.0
7.0,105000.0,7.0,2009-08-06,7.0,7.0
6.9,6969000.0,6.9,2009-08-07,6.9,6.9
7.0,637000.0,7.0,2009-08-10,7.0,7.0
7.0,567300.0,7.0,2009-08-11,7.1,7.0
7.0,7280000.0,7.0,2009-08-12,7.0,7.0
7.1,9410200.0,7.4,2009-08-13,7.5,7.1
7.4,10098300.0,7.4,2009-08-14,7.5,7.3
7.3,373500.0,7.3,2009-08-17,7.4,7.3
7.3,1640100.0,7.2,2009-08-18,7.3,7.2
7.2,122400.0,7.2,2009-08-19,7.2,7.2
7.2,28800.0,7.2,2009-08-20,7.2,7.2
7.2,478500.0,7.2,2009-08-24,7.3,7.2
7.3,905300.0,7.2,2009-08-25,7.3,7.2
7.3,8194900.0,7.2,2009-08-26,7.3,7.2
7.3,153900.0,7.4,2009-09-03,7.4,7.3
7.3,10270300.0,7.5,2009-09-04,7.5,7.3
7.2,291000.0,7.3,2009-09-16,7.3,7.2
7.2,443300.0,7.2,2009-09-17,7.2,7.1
7.2,26354200.0,7.0,2009-09-18,7.2,7.0
7.0,20377000.0,7.0,2009-09-22,7.0,7.0
7.1,1065000.0,7.1,2009-09-23,7.1,7.1
7.2,28800.0,7.2,2009-09-30,7.2,7.2
7.2,4797000.0,7.5,2009-10-01,7.5,7.2
7.5,3833600.0,7.5,2009-10-02,7.5,7.4
7.4,39720600.0,7.5,2009-10-05,7.6,7.4
7.5,6524000.0,7.9,2009-10-06,7.9,7.5
7.9,14802300.0,7.8,2009-10-07,7.9,7.7
7.9,1272100.0,7.9,2009-10-08,8.0,7.9
7.9,2757600.0,8.0,2009-10-09,8.0,7.9
8.0,5401400.0,7.8,2009-10-12,8.0,7.8
7.6,4078600.0,7.7,2009-10-13,7.7,7.6
7.7,1201200.0,7.7,2009-10-14,7.7,7.7
