OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.1,109175050.0,4.1,2009-08-03,4.15,4.05
4.15,39370650.0,4.15,2009-08-04,4.15,4.05
4.1,18920300.0,4.05,2009-08-06,4.1,4.0
4.1,34137350.0,4.05,2009-08-07,4.1,4.0
4.05,74536650.0,4.05,2009-08-10,4.05,4.0
4.2,199948850.0,4.3,2009-08-11,4.35,4.2
4.3,144914350.0,4.3,2009-08-12,4.35,4.25
4.35,171448300.0,4.4,2009-08-13,4.55,4.35
4.5,95177700.0,4.4,2009-08-14,4.5,4.4
4.4,14060250.0,4.25,2009-08-17,4.4,4.2
4.1,99745050.0,4.2,2009-08-18,4.2,4.05
4.25,76027700.0,4.3,2009-08-19,4.35,4.25
4.45,80804500.0,4.3,2009-08-20,4.45,4.2
4.4,235868000.0,4.7,2009-08-24,4.7,4.4
4.65,136650050.0,4.7,2009-08-25,4.8,4.6
4.7,189106050.0,4.85,2009-08-26,4.85,4.7
4.7,209600650.0,4.7,2009-09-03,4.7,4.45
4.75,76856250.0,4.7,2009-09-04,4.8,4.7
4.55,46387400.0,4.5,2009-09-16,4.55,4.45
4.6,39716400.0,4.6,2009-09-17,4.65,4.5
4.6,67850400.0,4.75,2009-09-18,4.75,4.55
4.8,15915400.0,4.75,2009-09-22,4.8,4.65
4.75,24664350.0,4.7,2009-09-23,4.8,4.65
4.7,96792400.0,4.8,2009-09-30,4.8,4.7
4.8,441502600.0,4.8,2009-10-01,4.8,4.75
4.8,35667900.0,4.8,2009-10-02,4.8,4.65
4.8,20742200.0,4.8,2009-10-05,4.8,4.7
4.8,69250750.0,4.85,2009-10-06,4.85,4.8
5.0,161995550.0,4.95,2009-10-07,5.0,4.9
4.95,88584100.0,4.9,2009-10-08,5.0,4.9
4.9,73300350.0,4.9,2009-10-09,4.95,4.85
4.9,214901200.0,4.85,2009-10-12,4.95,4.85
4.85,90587950.0,4.6,2009-10-13,4.85,4.6
4.65,65843000.0,4.65,2009-10-14,4.7,4.65
4.7,49818350.0,4.7,2009-10-15,4.8,4.7
4.75,67269450.0,4.75,2009-10-16,4.75,4.65
4.75,18172100.0,4.7,2009-10-19,4.75,4.65
