OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
102.0,8400146.0,104.0,2016-12-06,104.9,102.0
103.7,11684830.0,103.8,2016-12-07,104.1,103.7
103.0,773550.0,103.8,2016-12-08,103.9,102.8
103.5,4983945.0,102.0,2016-12-09,103.5,102.0
103.0,2869629.0,102.5,2016-12-12,103.0,102.0
103.8,5706310.0,103.0,2016-12-13,104.0,103.0
102.8,205500.0,102.7,2016-12-15,102.8,102.7
103.0,16881531.0,101.5,2016-12-16,103.0,101.5
103.0,2223360.0,103.0,2016-12-19,103.0,102.1
103.0,4688705.0,102.0,2016-12-20,103.0,102.0
103.0,11381500.0,103.0,2016-12-23,103.0,103.0
103.1,5294300.0,103.0,2016-12-27,103.1,103.0
103.1,813740.0,103.0,2016-12-28,103.1,102.5
103.0,56470.0,102.6,2016-12-29,103.0,102.6
103.0,6668220.0,103.0,2017-01-03,103.0,103.0
103.0,3344410.0,103.0,2017-01-04,103.0,103.0
103.0,197760.0,103.0,2017-01-05,103.0,103.0
103.0,2922515.0,102.9,2017-01-06,103.0,102.9
103.0,126335.0,102.5,2017-01-09,103.0,102.5
103.0,5093350.0,103.0,2017-01-10,103.0,103.0
103.0,14407640.0,103.0,2017-01-11,103.0,103.0
103.0,10226980.0,103.0,2017-01-12,103.5,103.0
103.0,2595600.0,103.0,2017-01-13,103.0,103.0
103.0,569930.0,102.9,2017-01-16,103.0,102.7
102.9,3013216.0,104.0,2017-01-17,104.0,102.9
104.0,10938238.0,104.2,2017-01-19,104.2,103.9
104.5,1599445.0,105.0,2017-01-20,105.0,104.5
105.0,369600.0,105.0,2017-01-23,105.0,105.0
105.0,4213016.0,106.9,2017-01-24,107.0,105.0
106.7,1068880.0,106.9,2017-01-25,106.9,106.7
106.7,1067460.0,106.8,2017-01-26,106.8,106.7
105.0,724500.0,105.0,2017-01-27,105.0,105.0
105.0,2051530.0,106.9,2017-01-30,106.9,105.0
105.1,210200.0,105.1,2017-02-06,105.1,105.1
105.2,329276.0,105.2,2017-02-07,105.2,105.2
105.2,28404.0,105.2,2017-02-08,105.2,105.2
106.0,9540.0,106.0,2017-02-09,106.0,106.0
106.0,53860.0,105.6,2017-02-10,106.0,105.6
106.0,53860.0,105.6,2017-02-10,106.0,105.6
106.0,1954640.0,106.0,2017-02-13,106.0,106.0
106.0,1954640.0,106.0,2017-02-13,106.0,106.0
106.0,84800.0,106.0,2017-02-14,106.0,106.0
106.0,106000.0,106.0,2017-02-15,106.0,106.0
106.2,1060580.0,106.0,2017-02-16,106.2,106.0
106.8,1607730.0,107.0,2017-02-17,108.0,106.8
107.0,2660450.0,107.8,2017-02-20,107.8,106.0
105.0,7412190.0,107.0,2017-02-21,107.0,105.0
106.5,324825.0,106.5,2017-02-22,106.5,106.5
106.0,3077180.0,106.0,2017-02-23,106.0,106.0
106.2,8399540.0,106.0,2017-02-24,106.2,106.0
105.5,9495.0,105.5,2017-02-28,105.5,105.5
106.0,811960.0,106.0,2017-03-01,106.0,106.0
106.0,8480000.0,106.0,2017-03-07,106.0,106.0
106.0,3147900.0,106.0,2017-03-09,106.0,105.7
106.1,9549.0,106.1,2017-03-10,106.1,106.1
106.1,3840212.0,107.9,2017-03-13,107.9,106.1
107.5,258000.0,107.5,2017-03-14,107.5,107.5
107.5,4818490.0,107.5,2017-03-15,107.5,106.1
107.0,601500.0,107.5,2017-03-17,107.5,107.0
107.0,321000.0,107.0,2017-03-21,107.0,107.0
107.0,203300.0,107.0,2017-03-22,107.0,107.0
107.0,1290420.0,107.0,2017-03-23,107.0,107.0
107.0,804640.0,107.0,2017-03-24,107.0,107.0
107.0,224700.0,107.0,2017-03-27,107.0,107.0
107.0,377710.0,107.0,2017-03-28,107.0,107.0
107.0,101650.0,107.0,2017-03-29,107.0,107.0
107.5,21500.0,107.5,2017-03-31,107.5,107.5
107.5,8443406.0,107.1,2017-04-03,107.5,107.1
107.8,42910.0,107.1,2017-04-05,107.8,107.1
107.1,257040.0,107.1,2017-04-10,107.1,107.1
107.1,374850.0,107.1,2017-04-11,107.1,107.1
107.5,21500.0,107.5,2017-04-12,107.5,107.5
107.5,933100.0,107.5,2017-04-17,107.5,107.5
107.5,64500.0,107.5,2017-04-18,107.5,107.5
107.5,43000.0,107.5,2017-04-20,107.5,107.5
107.5,86000.0,107.5,2017-04-21,107.5,107.5
107.8,3369480.0,108.0,2017-04-25,108.0,107.8
108.5,32550.0,108.5,2017-04-26,108.5,108.5
108.4,325200.0,108.4,2017-04-27,108.4,108.4
108.4,216800.0,108.4,2017-05-02,108.4,108.4
107.7,2485716.0,107.7,2017-05-08,107.7,107.7
107.7,646200.0,107.7,2017-05-09,107.7,107.7
107.3,7427146.0,107.0,2017-05-11,107.3,107.0
107.7,1077000.0,107.7,2017-05-12,107.7,107.7
106.2,53100.0,106.2,2017-05-16,106.2,106.2
106.2,3186000.0,106.2,2017-05-17,106.2,106.2
106.2,1039698.0,106.2,2017-05-18,106.2,106.2
106.3,7423080.0,106.0,2017-05-19,106.3,106.0
