OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.5,130000.0,6.5,2009-08-03,6.5,6.5
6.5,65000.0,6.5,2009-08-04,6.5,6.5
6.5,19500.0,6.5,2009-08-06,6.5,6.5
6.5,130000.0,6.5,2009-08-07,6.5,6.5
6.5,130000.0,6.5,2009-08-10,6.5,6.5
6.5,195000.0,6.5,2009-08-12,6.5,6.5
6.9,27800.0,7.0,2009-08-13,7.0,6.9
6.5,65000.0,6.5,2009-08-14,6.5,6.5
6.5,130000.0,6.5,2009-08-17,6.5,6.5
6.5,78000.0,6.5,2009-08-18,6.5,6.5
7.2,14400.0,7.2,2009-08-24,7.2,7.2
6.5,712500.0,6.8,2009-08-26,6.8,6.5
6.5,130000.0,6.5,2009-09-16,6.5,6.5
7.0,749000.0,7.0,2009-09-18,7.0,7.0
7.0,253054300.0,8.3,2009-09-22,8.3,7.0
8.0,16000.0,8.0,2009-10-01,8.0,8.0
8.0,96000.0,8.0,2009-10-02,8.0,8.0
8.0,480000.0,8.0,2009-10-05,8.0,8.0
7.5,15000.0,7.5,2009-10-06,7.5,7.5
8.0,480000.0,8.0,2009-10-08,8.0,8.0
8.0,240000.0,8.0,2009-10-09,8.0,8.0
8.1,1016400.0,8.3,2009-10-12,8.3,8.1
8.3,1070700.0,8.3,2009-10-13,8.3,8.3
8.4,252000.0,8.4,2009-10-14,8.4,8.4
8.5,850000.0,8.5,2009-10-15,8.5,8.5
8.4,333000.0,8.3,2009-10-19,8.4,8.3
8.3,639100.0,8.3,2009-10-20,8.3,8.3
8.3,726100.0,8.5,2009-10-21,8.5,8.3
8.3,290500.0,8.3,2009-10-22,8.3,8.3
8.7,130500.0,8.7,2009-10-23,8.7,8.7
8.5,656500.0,8.8,2009-10-29,8.8,8.5
8.4,42000.0,8.4,2009-11-05,8.4,8.4
8.3,249000.0,8.3,2009-11-06,8.3,8.3
8.4,702900.0,8.4,2009-11-09,8.5,8.4
8.4,949200.0,8.4,2009-11-10,8.4,8.4
8.4,67200.0,8.4,2009-12-16,8.4,8.4
8.3,33200.0,8.3,2009-12-21,8.3,8.3
8.3,24900.0,8.3,2010-01-05,8.3,8.3
8.3,747000.0,8.3,2010-01-07,8.3,8.3
8.3,273900.0,8.3,2010-01-13,8.3,8.3
8.3,83000.0,8.3,2010-01-15,8.3,8.3
8.4,285600000.0,8.4,2010-01-19,8.4,8.4
8.4,184800.0,8.4,2010-01-20,8.4,8.4
9.5,47500.0,9.5,2010-01-26,9.5,9.5
8.3,207500.0,8.3,2010-01-28,8.3,8.3
8.8,880000.0,8.8,2010-01-29,8.8,8.8
9.0,270900.0,9.1,2010-02-02,9.1,9.0
8.3,52900.0,9.0,2010-02-10,9.0,8.3
8.8,17600.0,8.8,2010-03-15,8.8,8.8
8.8,264000.0,8.8,2010-03-17,8.8,8.8
8.5,85000.0,8.5,2010-04-21,8.5,8.5
8.7,17400.0,8.7,2010-04-30,8.7,8.7
8.8,201100.0,8.7,2010-05-05,8.8,8.7
8.8,440000.0,8.8,2010-05-14,8.8,8.8
8.7,261000.0,8.7,2010-05-17,8.7,8.7
8.7,174000.0,8.7,2010-05-19,8.7,8.7
8.7,434000.0,8.6,2010-05-20,8.7,8.6
8.6,258000.0,8.6,2010-05-21,8.6,8.6
8.6,421400.0,8.6,2010-05-24,8.6,8.6
8.6,555600.0,8.5,2010-05-25,8.6,8.5
8.5,17000.0,8.5,2010-05-27,8.5,8.5
8.7,95600.0,8.6,2010-06-04,8.7,8.6
8.7,1138400.0,8.7,2010-06-16,8.7,8.6
8.6,340150800.0,8.7,2010-06-21,8.7,8.0
8.8,17600.0,8.8,2010-06-22,8.8,8.8
8.4,336061200.0,8.9,2010-06-24,8.9,8.4
8.7,60900.0,8.7,2010-07-07,8.7,8.7
8.5,4932000.0,8.3,2010-07-13,8.5,8.3
8.5,42500.0,8.5,2010-07-21,8.5,8.5
8.3,83000.0,8.3,2010-07-23,8.3,8.3
9.89,146290.0,9.7,2010-09-20,10.0,9.7
10.0,2574940.0,11.0,2010-09-21,11.0,10.0
10.0,50000.0,10.0,2010-09-22,10.0,10.0
10.98,1070680.0,11.0,2010-09-23,12.0,10.98
10.0,400000.0,10.0,2010-09-24,10.0,10.0
10.5,210000.0,10.5,2010-09-27,10.5,10.5
10.5,417600.0,10.1,2010-09-28,10.5,10.1
10.1,20200.0,10.1,2010-09-30,10.1,10.1
10.0,529000.0,10.0,2010-10-04,10.0,9.9
10.02,1473160.0,10.0,2010-10-05,10.1,10.0
10.12,829880.0,10.14,2010-10-06,10.14,10.1
10.12,223040.0,10.14,2010-10-07,10.14,10.12
10.14,101400.0,10.14,2010-10-12,10.14,10.14
10.16,121920.0,10.16,2010-10-13,10.16,10.16
10.2,183600.0,10.2,2010-10-14,10.2,10.2
10.22,628500.0,10.8,2010-10-15,10.8,10.22
10.6,212000.0,10.6,2010-10-20,10.6,10.6
10.8,108000.0,10.8,2010-10-21,10.8,10.8
10.9,65400.0,10.9,2010-10-22,10.9,10.9
10.7,393020.0,10.8,2010-10-27,10.8,10.7
10.7,203300.0,10.7,2010-10-28,10.7,10.7
10.7,621200.0,10.8,2010-10-29,10.8,10.7
10.7,395900.0,10.7,2010-11-02,10.7,10.7
10.7,107000.0,10.7,2010-11-03,10.7,10.7
10.9,98100.0,10.9,2010-11-04,10.9,10.9
10.98,670800.0,11.0,2010-11-08,11.0,10.98
11.0,770000.0,11.0,2010-11-09,11.0,11.0
11.0,2255900.0,10.72,2010-11-10,11.0,10.7
11.0,579000.0,10.8,2010-11-11,11.0,10.8
10.9,1191560.0,10.6,2010-11-12,11.0,10.6
10.6,40088400.0,11.48,2010-11-15,11.48,10.6
10.8,2538966.0,10.8,2010-11-17,10.82,10.8
10.8,3240.0,10.8,2010-11-19,10.8,10.8
10.9,505900.0,11.0,2010-11-22,11.0,10.9
11.0,22000.0,11.0,2010-11-23,11.0,11.0
10.8,226800.0,10.8,2010-11-24,10.8,10.8
10.8,291600.0,10.8,2010-11-25,10.8,10.8
10.8,35652.0,10.84,2010-11-26,10.84,10.8
10.8,210230.0,11.4,2010-12-02,11.48,10.8
11.5,230000.0,11.5,2010-12-29,11.5,11.5
