OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.3,254125600.0,9.4,2009-08-03,9.5,9.1
9.7,116671200.0,9.6,2009-08-04,9.8,9.5
9.6,159657200.0,9.4,2009-08-06,9.6,9.3
9.3,13096500.0,9.5,2009-08-07,9.5,9.3
9.4,113562800.0,9.5,2009-08-10,9.6,9.4
9.7,105853400.0,9.5,2009-08-11,9.7,9.4
9.4,42901100.0,9.4,2009-08-12,9.4,9.3
9.4,120189500.0,9.4,2009-08-13,9.4,9.3
9.4,92369900.0,9.6,2009-08-14,9.7,9.4
9.5,135203100.0,9.4,2009-08-17,9.5,9.4
9.3,121762200.0,9.4,2009-08-18,9.5,9.2
9.5,90795200.0,9.7,2009-08-19,9.7,9.5
9.7,177291200.0,9.7,2009-08-20,9.7,9.6
9.9,247379700.0,10.0,2009-08-24,10.25,9.9
10.0,145312000.0,10.0,2009-08-25,10.5,10.0
10.5,108114500.0,10.25,2009-08-26,10.5,10.25
10.25,81738200.0,10.5,2009-09-03,10.5,10.0
10.5,68275550.0,10.5,2009-09-04,10.5,10.25
11.0,43889000.0,11.0,2009-09-16,11.0,10.75
11.0,127957575.0,10.75,2009-09-17,11.25,10.75
10.75,89233600.0,10.75,2009-09-18,10.75,10.75
10.75,176858775.0,10.75,2009-09-22,11.0,10.75
11.0,180508075.0,11.25,2009-09-23,11.5,11.0
11.75,117245925.0,11.5,2009-09-30,12.0,11.5
11.75,148576400.0,12.0,2009-10-01,12.0,11.5
11.5,77011500.0,12.0,2009-10-02,12.0,11.5
12.0,102119600.0,11.75,2009-10-05,12.0,11.75
12.25,163787600.0,12.0,2009-10-06,12.25,11.75
12.0,90766725.0,12.25,2009-10-07,12.25,12.0
12.5,215855225.0,12.5,2009-10-08,12.5,12.0
12.5,158678350.0,12.0,2009-10-09,12.5,12.0
12.0,98878475.0,11.75,2009-10-12,12.0,11.75
11.75,48284050.0,12.0,2009-10-13,12.0,11.75
11.75,196491200.0,11.5,2009-10-14,12.0,11.5
11.75,175825800.0,11.25,2009-10-15,11.75,11.25
11.5,109735250.0,11.0,2009-10-16,11.5,11.0
11.0,73241275.0,11.0,2009-10-19,11.0,10.75
11.25,83644225.0,11.0,2009-10-20,11.25,11.0
11.25,247516700.0,11.25,2009-10-21,11.5,11.0
11.5,83298625.0,11.25,2009-10-22,11.5,11.0
11.25,219794650.0,11.5,2009-10-23,11.5,11.25
11.5,7871800.0,11.5,2009-10-26,11.5,11.25
11.5,94800125.0,11.5,2009-10-27,11.75,11.25
11.5,38968850.0,11.0,2009-10-28,11.5,11.0
10.5,169011450.0,10.5,2009-10-29,10.75,10.25
11.0,226470775.0,10.5,2009-10-30,11.0,10.5
10.5,243801600.0,10.25,2009-11-03,10.75,10.0
10.25,89070200.0,10.25,2009-11-04,10.5,10.25
10.5,50041675.0,10.75,2009-11-05,10.75,10.5
11.0,47454525.0,10.75,2009-11-06,11.0,10.5
10.75,4587475.0,10.5,2009-11-09,10.75,10.5
11.0,164003450.0,11.0,2009-11-10,11.0,10.75
11.0,56836075.0,11.5,2009-11-11,11.5,11.0
11.75,124033525.0,11.5,2009-12-15,11.75,11.5
11.5,62385075.0,11.75,2009-12-16,11.75,11.25
11.75,29995375.0,11.75,2009-12-17,11.75,11.5
11.75,69386275.0,11.25,2009-12-18,11.75,11.25
11.25,62017425.0,11.5,2009-12-21,11.5,11.25
11.25,50225325.0,11.5,2009-12-22,11.5,11.25
11.5,54384125.0,11.5,2009-12-23,11.5,11.25
11.25,37475825.0,11.25,2009-12-29,11.5,11.0
11.25,52167075.0,11.0,2010-01-04,11.25,10.75
10.75,152408775.0,10.75,2010-01-05,11.0,10.5
10.75,121575950.0,10.75,2010-01-06,10.75,10.5
10.75,39098175.0,11.25,2010-01-07,11.25,10.75
11.25,139631025.0,11.5,2010-01-08,11.5,11.0
11.5,27653125.0,11.25,2010-01-11,11.5,11.0
11.5,75847800.0,11.25,2010-01-12,11.5,11.0
11.25,61029625.0,11.5,2010-01-13,11.5,11.0
11.5,119934600.0,11.75,2010-01-14,11.75,11.25
11.75,213391150.0,11.25,2010-01-15,11.75,11.25
11.25,117525675.0,11.25,2010-01-18,11.25,11.0
11.0,147066650.0,11.0,2010-01-19,11.25,10.75
11.25,82665025.0,11.0,2010-01-20,11.25,10.75
11.0,161708375.0,11.25,2010-01-21,11.25,10.75
10.75,95889700.0,11.0,2010-01-22,11.25,10.75
10.75,67588800.0,10.75,2010-01-25,10.75,10.5
10.75,48546550.0,10.75,2010-01-26,10.75,10.5
10.75,55260300.0,10.5,2010-01-27,10.75,10.25
10.5,87384150.0,10.75,2010-01-28,11.0,10.5
10.75,101043600.0,10.5,2010-01-29,10.75,10.5
10.75,58600775.0,10.5,2010-02-01,10.75,10.25
10.5,131907225.0,10.5,2010-02-02,10.75,10.25
10.5,44367150.0,10.25,2010-02-03,10.5,10.25
10.5,91424900.0,10.5,2010-02-04,10.75,10.5
10.0,170158775.0,10.25,2010-02-05,10.5,10.0
10.25,105477925.0,10.5,2010-02-08,10.5,10.25
10.25,121264210.0,10.0,2010-02-09,10.25,9.9
10.25,54177250.0,10.25,2010-02-10,10.25,10.0
10.25,61998300.0,10.25,2010-02-11,10.5,10.25
11.25,117734725.0,11.0,2010-03-08,11.25,11.0
11.25,88719150.0,11.25,2010-03-12,11.5,11.0
11.25,14927525.0,11.25,2010-03-15,11.5,11.25
