OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.57,11335300.0,0.58,2009-08-03,0.62,0.57
0.58,3578800.0,0.54,2009-08-04,0.59,0.54
0.55,1095900.0,0.53,2009-08-06,0.55,0.53
0.53,5919400.0,0.52,2009-08-07,0.56,0.52
0.53,1822200.0,0.55,2009-08-10,0.55,0.53
0.55,857000.0,0.55,2009-08-11,0.55,0.54
0.55,1223000.0,0.56,2009-08-12,0.56,0.55
0.55,1142500.0,0.54,2009-08-13,0.55,0.54
0.54,4453500.0,0.56,2009-08-14,0.58,0.53
0.55,1569000.0,0.52,2009-08-17,0.55,0.52
0.52,3107400.0,0.52,2009-08-18,0.53,0.52
0.53,3855300.0,0.52,2009-08-19,0.53,0.52
0.52,52000.0,0.52,2009-08-20,0.52,0.52
0.53,1124800.0,0.51,2009-08-24,0.53,0.51
0.51,1751200.0,0.5,2009-08-25,0.51,0.5
0.52,2003100.0,0.53,2009-08-26,0.54,0.52
0.51,402000.0,0.5,2009-09-03,0.51,0.5
0.5,90000.0,0.5,2009-09-04,0.5,0.5
0.45,895600.0,0.42,2009-09-16,0.45,0.42
0.42,84000.0,0.42,2009-09-17,0.42,0.42
0.43,43000.0,0.43,2009-09-22,0.43,0.43
0.43,348300.0,0.43,2009-09-23,0.43,0.43
0.38,80400.0,0.41,2009-10-01,0.41,0.38
0.37,377100.0,0.37,2009-10-02,0.37,0.36
0.37,74000.0,0.37,2009-10-06,0.37,0.37
0.38,774600.0,0.38,2009-10-07,0.39,0.38
0.39,1310800.0,0.41,2009-10-08,0.41,0.39
0.42,7280100.0,0.45,2009-10-09,0.45,0.41
0.43,841100.0,0.42,2009-10-12,0.43,0.42
0.42,2093200.0,0.41,2009-10-13,0.42,0.41
0.41,28700.0,0.41,2009-10-14,0.41,0.41
0.41,69700.0,0.41,2009-10-15,0.41,0.41
0.4,480000.0,0.4,2009-10-16,0.4,0.4
0.41,20500.0,0.41,2009-10-19,0.41,0.41
0.41,207000.0,0.42,2009-10-21,0.42,0.41
0.4,76900.0,0.41,2009-10-22,0.41,0.4
0.41,81000.0,0.4,2009-10-23,0.41,0.4
0.4,254300.0,0.41,2009-10-28,0.41,0.4
0.39,196300.0,0.38,2009-10-29,0.39,0.38
0.38,316900.0,0.41,2009-11-04,0.41,0.38
0.43,172000.0,0.43,2009-11-05,0.43,0.43
0.43,344000.0,0.43,2009-11-06,0.43,0.43
0.43,420500.0,0.45,2009-11-10,0.45,0.43
0.44,1184600.0,0.41,2009-11-11,0.44,0.41
0.39,58500.0,0.39,2009-12-15,0.39,0.39
0.39,46800.0,0.39,2009-12-18,0.39,0.39
0.39,390000.0,0.39,2009-12-21,0.39,0.39
0.4,120000.0,0.4,2009-12-22,0.4,0.4
0.41,348500.0,0.41,2009-12-23,0.41,0.41
0.41,8200.0,0.41,2009-12-29,0.41,0.41
0.41,235700.0,0.41,2010-01-05,0.42,0.41
0.42,210000.0,0.42,2010-01-06,0.42,0.42
0.42,646900.0,0.45,2010-01-07,0.45,0.42
0.45,2816500.0,0.49,2010-01-08,0.51,0.45
0.47,380400.0,0.45,2010-01-12,0.47,0.45
0.45,498200.0,0.46,2010-01-13,0.46,0.44
0.45,49500.0,0.45,2010-01-14,0.45,0.45
0.42,218400.0,0.42,2010-01-15,0.42,0.42
0.42,155400.0,0.42,2010-01-21,0.42,0.42
0.42,205800.0,0.42,2010-01-22,0.42,0.42
0.42,1920200.0,0.49,2010-01-25,0.49,0.42
0.5,2104500.0,0.48,2010-01-26,0.52,0.48
0.45,2427100.0,0.51,2010-01-27,0.51,0.45
0.51,2313800.0,0.49,2010-01-28,0.53,0.49
0.51,75300.0,0.5,2010-01-29,0.51,0.5
0.5,194000.0,0.48,2010-02-01,0.5,0.48
0.45,233800.0,0.44,2010-02-02,0.45,0.44
0.47,423000.0,0.47,2010-02-03,0.47,0.47
0.48,1014000.0,0.5,2010-02-04,0.5,0.48
0.47,603000.0,0.46,2010-02-08,0.47,0.46
0.45,229500.0,0.45,2010-02-09,0.45,0.45
0.45,40500.0,0.45,2010-02-10,0.45,0.45
0.47,244400.0,0.47,2010-02-11,0.47,0.47
0.43,129000.0,0.43,2010-04-20,0.43,0.43
0.43,424000.0,0.42,2010-04-23,0.43,0.42
0.45,58500.0,0.45,2010-04-29,0.45,0.45
0.42,21000.0,0.42,2010-05-04,0.42,0.42
0.42,82000.0,0.4,2010-05-05,0.42,0.4
0.41,8200.0,0.41,2010-05-17,0.41,0.41
0.41,82000.0,0.41,2010-05-19,0.41,0.41
0.41,1008600.0,0.41,2010-05-20,0.41,0.41
0.41,28700.0,0.41,2010-05-24,0.41,0.41
0.41,53300.0,0.41,2010-05-25,0.41,0.41
0.4,44000.0,0.4,2010-05-26,0.4,0.4
0.41,73800.0,0.41,2010-05-27,0.41,0.41
0.41,20500.0,0.41,2010-05-28,0.41,0.41
0.41,41500.0,0.42,2010-06-02,0.42,0.41
0.4,40000.0,0.4,2010-06-08,0.4,0.4
0.4,425000.0,0.38,2010-06-10,0.4,0.38
0.4,353500.0,0.39,2010-06-11,0.4,0.39
0.4,4000.0,0.4,2010-06-15,0.4,0.4
0.4,96000.0,0.4,2010-06-16,0.4,0.4
0.43,2046200.0,0.49,2010-06-23,0.5,0.43
0.42,1357400.0,0.42,2010-06-24,0.42,0.41
0.42,420000.0,0.42,2010-06-25,0.42,0.42
0.42,174800.0,0.4,2010-06-29,0.42,0.4
0.41,328000.0,0.41,2010-07-01,0.41,0.41
0.42,16800.0,0.42,2010-07-15,0.42,0.42
0.49,895700.0,0.48,2010-09-20,0.49,0.48
0.48,710000.0,0.47,2010-09-21,0.48,0.47
0.47,350000.0,0.46,2010-09-22,0.47,0.46
0.46,460000.0,0.46,2010-09-23,0.46,0.46
0.46,1354700.0,0.45,2010-09-24,0.46,0.45
0.45,346500.0,0.45,2010-09-27,0.45,0.45
0.44,88000.0,0.44,2010-09-28,0.44,0.44
0.45,45000.0,0.45,2010-09-29,0.45,0.45
0.45,755000.0,0.44,2010-09-30,0.45,0.44
0.435,30450.0,0.435,2010-10-01,0.435,0.435
0.45,45000.0,0.45,2010-10-05,0.45,0.45
0.45,45000.0,0.45,2010-10-07,0.45,0.45
0.44,70400.0,0.44,2010-10-08,0.44,0.44
0.435,199400.0,0.43,2010-10-13,0.435,0.43
0.44,88000.0,0.44,2010-10-14,0.44,0.44
0.43,21500.0,0.43,2010-10-18,0.43,0.43
0.43,111800.0,0.43,2010-10-20,0.43,0.43
0.44,220000.0,0.44,2010-10-21,0.44,0.44
0.44,79200.0,0.44,2010-10-22,0.44,0.44
0.44,273000.0,0.47,2010-10-26,0.47,0.44
0.44,118800.0,0.44,2010-10-27,0.44,0.44
0.435,87000.0,0.435,2010-10-28,0.435,0.435
0.435,39150.0,0.435,2010-10-29,0.435,0.435
0.46,437000.0,0.46,2010-11-02,0.46,0.46
0.46,202400.0,0.46,2010-11-04,0.46,0.46
0.47,159800.0,0.47,2010-11-08,0.47,0.47
0.48,105600.0,0.48,2010-11-09,0.48,0.48
0.46,222500.0,0.45,2010-11-10,0.46,0.45
0.44,4400.0,0.44,2010-11-11,0.44,0.44
0.445,266500.0,0.44,2010-11-12,0.445,0.44
0.44,40400.0,0.45,2010-11-17,0.45,0.44
0.45,157500.0,0.45,2010-11-19,0.45,0.45
0.45,697500.0,0.45,2010-11-23,0.45,0.45
0.44,79500.0,0.45,2010-11-24,0.45,0.44
0.46,1320100.0,0.43,2010-11-25,0.46,0.43
0.43,243300.0,0.46,2010-11-26,0.46,0.43
0.425,4250.0,0.425,2010-11-30,0.425,0.425
0.43,43000.0,0.43,2010-12-01,0.43,0.43
0.43,129000.0,0.43,2010-12-02,0.43,0.43
0.425,4250.0,0.425,2010-12-07,0.425,0.425
0.425,182750.0,0.425,2010-12-08,0.425,0.425
0.43,255500.0,0.425,2010-12-16,0.43,0.425
0.425,34000.0,0.425,2010-12-23,0.425,0.425
0.425,34000.0,0.425,2010-12-29,0.425,0.425
0.425,34000.0,0.425,2010-12-29,0.425,0.425
0.45,3042750.0,0.51,2011-01-03,0.55,0.45
0.45,3042750.0,0.51,2011-01-03,0.55,0.45
0.45,3042750.0,0.51,2011-01-03,0.55,0.45
0.53,2457290.0,0.5,2011-01-04,0.55,0.5
0.53,280220.0,0.5,2011-01-05,0.53,0.5
0.52,133520.0,0.5,2011-01-06,0.52,0.5
0.52,5224250.0,0.55,2011-01-07,0.56,0.52
0.58,6434100.0,0.54,2011-01-10,0.58,0.54
0.58,15303090.0,0.62,2011-01-11,0.64,0.53
0.58,15303090.0,0.62,2011-01-11,0.64,0.53
0.63,23114540.0,0.69,2011-01-12,0.73,0.63
0.72,12636110.0,0.68,2011-01-13,0.73,0.68
0.7,3455100.0,0.66,2011-01-14,0.71,0.65
0.66,2113500.0,0.68,2011-01-17,0.69,0.66
0.7,2222970.0,0.66,2011-01-18,0.71,0.66
0.69,2038910.0,0.65,2011-01-19,0.69,0.65
0.69,2038910.0,0.65,2011-01-19,0.69,0.65
0.65,223940.0,0.66,2011-01-20,0.66,0.62
0.65,223940.0,0.66,2011-01-20,0.66,0.62
0.61,945550.0,0.6,2011-01-24,0.61,0.55
0.63,542600.0,0.63,2011-01-25,0.64,0.62
0.63,643640.0,0.64,2011-01-26,0.64,0.63
0.61,288600.0,0.63,2011-01-27,0.63,0.61
0.61,452000.0,0.6,2011-01-28,0.61,0.6
0.61,452000.0,0.6,2011-01-28,0.61,0.6
0.56,60480.0,0.56,2011-02-01,0.56,0.56
0.56,60480.0,0.56,2011-02-01,0.56,0.56
0.57,125400.0,0.57,2011-02-02,0.57,0.57
0.59,66200.0,0.61,2011-02-03,0.61,0.59
0.54,34560.0,0.54,2011-02-14,0.54,0.54
0.54,54000.0,0.54,2011-02-22,0.54,0.54
0.54,54000.0,0.54,2011-02-22,0.54,0.54
0.53,84500.0,0.53,2011-02-23,0.53,0.52
0.53,84500.0,0.53,2011-02-23,0.53,0.52
0.52,2600.0,0.52,2011-02-24,0.52,0.52
0.52,2600.0,0.52,2011-02-24,0.52,0.52
0.51,20690.0,0.49,2011-03-02,0.51,0.49
0.53,159000.0,0.53,2011-03-04,0.53,0.53
