OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.75,2250550.0,13.5,2009-08-03,13.75,12.75
13.75,1694375.0,13.5,2009-08-04,13.75,13.5
13.5,1175600.0,13.5,2009-08-06,13.5,13.25
13.75,2727550.0,14.0,2009-08-07,14.0,13.75
14.0,823000.0,13.75,2009-08-10,14.0,13.75
13.75,834175.0,14.0,2009-08-11,14.25,13.75
14.0,364000.0,14.0,2009-08-13,14.0,14.0
14.0,1498000.0,14.0,2009-08-14,14.0,14.0
13.75,201250.0,14.0,2009-08-17,14.0,13.75
13.75,1443750.0,13.75,2009-08-18,13.75,13.75
13.75,59625.0,14.0,2009-08-19,14.0,13.75
13.5,94625.0,14.0,2009-08-20,14.0,13.25
13.75,112800.0,14.0,2009-08-24,14.0,13.75
13.5,164875.0,13.75,2009-08-25,13.75,13.0
14.25,1919725.0,15.0,2009-09-03,15.25,13.75
15.0,4011200.0,15.0,2009-09-04,15.25,14.75
17.75,3308800.0,18.0,2009-09-16,18.25,17.5
18.0,8252825.0,18.0,2009-09-17,18.25,17.25
17.25,4870700.0,17.75,2009-09-18,18.0,17.25
17.75,8678000.0,17.25,2009-09-22,17.75,17.25
17.25,11957425.0,17.25,2009-09-23,17.5,16.75
16.75,1222225.0,16.75,2009-09-30,16.75,16.0
16.75,1023050.0,16.5,2009-10-01,17.0,16.5
16.25,765425.0,16.5,2009-10-02,16.75,16.25
16.0,8976100.0,17.25,2009-10-05,17.25,16.0
17.75,10776700.0,18.0,2009-10-06,18.0,17.5
18.0,17975450.0,17.75,2009-10-08,18.25,17.75
18.0,57733300.0,19.0,2009-10-09,19.0,17.5
19.25,44569925.0,20.75,2009-10-12,20.75,19.25
20.5,16688350.0,20.25,2009-10-13,20.75,19.75
20.25,43060900.0,22.5,2009-10-14,22.5,19.75
22.75,42909200.0,25.0,2009-10-15,25.0,22.75
25.0,46396000.0,28.0,2009-10-16,28.5,24.0
27.5,15918550.0,27.5,2009-10-19,28.0,26.5
27.5,11197200.0,27.0,2009-10-20,28.0,26.5
27.0,13922450.0,26.0,2009-10-21,28.0,26.0
25.5,8520700.0,26.5,2009-10-22,27.0,25.5
27.0,57748750.0,31.0,2009-10-23,31.0,27.0
31.5,36278350.0,32.0,2009-10-26,33.0,31.0
31.0,39868700.0,31.5,2009-10-27,32.5,31.0
31.5,78604500.0,32.0,2009-10-28,32.5,31.5
31.5,7156100.0,32.5,2009-10-29,32.5,31.5
32.5,45467500.0,33.5,2009-10-30,34.0,32.5
34.0,19353600.0,32.5,2009-11-03,34.5,32.5
32.5,22211250.0,29.0,2009-11-04,33.0,29.0
28.0,27579950.0,24.0,2009-11-05,28.0,24.0
24.0,39643650.0,29.0,2009-11-06,29.0,21.0
27.0,13664350.0,28.0,2009-11-09,29.0,27.0
26.0,32703625.0,25.5,2009-11-10,27.5,24.75
25.0,14295600.0,24.25,2009-11-11,25.5,23.75
25.5,2498425.0,25.0,2009-12-15,25.5,24.5
25.0,8020425.0,24.75,2009-12-16,25.5,24.5
25.0,5335825.0,24.5,2009-12-17,25.0,24.5
24.5,8415550.0,24.0,2009-12-18,24.75,24.0
24.5,27211000.0,25.5,2009-12-21,26.0,24.5
25.5,12549800.0,24.25,2009-12-22,25.5,24.0
24.5,1899175.0,24.5,2009-12-23,24.5,24.25
25.5,41487525.0,24.75,2009-12-29,25.5,24.75
25.0,4071775.0,24.5,2010-01-04,25.5,24.5
25.0,3576325.0,24.25,2010-01-05,25.0,24.0
24.25,6503225.0,23.5,2010-01-06,24.25,22.75
24.0,28856400.0,25.5,2010-01-07,25.5,24.0
25.0,10204900.0,24.0,2010-01-08,25.5,24.0
24.25,4146700.0,23.5,2010-01-11,24.25,23.25
23.5,7037250.0,24.0,2010-01-12,24.25,23.5
24.0,38936725.0,24.75,2010-01-13,26.0,24.0
25.0,10537325.0,24.75,2010-01-14,25.5,24.5
25.0,42886500.0,26.5,2010-01-15,27.0,24.5
26.5,52449800.0,27.0,2010-01-18,27.0,25.5
27.0,20564650.0,27.0,2010-01-19,27.0,26.0
27.0,20295350.0,26.0,2010-01-20,27.5,26.0
25.5,7913550.0,26.5,2010-01-21,27.0,25.5
26.0,33562275.0,24.0,2010-01-22,26.5,23.75
23.75,33661700.0,23.75,2010-01-25,24.75,23.25
24.25,16415325.0,22.75,2010-01-26,24.25,22.75
23.0,25907675.0,23.5,2010-01-27,23.5,22.75
23.5,28074250.0,25.5,2010-01-28,25.5,23.25
24.75,12775025.0,24.25,2010-01-29,25.0,24.25
24.5,4227625.0,23.25,2010-02-01,24.5,23.25
24.0,15343275.0,23.0,2010-02-02,24.0,23.0
23.5,26665900.0,23.0,2010-02-03,23.75,22.75
22.75,5305350.0,22.75,2010-02-04,23.5,22.75
22.5,10167200.0,21.25,2010-02-05,22.5,21.0
21.25,16235500.0,18.75,2010-02-08,21.25,18.5
18.0,37138600.0,16.0,2010-02-09,18.0,15.75
16.5,32866250.0,16.5,2010-02-10,17.25,16.25
16.5,12461500.0,16.5,2010-02-11,16.75,16.25
18.0,8325875.0,18.75,2010-03-08,18.75,18.0
18.0,1860975.0,17.75,2010-03-12,18.0,17.75
17.75,3584775.0,17.75,2010-03-15,18.0,17.5
17.75,3680975.0,17.0,2010-03-16,17.75,17.0
17.0,2216625.0,17.0,2010-03-17,17.5,16.75
17.0,3397675.0,17.25,2010-03-31,17.25,17.0
16.25,3907750.0,16.0,2010-04-20,16.25,15.75
16.0,3021675.0,16.25,2010-04-21,16.25,15.75
16.0,2248000.0,16.0,2010-04-22,16.0,16.0
16.0,3972400.0,15.75,2010-04-23,16.0,15.5
13.25,7677375.0,13.0,2010-04-29,13.5,13.0
13.25,3816100.0,13.75,2010-04-30,13.75,13.25
13.75,9082075.0,14.0,2010-05-04,14.0,13.5
13.75,3893050.0,13.25,2010-05-05,13.75,13.25
13.75,30014175.0,14.0,2010-05-13,14.25,13.75
