OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.32,1473820.0,2.34,2009-08-03,2.34,2.3
2.34,608800.0,2.34,2009-08-04,2.36,2.34
2.36,306800.0,2.36,2009-08-06,2.36,2.36
2.34,559280.0,2.36,2009-08-07,2.36,2.34
2.38,119000.0,2.38,2009-08-11,2.38,2.38
2.38,238000.0,2.38,2009-08-12,2.38,2.38
2.38,178200.0,2.36,2009-08-14,2.38,2.36
2.36,219420.0,2.36,2009-08-17,2.36,2.34
2.36,70800.0,2.36,2009-08-18,2.36,2.36
2.34,35100.0,2.34,2009-08-19,2.34,2.34
2.34,82500.0,2.36,2009-08-20,2.36,2.34
2.36,236000.0,2.36,2009-08-24,2.36,2.36
2.36,514420.0,2.34,2009-08-25,2.36,2.34
2.34,105300.0,2.34,2009-08-26,2.34,2.34
2.38,238000.0,2.38,2009-09-03,2.38,2.38
2.36,105920.0,2.34,2009-09-04,2.36,2.34
2.34,234000.0,2.34,2009-09-16,2.34,2.34
2.34,23400.0,2.34,2009-09-18,2.34,2.34
2.32,58000.0,2.32,2009-09-22,2.32,2.32
2.3,51000.0,2.32,2009-09-30,2.32,2.3
2.2,101200.0,2.2,2009-10-01,2.2,2.2
2.2,2692460.0,2.14,2009-10-02,2.2,2.08
2.12,10600.0,2.12,2009-10-05,2.12,2.12
2.3,50600.0,2.3,2009-10-06,2.3,2.3
2.3,34500.0,2.3,2009-10-07,2.3,2.3
2.3,2300.0,2.3,2009-10-08,2.3,2.3
2.32,106100.0,2.3,2009-10-09,2.32,2.3
2.3,148660.0,2.3,2009-10-12,2.3,2.24
2.28,57000.0,2.28,2009-10-13,2.28,2.28
2.2,232960.0,2.22,2009-10-14,2.22,2.2
2.22,93240.0,2.22,2009-10-15,2.22,2.22
2.22,111000.0,2.22,2009-10-16,2.22,2.22
2.22,22200.0,2.22,2009-10-19,2.22,2.22
2.24,126560.0,2.18,2009-10-21,2.24,2.18
2.18,4360.0,2.18,2009-10-23,2.18,2.18
2.18,43600.0,2.18,2009-10-28,2.18,2.18
2.2,207400.0,2.18,2009-10-30,2.2,2.18
2.18,17440.0,2.18,2009-11-04,2.18,2.18
2.2,110000.0,2.2,2009-11-06,2.2,2.2
2.22,55500.0,2.22,2009-11-09,2.22,2.22
2.28,2202280.0,2.2,2009-11-10,2.28,2.2
2.12,127200.0,2.12,2009-12-15,2.12,2.12
2.1,233100.0,2.1,2009-12-16,2.1,2.1
2.1,8400.0,2.1,2009-12-17,2.1,2.1
2.1,92400.0,2.1,2009-12-18,2.1,2.1
2.08,31200.0,2.08,2009-12-22,2.08,2.08
2.1,256200.0,2.1,2009-12-23,2.1,2.1
2.04,261320.0,2.04,2010-01-04,2.06,2.04
2.08,20800.0,2.08,2010-01-05,2.08,2.08
2.08,739000.0,2.04,2010-01-06,2.08,2.02
2.06,164800.0,2.06,2010-01-07,2.06,2.06
2.04,195400.0,2.06,2010-01-08,2.06,2.04
2.06,226600.0,2.06,2010-01-11,2.06,2.06
2.1,4852340.0,2.14,2010-01-12,2.16,2.1
2.16,34560.0,2.16,2010-01-13,2.16,2.16
2.16,99360.0,2.16,2010-01-14,2.16,2.16
2.14,32100.0,2.14,2010-01-15,2.14,2.14
2.14,2140.0,2.14,2010-01-18,2.14,2.14
2.14,214000.0,2.14,2010-01-19,2.14,2.14
2.14,107000.0,2.14,2010-01-20,2.14,2.14
2.1,8400.0,2.1,2010-01-21,2.1,2.1
2.1,39900.0,2.1,2010-01-22,2.1,2.1
2.1,168000.0,2.1,2010-01-25,2.1,2.1
2.1,294000.0,2.1,2010-01-26,2.1,2.1
2.08,41600.0,2.08,2010-01-27,2.08,2.08
2.12,2120.0,2.12,2010-01-29,2.12,2.12
2.06,2060.0,2.06,2010-02-02,2.06,2.06
2.04,454920.0,2.04,2010-02-03,2.04,2.04
2.04,63240.0,2.04,2010-02-05,2.04,2.04
2.04,102000.0,2.04,2010-02-10,2.04,2.04
2.0,16000.0,2.0,2010-02-11,2.0,2.0
2.18,130800.0,2.18,2010-03-08,2.18,2.18
2.2,1163060.0,2.22,2010-03-12,2.22,2.2
2.18,210200.0,2.2,2010-03-15,2.2,2.18
2.2,579220.0,2.22,2010-03-16,2.26,2.2
2.26,357720.0,2.22,2010-03-17,2.26,2.22
2.16,129600.0,2.16,2010-04-20,2.16,2.16
2.18,65400.0,2.18,2010-04-22,2.18,2.18
2.2,221165400.0,2.18,2010-04-23,2.2,2.18
2.22,166800.0,2.24,2010-04-29,2.24,2.22
2.24,245340.0,2.26,2010-04-30,2.26,2.24
2.22,44400.0,2.22,2010-05-05,2.22,2.22
2.2,174800.0,2.18,2010-05-13,2.2,2.18
2.2,393720.0,2.28,2010-05-14,2.28,2.2
2.24,379780.0,2.26,2010-05-17,2.28,2.24
2.26,33760.0,2.24,2010-05-18,2.26,2.24
2.22,81080560.0,2.24,2010-05-19,2.24,2.2
2.18,178180.0,2.2,2010-05-20,2.22,2.18
2.22,539900.0,2.2,2010-05-21,2.22,2.2
2.2,132000.0,2.2,2010-05-25,2.2,2.2
2.22,24420.0,2.22,2010-05-26,2.22,2.22
2.2,22000.0,2.2,2010-05-27,2.2,2.2
2.18,65400.0,2.18,2010-05-28,2.18,2.18
2.16,32400.0,2.16,2010-05-31,2.16,2.16
2.18,43600.0,2.18,2010-06-01,2.18,2.18
2.18,50560.0,2.2,2010-06-03,2.2,2.18
2.22,79600.0,2.22,2010-06-04,2.22,2.2
2.22,188700.0,2.22,2010-06-07,2.22,2.22
2.24,179200.0,2.24,2010-06-08,2.24,2.24
2.2,53000.0,2.24,2010-06-09,2.24,2.2
2.18,37200.0,2.2,2010-06-10,2.2,2.18
2.2,173240.0,2.26,2010-06-11,2.26,2.2
2.2,371800.0,2.2,2010-06-16,2.2,2.2
2.28,458000.0,2.3,2010-06-21,2.32,2.28
2.3,230000.0,2.3,2010-06-22,2.3,2.3
2.3,282900.0,2.3,2010-06-23,2.3,2.3
