OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.6,10356600.0,5.7,2009-08-03,5.7,5.6
5.7,103739600.0,5.6,2009-08-04,5.7,5.5
5.7,19116400.0,5.4,2009-08-06,5.7,5.4
5.6,40255800.0,5.3,2009-08-07,5.6,5.3
5.5,6214900.0,5.4,2009-08-10,5.5,5.4
5.4,59285300.0,5.6,2009-08-11,5.6,5.4
5.5,33804600.0,5.5,2009-08-12,5.7,5.5
5.5,31725200.0,5.6,2009-08-13,5.7,5.5
5.5,11443500.0,5.5,2009-08-14,5.6,5.5
5.5,10642500.0,5.5,2009-08-17,5.5,5.5
5.4,27346600.0,5.5,2009-08-18,5.5,5.4
5.6,13851700.0,5.6,2009-08-19,5.6,5.5
5.6,22316900.0,5.6,2009-08-20,5.6,5.5
5.6,60395200.0,5.7,2009-08-24,5.7,5.6
5.7,15584100.0,5.8,2009-08-25,5.8,5.7
5.8,13838900.0,5.7,2009-08-26,5.8,5.7
6.1,59894800.0,6.1,2009-09-03,6.2,6.0
6.1,107673500.0,6.4,2009-09-04,6.4,6.1
6.4,20063000.0,6.3,2009-09-16,6.4,6.3
6.3,8275800.0,6.4,2009-09-17,6.4,6.3
6.5,77439100.0,6.5,2009-09-18,6.6,6.4
6.5,6230300.0,6.4,2009-09-22,6.5,6.4
6.4,18419700.0,6.5,2009-09-23,6.5,6.4
6.4,50710900.0,6.4,2009-09-30,6.5,6.3
6.3,31274600.0,6.4,2009-10-01,6.5,6.3
6.4,35544600.0,6.4,2009-10-02,6.5,6.3
6.4,105212800.0,6.8,2009-10-05,6.8,6.4
6.9,84757500.0,7.1,2009-10-06,7.2,6.9
7.2,96970000.0,7.2,2009-10-07,7.3,7.1
7.2,112066700.0,7.3,2009-10-08,7.5,7.2
7.3,65810400.0,7.3,2009-10-09,7.4,7.1
7.3,22855100.0,7.2,2009-10-12,7.4,7.2
7.2,26438300.0,7.3,2009-10-13,7.3,7.1
7.2,75273500.0,7.2,2009-10-14,7.3,7.2
7.2,41504500.0,7.3,2009-10-15,7.4,7.2
7.3,11173200.0,7.3,2009-10-16,7.3,7.2
7.2,33057500.0,7.3,2009-10-19,7.3,7.2
7.3,44193700.0,7.3,2009-10-20,7.3,7.2
7.2,19463900.0,7.2,2009-10-21,7.3,7.2
7.2,32233200.0,7.1,2009-10-22,7.2,7.1
7.1,47665000.0,7.2,2009-10-23,7.3,7.1
7.1,58192300.0,7.3,2009-10-26,7.4,7.1
7.3,64481500.0,7.5,2009-10-27,7.5,7.2
7.4,39816600.0,7.3,2009-10-28,7.5,7.3
7.2,35221700.0,7.3,2009-10-29,7.3,7.1
7.4,74059300.0,7.5,2009-10-30,7.7,7.4
7.5,101987900.0,7.7,2009-11-03,7.7,7.4
7.7,117788400.0,7.9,2009-11-04,8.2,7.7
7.9,33394800.0,7.8,2009-11-05,7.9,7.7
