OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.4,4351400.0,0.4,2009-08-03,0.4,0.39
0.41,945500.0,0.4,2009-08-04,0.41,0.4
0.39,1547500.0,0.38,2009-08-06,0.4,0.38
0.38,2297800.0,0.38,2009-08-07,0.39,0.38
0.38,1804000.0,0.38,2009-08-10,0.38,0.37
0.38,851200.0,0.38,2009-08-11,0.38,0.38
0.37,1173800.0,0.38,2009-08-12,0.38,0.37
0.38,4213500.0,0.39,2009-08-13,0.39,0.37
0.39,17766200.0,0.41,2009-08-14,0.44,0.39
0.41,1773000.0,0.4,2009-08-17,0.41,0.39
0.37,4464700.0,0.37,2009-08-18,0.38,0.36
0.38,1911400.0,0.38,2009-08-19,0.38,0.38
0.38,787000.0,0.39,2009-08-20,0.39,0.38
0.41,1838800.0,0.4,2009-08-24,0.41,0.4
0.4,573000.0,0.4,2009-08-25,0.4,0.39
0.42,396400.0,0.4,2009-08-26,0.42,0.4
0.4,228000.0,0.4,2009-09-03,0.4,0.4
0.41,3842300.0,0.41,2009-09-04,0.43,0.41
0.42,1816400.0,0.42,2009-09-16,0.42,0.41
0.41,87100.0,0.41,2009-09-17,0.42,0.41
0.42,1932800.0,0.43,2009-09-18,0.44,0.42
0.44,3067200.0,0.44,2009-09-22,0.45,0.43
0.44,4004200.0,0.43,2009-09-23,0.45,0.43
0.39,1053000.0,0.39,2009-09-30,0.39,0.39
0.38,793800.0,0.38,2009-10-01,0.39,0.38
0.37,2052400.0,0.37,2009-10-02,0.37,0.36
0.37,447700.0,0.37,2009-10-05,0.37,0.37
0.38,1473600.0,0.38,2009-10-06,0.38,0.37
0.38,961200.0,0.38,2009-10-07,0.39,0.38
0.39,186700.0,0.38,2009-10-08,0.39,0.38
0.38,497800.0,0.38,2009-10-09,0.38,0.38
0.38,790400.0,0.38,2009-10-12,0.38,0.38
0.37,249700.0,0.38,2009-10-13,0.38,0.37
0.38,516800.0,0.38,2009-10-14,0.38,0.38
0.38,440800.0,0.38,2009-10-15,0.38,0.38
0.39,1065000.0,0.39,2009-10-16,0.4,0.39
0.39,468000.0,0.39,2009-10-19,0.39,0.39
0.39,816400.0,0.37,2009-10-20,0.39,0.37
0.37,638200.0,0.39,2009-10-21,0.39,0.37
0.38,2826500.0,0.39,2009-10-22,0.41,0.38
0.4,424100.0,0.39,2009-10-23,0.4,0.39
0.38,222900.0,0.39,2009-10-26,0.4,0.38
0.38,114000.0,0.38,2009-10-27,0.38,0.38
0.39,390000.0,0.39,2009-10-28,0.39,0.39
0.38,1583400.0,0.37,2009-10-29,0.38,0.37
0.37,630400.0,0.37,2009-10-30,0.38,0.37
0.37,828800.0,0.37,2009-11-03,0.37,0.37
0.36,7200.0,0.36,2009-11-04,0.36,0.36
0.36,221400.0,0.37,2009-11-05,0.37,0.36
0.37,111000.0,0.37,2009-11-06,0.37,0.37
0.38,58000.0,0.39,2009-11-09,0.39,0.38
0.39,843000.0,0.4,2009-11-10,0.41,0.39
0.4,624000.0,0.4,2009-11-11,0.4,0.4
0.35,220500.0,0.35,2009-12-15,0.35,0.35
0.35,105000.0,0.35,2009-12-16,0.35,0.35
0.35,1075400.0,0.34,2009-12-17,0.35,0.34
0.34,190400.0,0.34,2009-12-18,0.34,0.34
0.34,495000.0,0.34,2009-12-29,0.35,0.34
0.36,564700.0,0.35,2010-01-05,0.36,0.35
0.36,340000.0,0.36,2010-01-06,0.36,0.35
0.35,1034700.0,0.37,2010-01-07,0.38,0.35
0.37,1613200.0,0.38,2010-01-08,0.39,0.37
0.4,639800.0,0.39,2010-01-11,0.4,0.39
0.4,1758000.0,0.38,2010-01-12,0.4,0.38
0.37,173900.0,0.37,2010-01-13,0.37,0.37
0.38,11400.0,0.38,2010-01-14,0.38,0.38
0.38,342000.0,0.38,2010-01-15,0.38,0.38
0.37,122100.0,0.37,2010-01-18,0.37,0.37
0.37,739000.0,0.37,2010-01-19,0.37,0.36
0.38,824200.0,0.35,2010-01-20,0.38,0.35
0.35,350000.0,0.35,2010-01-21,0.35,0.35
0.35,2033100.0,0.35,2010-01-22,0.36,0.33
0.32,573700.0,0.35,2010-01-25,0.35,0.32
0.35,192500.0,0.35,2010-01-26,0.35,0.35
0.35,2313200.0,0.31,2010-01-27,0.35,0.3
0.33,879400.0,0.34,2010-01-28,0.35,0.32
0.34,3556100.0,0.33,2010-01-29,0.37,0.33
0.34,744000.0,0.33,2010-02-01,0.34,0.33
0.32,160000.0,0.32,2010-02-02,0.32,0.32
0.31,723100.0,0.32,2010-02-03,0.32,0.31
0.32,137600.0,0.32,2010-02-04,0.32,0.32
0.31,740100.0,0.32,2010-02-05,0.32,0.3
0.31,514600.0,0.31,2010-02-08,0.31,0.31
0.31,688400.0,0.31,2010-02-09,0.32,0.31
0.3,95100.0,0.31,2010-02-10,0.31,0.3
0.31,762000.0,0.31,2010-02-11,0.31,0.3
0.61,26122300.0,0.62,2010-03-08,0.63,0.61
0.6,20650800.0,0.64,2010-03-12,0.64,0.6
0.63,10237000.0,0.62,2010-03-15,0.64,0.61
0.62,5291600.0,0.61,2010-03-16,0.62,0.6
0.61,2458300.0,0.61,2010-03-17,0.61,0.61
0.52,272200.0,0.54,2010-03-31,0.54,0.52
0.55,3355100.0,0.56,2010-04-20,0.56,0.55
0.56,2625800.0,0.56,2010-04-21,0.57,0.55
0.55,700200.0,0.57,2010-04-22,0.57,0.55
0.56,1349800.0,0.56,2010-04-23,0.57,0.56
0.56,9248900.0,0.59,2010-04-29,0.59,0.55
0.59,405900.0,0.57,2010-04-30,0.59,0.57
0.56,903200.0,0.55,2010-05-04,0.56,0.55
0.55,11856300.0,0.51,2010-05-05,0.55,0.51
0.54,1969900.0,0.53,2010-05-13,0.54,0.53
0.53,4416800.0,0.54,2010-05-14,0.54,0.53
0.54,859300.0,0.53,2010-05-17,0.54,0.53
0.53,1227400.0,0.53,2010-05-18,0.54,0.52
0.53,497200.0,0.52,2010-05-19,0.53,0.52
0.52,223600.0,0.52,2010-05-20,0.52,0.52
0.5,909400.0,0.51,2010-05-21,0.51,0.49
0.51,306000.0,0.51,2010-05-24,0.51,0.51
0.5,1065300.0,0.49,2010-05-25,0.5,0.49
0.49,825400.0,0.49,2010-05-26,0.5,0.49
0.49,89000.0,0.5,2010-05-27,0.5,0.49
0.5,788000.0,0.49,2010-05-28,0.5,0.49
0.48,925400.0,0.5,2010-05-31,0.5,0.48
0.51,276000.0,0.5,2010-06-01,0.51,0.5
0.5,1739000.0,0.5,2010-06-02,0.5,0.48
0.5,3722500.0,0.53,2010-06-03,0.53,0.49
0.53,2232000.0,0.52,2010-06-04,0.54,0.52
0.5,105200.0,0.52,2010-06-07,0.52,0.5
0.51,161300.0,0.51,2010-06-08,0.51,0.5
0.51,232100.0,0.5,2010-06-09,0.51,0.5
0.5,397500.0,0.49,2010-06-10,0.5,0.49
0.5,440100.0,0.5,2010-06-11,0.51,0.5
0.49,363000.0,0.49,2010-06-15,0.5,0.49
0.5,760000.0,0.51,2010-06-16,0.51,0.5
0.51,1736600.0,0.53,2010-06-21,0.54,0.51
0.53,1128900.0,0.53,2010-06-22,0.53,0.53
0.52,520000.0,0.52,2010-06-23,0.52,0.52
0.51,1011000.0,0.51,2010-06-24,0.53,0.51
0.5,365300.0,0.51,2010-06-25,0.52,0.5
0.51,1047500.0,0.5,2010-06-28,0.51,0.5
0.49,2998900.0,0.49,2010-06-29,0.51,0.49
0.49,1381600.0,0.48,2010-07-01,0.49,0.48
0.48,212000.0,0.47,2010-07-02,0.48,0.47
0.47,806000.0,0.47,2010-07-06,0.47,0.46
0.46,1612900.0,0.46,2010-07-07,0.47,0.45
0.47,1144300.0,0.47,2010-07-08,0.47,0.46
0.46,666500.0,0.46,2010-07-09,0.46,0.45
0.46,101500.0,0.47,2010-07-13,0.47,0.46
0.46,92000.0,0.46,2010-07-14,0.46,0.46
0.46,644000.0,0.46,2010-07-15,0.46,0.46
0.45,229700.0,0.47,2010-07-16,0.47,0.45
0.46,558300.0,0.47,2010-07-19,0.47,0.46
0.48,398100.0,0.46,2010-07-20,0.49,0.46
0.47,460600.0,0.47,2010-07-21,0.47,0.47
0.47,638700.0,0.47,2010-07-22,0.47,0.46
0.47,582800.0,0.47,2010-07-23,0.47,0.47
0.75,14133380.0,0.76,2010-09-20,0.77,0.74
0.77,12818690.0,0.73,2010-09-21,0.79,0.73
0.74,14290770.0,0.7,2010-09-22,0.75,0.68
0.71,5660920.0,0.7,2010-09-23,0.71,0.69
0.7,37490850.0,0.77,2010-09-24,0.8,0.7
0.79,29603750.0,0.75,2010-09-27,0.82,0.75
0.75,24015900.0,0.73,2010-09-28,0.75,0.7
0.75,20961570.0,0.7,2010-09-29,0.75,0.69
0.71,10042310.0,0.71,2010-09-30,0.71,0.7
0.73,14857850.0,0.74,2010-10-01,0.75,0.72
0.75,4624720.0,0.74,2010-10-04,0.75,0.74
0.74,2442820.0,0.74,2010-10-05,0.75,0.73
0.75,6267510.0,0.75,2010-10-06,0.75,0.73
0.75,12341370.0,0.77,2010-10-07,0.77,0.74
0.79,89099730.0,0.85,2010-10-08,0.86,0.79
0.83,14738980.0,0.79,2010-10-12,0.84,0.78
0.8,8311510.0,0.81,2010-10-13,0.82,0.79
0.82,12271870.0,0.79,2010-10-14,0.82,0.78
0.78,12817680.0,0.78,2010-10-15,0.79,0.77
0.78,11315190.0,0.77,2010-10-18,0.8,0.77
0.77,14541570.0,0.74,2010-10-19,0.77,0.73
0.72,3676040.0,0.76,2010-10-20,0.76,0.72
0.76,136490.0,0.75,2010-10-21,0.76,0.75
0.76,6558110.0,0.77,2010-10-22,0.77,0.75
0.77,3459230.0,0.75,2010-10-26,0.77,0.75
0.76,2433520.0,0.76,2010-10-27,0.76,0.76
0.76,917320.0,0.76,2010-10-28,0.76,0.76
0.75,3276400.0,0.73,2010-10-29,0.75,0.73
0.75,5218200.0,0.75,2010-11-02,0.75,0.72
0.75,2524250.0,0.75,2010-11-03,0.76,0.74
0.74,3380990.0,0.72,2010-11-04,0.74,0.72
0.78,4122980.0,0.75,2010-11-08,0.78,0.74
0.74,5347060.0,0.73,2010-11-09,0.74,0.73
0.73,16651330.0,0.7,2010-11-10,0.73,0.68
0.71,5233830.0,0.69,2010-11-11,0.71,0.67
0.69,2891850.0,0.67,2010-11-12,0.69,0.67
0.67,8936000.0,0.73,2010-11-15,0.74,0.67
0.71,31397790.0,0.78,2010-11-17,0.79,0.71
0.8,49178070.0,0.83,2010-11-18,0.83,0.79
0.83,11281950.0,0.8,2010-11-19,0.83,0.78
0.78,16848030.0,0.74,2010-11-22,0.79,0.73
0.76,7202810.0,0.74,2010-11-23,0.76,0.74
0.74,4063210.0,0.74,2010-11-24,0.75,0.73
0.75,15276320.0,0.77,2010-11-25,0.78,0.73
0.77,3782150.0,0.73,2010-11-26,0.78,0.73
0.75,7601840.0,0.72,2010-11-30,0.76,0.72
0.72,3727330.0,0.69,2010-12-01,0.72,0.69
0.72,3572830.0,0.71,2010-12-02,0.72,0.69
0.72,3238100.0,0.72,2010-12-03,0.73,0.71
0.73,1354320.0,0.72,2010-12-06,0.73,0.71
0.72,3356060.0,0.71,2010-12-07,0.72,0.71
0.71,2009050.0,0.7,2010-12-08,0.71,0.7
0.66,1274890.0,0.65,2010-12-16,0.66,0.63
0.68,2681090.0,0.68,2010-12-22,0.7,0.68
0.68,664940.0,0.68,2010-12-23,0.69,0.67
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.69,621600.0,0.67,2010-12-28,0.69,0.66
0.67,750850.0,0.66,2010-12-29,0.69,0.66
0.67,750850.0,0.66,2010-12-29,0.69,0.66
0.67,11200530.0,0.75,2011-01-03,0.76,0.67
0.67,11200530.0,0.75,2011-01-03,0.76,0.67
0.67,11200530.0,0.75,2011-01-03,0.76,0.67
0.76,3913740.0,0.72,2011-01-04,0.76,0.71
0.7,5387120.0,0.7,2011-01-05,0.7,0.68
0.7,2747500.0,0.71,2011-01-06,0.72,0.7
0.71,28766790.0,0.73,2011-01-07,0.77,0.71
0.74,17957780.0,0.73,2011-01-10,0.78,0.72
0.72,1335000.0,0.72,2011-01-11,0.73,0.71
0.72,1335000.0,0.72,2011-01-11,0.73,0.71
0.72,2784630.0,0.71,2011-01-12,0.73,0.71
0.73,9577560.0,0.71,2011-01-13,0.75,0.71
0.72,9435970.0,0.73,2011-01-14,0.73,0.72
0.74,223412080.0,0.89,2011-01-17,0.94,0.74
0.93,118271410.0,0.84,2011-01-18,0.93,0.83
0.85,78244770.0,0.89,2011-01-19,0.9,0.82
0.85,78244770.0,0.89,2011-01-19,0.9,0.82
0.91,108442680.0,0.95,2011-01-20,0.97,0.86
0.91,108442680.0,0.95,2011-01-20,0.97,0.86
0.9,36993310.0,0.83,2011-01-24,0.9,0.83
0.85,24351240.0,0.85,2011-01-25,0.86,0.83
0.84,16903890.0,0.86,2011-01-26,0.87,0.82
0.86,12875050.0,0.83,2011-01-27,0.87,0.83
0.84,49082650.0,0.75,2011-01-28,0.84,0.75
0.84,49082650.0,0.75,2011-01-28,0.84,0.75
0.74,15116840.0,0.73,2011-01-31,0.75,0.73
0.74,15116840.0,0.73,2011-01-31,0.75,0.73
0.76,12997970.0,0.74,2011-02-01,0.76,0.72
0.76,12997970.0,0.74,2011-02-01,0.76,0.72
0.76,5155940.0,0.74,2011-02-02,0.76,0.73
0.74,5302480.0,0.74,2011-02-03,0.75,0.73
0.7,2066420.0,0.71,2011-02-14,0.72,0.7
0.7,1031750.0,0.72,2011-02-16,0.73,0.7
0.7,1031750.0,0.72,2011-02-16,0.73,0.7
0.72,1206290.0,0.73,2011-02-17,0.74,0.72
0.73,1702120.0,0.72,2011-02-18,0.74,0.72
0.74,635060.0,0.73,2011-02-21,0.74,0.72
0.74,635060.0,0.73,2011-02-21,0.74,0.72
0.72,556060.0,0.71,2011-02-22,0.72,0.71
0.72,556060.0,0.71,2011-02-22,0.72,0.71
0.7,4313300.0,0.71,2011-02-23,0.71,0.7
0.7,4313300.0,0.71,2011-02-23,0.71,0.7
0.7,3621970.0,0.7,2011-02-24,0.71,0.7
0.7,3621970.0,0.7,2011-02-24,0.71,0.7
0.7,1067190.0,0.7,2011-02-25,0.72,0.7
0.7,1556730.0,0.71,2011-02-28,0.71,0.7
0.71,1882850.0,0.71,2011-03-02,0.72,0.7
0.71,2756410.0,0.71,2011-03-03,0.73,0.71
0.72,5417380.0,0.72,2011-03-04,0.72,0.71
0.72,5417380.0,0.72,2011-03-04,0.72,0.71
0.73,19705550.0,0.74,2011-03-07,0.76,0.73
0.74,2339320.0,0.73,2011-03-08,0.75,0.73
0.74,2339320.0,0.73,2011-03-08,0.75,0.73
0.73,1652870.0,0.73,2011-03-11,0.74,0.72
0.73,1652870.0,0.73,2011-03-11,0.74,0.72
0.7,1750110.0,0.71,2011-03-16,0.71,0.7
0.7,1445510.0,0.7,2011-03-17,0.71,0.7
0.7,1651100.0,0.7,2011-03-18,0.71,0.7
0.71,4468970.0,0.69,2011-03-21,0.71,0.69
0.7,8363490.0,0.71,2011-03-22,0.72,0.7
0.7,5054570.0,0.7,2011-03-23,0.72,0.7
0.71,1234690.0,0.71,2011-03-24,0.71,0.71
0.72,22222980.0,0.71,2011-03-25,0.72,0.71
0.71,30377130.0,0.73,2011-03-28,0.74,0.71
0.73,4433380.0,0.72,2011-03-29,0.74,0.72
0.72,2339030.0,0.72,2011-03-30,0.73,0.72
0.73,2057050.0,0.73,2011-03-31,0.73,0.71
0.73,12494400.0,0.75,2011-04-01,0.76,0.73
0.76,2882450.0,0.75,2011-04-04,0.76,0.74
0.75,5504980.0,0.75,2011-04-05,0.75,0.74
0.75,26893410.0,0.77,2011-04-06,0.78,0.75
0.78,10915260.0,0.76,2011-04-07,0.79,0.76
0.76,5031940.0,0.77,2011-04-08,0.77,0.75
0.76,1647430.0,0.76,2011-04-11,0.77,0.75
0.76,3689590.0,0.76,2011-04-12,0.76,0.74
0.76,1361310.0,0.75,2011-04-13,0.76,0.75
0.75,3130300.0,0.75,2011-04-14,0.75,0.73
0.75,3907320.0,0.75,2011-04-15,0.76,0.75
0.75,2421630.0,0.75,2011-04-26,0.76,0.74
0.76,20373110.0,0.76,2011-04-27,0.8,0.76
0.77,1198830.0,0.76,2011-04-28,0.78,0.76
0.75,718370.0,0.76,2011-04-29,0.76,0.75
0.76,1677730.0,0.75,2011-05-02,0.76,0.75
0.75,857000.0,0.75,2011-05-03,0.76,0.75
0.75,702860.0,0.75,2011-05-04,0.75,0.74
0.74,1950200.0,0.73,2011-05-05,0.74,0.73
0.73,1253170.0,0.75,2011-05-06,0.75,0.73
0.75,990290.0,0.74,2011-05-09,0.75,0.74
0.74,2042870.0,0.73,2011-05-10,0.74,0.73
0.74,1501940.0,0.74,2011-05-11,0.76,0.74
0.74,1872290.0,0.73,2011-05-12,0.74,0.73
0.74,1822270.0,0.74,2011-05-13,0.75,0.74
