OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.5,58737970.0,2.7,2012-10-18,4.5,2.4
2.95,13977370.0,2.55,2012-10-19,2.95,2.01
2.54,3080920.0,2.27,2012-10-22,2.54,2.22
2.28,2788530.0,2.25,2012-10-23,2.3,2.2
2.25,2514930.0,2.23,2012-10-24,2.38,2.1
2.24,864380.0,2.11,2012-10-25,2.3,2.11
2.11,750760.0,2.05,2012-10-29,2.19,2.05
2.1,2303770.0,2.0,2012-10-30,2.23,1.88
1.92,369150.0,2.0,2012-10-31,2.0,1.9
2.0,459670.0,1.85,2012-11-05,2.0,1.85
1.85,512620.0,1.76,2012-11-06,1.85,1.75
1.74,1249560.0,1.63,2012-11-07,1.74,1.4
1.53,324100.0,1.43,2012-11-08,1.59,1.43
1.4,232280.0,1.39,2012-11-09,1.41,1.38
1.39,81700.0,1.34,2012-11-12,1.39,1.34
1.26,610610.0,1.27,2012-11-13,1.34,1.23
1.28,492830.0,1.21,2012-11-14,1.3,1.21
1.21,228520.0,1.22,2012-11-15,1.25,1.21
1.21,198910.0,1.19,2012-11-16,1.21,1.18
1.18,394860.0,1.15,2012-11-19,1.18,1.14
1.16,212060.0,1.16,2012-11-20,1.21,1.16
1.18,30280.0,1.16,2012-11-21,1.18,1.16
1.16,5840.0,1.2,2012-11-22,1.2,1.16
1.16,157950.0,1.16,2012-11-23,1.22,1.16
1.15,12680.0,1.15,2012-11-26,1.17,1.15
1.15,48099.99999999999,1.14,2012-11-27,1.15,1.14
1.15,188940.0,1.2,2012-11-28,1.21,1.15
1.2,40650.0,1.26,2012-11-29,1.26,1.2
1.22,6180.0,1.22,2012-12-03,1.26,1.22
1.25,206070.0,1.22,2012-12-04,1.26,1.2
1.2,128560.0,1.18,2012-12-05,1.2,1.18
1.18,3540.0,1.18,2012-12-06,1.18,1.18
1.18,139620.0,1.18,2012-12-07,1.18,1.17
1.18,58240.0,1.16,2012-12-10,1.18,1.16
1.16,57080.0,1.16,2012-12-11,1.17,1.16
1.16,12930.0,1.19,2012-12-12,1.19,1.16
1.19,10753370.0,1.65,2012-12-13,1.77,1.19
1.65,2355200.0,1.4,2012-12-14,1.65,1.34
1.4,1006970.0,1.33,2012-12-17,1.46,1.27
1.21,317690.0,1.29,2012-12-18,1.42,1.21
1.23,322230.0,1.3,2012-12-19,1.34,1.21
1.3,292170.0,1.35,2012-12-20,1.46,1.3
1.43,50170.0,1.4,2012-12-21,1.43,1.35
1.34,150970.0,1.3,2012-12-26,1.36,1.3
1.3,145520.0,1.28,2012-12-27,1.34,1.27
1.31,157660.0,1.25,2012-12-28,1.31,1.25
1.25,171220.0,1.26,2013-01-02,1.3,1.25
1.26,30750.0,1.31,2013-01-03,1.31,1.26
1.28,214530.0,1.28,2013-01-04,1.3,1.28
1.27,114210.0,1.26,2013-01-07,1.3,1.26
1.26,230580.0,1.26,2013-01-08,1.26,1.26
1.27,1089130.0,1.34,2013-01-09,1.45,1.27
1.34,180170.0,1.37,2013-01-10,1.37,1.3
1.3,83180.0,1.31,2013-01-11,1.35,1.3
1.31,91090.0,1.3,2013-01-14,1.31,1.3
1.3,224940.0,1.31,2013-01-15,1.31,1.3
1.34,77640.0,1.28,2013-01-16,1.34,1.28
1.28,81500.0,1.29,2013-01-17,1.29,1.27
1.27,19050.0,1.27,2013-01-18,1.27,1.27
1.28,80830.0,1.3,2013-01-21,1.32,1.27
1.28,8980.0,1.3,2013-01-23,1.3,1.28
1.29,42700.0,1.31,2013-01-24,1.31,1.29
1.29,166120.0,1.31,2013-01-25,1.32,1.29
1.34,39570.0,1.29,2013-01-28,1.39,1.29
1.29,428650.0,1.32,2013-01-29,1.35,1.29
1.33,2502840.0,1.5,2013-01-30,1.6,1.33
1.48,1500270.0,1.35,2013-01-31,1.5,1.35
1.35,132180.0,1.37,2013-02-01,1.39,1.34
1.44,332370.0,1.41,2013-02-04,1.44,1.36
1.38,109700.0,1.38,2013-02-05,1.42,1.38
1.4,235240.0,1.4,2013-02-06,1.45,1.39
1.43,250280.0,1.44,2013-02-07,1.46,1.43
1.44,106660.0,1.43,2013-02-08,1.45,1.43
1.43,33900.0,1.4,2013-02-11,1.43,1.4
1.39,51430.0,1.38,2013-02-12,1.4,1.38
1.39,72140.0,1.38,2013-02-13,1.4,1.38
1.37,67390.0,1.38,2013-02-14,1.49,1.37
1.38,561600.0,1.36,2013-02-15,1.38,1.36
1.35,86410.0,1.36,2013-02-18,1.36,1.35
1.4,142290.0,1.35,2013-02-19,1.4,1.35
1.35,40500.0,1.35,2013-02-20,1.35,1.35
1.38,56500.0,1.37,2013-02-21,1.4,1.37
1.34,6780.0,1.39,2013-02-22,1.39,1.34
1.34,180960.0,1.34,2013-02-25,1.37,1.34
1.34,219270.0,1.32,2013-02-26,1.34,1.32
1.33,55770.0,1.33,2013-02-27,1.33,1.32
1.33,91240.0,1.32,2013-02-28,1.33,1.32
1.32,46200.0,1.32,2013-03-01,1.32,1.32
1.32,71180.0,1.33,2013-03-04,1.33,1.31
1.33,60840.0,1.32,2013-03-05,1.34,1.32
1.32,117850.0,1.34,2013-03-06,1.34,1.31
1.31,14510.0,1.32,2013-03-07,1.32,1.31
1.32,33000.0,1.32,2013-03-08,1.32,1.32
1.33,50210.0,1.32,2013-03-11,1.33,1.32
1.32,177390.0,1.32,2013-03-12,1.32,1.31
1.31,259710.0,1.3,2013-03-14,1.31,1.3
1.3,27300.0,1.3,2013-03-15,1.3,1.3
1.29,33640.0,1.3,2013-03-18,1.3,1.29
1.29,2580.0,1.29,2013-03-19,1.29,1.29
1.29,30980.0,1.3,2013-03-20,1.3,1.29
1.29,110940.0,1.29,2013-03-21,1.29,1.29
1.33,80020.0,1.29,2013-03-22,1.33,1.29
1.29,5160.0,1.29,2013-03-25,1.29,1.29
1.3,14400.0,1.3,2013-03-27,1.33,1.3
1.3,85800.0,1.3,2013-04-01,1.3,1.3
1.3,19500.0,1.3,2013-04-03,1.3,1.3
1.3,1771910.0,1.45,2013-04-04,1.6,1.3
1.53,207890.0,1.48,2013-04-05,1.53,1.42
1.42,242240.0,1.32,2013-04-08,1.42,1.32
1.45,27350.0,1.35,2013-04-10,1.45,1.35
