OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.24,1275580.0,1.28,2009-08-03,1.3,1.24
1.3,2529680.0,1.3,2009-08-04,1.36,1.3
1.32,2299900.0,1.34,2009-08-06,1.4,1.32
1.36,706560.0,1.34,2009-08-07,1.36,1.3
1.34,3379820.0,1.4,2009-08-10,1.4,1.34
1.4,645420.0,1.38,2009-08-11,1.4,1.34
1.34,412720.0,1.34,2009-08-12,1.34,1.34
1.38,68200.0,1.36,2009-08-13,1.38,1.36
1.34,280200.0,1.34,2009-08-14,1.34,1.32
1.32,26400.0,1.32,2009-08-17,1.32,1.32
1.28,102600.0,1.32,2009-08-18,1.32,1.26
1.32,132000.0,1.32,2009-08-20,1.32,1.32
1.32,570960.0,1.36,2009-08-24,1.36,1.32
1.36,145880.0,1.36,2009-08-25,1.36,1.34
1.36,475000.0,1.34,2009-08-26,1.36,1.34
1.34,266000.0,1.32,2009-09-03,1.34,1.32
1.34,406060.0,1.34,2009-09-04,1.36,1.34
1.34,132860.0,1.32,2009-09-16,1.34,1.32
1.32,1320.0,1.32,2009-09-17,1.32,1.32
1.32,192720.0,1.32,2009-09-22,1.32,1.32
1.3,178100.0,1.34,2009-09-23,1.34,1.28
1.26,448560.0,1.26,2009-10-02,1.26,1.26
1.24,49600.0,1.24,2009-10-05,1.24,1.24
1.36,2720.0,1.36,2009-10-07,1.36,1.36
1.28,125440.0,1.28,2009-10-12,1.28,1.28
1.28,252400.0,1.26,2009-10-13,1.28,1.26
1.3,5160.0,1.28,2009-10-14,1.3,1.28
1.28,124160.0,1.28,2009-10-15,1.28,1.28
1.28,18940.0,1.26,2009-10-20,1.28,1.26
1.26,126000.0,1.26,2009-10-21,1.26,1.26
1.26,148680.0,1.26,2009-10-22,1.26,1.26
1.26,31900.0,1.28,2009-10-26,1.28,1.26
1.26,91980.0,1.26,2009-10-27,1.26,1.26
1.26,69300.0,1.26,2009-10-28,1.26,1.26
1.24,62000.0,1.24,2009-10-29,1.24,1.24
1.24,17966560.0,1.26,2009-10-30,1.28,1.24
1.26,31500.0,1.26,2009-11-04,1.26,1.26
1.3,9100.0,1.3,2009-11-05,1.3,1.3
1.3,340280.0,1.26,2009-11-06,1.3,1.26
