OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.0,178000.0,2.9,2009-08-04,3.0,2.9
2.95,319050.0,3.0,2009-08-06,3.0,2.95
3.0,700500.0,3.1,2009-08-07,3.15,3.0
3.2,643700.0,3.3,2009-08-10,3.3,3.2
3.3,772900.0,3.3,2009-08-11,3.35,3.3
3.3,104300.0,3.2,2009-08-12,3.3,3.2
3.35,327450.0,3.2,2009-08-13,3.35,3.2
3.2,115550.0,3.15,2009-08-14,3.2,3.1
3.0,205400.0,2.9,2009-08-18,3.0,2.9
2.95,68550.0,3.1,2009-08-19,3.1,2.9
3.2,352800.0,2.9,2009-08-20,3.2,2.9
3.1,418000.0,3.0,2009-08-24,3.1,3.0
3.05,391700.0,3.05,2009-08-25,3.1,3.05
3.05,27050.0,3.05,2009-08-26,3.1,2.9
3.0,617300.0,2.9,2009-09-03,3.0,2.9
3.0,372150.0,3.05,2009-09-04,3.05,3.0
3.25,105750.0,3.2,2009-09-16,3.25,3.2
3.3,227100.0,3.4,2009-09-17,3.4,3.3
3.35,14407650.0,3.8,2009-09-18,3.85,3.3
3.7,2783300.0,3.3,2009-09-22,3.7,3.2
3.3,978150.0,3.25,2009-09-23,3.3,3.2
2.6,225900.0,2.9,2009-09-30,2.9,2.6
2.9,255200.0,2.9,2009-10-01,2.9,2.9
2.7,833600.0,2.7,2009-10-02,2.85,2.7
2.75,317750.0,2.75,2009-10-05,2.8,2.75
2.95,186800.0,3.0,2009-10-06,3.0,2.8
3.15,525100.0,3.1,2009-10-07,3.2,3.0
3.1,503300.0,3.1,2009-10-08,3.1,3.0
3.0,502700.0,3.15,2009-10-09,3.15,3.0
3.1,1505200.0,3.0,2009-10-12,3.1,3.0
3.0,60000.0,3.0,2009-10-13,3.0,3.0
3.2,40950.0,3.05,2009-10-14,3.2,3.05
3.05,3050.0,3.05,2009-10-15,3.05,3.05
3.05,45750.0,3.05,2009-10-16,3.05,3.05
2.95,27050.0,3.0,2009-10-19,3.05,2.95
3.0,300000.0,3.0,2009-10-20,3.0,3.0
3.0,66000.0,3.0,2009-10-21,3.0,3.0
3.0,15000.0,3.0,2009-10-22,3.0,3.0
3.15,249250.0,3.05,2009-10-23,3.2,3.05
3.1,155000.0,3.1,2009-10-26,3.1,3.1
3.0,300000.0,3.0,2009-10-27,3.0,3.0
3.0,722150.0,3.05,2009-10-28,3.05,3.0
2.9,1102350.0,2.9,2009-10-29,2.95,2.9
3.05,905800.0,2.95,2009-10-30,3.05,2.95
2.95,306800.0,2.95,2009-11-03,2.95,2.95
3.1,1440000.0,3.15,2009-11-04,3.4,3.1
3.1,429000.0,3.05,2009-11-05,3.1,3.0
3.0,372000.0,3.0,2009-11-06,3.0,3.0
3.0,1319550.0,3.2,2009-11-09,3.2,3.0
3.3,1740350.0,3.2,2009-11-10,3.3,3.1
3.2,1402950.0,3.3,2009-11-11,3.4,3.2
2.8,2800.0,2.8,2009-12-15,2.8,2.8
2.85,14250.0,2.85,2009-12-16,2.85,2.85
2.9,105500.0,2.95,2009-12-17,2.95,2.9
2.8,61600.0,2.8,2009-12-18,2.8,2.8
2.8,56000.0,2.8,2009-12-21,2.8,2.8
2.9,436000.0,3.0,2009-12-22,3.0,2.9
3.0,60300.0,2.85,2009-12-23,3.0,2.85
2.85,2850.0,2.85,2010-01-04,2.85,2.85
2.8,357850.0,2.8,2010-01-05,2.8,2.75
2.75,27500.0,2.75,2010-01-06,2.75,2.75
2.75,561000.0,2.75,2010-01-08,2.75,2.75
2.75,85250.0,2.75,2010-01-11,2.75,2.75
2.75,121000.0,2.75,2010-01-12,2.75,2.75
2.75,77250.0,3.0,2010-01-14,3.0,2.75
2.95,424300.0,2.75,2010-01-15,2.95,2.75
2.8,86800.0,2.8,2010-01-18,2.8,2.8
2.8,327400.0,2.75,2010-01-19,2.8,2.75
2.75,697500.0,2.75,2010-01-20,2.8,2.75
2.7,232200.0,2.7,2010-01-22,2.7,2.7
2.5,225000.0,2.6,2010-02-01,2.6,2.5
2.5,212500.0,2.5,2010-02-02,2.5,2.5
2.5,51300.0,2.4,2010-02-03,2.5,2.4
2.4,17300.0,2.65,2010-02-04,2.65,2.4
2.5,34720.0,2.46,2010-02-05,2.5,2.46
2.44,7320.0,2.44,2010-02-08,2.44,2.44
2.32,20880.0,2.32,2010-02-10,2.32,2.32
2.42,36300.0,2.42,2010-03-08,2.42,2.42
2.46,172600.0,2.44,2010-03-15,2.5,2.44
2.44,73200.0,2.44,2010-03-16,2.44,2.44
2.44,36600.0,2.44,2010-03-17,2.44,2.44
2.38,75760.0,2.36,2010-03-31,2.38,2.36
2.38,4760.0,2.38,2010-04-20,2.38,2.38
2.38,35700.0,2.38,2010-04-21,2.38,2.38
2.36,354000.0,2.36,2010-04-22,2.36,2.36
2.4,133080.0,2.26,2010-04-30,2.42,2.26
2.26,271200.0,2.26,2010-05-05,2.26,2.26
2.28,57400.0,2.3,2010-05-14,2.3,2.28
2.3,161000.0,2.3,2010-05-17,2.3,2.3
2.26,48260.0,2.3,2010-05-18,2.3,2.26
2.3,696920.0,2.28,2010-05-19,2.32,2.28
2.36,75460.0,2.36,2010-05-24,2.36,2.34
2.26,151420.0,2.26,2010-05-26,2.26,2.26
2.24,11200.0,2.24,2010-05-28,2.24,2.24
2.3,2300.0,2.3,2010-06-01,2.3,2.3
2.2,154000.0,2.2,2010-06-02,2.2,2.2
2.2,2200.0,2.2,2010-06-03,2.2,2.2
2.24,67200.0,2.24,2010-06-08,2.24,2.24
2.26,34300.0,2.3,2010-06-09,2.3,2.26
2.22,22200.0,2.22,2010-06-11,2.22,2.22
2.26,248400.0,2.26,2010-06-16,2.26,2.24
2.3,143020.0,2.36,2010-06-21,2.36,2.3
2.36,162240.0,2.34,2010-06-22,2.36,2.34
2.34,23400.0,2.34,2010-06-23,2.34,2.34
2.34,163800.0,2.34,2010-06-24,2.34,2.34
2.36,23600.0,2.36,2010-06-25,2.36,2.36
2.38,150140.0,2.38,2010-06-28,2.4,2.38
