OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0048,955200.0,0.0048,2009-08-03,0.0048,0.0048
0.0048,1244900.0,0.005,2009-08-04,0.0055,0.0048
0.005,1498400.0,0.0055,2009-08-06,0.0055,0.0048
0.005,265000.0,0.005,2009-08-07,0.005,0.005
0.005,1475000.0,0.005,2009-08-10,0.005,0.005
0.005,344500.0,0.0055,2009-08-11,0.0055,0.005
0.005,741000.0,0.005,2009-08-12,0.0055,0.005
0.005,185000.0,0.005,2009-08-13,0.005,0.005
0.005,343000.0,0.005,2009-08-14,0.0055,0.005
0.005,1880000.0,0.005,2009-08-17,0.005,0.005
0.0048,1761600.0,0.0048,2009-08-18,0.0048,0.0048
0.0048,422400.0,0.0048,2009-08-19,0.0048,0.0048
0.0048,1022400.0,0.0048,2009-08-20,0.0048,0.0048
0.0048,196800.0,0.0048,2009-08-24,0.0048,0.0048
0.0048,278400.0,0.0048,2009-08-25,0.0048,0.0048
0.0048,408000.0,0.0048,2009-08-26,0.0048,0.0048
0.0048,297600.0,0.0048,2009-09-03,0.0048,0.0048
0.005,1403800.0,0.005,2009-09-04,0.005,0.0048
0.005,799000.0,0.0048,2009-09-16,0.005,0.0048
0.005,250000.0,0.005,2009-09-17,0.005,0.005
0.005,533000.0,0.0048,2009-09-18,0.005,0.0048
0.0048,1151000.0,0.005,2009-09-22,0.005,0.0048
0.0048,1017800.0,0.005,2009-09-23,0.005,0.0048
0.0046,60400.0,0.0048,2009-09-30,0.0048,0.0046
0.0046,374600.0,0.0048,2009-10-01,0.0048,0.0046
0.0046,18400.0,0.0046,2009-10-02,0.0046,0.0046
0.0046,461200.0,0.0048,2009-10-05,0.0048,0.0046
0.0046,418600.0,0.0046,2009-10-06,0.0046,0.0046
0.0046,253000.0,0.0046,2009-10-07,0.0046,0.0046
0.0048,234800.0,0.0046,2009-10-08,0.0048,0.0046
0.0046,1007400.0,0.0046,2009-10-09,0.0046,0.0046
0.0046,450800.0,0.0046,2009-10-12,0.0046,0.0046
0.0046,275400.0,0.0044,2009-10-13,0.0046,0.0044
0.0046,48600.0,0.0044,2009-10-14,0.0046,0.0044
0.0046,341200.0,0.0044,2009-10-15,0.0046,0.0044
0.0044,700400.0,0.0046,2009-10-16,0.0046,0.0044
0.0046,736000.0,0.0046,2009-10-19,0.0046,0.0046
0.0046,276000.0,0.0046,2009-10-20,0.0046,0.0046
0.0044,110000.0,0.0044,2009-10-22,0.0044,0.0044
0.0044,192800.0,0.0046,2009-10-23,0.0046,0.0044
0.0044,61600.0,0.0044,2009-10-26,0.0044,0.0044
0.0044,119800.0,0.0044,2009-10-27,0.0046,0.0044
0.0046,768200.0,0.0046,2009-10-28,0.0046,0.0046
0.0044,66000.0,0.0044,2009-10-29,0.0044,0.0044
0.0046,101200.0,0.0046,2009-10-30,0.0046,0.0046
0.0044,510400.0,0.0044,2009-11-03,0.0044,0.0044
0.0044,132000.0,0.0044,2009-11-04,0.0044,0.0044
0.0044,396000.0,0.0044,2009-11-05,0.0044,0.0044
0.0044,436200.0,0.0044,2009-11-06,0.0046,0.0044
0.0046,2338400.0,0.0055,2009-11-09,0.0055,0.0046
0.005,1908600.0,0.0048,2009-11-10,0.005,0.0048
0.0048,403200.0,0.0048,2009-11-11,0.0048,0.0048
0.0046,722200.0,0.0046,2009-12-15,0.0046,0.0046
0.0046,230000.0,0.0046,2009-12-16,0.0046,0.0046
0.0044,111000.0,0.0046,2009-12-17,0.0046,0.0044
0.0046,354200.0,0.0046,2009-12-18,0.0046,0.0046
0.0044,409200.0,0.0044,2009-12-21,0.0044,0.0044
0.0044,873200.0,0.0044,2009-12-22,0.0046,0.0044
0.0044,562200.0,0.0042,2009-12-23,0.0044,0.0042
0.0044,215600.0,0.0044,2009-12-29,0.0044,0.0044
0.0044,510400.0,0.0044,2010-01-05,0.0044,0.0044
0.0044,616000.0,0.0044,2010-01-06,0.0044,0.0044
0.0044,312400.0,0.0044,2010-01-07,0.0044,0.0044
0.0044,622800.0,0.0044,2010-01-08,0.0046,0.0044
0.0044,157000.0,0.0046,2010-01-11,0.0046,0.0044
0.0044,661400.0,0.0046,2010-01-12,0.0048,0.0044
0.0046,779200.0,0.0044,2010-01-13,0.0046,0.0044
0.0044,268400.0,0.0044,2010-01-14,0.0044,0.0044
0.0044,352000.0,0.0044,2010-01-15,0.0044,0.0044
0.0044,233200.0,0.0044,2010-01-18,0.0044,0.0044
0.0044,286000.0,0.0044,2010-01-19,0.0044,0.0044
0.0046,249000.0,0.0044,2010-01-20,0.0046,0.0044
0.0044,589600.0,0.0044,2010-01-21,0.0044,0.0044
0.0044,238000.0,0.0044,2010-01-22,0.0044,0.0042
0.0042,118200.0,0.0044,2010-01-25,0.0044,0.0042
0.0042,315400.0,0.0044,2010-01-26,0.0044,0.0042
0.0042,1218000.0,0.0042,2010-01-27,0.0042,0.0042
0.0042,21000.0,0.0042,2010-01-28,0.0042,0.0042
0.0042,126000.0,0.0042,2010-01-29,0.0042,0.0042
0.0042,441000.0,0.0042,2010-02-01,0.0042,0.0042
0.0042,630000.0,0.0042,2010-02-02,0.0042,0.0042
0.0042,499800.0,0.0042,2010-02-03,0.0042,0.0042
0.0042,126000.0,0.0042,2010-02-04,0.0042,0.0042
0.0042,29400.0,0.0042,2010-02-05,0.0042,0.0042
0.0042,16800.0,0.0042,2010-02-08,0.0042,0.0042
0.004,36000.0,0.004,2010-02-09,0.004,0.004
0.0042,128000.0,0.004,2010-02-10,0.0042,0.004
0.004,80000.0,0.004,2010-02-11,0.004,0.004
0.004,100000.0,0.004,2010-03-08,0.004,0.004
0.004,200000.0,0.004,2010-03-12,0.004,0.004
0.004,120000.0,0.004,2010-03-15,0.004,0.004
0.004,244000.0,0.004,2010-03-16,0.004,0.004
0.004,160000.0,0.004,2010-03-17,0.004,0.004
0.004,40000.0,0.004,2010-03-31,0.004,0.004
0.004,184000.0,0.004,2010-04-20,0.004,0.004
0.004,100000.0,0.004,2010-04-21,0.004,0.004
0.004,152000.0,0.004,2010-04-22,0.004,0.004
0.004,176000.0,0.004,2010-04-23,0.004,0.004
0.0042,378000.0,0.0042,2010-04-29,0.0042,0.0042
0.0044,130800.0,0.0042,2010-04-30,0.0044,0.0042
0.004,300800.0,0.004,2010-05-04,0.0042,0.004
0.004,244000.0,0.004,2010-05-05,0.004,0.004
0.0042,12600.0,0.0042,2010-05-13,0.0042,0.0042
0.004,268000.0,0.004,2010-05-14,0.004,0.004
0.004,136000.0,0.004,2010-05-17,0.004,0.004
0.0038,190000.0,0.0038,2010-05-18,0.0038,0.0038
0.004,40000.0,0.004,2010-05-19,0.004,0.004
0.0038,278400.0,0.004,2010-05-20,0.004,0.0038
0.0038,79800.0,0.0038,2010-05-21,0.0038,0.0038
0.0038,494000.0,0.0038,2010-05-24,0.0038,0.0038
0.0038,851200.0,0.0038,2010-05-25,0.0038,0.0038
0.0038,490200.0,0.0038,2010-05-26,0.0038,0.0038
0.0038,135000.0,0.0038,2010-05-27,0.004,0.0038
0.004,616200.0,0.004,2010-05-28,0.0042,0.004
0.004,100000.0,0.004,2010-05-31,0.004,0.004
0.004,248000.0,0.0038,2010-06-01,0.004,0.0038
0.004,76200.0,0.0038,2010-06-02,0.004,0.0038
0.0038,174800.0,0.0038,2010-06-03,0.0038,0.0038
0.004,52000.0,0.004,2010-06-04,0.004,0.004
0.0038,215000.0,0.004,2010-06-07,0.004,0.0038
0.004,129600.0,0.004,2010-06-08,0.004,0.0038
0.004,471400.0,0.0038,2010-06-09,0.004,0.0038
0.0038,949000.0,0.004,2010-06-10,0.004,0.0038
0.0038,311600.0,0.0038,2010-06-11,0.0038,0.0038
0.0038,231800.0,0.0038,2010-06-15,0.0038,0.0038
0.0038,262200.0,0.0038,2010-06-16,0.0038,0.0038
0.004,107400.0,0.004,2010-06-21,0.004,0.0038
0.0038,494000.0,0.0038,2010-06-22,0.0038,0.0038
0.0038,114000.0,0.0038,2010-06-23,0.0038,0.0038
0.0038,57000.0,0.0038,2010-06-24,0.0038,0.0038
0.0038,380000.0,0.0038,2010-06-25,0.0038,0.0038
0.0038,349600.0,0.0038,2010-06-28,0.0038,0.0038
0.004,884400.0,0.0042,2010-06-29,0.0042,0.004
0.004,68000.0,0.004,2010-07-01,0.004,0.004
0.0038,178600.0,0.0038,2010-07-02,0.0038,0.0038
0.0038,64600.0,0.0038,2010-07-06,0.0038,0.0038
0.0038,486400.0,0.0038,2010-07-07,0.0038,0.0038
0.0038,72200.0,0.0038,2010-07-08,0.0038,0.0038
0.0038,163400.0,0.0038,2010-07-09,0.0038,0.0038
0.0038,140600.0,0.0038,2010-07-13,0.0038,0.0038
0.0038,167200.0,0.0038,2010-07-14,0.0038,0.0038
0.0038,231800.0,0.0038,2010-07-15,0.0038,0.0038
0.0038,155800.0,0.0038,2010-07-16,0.0038,0.0038
0.0038,76000.0,0.0038,2010-07-19,0.0038,0.0038
0.0038,121800.0,0.0038,2010-07-20,0.004,0.0038
0.0038,76000.0,0.0038,2010-07-21,0.0038,0.0038
0.0038,102600.0,0.0038,2010-07-22,0.0038,0.0038
0.0038,220400.0,0.0038,2010-07-23,0.0038,0.0038
0.004,1394700.0,0.0043,2010-09-20,0.0043,0.004
0.0043,2462400.0,0.0043,2010-09-21,0.0044,0.0042
0.0044,663200.0,0.0043,2010-09-22,0.0044,0.0042
0.0044,1083900.0,0.0044,2010-09-23,0.0044,0.0043
0.0044,1019900.0,0.0046,2010-09-24,0.0046,0.0044
0.0046,603000.0,0.0044,2010-09-27,0.0047,0.0044
0.0044,668800.0,0.0044,2010-09-28,0.0044,0.0044
0.0044,180400.0,0.0044,2010-09-29,0.0044,0.0044
0.0043,237300.0,0.0042,2010-09-30,0.0043,0.0042
0.0042,570200.0,0.0044,2010-10-01,0.0044,0.0042
0.0044,660000.0,0.0044,2010-10-04,0.0044,0.0044
0.0044,607200.0,0.0044,2010-10-05,0.0044,0.0044
