OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.48,24000.0,0.48,2009-08-03,0.48,0.48
0.42,301700.0,0.5,2009-08-10,0.5,0.42
0.49,204000.0,0.43,2009-08-13,0.49,0.35
0.42,12600.0,0.42,2009-08-20,0.42,0.42
0.36,859900.0,0.38,2009-09-16,0.43,0.36
0.39,161400.0,0.41,2009-09-17,0.41,0.39
0.36,164500.0,0.37,2009-09-23,0.37,0.36
0.36,32400.0,0.36,2009-09-30,0.36,0.36
0.37,194500.0,0.41,2009-10-06,0.41,0.37
0.41,41000.0,0.41,2009-10-08,0.41,0.41
0.41,164900.0,0.45,2009-10-16,0.45,0.41
0.44,197000.0,0.44,2009-10-23,0.5,0.44
0.46,146100.0,0.48,2009-10-26,0.48,0.45
0.48,182400.0,0.48,2009-10-27,0.48,0.48
0.5,2348600.0,0.51,2009-10-28,0.58,0.48
0.5,10000.0,0.5,2009-10-29,0.5,0.5
0.47,73500.0,0.46,2009-10-30,0.47,0.45
0.47,269800.0,0.49,2009-11-05,0.49,0.47
0.5,29900.0,0.49,2009-11-06,0.5,0.49
0.49,203800.0,0.5,2009-11-09,0.5,0.48
0.51,203000.0,0.5,2009-11-10,0.51,0.5
0.45,58500.0,0.45,2009-12-18,0.45,0.45
0.52,5200.0,0.52,2009-12-21,0.52,0.52
0.42,4200.0,0.42,2009-12-29,0.42,0.42
0.43,12900.0,0.43,2010-01-04,0.43,0.43
0.41,156900.0,0.39,2010-01-18,0.41,0.39
0.41,246000.0,0.41,2010-01-19,0.41,0.41
0.37,217400.0,0.36,2010-01-27,0.37,0.36
0.39,179400.0,0.39,2010-01-28,0.39,0.39
0.39,19500.0,0.39,2010-02-01,0.39,0.39
0.38,38000.0,0.38,2010-02-02,0.38,0.38
0.35,3500.0,0.35,2010-04-21,0.35,0.35
0.38,11400.0,0.38,2010-04-30,0.38,0.38
0.38,11400.0,0.38,2010-05-21,0.38,0.38
0.35,706200.0,0.37,2010-06-03,0.37,0.35
0.37,184000.0,0.37,2010-06-04,0.37,0.36
0.36,544700.0,0.35,2010-06-07,0.36,0.34
0.33,201300.0,0.33,2010-06-08,0.33,0.33
0.33,36300.0,0.33,2010-06-10,0.33,0.33
0.34,10200.0,0.34,2010-06-15,0.34,0.34
0.34,164300.0,0.37,2010-06-16,0.37,0.34
0.36,18000.0,0.36,2010-06-21,0.36,0.36
0.36,71000.0,0.35,2010-06-22,0.36,0.35
0.34,86500.0,0.36,2010-06-23,0.37,0.34
0.23,41100.0,0.31,2010-07-01,0.32,0.23
0.29,58000.0,0.29,2010-07-02,0.29,0.29
0.32,33200.0,0.34,2010-07-07,0.34,0.32
0.32,9600.0,0.32,2010-07-16,0.32,0.32
0.34,35300.0,0.36,2010-07-20,0.36,0.34
0.36,13800.0,0.34,2010-07-21,0.36,0.34
0.33,22700.0,0.32,2010-07-22,0.33,0.32
0.435,43500.0,0.435,2010-09-20,0.435,0.435
0.44,191700.0,0.43,2010-09-21,0.45,0.43
0.41,45500.0,0.45,2010-09-22,0.45,0.41
0.42,88700.0,0.43,2010-09-23,0.43,0.42
0.42,42000.0,0.42,2010-09-24,0.42,0.42
0.42,240900.0,0.4,2010-09-27,0.42,0.4
0.4,40000.0,0.4,2010-09-30,0.4,0.4
0.405,40500.0,0.405,2010-10-04,0.405,0.405
0.405,80500.0,0.4,2010-10-05,0.405,0.4
0.405,125550.0,0.405,2010-10-06,0.405,0.405
0.42,8400.0,0.42,2010-10-07,0.42,0.42
0.4,80000.0,0.4,2010-10-14,0.4,0.4
0.36,53000.0,0.35,2010-10-19,0.36,0.35
0.38,38000.0,0.38,2010-10-27,0.38,0.38
0.38,7600.0,0.38,2010-11-03,0.38,0.38
0.38,22800.0,0.38,2010-11-08,0.38,0.38
0.37,109000.0,0.36,2010-11-09,0.37,0.36
0.38,200800.0,0.36,2010-11-10,0.38,0.36
0.36,25200.0,0.36,2010-11-12,0.36,0.36
0.36,50400.0,0.36,2010-11-17,0.36,0.36
0.36,287000.0,0.35,2010-11-18,0.36,0.34
0.345,6900.0,0.345,2010-11-19,0.345,0.345
0.36,115200.0,0.36,2010-11-23,0.36,0.36
0.365,90500.0,0.36,2010-11-25,0.365,0.36
0.37,98200.0,0.355,2010-11-26,0.37,0.355
0.37,228500.0,0.35,2010-11-30,0.38,0.35
0.35,84400.0,0.36,2010-12-01,0.36,0.35
0.35,66500.0,0.35,2010-12-02,0.35,0.35
0.38,92750.0,0.355,2010-12-03,0.38,0.355
0.355,3550.0,0.355,2010-12-22,0.355,0.355
0.39,39000.0,0.39,2010-12-29,0.39,0.39
0.39,39000.0,0.39,2010-12-29,0.39,0.39
0.36,43200.0,0.36,2011-01-04,0.36,0.36
0.36,90500.0,0.365,2011-01-05,0.365,0.36
0.37,42200.0,0.385,2011-01-06,0.385,0.37
0.39,115500.0,0.395,2011-01-12,0.395,0.37
0.39,289100.0,0.39,2011-01-13,0.395,0.39
0.385,285500.0,0.38,2011-01-18,0.385,0.38
0.36,3600.0,0.36,2011-01-20,0.36,0.36
0.36,3600.0,0.36,2011-01-20,0.36,0.36
0.35,52500.0,0.35,2011-01-25,0.35,0.35
0.35,3500.0,0.35,2011-01-26,0.35,0.35
0.355,105150.0,0.35,2011-01-27,0.355,0.35
0.35,17500.0,0.35,2011-01-28,0.35,0.35
0.35,17500.0,0.35,2011-01-28,0.35,0.35
0.35,35000.0,0.35,2011-02-02,0.35,0.35
0.37,67000.0,0.375,2011-02-03,0.375,0.37
0.32,45200.0,0.3,2011-02-24,0.32,0.3
0.32,45200.0,0.3,2011-02-24,0.32,0.3
0.3,9000.0,0.3,2011-02-25,0.3,0.3
0.3,75000.0,0.3,2011-03-11,0.3,0.3
0.3,75000.0,0.3,2011-03-11,0.3,0.3
0.31,3100.0,0.31,2011-03-29,0.31,0.31
0.32,32000.0,0.32,2011-04-12,0.32,0.32
0.32,9600.0,0.32,2011-04-13,0.32,0.32
0.34,339700.0,0.32,2011-04-14,0.34,0.31
0.32,45600.0,0.33,2011-04-28,0.33,0.32
0.33,115500.0,0.33,2011-05-03,0.33,0.33
0.325,141050.0,0.32,2011-05-05,0.325,0.32
0.325,3250.0,0.325,2011-05-18,0.325,0.325
0.32,32000.0,0.32,2011-05-25,0.32,0.32
0.32,192000.0,0.32,2011-05-26,0.32,0.32
0.32,22400.0,0.32,2011-06-01,0.32,0.32
0.31,79050.0,0.345,2011-06-07,0.345,0.31
0.34,57800.0,0.34,2011-06-10,0.34,0.34
0.315,3150.0,0.315,2011-06-14,0.315,0.315
0.315,3150.0,0.315,2011-06-22,0.315,0.315
