OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.0,31403600.0,7.3,2009-08-03,7.4,7.0
7.5,32416500.0,7.3,2009-08-04,7.6,7.3
7.6,87731000.0,7.8,2009-08-06,7.9,7.5
7.8,27188000.0,7.7,2009-08-07,8.0,7.6
7.8,48810900.0,8.1,2009-08-10,8.3,7.7
8.1,26025800.0,8.0,2009-08-11,8.2,7.8
8.0,32249500.0,7.8,2009-08-12,8.0,7.8
8.0,18759300.0,7.9,2009-08-13,8.1,7.9
8.1,21134900.0,8.0,2009-08-14,8.2,7.9
7.9,15601400.0,7.6,2009-08-17,7.9,7.5
7.4,18561400.0,7.5,2009-08-18,7.5,7.2
7.5,19314200.0,7.4,2009-08-19,7.6,7.4
7.4,18290200.0,7.3,2009-08-20,7.4,7.3
7.6,10556900.0,7.9,2009-08-24,8.0,7.6
8.0,7668500.0,7.8,2009-08-25,8.0,7.8
7.8,24566600.0,8.0,2009-08-26,8.1,7.8
8.5,15987400.0,8.6,2009-09-03,8.6,8.4
8.8,30528300.0,8.8,2009-09-04,8.9,8.7
9.0,19515600.0,8.9,2009-09-16,9.0,8.8
9.1,15029800.0,9.1,2009-09-17,9.2,9.0
9.1,19569700.0,9.3,2009-09-18,9.3,9.0
9.2,5016200.0,9.1,2009-09-22,9.3,9.1
9.1,11015400.0,9.3,2009-09-23,9.3,9.1
8.9,106822400.0,8.7,2009-09-30,8.9,8.7
8.8,3610600.0,8.9,2009-10-01,8.9,8.8
8.8,9246500.0,8.7,2009-10-02,8.8,8.6
8.6,7926800.0,8.5,2009-10-05,8.6,8.5
8.7,9268200.0,8.7,2009-10-06,8.7,8.6
8.9,22918500.0,8.9,2009-10-07,9.1,8.8
8.9,12099500.0,9.0,2009-10-08,9.0,8.8
9.1,15688500.0,9.1,2009-10-09,9.2,9.0
9.0,11485100.0,9.2,2009-10-12,9.2,9.0
9.1,19359300.0,9.0,2009-10-13,9.1,9.0
8.9,57635300.0,9.0,2009-10-14,9.1,8.9
9.0,14448900.0,9.1,2009-10-15,9.1,9.0
9.0,10055100.0,9.0,2009-10-16,9.1,8.9
8.9,4292100.0,8.9,2009-10-19,9.0,8.8
8.9,7009500.0,8.9,2009-10-20,9.0,8.8
9.0,8136600.0,8.9,2009-10-21,9.0,8.8
8.9,12522600.0,8.9,2009-10-22,9.0,8.9
8.9,4852800.0,8.9,2009-10-23,9.0,8.9
8.9,24072400.0,9.1,2009-10-26,9.2,8.9
9.0,13206300.0,8.8,2009-10-27,9.0,8.8
8.9,9074100.0,8.9,2009-10-28,9.0,8.8
8.9,7207300.0,8.8,2009-10-29,8.9,8.7
8.9,15897500.0,8.9,2009-10-30,9.0,8.8
8.8,12899700.0,8.7,2009-11-03,8.9,8.7
8.8,6479300.0,8.8,2009-11-04,8.8,8.7
8.7,17994500.0,8.7,2009-11-05,8.7,8.6
8.7,5457900.0,8.7,2009-11-06,8.8,8.6
