OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.7,371100.0,3.7,2009-08-03,3.7,3.6
3.7,55500.0,3.7,2009-08-04,3.7,3.7
3.7,11100.0,3.7,2009-08-06,3.7,3.7
3.6,180000.0,3.6,2009-08-07,3.6,3.6
3.6,183600.0,3.6,2009-08-11,3.6,3.6
3.4,40800.0,3.4,2009-08-12,3.4,3.4
3.75,1739300.0,3.8,2009-08-14,3.9,3.75
3.75,18750.0,3.75,2009-08-18,3.75,3.75
3.75,18750.0,3.75,2009-08-19,3.75,3.75
3.8,374800.0,3.95,2009-08-24,4.0,3.8
3.9,858000.0,3.9,2009-08-25,3.9,3.9
3.75,92750.0,3.7,2009-09-17,3.75,3.7
3.65,288350.0,3.65,2009-09-18,3.65,3.65
3.7,48100.0,3.7,2009-10-06,3.7,3.7
3.7,25900.0,3.7,2009-10-08,3.7,3.7
3.9,329500.0,3.9,2009-10-09,3.9,3.7
3.75,146250.0,3.75,2009-10-14,3.75,3.75
3.75,37500.0,3.75,2009-10-19,3.75,3.75
3.6,21600.0,3.6,2009-10-27,3.6,3.6
3.7,3700.0,3.7,2009-10-28,3.7,3.7
3.65,379600.0,3.65,2009-10-29,3.65,3.65
3.7,225700.0,3.7,2009-10-30,3.7,3.7
3.8,3800.0,3.8,2009-11-03,3.8,3.8
3.8,76000.0,3.8,2009-11-04,3.8,3.8
3.85,205900.0,3.8,2009-11-05,3.85,3.8
3.8,652500.0,3.85,2009-11-06,3.85,3.8
3.85,23100.0,3.85,2009-11-09,3.85,3.85
3.85,462000.0,3.85,2009-11-10,3.85,3.85
3.85,180950.0,3.85,2009-11-11,3.85,3.85
3.95,387100.0,3.95,2009-12-16,3.95,3.95
3.95,987500.0,3.95,2009-12-17,3.95,3.95
3.95,335750.0,3.95,2009-12-18,3.95,3.95
3.9,1021800.0,3.9,2009-12-21,3.9,3.9
4.0,80000.0,4.0,2009-12-29,4.0,4.0
4.1,4100.0,4.1,2010-01-07,4.1,4.1
3.95,1308100.0,4.0,2010-01-11,4.0,3.95
4.0,20000.0,4.0,2010-01-13,4.0,4.0
4.0,760500.0,4.0,2010-01-18,4.1,4.0
4.1,276200.0,4.0,2010-01-20,4.1,4.0
4.0,200000.0,4.0,2010-01-21,4.0,4.0
4.0,200000.0,4.0,2010-01-22,4.0,4.0
4.0,556000.0,4.0,2010-01-25,4.0,4.0
4.0,971750.0,4.0,2010-01-26,4.0,3.95
4.0,279000.0,3.95,2010-01-29,4.0,3.95
4.0,119000.0,3.95,2010-02-01,4.0,3.95
3.95,339700.0,3.95,2010-02-03,3.95,3.95
3.95,3950.0,3.95,2010-03-08,3.95,3.95
4.0,12000.0,4.0,2010-03-12,4.0,4.0
4.0,16000.0,4.0,2010-03-15,4.0,4.0
4.1,77900.0,4.1,2010-03-31,4.1,4.1
4.6,414000.0,4.6,2010-04-20,4.6,4.6
4.6,27800.0,4.65,2010-04-21,4.65,4.6
4.7,761700.0,4.8,2010-04-22,4.8,4.7
4.9,2661400.0,5.2,2010-04-23,5.2,4.9
5.8,1228600.0,5.8,2010-04-29,5.8,5.7
5.8,1629100.0,5.5,2010-04-30,5.8,5.5
5.5,93800.0,5.6,2010-05-04,5.6,5.5
5.7,168900.0,5.6,2010-05-05,5.7,5.6
5.8,1282900.0,5.7,2010-05-13,5.9,5.7
5.9,3518900.0,5.7,2010-05-14,5.9,5.7
5.6,180800.0,5.6,2010-05-17,5.7,5.6
5.5,55000.0,5.5,2010-05-18,5.5,5.5
5.4,421200.0,5.4,2010-05-20,5.4,5.4
5.2,521000.0,5.4,2010-05-21,5.4,5.2
5.5,856000.0,5.5,2010-05-24,5.5,5.4
5.4,672800.0,5.2,2010-05-25,5.4,5.2
5.2,52000.0,5.2,2010-05-26,5.2,5.2
5.2,670800.0,5.2,2010-05-28,5.2,5.2
5.1,10200.0,5.1,2010-05-31,5.1,5.1
5.1,155500.0,5.3,2010-06-01,5.3,5.1
5.3,1480600.0,5.4,2010-06-02,5.4,5.3
5.5,1267200.0,5.4,2010-06-03,5.6,5.4
5.5,957000.0,5.5,2010-06-04,5.5,5.5
5.5,38500.0,5.5,2010-06-07,5.5,5.5
5.5,55000.0,5.5,2010-06-08,5.5,5.5
5.5,979000.0,5.5,2010-06-09,5.5,5.5
5.5,27500.0,5.5,2010-06-10,5.5,5.5
5.5,385000.0,5.5,2010-06-11,5.5,5.5
5.5,550000.0,5.5,2010-06-15,5.5,5.5
5.4,280400.0,5.5,2010-06-16,5.5,5.4
5.5,341000.0,5.5,2010-06-22,5.5,5.5
5.4,109000.0,5.5,2010-06-23,5.5,5.4
5.5,275000.0,5.5,2010-06-24,5.5,5.5
5.5,165000.0,5.5,2010-06-25,5.5,5.5
5.5,770000.0,5.5,2010-06-28,5.5,5.5
5.5,550000.0,5.5,2010-06-29,5.5,5.5
5.5,627000.0,5.5,2010-07-01,5.5,5.5
5.7,10163800.0,5.5,2010-07-02,5.7,5.5
5.5,660000.0,5.5,2010-07-06,5.5,5.5
5.6,830600.0,5.5,2010-07-08,5.6,5.5
5.6,1840800.0,5.7,2010-07-09,5.7,5.6
5.4,230800.0,5.5,2010-07-15,5.5,5.4
5.5,11000.0,5.5,2010-07-16,5.5,5.5
5.5,16500.0,5.5,2010-07-19,5.5,5.5
5.4,48600.0,5.4,2010-07-20,5.4,5.4
5.4,16200.0,5.4,2010-07-21,5.4,5.4
5.4,604000.0,5.5,2010-07-22,5.5,5.4
7.0,5611200.0,7.2,2010-09-20,7.2,7.0
7.1,2321700.0,7.1,2010-09-21,7.1,7.1
7.0,630000.0,7.0,2010-09-22,7.0,7.0
7.1,1337155.0,7.05,2010-09-23,7.5,7.05
7.4,74000.0,7.4,2010-09-24,7.4,7.4
7.4,38480.0,7.4,2010-09-27,7.4,7.4
7.1,781740.0,7.4,2010-09-29,7.4,7.1
7.26,2720026.0,7.2,2010-09-30,7.26,7.0
7.0,1554390.0,7.1,2010-10-01,7.1,7.0
7.13,244900.0,7.0,2010-10-04,7.13,7.0
7.1,710.0,7.1,2010-10-05,7.1,7.1
7.1,1500925.0,7.4,2010-10-06,7.5,7.1
7.5,164800.0,7.48,2010-10-07,7.5,7.48
7.48,97240.0,7.48,2010-10-08,7.48,7.48
7.3,915000.0,7.25,2010-10-12,7.3,7.25
7.2,437120.0,7.2,2010-10-13,7.2,7.0
6.9,377400.0,7.2,2010-10-14,7.2,6.8
7.0,4200.0,7.0,2010-10-15,7.0,7.0
7.25,725.0,7.25,2010-10-18,7.25,7.25
7.25,11600.0,7.25,2010-10-21,7.25,7.25
7.2,866437.0,7.2,2010-10-22,7.25,6.76
7.0,350715.0,7.15,2010-10-26,7.15,7.0
7.0,44815.0,7.15,2010-10-27,7.15,7.0
7.0,350715.0,7.15,2010-10-28,7.15,7.0
6.95,347500.0,6.95,2010-10-29,6.95,6.95
7.0,803900.0,7.05,2010-11-02,7.05,7.0
7.2,2790125.0,6.95,2010-11-03,7.2,6.95
7.0,1160482.0,7.0,2010-11-08,7.0,6.98
7.0,70000.0,7.0,2010-11-09,7.0,7.0
7.0,349900.0,6.96,2010-11-10,7.0,6.96
