OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
101.5,2063976307.0,104.0,2013-05-17,105.1,101.5
105.5,415796405.0,102.0,2013-05-20,105.5,101.8
102.2,200491274.0,102.8,2013-05-21,103.3,102.0
102.8,128477756.0,101.9,2013-05-22,103.0,101.5
101.8,477838349.5,97.2,2013-05-23,101.8,97.2
97.55,49218163.0,98.7,2013-05-24,99.0,97.55
98.6,59207790.5,97.5,2013-05-27,98.8,97.0
97.5,27869795.0,97.75,2013-05-28,97.8,97.0
98.0,67192017.5,97.55,2013-05-29,98.9,97.1
97.6,167017848.0,94.3,2013-05-30,97.6,94.0
94.5,98568358.0,92.85,2013-05-31,94.5,92.8
92.85,114165946.5,91.55,2013-06-03,93.0,91.5
91.55,55466039.5,91.15,2013-06-04,92.7,91.15
91.15,87332029.0,90.25,2013-06-05,91.5,90.25
90.2,93177852.5,90.05,2013-06-06,94.0,90.0
90.25,31482736.5,90.8,2013-06-07,91.0,90.25
90.9,105784969.5,91.2,2013-06-10,92.0,90.8
91.1,60940018.0,89.5,2013-06-11,91.2,88.2
88.5,153933587.5,86.5,2013-06-13,88.5,86.4
87.5,63507871.0,88.7,2013-06-14,88.8,87.5
89.0,19142748.5,89.5,2013-06-17,89.5,88.5
89.5,14928666.0,89.9,2013-06-18,91.0,89.5
90.5,21413749.0,89.0,2013-06-19,90.5,88.0
87.0,19613769.0,87.0,2013-06-20,88.0,86.0
85.0,40835503.5,81.3,2013-06-21,85.0,80.5
80.6,34559125.0,79.0,2013-06-24,82.5,79.0
78.0,34512904.5,75.0,2013-06-25,78.5,68.0
75.0,25618498.0,79.6,2013-06-26,81.5,75.0
81.0,13701319.0,80.5,2013-06-27,83.0,80.0
82.0,15411395.5,80.0,2013-06-28,82.0,79.5
80.0,9711145.0,79.95,2013-07-01,81.0,79.0
79.95,69628683.5,79.95,2013-07-02,84.0,79.95
79.95,15075749.5,79.95,2013-07-03,80.1,79.85
79.9,7582614.5,79.65,2013-07-04,79.9,79.65
79.0,7036307.5,79.0,2013-07-05,79.75,79.0
79.1,13705851.0,77.0,2013-07-08,79.1,76.0
77.5,5159334.5,77.0,2013-07-09,77.5,76.45
77.0,27774816.0,77.0,2013-07-10,79.0,76.5
79.0,4911322.5,77.2,2013-07-11,79.0,76.55
77.3,12043821.0,80.0,2013-07-12,80.0,77.2
80.0,12372357.5,81.0,2013-07-15,81.0,80.0
80.95,8831338.5,80.0,2013-07-16,80.95,79.5
80.0,2897488.5,79.8,2013-07-17,80.0,78.1
78.0,19375974.5,78.0,2013-07-18,78.4,78.0
78.0,42168601.0,78.2,2013-07-19,78.2,77.5
78.0,13328408.0,77.75,2013-07-22,78.0,77.5
78.0,35613450.5,78.0,2013-07-23,78.9,77.95
78.0,42859292.5,79.2,2013-07-24,79.2,78.0
79.25,31901270.0,79.5,2013-07-25,80.25,79.25
79.5,29161591.0,79.5,2013-07-26,80.2,79.0
79.5,23617772.0,79.4,2013-07-29,79.5,78.8
78.6,14749042.0,79.0,2013-07-30,79.0,78.45
78.1,13295671.5,77.6,2013-07-31,79.0,77.25
77.5,15386680.0,77.5,2013-08-01,77.5,77.0
77.5,30349921.5,76.95,2013-08-02,77.5,75.4
75.5,4927254.0,76.85,2013-08-05,76.9,75.5
75.6,17991144.0,75.5,2013-08-06,75.6,74.25
75.5,4348358.5,75.85,2013-08-07,76.45,75.4
75.75,4612609.5,76.75,2013-08-08,76.75,75.4
76.75,6589950.5,76.0,2013-08-12,76.85,75.55
76.1,20861773.5,74.55,2013-08-13,76.4,74.5
74.55,16206556.0,73.35,2013-08-14,74.55,73.35
73.35,8355114.0,73.35,2013-08-15,73.4,72.75
73.0,3820527.5,73.2,2013-08-16,73.7,73.0
72.75,24993118.5,70.0,2013-08-22,72.75,69.3
70.0,15831090.0,69.0,2013-08-23,70.0,68.25
69.0,43375707.0,63.0,2013-08-27,69.0,62.5
61.0,69386483.5,56.3,2013-08-28,61.0,56.0
