OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.2,247000.0,8.3,2009-08-03,8.3,8.2
8.3,67000.0,8.3,2009-08-04,8.9,8.3
8.9,283500.0,9.0,2009-08-07,9.2,8.8
8.9,658800.0,9.0,2009-08-10,9.0,8.9
8.9,321500.0,9.0,2009-08-14,9.0,8.9
9.0,175000.0,8.5,2009-08-17,9.0,8.5
8.9,8900.0,8.9,2009-08-20,8.9,8.9
8.9,8900.0,8.9,2009-08-24,8.9,8.9
8.3,780900.0,8.3,2009-08-25,8.8,8.3
8.3,99600.0,8.3,2009-08-26,8.3,8.3
8.3,438400.0,8.3,2009-09-03,8.4,8.2
8.3,125100.0,8.4,2009-09-04,8.4,8.3
8.8,17600.0,8.8,2009-09-16,8.8,8.8
8.8,148900.0,8.7,2009-09-17,8.8,8.7
8.9,2455800.0,11.25,2009-09-18,11.5,8.9
11.25,334550.0,10.75,2009-09-22,11.25,10.5
10.5,405550.0,10.0,2009-09-23,10.5,10.0
9.0,583750.0,10.25,2009-09-30,10.25,9.0
10.0,508075.0,10.5,2009-10-01,10.5,10.0
8.9,199840.0,10.0,2009-10-02,10.0,8.9
10.25,211000.0,10.25,2009-10-06,10.25,10.0
10.25,662475.0,10.75,2009-10-08,11.0,10.0
10.75,2527975.0,12.75,2009-10-09,13.5,10.75
12.75,2281675.0,15.0,2009-10-12,16.5,12.75
15.0,327500.0,14.5,2009-10-13,15.25,14.25
14.5,29000.0,14.5,2009-10-14,14.5,14.5
14.25,798500.0,14.25,2009-10-15,15.0,14.25
14.0,236750.0,14.0,2009-10-16,14.0,13.75
14.5,1482725.0,13.75,2009-10-19,14.75,13.75
13.75,1070950.0,12.0,2009-10-20,13.75,11.5
12.0,177500.0,11.5,2009-10-21,12.0,11.5
11.5,1177250.0,11.5,2009-10-22,12.5,10.75
11.5,351650.0,11.0,2009-10-23,11.5,10.75
10.25,610800.0,10.25,2009-10-26,10.75,10.25
11.75,179450.0,12.0,2009-10-27,12.25,11.75
11.25,10125.0,11.25,2009-10-28,11.25,11.25
11.0,392500.0,10.75,2009-10-29,11.0,10.5
11.5,2300.0,11.5,2009-10-30,11.5,11.5
11.5,154375.0,11.25,2009-11-03,11.5,11.25
11.25,111125.0,11.0,2009-11-04,11.25,11.0
11.0,55000.0,11.0,2009-11-05,11.0,11.0
10.75,7550.0,11.0,2009-11-06,11.0,10.75
11.0,130200.0,11.5,2009-11-09,11.5,11.0
10.5,42000.0,10.5,2009-11-10,10.5,10.5
16.0,3227575.0,13.75,2009-12-17,16.0,13.0
13.75,6925800.0,16.5,2009-12-18,18.25,13.75
16.75,2070125.0,16.75,2009-12-21,17.75,16.75
16.5,521200.0,15.5,2009-12-22,16.5,15.5
15.5,999425.0,15.75,2009-12-23,16.5,15.0
15.0,444750.0,14.5,2009-12-29,15.0,14.5
14.5,467750.0,14.0,2010-01-04,14.5,14.0
13.0,589225.0,14.0,2010-01-05,14.25,13.0
14.0,309250.0,13.75,2010-01-06,14.0,13.5
13.5,78250.0,13.75,2010-01-07,13.75,13.5
13.5,111350.0,13.75,2010-01-08,13.75,13.5
13.25,139025.0,13.25,2010-01-11,13.25,13.0
12.75,135975.0,13.25,2010-01-12,13.25,12.75
13.5,67500.0,13.5,2010-01-13,13.5,13.5
13.5,187250.0,13.75,2010-01-14,14.0,13.5
14.0,854875.0,14.25,2010-01-15,15.0,14.0
14.5,392000.0,14.5,2010-01-18,14.75,14.5
13.5,520475.0,13.0,2010-01-20,13.5,12.5
13.0,40300.0,13.0,2010-01-21,13.0,13.0
13.0,241750.0,13.75,2010-01-22,13.75,13.0
10.75,1075.0,10.75,2010-01-25,10.75,10.75
13.0,65000.0,13.0,2010-01-26,13.0,13.0
13.0,71500.0,13.0,2010-01-27,13.0,13.0
9.8,50920.0,11.5,2010-02-03,11.5,9.8
11.5,36000.0,12.5,2010-02-04,12.5,11.5
12.0,49000.0,12.5,2010-02-05,12.5,12.0
13.75,95000.0,13.5,2010-03-08,13.75,13.5
12.0,42000.0,12.0,2010-03-15,12.0,12.0
13.5,14600.0,13.5,2010-03-16,13.5,13.0
12.25,311225.0,12.0,2010-03-31,12.25,12.0
11.75,119900.0,12.0,2010-04-20,12.0,11.75
11.75,83500.0,12.0,2010-04-21,12.0,11.75
12.5,1250.0,12.5,2010-04-23,12.5,12.5
12.5,37500.0,12.5,2010-05-05,12.5,12.5
12.0,84000.0,12.0,2010-05-13,12.0,12.0
12.0,75500.0,12.0,2010-05-14,12.0,11.5
12.0,298725.0,11.75,2010-05-17,12.0,11.75
11.75,119275.0,11.75,2010-05-18,11.75,11.5
11.75,14100.0,11.75,2010-05-19,11.75,11.75
11.5,46000.0,11.5,2010-05-20,11.5,11.5
11.25,45700.0,12.0,2010-05-21,12.0,11.0
11.25,65250.0,11.25,2010-05-25,11.25,11.25
11.0,110000.0,11.0,2010-05-26,11.0,11.0
11.5,115000.0,11.5,2010-05-27,11.5,11.5
11.5,46500.0,11.75,2010-05-28,11.75,11.5
11.5,57500.0,11.5,2010-06-01,11.5,11.5
11.5,70150.0,11.5,2010-06-03,11.5,11.5
11.5,49950.0,11.75,2010-06-04,11.75,11.5
11.75,117500.0,11.75,2010-06-07,11.75,11.75
11.75,711800.0,12.5,2010-06-08,12.5,11.75
12.75,219375.0,12.25,2010-06-09,12.75,12.25
12.25,79625.0,12.25,2010-06-10,12.25,12.25
12.5,3700.0,12.25,2010-06-16,12.5,12.25
11.75,320775.0,11.75,2010-06-23,11.75,11.75
12.0,71750.0,11.75,2010-06-24,12.0,11.75
11.0,156000.0,11.5,2010-06-28,11.5,11.0
11.5,171250.0,11.25,2010-06-29,11.5,11.25
11.25,2300.0,11.75,2010-07-01,11.75,11.25
11.25,45000.0,11.25,2010-07-02,11.25,11.25
11.75,561675.0,11.75,2010-07-07,12.0,11.75
12.5,627000.0,12.0,2010-07-08,13.0,12.0
12.0,23050.0,11.5,2010-07-09,12.0,11.5
11.0,276700.0,11.0,2010-07-13,11.5,11.0
11.25,33750.0,11.25,2010-07-15,11.25,11.25
11.5,174850.0,11.75,2010-07-19,11.75,11.5
11.75,67350.0,11.75,2010-07-20,12.0,11.5
11.25,15850.0,11.75,2010-07-22,11.75,11.25
11.5,137225.0,11.75,2010-07-23,11.75,11.5
10.9,3270.0,10.9,2010-09-20,10.9,10.9
11.0,55920.0,10.8,2010-09-21,11.0,10.8
10.7,170140.0,10.8,2010-09-22,10.8,10.7
11.0,14300.0,11.0,2010-09-24,11.0,11.0
11.0,111100.0,11.0,2010-09-29,11.0,11.0
11.0,54850.0,10.9,2010-09-30,11.0,10.9
10.5,68250.0,10.5,2010-10-04,10.5,10.5
10.6,106000.0,10.6,2010-10-05,10.6,10.6
10.6,1060.0,10.6,2010-10-06,10.6,10.6
10.6,220380.0,10.7,2010-10-07,10.7,10.6
