OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.5,9500.0,9.5,2009-08-03,9.5,9.5
9.5,28500.0,9.5,2009-08-04,9.5,9.5
8.1,152800.0,8.0,2009-08-06,8.1,8.0
9.0,189200.0,9.6,2009-08-07,9.6,9.0
9.7,9700.0,9.7,2009-08-10,9.7,9.7
9.9,40150.0,10.25,2009-08-14,10.25,9.9
9.5,124300.0,9.6,2009-09-17,9.6,9.5
10.25,267750.0,13.0,2009-09-18,13.0,10.25
10.25,6150.0,10.25,2009-09-22,10.25,10.25
10.0,12000.0,10.0,2009-09-23,10.0,10.0
10.0,248775.0,13.0,2009-09-30,13.0,10.0
10.0,206550.0,12.75,2009-10-08,13.5,10.0
13.25,734925.0,14.0,2009-10-09,14.5,13.25
13.5,1224400.0,16.0,2009-10-12,17.0,13.5
16.5,57300.0,15.5,2009-10-13,16.5,15.0
15.75,15750.0,15.75,2009-10-14,15.75,15.75
15.5,1023100.0,16.25,2009-10-15,16.25,15.5
15.75,54325.0,16.0,2009-10-19,16.0,15.25
12.0,153750.0,15.0,2009-10-23,15.0,12.0
15.0,42000.0,15.0,2009-10-27,15.0,15.0
11.75,11750.0,11.75,2009-10-29,11.75,11.75
15.0,4500.0,15.0,2009-10-30,15.0,15.0
15.0,25500.0,15.0,2009-11-03,15.0,15.0
15.0,30000.0,15.0,2009-11-04,15.0,15.0
9.2,920.0,9.2,2009-11-05,9.2,9.2
13.5,13500.0,13.5,2009-11-06,13.5,13.5
13.5,8850.0,12.0,2009-11-10,13.5,12.0
13.5,1350.0,13.5,2009-11-11,13.5,13.5
26.0,313200.0,18.0,2009-12-17,26.0,18.0
17.5,1561950.0,20.0,2009-12-18,25.0,17.5
21.0,12600.0,21.0,2009-12-21,21.0,21.0
21.0,246500.0,20.0,2009-12-23,21.5,20.0
20.0,7400.0,18.5,2009-12-29,20.0,17.5
19.0,20000.0,19.0,2010-01-04,19.0,18.0
19.5,1950.0,19.5,2010-01-05,19.5,19.5
20.0,3950.0,19.5,2010-01-07,20.0,19.5
14.0,33975.0,18.75,2010-01-14,19.0,14.0
18.0,12750.0,18.0,2010-01-15,18.75,18.0
18.0,1800.0,18.0,2010-01-18,18.0,18.0
18.5,1850.0,18.5,2010-01-19,18.5,18.5
15.0,309875.0,15.0,2010-01-20,15.0,14.5
