OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.0,9000.0,9.0,2009-08-10,9.0,9.0
9.5,47500.0,9.5,2009-09-04,9.5,9.5
13.75,6996625.0,15.75,2009-09-30,15.75,13.75
14.5,5856550.0,16.25,2009-10-01,16.5,14.5
16.25,1082250.0,16.25,2009-10-02,16.25,16.25
16.25,497000.0,16.75,2009-10-05,16.75,16.25
17.0,4484700.0,17.25,2009-10-06,17.75,17.0
17.0,1056925.0,16.5,2009-10-07,17.0,16.25
16.5,2745100.0,17.5,2009-10-08,17.5,16.5
17.25,35725.0,17.0,2009-10-09,17.25,17.0
17.0,1604150.0,17.0,2009-10-12,17.0,16.75
16.75,408950.0,16.25,2009-10-13,16.75,16.25
16.25,125225.0,16.75,2009-10-14,16.75,16.25
16.5,627925.0,16.75,2009-10-16,16.75,16.5
16.75,631975.0,16.75,2009-10-19,17.0,16.75
16.75,117250.0,16.75,2009-10-20,16.75,16.75
16.75,23450.0,16.75,2009-10-21,16.75,16.75
16.75,448900.0,16.75,2009-10-22,16.75,16.75
16.75,366825.0,16.75,2009-10-23,16.75,16.75
17.0,1700.0,17.0,2009-10-26,17.0,17.0
16.75,396750.0,16.25,2009-10-27,16.75,16.25
16.25,501500.0,16.5,2009-10-28,16.5,16.25
16.75,728800.0,17.5,2009-10-30,17.5,16.75
19.0,249800.0,18.5,2009-11-03,19.0,18.0
18.5,124450.0,18.75,2009-11-04,18.75,18.5
17.75,52025.0,19.75,2009-11-06,19.75,17.75
20.0,91850.0,19.75,2009-11-09,21.75,19.5
19.5,17550.0,19.5,2009-11-10,19.5,19.5
19.75,70975.0,19.5,2009-11-11,19.75,19.5
27.0,8100.0,27.0,2009-12-15,27.0,27.0
24.0,20250.0,27.5,2009-12-21,27.5,24.0
26.5,7950.0,26.5,2009-12-23,26.5,26.5
26.5,63950.0,27.0,2009-12-29,27.0,26.5
27.5,27500.0,27.5,2010-01-04,27.5,27.5
20.0,402750.0,27.5,2010-01-05,27.5,20.0
26.5,553250.0,27.0,2010-01-07,27.0,26.5
20.0,350200.0,20.0,2010-01-21,20.25,20.0
20.0,26000.0,20.0,2010-01-22,20.0,20.0
20.0,90000.0,20.0,2010-01-25,20.0,20.0
20.0,142000.0,20.0,2010-01-27,20.0,20.0
20.0,40000.0,20.0,2010-01-28,20.0,20.0
25.5,12750.0,25.5,2010-02-08,25.5,25.5
30.0,24000.0,30.0,2010-03-08,30.0,30.0
25.0,218325.0,20.25,2010-03-12,25.0,20.25
25.0,5000.0,25.0,2010-03-31,25.0,25.0
20.25,40500.0,20.25,2010-04-20,20.25,20.25
21.0,109050.0,20.25,2010-04-21,21.0,20.25
20.0,194000.0,20.0,2010-05-05,20.0,20.0
20.25,10125.0,20.25,2010-05-13,20.25,20.25
20.25,10125.0,20.25,2010-05-14,20.25,20.25
20.25,10125.0,20.25,2010-05-20,20.25,20.25
20.25,121500.0,20.25,2010-05-21,20.25,20.25
20.0,254025.0,20.25,2010-06-01,20.25,20.0
20.25,2025.0,20.25,2010-06-03,20.25,20.25
20.25,81000.0,20.25,2010-06-04,20.25,20.25
20.0,10000.0,20.0,2010-06-07,20.0,20.0
20.25,40500.0,20.25,2010-06-22,20.25,20.25
18.0,756000.0,18.0,2010-09-20,18.0,18.0
15.5,220500.0,16.0,2010-09-23,16.0,15.5
15.0,38000.0,15.0,2010-09-27,15.5,15.0
13.0,221250.0,13.5,2010-10-04,13.5,13.0
15.0,36750.0,13.5,2010-10-05,15.0,13.5
15.0,102000.0,16.5,2010-10-06,16.5,15.0
17.0,88400.0,17.0,2010-10-07,17.0,17.0
14.0,710160.0,13.0,2010-10-12,14.0,13.0
13.0,84150.0,12.9,2010-10-13,13.0,12.9
13.0,35100.0,13.0,2010-10-18,13.0,13.0
13.0,22100.0,13.0,2010-10-20,13.0,13.0
12.0,24000.0,12.0,2010-10-21,12.0,12.0
12.0,124800.0,12.0,2010-10-22,12.0,12.0
12.0,96000.0,12.0,2010-10-27,12.0,12.0
13.0,73500.0,15.0,2010-10-29,15.0,13.0
12.0,135000.0,13.0,2010-11-08,13.0,12.0
12.1,62920.0,12.1,2010-11-10,12.1,12.1
12.02,3602.0,12.0,2010-11-11,12.02,12.0
13.0,18200.0,13.0,2010-11-23,13.0,13.0
13.0,61100.0,13.0,2010-11-24,13.0,13.0
13.0,23400.0,13.0,2010-11-25,13.0,13.0
15.0,33000.0,15.0,2010-11-26,15.0,15.0
16.0,267600.0,17.0,2010-12-07,17.0,16.0
16.0,889096.0,18.4,2010-12-08,18.4,16.0
22.95,919850.0,23.0,2010-12-23,23.0,22.95
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.0,2300.0,23.0,2010-12-28,23.0,23.0
23.5,3186220.0,28.8,2010-12-29,28.8,23.5
23.5,3186220.0,28.8,2010-12-29,28.8,23.5
25.0,1587020.0,25.0,2011-01-05,27.9,25.0
28.8,2880.0,28.8,2011-01-06,28.8,28.8
25.0,2500.0,25.0,2011-01-07,25.0,25.0
25.0,525000.0,25.0,2011-01-12,25.0,25.0
25.0,280000.0,23.0,2011-01-14,25.0,23.0
23.0,672300.0,22.0,2011-01-17,23.0,22.0
22.0,2330355.0,22.0,2011-01-18,22.0,21.0
21.0,21000.0,21.0,2011-01-19,21.0,21.0
21.0,21000.0,21.0,2011-01-19,21.0,21.0
20.15,40300.0,20.15,2011-01-24,20.15,20.15
20.15,60450.0,20.15,2011-01-25,20.15,20.15
21.0,210000.0,21.0,2011-01-27,21.0,21.0
19.0,19000.0,19.0,2011-02-17,19.0,19.0
19.1,229400.0,17.0,2011-02-18,19.2,17.0
