OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
38.0,34200.0,38.0,2011-03-08,38.0,38.0
38.0,34200.0,38.0,2011-03-08,38.0,38.0
57.0,5700.0,57.0,2011-03-31,57.0,57.0
60.0,18000.0,60.0,2011-05-20,60.0,60.0
60.0,10200.0,60.0,2011-05-25,60.0,60.0
30.0,6000.0,30.0,2011-06-01,30.0,30.0
30.0,15000.0,30.0,2011-06-17,30.0,30.0
30.5,3050.0,30.5,2011-07-06,30.5,30.5
30.5,3050.0,30.5,2011-09-16,30.5,30.5
31.0,6200.0,31.0,2012-02-17,31.0,31.0
34.1,3410.0,34.1,2012-03-15,34.1,34.1
51.15,5115.0,51.15,2012-03-20,51.15,51.15
52.0,17680.0,52.0,2012-06-19,52.0,52.0
52.0,4040.0,30.0,2012-06-20,52.0,30.0
30.05,476080.0,30.2,2012-07-03,30.2,30.05
15.1,1510.0,15.1,2012-10-23,15.1,15.1
22.65,22650.0,22.65,2012-11-05,22.65,22.65
33.9,3390.0,33.9,2014-04-24,33.9,33.9
22.7,66435.0,26.5,2014-05-09,27.0,22.65
26.55,15915.0,26.5,2014-05-12,26.55,26.5
26.5,7950.0,26.5,2014-06-03,26.5,26.5
30.0,9800.0,34.0,2014-07-04,34.0,30.0
30.0,3000.0,30.0,2014-07-22,30.0,30.0
35.0,7000.0,35.0,2014-07-23,35.0,35.0
35.0,10500.0,35.0,2014-08-20,35.0,35.0
52.5,5250.0,52.5,2014-10-22,52.5,52.5
52.5,1050.0,52.5,2014-11-07,52.5,52.5
26.25,262.5,26.25,2014-11-18,26.25,26.25
39.2,7855.0,39.35,2015-05-14,39.35,39.2
20.3,4060.0,20.3,2015-06-05,20.3,20.3
18.5,3700.0,18.5,2015-12-01,18.5,18.5
18.48,3696.0,18.48,2016-02-18,18.48,18.48
13.2,2640.0,13.2,2016-03-16,13.2,13.2
15.0,26500.0,19.8,2016-03-28,19.8,15.0
29.7,2970.0,29.7,2016-03-29,29.7,29.7
44.55,71280.0,44.55,2016-03-30,44.55,44.55
44.55,13365.0,44.55,2016-03-31,44.55,44.55
44.55,8910.0,44.55,2016-04-05,44.55,44.55
22.3,6690.0,22.3,2016-04-25,22.3,22.3
12.02,7212.0,12.02,2016-06-23,12.02,12.02
