OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
35.0,104775400.0,35.5,2009-08-03,36.0,34.5
36.0,157125750.0,36.0,2009-08-04,36.5,35.5
36.0,38812950.0,35.5,2009-08-06,36.0,35.0
35.5,25918400.0,34.5,2009-08-07,35.5,34.5
35.5,26115600.0,35.0,2009-08-10,35.5,35.0
35.0,11713000.0,34.5,2009-08-11,35.0,34.5
35.0,40455250.0,34.0,2009-08-12,35.0,34.0
35.0,10342450.0,34.5,2009-08-13,35.0,34.5
35.0,33132950.0,35.0,2009-08-14,35.5,34.5
34.5,25653050.0,34.5,2009-08-17,34.5,34.0
34.0,59743550.0,34.0,2009-08-18,34.0,32.5
34.0,26300400.0,34.5,2009-08-19,35.0,34.0
35.0,34846750.0,34.0,2009-08-20,35.0,33.5
34.0,110362300.0,35.0,2009-08-24,36.0,34.0
35.0,58059100.0,35.0,2009-08-25,35.5,35.0
35.0,61930200.0,35.0,2009-08-26,36.0,35.0
36.0,70266650.0,35.5,2009-09-03,36.0,34.5
35.5,18395700.0,35.5,2009-09-04,36.0,35.0
34.5,71029300.0,34.0,2009-09-16,35.0,34.0
34.5,8626900.0,34.0,2009-09-17,34.5,34.0
34.5,22986550.0,35.0,2009-09-18,35.0,34.5
34.5,96405500.0,34.0,2009-09-22,35.0,33.5
34.5,14037350.0,34.5,2009-09-23,35.0,34.5
34.5,22558150.0,34.5,2009-09-30,34.5,34.0
34.0,35184300.0,34.0,2009-10-01,35.0,34.0
33.5,10205600.0,34.0,2009-10-02,34.0,33.5
34.0,14001200.0,34.5,2009-10-05,34.5,34.0
35.0,41912850.0,34.5,2009-10-06,35.0,34.0
34.5,148980800.0,36.0,2009-10-07,36.0,34.5
36.0,65654250.0,35.5,2009-10-08,36.0,35.5
35.5,29572000.0,36.0,2009-10-09,36.0,35.0
35.5,8348650.0,35.5,2009-10-12,36.0,35.0
35.0,38604950.0,35.0,2009-10-13,35.0,34.5
35.0,39151250.0,35.0,2009-10-14,35.0,34.5
35.0,65962500.0,35.0,2009-10-15,35.5,35.0
35.0,10062550.0,34.5,2009-10-16,35.0,34.5
