OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.18,2481900.0,1.14,2009-08-03,1.18,1.14
1.14,4814560.0,1.14,2009-08-04,1.16,1.14
1.18,1119800.0,1.14,2009-08-06,1.18,1.14
1.14,1489980.0,1.14,2009-08-07,1.14,1.14
1.16,4363720.0,1.14,2009-08-10,1.16,1.14
1.14,5027980.0,1.14,2009-08-11,1.16,1.14
1.16,2262960.0,1.14,2009-08-12,1.16,1.14
1.16,5422400.0,1.2,2009-08-13,1.2,1.14
1.2,9543040.0,1.22,2009-08-14,1.24,1.2
1.2,3486760.0,1.16,2009-08-17,1.2,1.16
1.14,2711840.0,1.12,2009-08-18,1.14,1.1
1.16,1317200.0,1.16,2009-08-19,1.18,1.16
1.18,3470000.0,1.2,2009-08-20,1.2,1.18
1.22,1757680.0,1.2,2009-08-24,1.22,1.2
1.22,3971560.0,1.24,2009-08-25,1.28,1.22
1.26,2100180.0,1.28,2009-08-26,1.28,1.26
1.26,747260.0,1.26,2009-09-03,1.28,1.24
1.26,2355040.0,1.28,2009-09-04,1.28,1.26
1.44,4628560.0,1.4,2009-09-16,1.46,1.4
1.42,3718980.0,1.42,2009-09-17,1.42,1.42
1.42,982140.0,1.42,2009-09-18,1.42,1.4
1.42,4486820.0,1.48,2009-09-22,1.48,1.42
1.48,34207540.0,1.54,2009-09-23,1.58,1.48
1.54,5969280.0,1.46,2009-09-30,1.54,1.46
1.46,11978800.0,1.4,2009-10-01,1.5,1.38
1.4,18829180.0,1.32,2009-10-02,1.4,1.26
1.32,1469020.0,1.32,2009-10-05,1.34,1.32
1.38,1377380.0,1.38,2009-10-06,1.38,1.34
1.4,7051440.0,1.42,2009-10-07,1.46,1.4
1.42,1823320.0,1.4,2009-10-08,1.42,1.4
1.42,242320.0,1.42,2009-10-09,1.42,1.4
1.42,3365980.0,1.4,2009-10-12,1.46,1.38
1.38,1288040.0,1.36,2009-10-13,1.38,1.36
1.36,1569760.0,1.38,2009-10-14,1.38,1.36
1.4,4077340.0,1.42,2009-10-15,1.44,1.4
1.42,1716600.0,1.42,2009-10-16,1.44,1.4
1.4,946280.0,1.42,2009-10-19,1.42,1.38
1.4,1918840.0,1.38,2009-10-20,1.4,1.38
1.42,2483480.0,1.42,2009-10-21,1.42,1.36
1.38,4885600.0,1.42,2009-10-22,1.42,1.38
1.42,3787320.0,1.44,2009-10-23,1.44,1.4
1.4,839720.0,1.42,2009-10-26,1.42,1.4
