OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
225.0,2250.0,225.0,2009-10-16,225.0,225.0
230.0,2300.0,230.0,2009-11-11,230.0,230.0
250.0,2500.0,250.0,2010-01-08,250.0,250.0
280.0,5800.0,300.0,2010-01-21,300.0,280.0
320.0,3200.0,320.0,2010-01-22,320.0,320.0
300.0,9000.0,300.0,2010-01-27,300.0,300.0
300.0,3000.0,300.0,2010-01-29,300.0,300.0
300.0,3000.0,300.0,2010-05-13,300.0,300.0
300.0,3000.0,300.0,2010-06-01,300.0,300.0
300.0,3000.0,300.0,2010-06-07,300.0,300.0
300.0,6000.0,300.0,2010-06-09,300.0,300.0
300.0,234000.0,300.0,2010-06-10,300.0,300.0
260.0,2600.0,260.0,2010-07-02,260.0,260.0
320.0,3200.0,320.0,2010-11-15,320.0,320.0
320.0,3200.0,320.0,2010-12-23,320.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
330.0,331000.0,340.0,2010-12-28,340.0,320.0
350.0,3500.0,350.0,2011-01-03,350.0,350.0
350.0,3500.0,350.0,2011-01-03,350.0,350.0
350.0,3500.0,350.0,2011-01-03,350.0,350.0
350.0,3500.0,350.0,2011-01-10,350.0,350.0
300.0,63000.0,300.0,2011-03-03,300.0,300.0
280.0,56000.0,280.0,2011-03-04,280.0,280.0
280.0,56000.0,280.0,2011-03-04,280.0,280.0
290.0,2900.0,290.0,2011-03-07,290.0,290.0
300.0,64740.0,280.0,2011-03-24,300.0,280.0
280.0,56000.0,280.0,2011-03-25,280.0,280.0
280.0,140000.0,280.0,2011-03-28,280.0,280.0
280.0,84000.0,280.0,2011-03-30,280.0,280.0
280.0,39200.0,280.0,2011-04-01,280.0,280.0
290.0,344500.0,280.0,2011-05-26,290.0,280.0
280.0,274400.0,280.0,2011-06-08,280.0,280.0
270.0,62700.0,260.0,2011-06-27,270.0,260.0
300.0,16500.0,350.0,2011-07-18,350.0,300.0
400.0,8000.0,400.0,2011-07-19,400.0,400.0
450.0,18000.0,450.0,2011-07-20,450.0,450.0
400.0,8000.0,400.0,2011-07-21,400.0,400.0
270.0,2700.0,270.0,2011-08-05,270.0,270.0
290.0,3814500.0,405.0,2011-09-20,405.0,290.0
310.0,36702.0,270.0,2011-09-22,310.0,270.0
275.0,27750.0,280.0,2011-09-23,280.0,275.0
270.0,8100.0,270.0,2011-09-26,270.0,270.0
270.0,5400.0,270.0,2011-10-13,270.0,270.0
333.0,267120.0,405.0,2011-11-18,405.0,333.0
480.0,202050.0,607.5,2011-11-21,607.5,480.0
800.0,65900.0,720.0,2011-11-22,800.0,660.0
911.0,63330.0,900.0,2011-11-23,911.0,900.0
450.0,13500.0,450.0,2011-12-01,450.0,450.0
430.0,4300.0,430.0,2012-01-03,430.0,430.0
400.0,20000.0,400.0,2012-03-09,400.0,400.0
600.0,6000.0,600.0,2012-03-20,600.0,600.0
600.0,6000.0,600.0,2012-05-04,600.0,600.0
420.0,4200.0,420.0,2012-05-28,420.0,420.0
630.0,6300.0,630.0,2012-06-05,630.0,630.0
422.0,4220.0,422.0,2012-08-08,422.0,422.0
430.0,4300.0,430.0,2012-09-17,430.0,430.0
430.0,8600.0,430.0,2012-10-03,430.0,430.0
430.0,25800.0,430.0,2012-12-14,430.0,430.0
600.0,6000.0,600.0,2013-05-09,600.0,600.0
645.0,12900.0,645.0,2013-05-10,645.0,645.0
600.0,12000.0,600.0,2013-05-21,600.0,600.0
600.0,12000.0,600.0,2013-05-23,600.0,600.0
550.0,22000.0,550.0,2013-07-26,550.0,550.0
550.0,5500.0,550.0,2013-09-26,550.0,550.0
720.0,56700.0,825.0,2014-06-30,825.0,720.0
1237.0,12370.0,1237.0,2014-07-01,1237.0,1237.0
1390.0,6950.0,1390.0,2014-07-09,1390.0,1390.0
700.0,59500.0,700.0,2014-09-01,700.0,700.0
601.0,18010.0,600.0,2015-01-13,601.0,600.0
303.0,18180.0,303.0,2015-06-30,303.0,303.0
401.0,13010.0,450.0,2015-09-22,450.0,401.0
669.5,6695.0,669.5,2015-10-05,669.5,669.5
899.5,135330.0,700.0,2016-07-21,899.5,640.0
949.0,143930.0,1000.0,2016-07-22,1000.0,850.0
1250.0,54250.0,1350.0,2016-07-25,1350.0,1000.0
1440.0,191850.0,1250.0,2016-07-26,1450.0,1200.0
1001.0,44865.0,1199.0,2016-07-27,1199.0,1001.0
1250.0,37500.0,1250.0,2016-07-28,1250.0,1250.0
1250.0,434015.0,1448.0,2016-08-01,1600.0,1010.0
1800.0,46830.0,1480.0,2016-08-02,1800.0,1448.0
1250.0,163745.0,1400.0,2016-08-04,1619.0,1100.0
1002.0,10020.0,1002.0,2016-08-10,1002.0,1002.0
1004.0,10040.0,1004.0,2016-08-12,1004.0,1004.0
1002.0,165845.0,1050.0,2016-08-18,1300.0,1001.0
1000.0,40375.0,1000.0,2016-08-25,1025.0,1000.0
1000.0,15000.0,1000.0,2016-08-31,1000.0,1000.0
1000.0,10000.0,1000.0,2016-09-02,1000.0,1000.0
1090.0,101550.0,1090.0,2016-09-08,1098.0,930.0
901.0,25505.0,1050.0,2016-09-09,1050.0,901.0
1090.0,170705.0,1150.0,2016-09-15,1498.0,1090.0
1250.0,22510.0,1001.0,2016-09-16,1250.0,1001.0
1001.0,35005.0,1200.0,2016-09-20,1200.0,1001.0
1002.0,23005.0,1199.0,2016-09-21,1200.0,1002.0
1001.0,20115.0,1014.0,2016-09-29,1014.0,1001.0
1015.0,40570.0,1014.0,2016-09-30,1015.0,1014.0
1010.0,10100.0,1010.0,2016-10-03,1010.0,1010.0
1050.0,5250.0,1050.0,2016-10-10,1050.0,1050.0
1099.0,10745.0,1050.0,2016-10-19,1099.0,1050.0
1003.0,20060.0,1003.0,2016-10-26,1003.0,1003.0
1002.0,5010.0,1002.0,2016-11-09,1002.0,1002.0
1002.0,5010.0,1002.0,2016-11-11,1002.0,1002.0
1001.0,11005.0,1200.0,2016-11-22,1200.0,1001.0
1000.0,5000.0,1000.0,2016-12-05,1000.0,1000.0
1140.0,5700.0,1140.0,2016-12-23,1140.0,1140.0
1147.0,22940.0,1147.0,2017-01-12,1147.0,1147.0
1001.0,20020.0,1001.0,2017-03-09,1001.0,1001.0
1002.0,10020.0,1002.0,2017-03-14,1002.0,1002.0
1002.0,5010.0,1002.0,2017-05-18,1002.0,1002.0
1198.0,29950.0,1198.0,2017-05-29,1198.0,1198.0
1001.0,110350.0,1063.0,2017-06-29,1100.0,1001.0
1006.0,10060.0,1006.0,2017-07-17,1006.0,1006.0
1011.0,15165.0,1011.0,2017-08-10,1011.0,1011.0
1011.0,15165.0,1011.0,2017-08-15,1011.0,1011.0
1150.0,23000.0,1150.0,2017-11-20,1150.0,1150.0
1490.0,44700.0,1490.0,2017-11-29,1490.0,1490.0
1486.0,7430.0,1486.0,2017-12-07,1486.0,1486.0
1474.0,7370.0,1474.0,2018-01-16,1474.0,1474.0
1464.0,7320.0,1464.0,2018-01-18,1464.0,1464.0
1199.0,71985.0,1200.0,2018-01-19,1200.0,1199.0
1465.0,14650.0,1465.0,2018-01-22,1465.0,1465.0
1051.0,10520.0,1053.0,2018-01-23,1053.0,1051.0
1075.0,5375.0,1075.0,2018-01-24,1075.0,1075.0
1450.0,7250.0,1450.0,2018-01-25,1450.0,1450.0
1053.0,26330.0,1054.0,2018-02-15,1054.0,1053.0
1400.0,42935.0,1446.0,2018-03-01,1447.0,1400.0
1152.0,23070.0,1155.0,2018-03-02,1155.0,1152.0
1152.0,27075.0,1499.0,2018-03-05,1499.0,1152.0
1490.0,22330.0,1488.0,2018-03-06,1490.0,1488.0
1489.0,242800.0,2200.0,2018-03-13,2232.0,1489.0
2210.0,575450.0,2900.0,2018-03-14,2990.0,2210.0
2930.0,184680.0,2650.0,2018-03-15,2930.0,2650.0
2480.0,134280.0,2000.0,2018-03-16,2480.0,2000.0
1650.0,32500.0,1450.0,2018-03-19,1700.0,1450.0
1450.0,29000.0,1450.0,2018-03-20,1450.0,1450.0
1500.0,2751500.0,1400.0,2018-03-21,2100.0,1400.0
1925.0,9625.0,1925.0,2018-03-22,1925.0,1925.0
1925.0,19225.0,1920.0,2018-03-23,1925.0,1920.0
1910.0,67700.0,1950.0,2018-03-26,1990.0,1910.0
1930.0,9650.0,1930.0,2018-03-27,1930.0,1930.0
1900.0,19000.0,1900.0,2018-03-28,1900.0,1900.0
1700.0,8500.0,1700.0,2018-04-04,1700.0,1700.0
1900.0,82000.0,2150.0,2018-04-05,2150.0,1900.0
1602.0,91780.0,1700.0,2018-04-12,1800.0,1600.0
1703.0,8515.0,1703.0,2018-04-13,1703.0,1703.0
1703.0,8515.0,1703.0,2018-04-20,1703.0,1703.0
1703.0,8515.0,1703.0,2018-04-25,1703.0,1703.0
1703.0,8515.0,1703.0,2018-04-27,1703.0,1703.0
1401.0,7005.0,1401.0,2018-05-25,1401.0,1401.0
1401.0,924660.0,1401.0,2018-06-19,1401.0,1401.0
1401.0,7005.0,1401.0,2018-06-25,1401.0,1401.0
1401.0,14010.0,1401.0,2018-07-10,1401.0,1401.0
1400.0,7000.0,1400.0,2018-08-23,1400.0,1400.0
1400.0,7000.0,1400.0,2018-09-04,1400.0,1400.0
1400.0,7000.0,1400.0,2018-09-14,1400.0,1400.0
1000.0,20000.0,1000.0,2018-11-05,1000.0,1000.0
1005.0,25125.0,1005.0,2018-11-09,1005.0,1005.0
1489.0,97165.0,1507.0,2018-11-16,1507.0,1489.0
1251.0,312085.0,1800.0,2018-11-19,1800.0,1200.0
1261.0,6305000.0,1261.0,2018-12-14,1261.0,1261.0
1261.0,87780.0,1251.0,2018-12-27,1261.0,1251.0
1253.0,6265.0,1253.0,2019-01-29,1253.0,1253.0
1255.0,25100.0,1255.0,2019-02-19,1255.0,1255.0
1260.0,12600.0,1260.0,2019-03-06,1260.0,1260.0
1251.0,12510.0,1251.0,2019-04-25,1251.0,1251.0
1251.0,12510.0,1251.0,2019-05-21,1251.0,1251.0
1251.0,42130.0,1481.0,2019-06-25,1481.0,1251.0
