OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.04,11460.0,1.06,2009-08-03,1.06,1.04
1.06,62720.0,1.08,2009-08-04,1.08,1.06
1.08,43200.0,1.08,2009-08-11,1.08,1.08
1.06,10600.0,1.06,2009-08-12,1.06,1.06
1.06,10600.0,1.06,2009-08-14,1.06,1.06
1.1,163400.0,1.1,2009-08-24,1.1,1.08
1.18,137620.0,1.22,2009-08-25,1.24,1.16
1.22,541980.0,1.26,2009-08-26,1.3,1.22
1.2,241200.0,1.2,2009-09-03,1.2,1.2
1.2,88800.0,1.2,2009-09-04,1.2,1.2
1.1,55000.0,1.1,2009-09-23,1.1,1.1
1.06,47700.0,1.06,2009-09-30,1.06,1.06
1.06,56180.0,1.06,2009-10-08,1.06,1.06
1.06,1060.0,1.06,2009-10-13,1.06,1.06
1.06,106000.0,1.06,2009-10-15,1.06,1.06
1.04,20800.0,1.04,2009-10-16,1.04,1.04
1.1,368580.0,1.32,2009-10-19,1.36,1.1
1.3,1300.0,1.3,2009-10-20,1.3,1.3
1.32,23760.0,1.32,2009-10-21,1.32,1.32
1.28,54860.0,1.32,2009-10-23,1.34,1.1
1.3,31200.0,1.3,2009-10-28,1.3,1.3
1.32,43040.0,1.32,2009-10-29,1.32,1.14
1.14,1140.0,1.14,2009-10-30,1.14,1.14
1.14,13680.0,1.14,2009-11-03,1.14,1.14
1.28,6400.0,1.28,2009-11-04,1.28,1.28
1.28,1280.0,1.28,2009-11-05,1.28,1.28
1.28,1280.0,1.28,2009-11-11,1.28,1.28
1.06,1060.0,1.06,2009-12-16,1.06,1.06
1.04,55120.0,1.04,2009-12-17,1.04,1.04
1.04,8320.0,1.04,2009-12-18,1.04,1.04
1.16,105760.0,1.2,2009-12-29,1.2,1.16
1.24,14880.0,1.24,2010-01-05,1.24,1.24
1.06,27700.0,1.2,2010-01-08,1.2,1.06
1.2,1200.0,1.2,2010-01-14,1.2,1.2
1.1,9900.0,1.1,2010-01-21,1.1,1.1
1.1,495000.0,1.1,2010-01-22,1.1,1.1
1.08,64800.0,1.08,2010-01-26,1.08,1.08
1.1,1100.0,1.1,2010-01-27,1.1,1.1
1.02,42840.0,1.02,2010-01-28,1.02,1.02
1.04,10400.0,1.04,2010-01-29,1.04,1.04
1.04,61800.0,1.02,2010-02-02,1.04,1.02
1.02,53040.0,1.02,2010-02-03,1.02,1.02
1.02,35700.0,1.02,2010-02-09,1.02,1.02
0.98,266100.0,1.0,2010-02-10,1.42,0.96
1.02,92800.0,1.04,2010-02-11,1.04,1.02
1.08,290480.0,1.08,2010-03-15,1.08,1.06
1.08,35640.0,1.08,2010-03-16,1.08,1.08
1.06,2120.0,1.06,2010-03-17,1.06,1.06
1.16,1160.0,1.16,2010-03-31,1.16,1.16
1.08,7560.0,1.08,2010-04-23,1.08,1.08
1.16,2320.0,1.16,2010-04-30,1.16,1.16
1.08,2160.0,1.08,2010-05-21,1.08,1.08
1.08,21600.0,1.08,2010-05-25,1.08,1.08
1.06,4240.0,1.06,2010-05-26,1.06,1.06
1.0,2000.0,1.0,2010-06-01,1.0,1.0
1.12,11200.0,1.12,2010-06-04,1.12,1.12
1.04,46800.0,1.04,2010-06-07,1.04,1.04
1.04,8320.0,1.04,2010-06-08,1.04,1.04
1.06,5300.0,1.06,2010-06-09,1.06,1.06
1.08,32400.0,1.08,2010-06-23,1.08,1.08
1.12,20160.0,1.12,2010-06-24,1.12,1.12
1.08,32400.0,1.08,2010-06-25,1.08,1.08
1.08,32400.0,1.08,2010-06-28,1.08,1.08
1.1,20100.0,1.12,2010-07-02,1.12,1.1
1.12,1120.0,1.12,2010-07-07,1.12,1.12
1.06,42400.0,1.06,2010-07-09,1.06,1.06
1.06,1060.0,1.06,2010-07-13,1.06,1.06
1.06,53000.0,1.06,2010-07-16,1.06,1.06
1.02,42840.0,1.02,2010-07-20,1.02,1.02
1.08,112300.0,1.08,2010-07-21,1.08,1.06
1.1,35200.0,1.1,2010-07-22,1.1,1.1
1.05,4200.0,1.05,2010-09-21,1.05,1.05
1.05,51300.0,1.08,2010-09-22,1.08,1.05
1.1,25300.0,1.1,2010-09-24,1.1,1.1
1.12,30240.0,1.12,2010-09-27,1.12,1.12
1.15,17250.0,1.15,2010-09-28,1.15,1.15
1.16,2310.0,1.15,2010-09-30,1.16,1.15
1.1,1100.0,1.1,2010-10-04,1.1,1.1
1.06,2120.0,1.06,2010-10-21,1.06,1.06
1.05,58840.0,1.05,2010-10-26,1.06,1.05
1.05,137300.0,1.06,2010-10-27,1.06,1.05
1.0,327500.0,1.07,2010-10-28,1.07,1.0
1.0,35000.0,1.0,2010-11-02,1.0,1.0
1.02,2040.0,1.02,2010-11-03,1.02,1.02
