OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.24,297600.0,1.24,2009-08-03,1.24,1.24
1.24,1984000.0,1.24,2009-08-04,1.24,1.24
1.28,1280.0,1.28,2009-08-11,1.28,1.28
1.28,11520.0,1.28,2009-08-14,1.28,1.28
1.28,477600.0,1.28,2009-08-17,1.28,1.2
1.28,3860.0,1.3,2009-08-18,1.3,1.28
1.2,643600.0,1.2,2009-08-24,1.24,1.2
1.3,576300.0,1.2,2009-08-25,1.3,1.2
1.2,184000.0,1.24,2009-08-26,1.24,1.2
1.22,19520.0,1.22,2009-09-03,1.22,1.22
1.24,406720.0,1.24,2009-09-04,1.24,1.24
1.18,1180.0,1.18,2009-10-01,1.18,1.18
1.18,43660.0,1.18,2009-10-02,1.18,1.18
1.2,2400.0,1.2,2009-10-05,1.2,1.2
1.2,82620.0,1.18,2009-10-06,1.2,1.18
1.2,6000.0,1.2,2009-10-08,1.2,1.2
1.2,26400.0,1.2,2009-10-12,1.2,1.2
1.2,7200.0,1.2,2009-10-13,1.2,1.2
1.22,411340.0,1.24,2009-10-14,1.24,1.22
1.24,634280.0,1.2,2009-10-15,1.24,1.2
1.18,17700.0,1.18,2009-10-16,1.18,1.18
1.22,865420.0,1.2,2009-10-20,1.24,1.2
1.24,1153100.0,1.18,2009-10-21,1.24,1.18
1.18,25000.0,1.2,2009-10-29,1.2,1.18
1.18,282020.0,1.18,2009-10-30,1.18,1.18
1.18,1180.0,1.18,2009-11-03,1.18,1.18
1.22,357800.0,1.18,2009-11-04,1.22,1.18
1.2,328440.0,1.22,2009-11-05,1.22,1.2
1.22,180560.0,1.22,2009-11-11,1.22,1.22
1.26,46460.0,1.26,2009-12-15,1.3,1.24
1.26,198340.0,1.3,2009-12-16,1.3,1.26
1.28,2560.0,1.28,2009-12-17,1.28,1.28
1.28,6400.0,1.28,2009-12-18,1.28,1.28
1.38,31740.0,1.38,2009-12-21,1.38,1.38
1.36,5440.0,1.36,2009-12-22,1.36,1.36
1.3,1300.0,1.3,2009-12-23,1.3,1.3
1.32,1320.0,1.32,2009-12-29,1.32,1.32
1.3,78000.0,1.3,2010-01-05,1.3,1.3
1.3,19500.0,1.3,2010-01-06,1.3,1.3
1.34,198320.0,1.34,2010-01-08,1.34,1.34
1.34,73700.0,1.34,2010-01-12,1.34,1.34
