OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.8,96000.0,4.8,2009-10-06,4.8,4.8
6.5,118700.0,7.1,2009-10-07,7.1,6.5
7.2,614400.0,10.25,2009-10-08,10.25,7.2
9.1,878300.0,9.0,2009-10-09,10.0,8.9
6.3,412000.0,6.8,2009-10-13,6.8,6.3
7.0,1325000.0,9.9,2009-10-14,10.0,7.0
9.9,1232150.0,9.3,2009-10-15,10.25,9.0
9.1,314100.0,9.2,2009-10-16,9.3,9.1
8.9,125100.0,9.0,2009-10-19,9.0,8.9
9.0,198000.0,9.0,2009-10-20,9.0,9.0
9.0,214000.0,8.9,2009-10-21,9.0,8.9
7.5,75000.0,7.5,2009-10-28,7.5,7.5
6.8,86900.0,6.4,2009-11-03,6.9,6.4
7.0,7000.0,7.0,2009-11-06,7.0,7.0
8.0,62400.0,8.0,2009-11-09,9.6,8.0
13.0,7850.0,13.0,2009-12-15,13.25,13.0
10.0,6450.0,12.5,2009-12-16,12.5,10.0
11.5,105775.0,10.5,2009-12-17,12.0,10.5
10.0,1000.0,10.0,2009-12-18,10.0,10.0
13.0,39000.0,13.0,2009-12-21,13.0,13.0
13.0,222875.0,10.0,2009-12-22,13.0,10.0
10.0,90000.0,10.0,2009-12-23,10.0,10.0
12.0,1200.0,12.0,2009-12-29,12.0,12.0
10.0,114920.0,10.0,2010-01-05,10.0,9.6
10.0,10000.0,10.0,2010-01-06,10.0,10.0
9.5,38000.0,9.5,2010-01-07,9.5,9.5
9.5,28500.0,9.5,2010-01-11,9.5,9.5
10.0,20000.0,10.0,2010-01-12,10.0,10.0
9.0,36000.0,9.0,2010-01-18,9.0,9.0
9.5,82600.0,7.2,2010-01-21,10.0,7.2
5.2,21200.0,8.0,2010-01-28,8.0,5.2
6.8,22100.0,8.0,2010-02-01,8.0,6.8
8.7,38200.0,10.5,2010-02-02,10.5,8.7
7.0,49360.0,10.0,2010-02-03,10.0,7.0
9.9,69300.0,9.9,2010-02-05,9.9,9.9
8.9,77300.0,8.5,2010-02-08,8.9,8.5
6.3,72200.0,7.0,2010-02-09,7.5,6.3
8.5,42500.0,8.5,2010-02-11,8.5,8.5
7.2,7200.0,7.2,2010-03-08,7.2,7.2
5.1,5100.0,5.1,2010-03-12,5.1,5.1
7.6,7600.0,7.6,2010-03-17,7.6,7.6
8.0,8000.0,8.0,2010-04-22,8.0,8.0
11.5,1545225.0,15.5,2010-04-29,15.5,11.5
16.0,704600.0,14.5,2010-04-30,16.5,14.5
14.0,132800.0,12.0,2010-05-04,14.0,12.0
11.0,220000.0,11.0,2010-05-05,11.0,11.0
7.5,75000.0,7.5,2010-05-14,7.5,7.5
7.5,7500.0,7.5,2010-05-17,7.5,7.5
8.0,8000.0,8.0,2010-05-21,8.0,8.0
10.25,67250.0,9.5,2010-05-27,10.25,9.5
9.0,90000.0,9.0,2010-06-01,9.0,9.0
9.0,45000.0,9.0,2010-06-10,9.0,9.0
9.0,9000.0,9.0,2010-06-11,9.0,9.0
9.0,1277000.0,13.25,2010-06-15,13.5,9.0
13.0,150500.0,12.5,2010-06-16,13.0,12.0
9.5,111150.0,9.7,2010-06-21,10.0,9.5
10.0,41000.0,10.5,2010-06-28,10.5,10.0
10.0,95000.0,10.0,2010-06-29,10.0,10.0
11.0,96000.0,10.0,2010-07-01,11.0,10.0
10.5,115500.0,10.5,2010-07-02,10.5,10.5
10.5,10500.0,10.5,2010-07-06,10.5,10.5
10.5,5250.0,10.5,2010-07-07,10.5,10.5
10.0,25200.0,11.0,2010-07-13,11.0,10.0
11.5,23000.0,11.5,2010-07-14,11.5,11.5
11.0,33000.0,11.0,2010-07-15,11.0,11.0
10.5,52500.0,10.5,2010-07-20,10.5,10.5
10.5,252375.0,11.0,2010-07-22,11.0,10.5
11.0,11000.0,11.0,2010-07-23,11.0,11.0
7.2,5040.0,7.2,2010-10-06,7.2,7.2
7.2,12960.0,7.2,2010-10-07,7.2,7.2
5.0,100000.0,5.0,2010-12-06,5.0,5.0
5.21,52100.0,5.21,2011-01-18,5.21,5.21
5.2,312000.0,5.2,2011-01-19,5.2,5.2
5.2,312000.0,5.2,2011-01-19,5.2,5.2
5.14,51400.0,5.14,2011-02-01,5.14,5.14
5.14,51400.0,5.14,2011-02-01,5.14,5.14
6.0,77580.0,6.9,2011-04-06,6.9,6.0
6.02,32887.0,6.1,2011-04-12,6.1,6.02
6.1,610.0,6.1,2011-05-04,6.1,6.1
4.12,4518.0,3.98,2011-06-03,4.12,3.98
4.12,4120.0,4.12,2011-06-16,4.12,4.12
5.0,10000.0,5.0,2011-06-17,5.0,5.0
4.12,4120.0,4.12,2011-07-01,4.12,4.12
3.02,15100.0,3.02,2011-07-04,3.02,3.02
4.12,4120.0,4.12,2011-08-23,4.12,4.12
4.35,2461900.0,4.38,2011-08-26,4.38,4.33
4.45,2765620.0,4.46,2011-08-31,4.46,4.45
4.81,33670.0,4.81,2011-09-01,4.81,4.81
4.53,95180.0,4.54,2011-09-02,4.54,4.53
4.6,106900.0,4.65,2011-09-05,4.65,4.6
4.98,159360.0,4.98,2011-09-06,4.98,4.98
5.03,360410.0,6.18,2011-09-07,6.18,5.03
7.08,3794.0,7.3,2011-09-08,8.5,7.08
5.83,553850.0,5.83,2011-09-09,5.83,5.83
7.29,2757997.0,5.83,2011-09-12,7.29,5.82
5.84,1337360.0,5.84,2011-09-14,5.84,5.84
5.85,4680.0,5.85,2011-09-15,5.85,5.85
6.0,4755.0,5.85,2011-09-19,6.0,5.85
4.56,1209480.0,4.6,2011-09-20,4.6,4.56
4.64,3060380.0,4.85,2011-09-21,4.85,4.63
4.9,2219700.0,4.9,2011-09-23,4.9,4.9
5.83,74910.0,4.92,2011-09-26,5.83,4.92
4.86,1892030.0,4.87,2011-10-03,4.87,4.86
4.86,3257180.0,4.87,2011-10-04,4.88,4.86
4.87,3199230.0,4.86,2011-10-06,4.87,4.86
