OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
30.0,3000.0,30.0,2009-10-15,30.0,30.0
30.0,3000.0,30.0,2009-12-22,30.0,30.0
32.0,3200.0,32.0,2009-12-23,32.0,32.0
28.0,14000.0,28.0,2010-01-05,28.0,28.0
28.0,28000.0,28.0,2010-01-06,28.0,28.0
31.0,15500.0,31.0,2010-01-08,31.0,31.0
32.5,13900.0,37.0,2010-01-14,37.0,32.5
42.0,26100.0,45.0,2010-01-15,45.0,42.0
54.0,174350.0,67.0,2010-01-18,67.0,54.0
87.0,35300.0,89.0,2010-01-19,89.0,87.0
82.0,98400.0,82.0,2010-01-20,82.0,82.0
82.0,92400.0,100.0,2010-01-22,100.0,82.0
100.0,30000.0,100.0,2010-02-09,100.0,100.0
63.0,448500.0,61.5,2010-04-23,63.0,61.5
46.0,345920.0,92.0,2010-10-01,92.0,46.0
90.0,972000.0,92.0,2010-10-06,128.0,90.0
90.0,13500.0,90.0,2010-10-07,90.0,90.0
47.0,49444.5,72.0,2011-01-27,72.0,47.0
67.0,10050.0,67.0,2011-02-28,67.0,67.0
60.0,12000.0,60.0,2011-04-12,60.0,60.0
53.5,2450380.0,61.5,2011-05-09,61.5,53.5
61.5,21660.0,75.0,2011-05-10,75.0,61.5
75.0,14250.0,75.0,2011-05-11,75.0,75.0
60.0,102050.0,75.0,2011-05-13,75.0,60.0
55.5,1285.0,73.0,2011-05-16,73.0,55.5
79.0,37920.0,79.0,2011-05-17,79.0,79.0
88.0,2700716.0,100.0,2011-05-19,112.0,81.0
111.0,5850496.0,135.0,2011-05-20,138.0,111.0
120.0,62606.0,70.3,2011-05-23,120.0,70.3
100.0,264570.0,60.2,2011-05-24,105.0,60.2
89.9,638750.0,75.0,2011-05-25,90.0,75.0
75.0,1500.0,75.0,2011-05-27,75.0,75.0
60.0,75540.0,57.0,2011-06-03,60.0,56.5
55.8,5022.0,55.8,2011-06-07,55.8,55.8
68.0,7680.0,70.0,2011-06-08,70.0,68.0
70.0,4762.0,56.2,2011-06-14,70.0,56.2
63.0,1890.0,63.0,2011-06-16,63.0,63.0
56.5,565.0,56.5,2011-06-17,56.5,56.5
56.2,6762.0,56.2,2011-06-21,56.5,56.2
63.0,6460.0,67.0,2011-06-27,67.0,63.0
56.6,566.0,56.6,2011-07-01,56.6,56.6
65.0,650.0,65.0,2011-07-04,65.0,65.0
65.0,650.0,65.0,2011-07-28,65.0,65.0
56.0,560.0,56.0,2011-08-04,56.0,56.0
65.0,3250.0,65.0,2011-08-05,65.0,65.0
57.0,28060.0,56.0,2011-08-08,57.0,56.0
56.5,1695.0,56.5,2011-08-23,56.5,56.5
45.5,134600.0,45.0,2011-09-26,45.5,45.0
56.0,33600.0,56.0,2011-10-07,56.0,56.0
58.5,11700.0,58.5,2011-10-13,58.5,58.5
61.0,6100.0,61.0,2011-10-25,61.0,61.0
55.0,550.0,55.0,2011-11-10,55.0,55.0
55.0,2750.0,55.0,2011-11-16,55.0,55.0
50.5,146715.0,53.0,2011-11-17,55.0,50.5
68.0,25660.0,75.0,2011-11-21,76.0,68.0
45.2,5876.0,45.2,2011-11-25,45.2,45.2
54.5,27250.0,54.5,2011-12-07,54.5,54.5
54.5,24400.0,54.0,2011-12-29,54.5,54.0
54.5,545.0,54.5,2012-01-03,54.5,54.5
54.5,11445.0,54.5,2012-01-04,54.5,54.5
55.0,176970.0,72.0,2012-01-17,72.0,55.0
60.0,22587.0,56.0,2012-01-19,60.0,56.0
56.4,2256.0,56.4,2012-01-20,56.4,56.4
56.4,11280.0,56.4,2012-01-24,56.4,56.4
63.0,630.0,63.0,2012-01-25,63.0,63.0
