OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
45.5,168503500.0,45.0,2009-08-03,46.0,45.0
45.5,75974600.0,45.5,2009-08-04,46.0,45.5
45.5,106933050.0,46.0,2009-08-06,46.0,45.5
45.5,34279150.0,45.0,2009-08-07,46.0,45.0
45.5,61747800.0,45.5,2009-08-10,45.5,45.0
46.0,32776850.0,45.5,2009-08-11,46.0,45.5
45.0,82708150.0,46.0,2009-08-12,46.0,45.0
46.0,27669650.0,46.0,2009-08-13,46.0,45.5
46.0,97061150.0,46.0,2009-08-14,46.0,45.5
46.0,41584300.0,45.5,2009-08-17,46.0,45.0
44.5,71225550.0,44.5,2009-08-18,45.5,43.0
44.0,56495200.0,43.5,2009-08-19,45.0,43.5
45.0,63976700.0,43.5,2009-08-20,45.0,43.0
44.0,171197850.0,45.5,2009-08-24,45.5,44.0
45.5,72329600.0,45.0,2009-08-25,45.5,44.5
45.0,164618800.0,45.0,2009-08-26,45.0,44.5
44.0,141028000.0,44.0,2009-09-03,44.0,43.5
44.0,55192050.0,44.5,2009-09-04,45.0,44.0
44.0,69625350.0,43.5,2009-09-16,44.0,43.5
45.0,116226400.0,44.5,2009-09-17,45.5,44.0
44.5,44766250.0,45.0,2009-09-18,45.0,44.0
44.5,76556100.0,45.0,2009-09-22,45.0,44.0
45.5,80879850.0,45.5,2009-09-23,46.0,45.0
45.0,40102650.0,45.0,2009-09-30,45.5,45.0
45.0,127737000.0,45.0,2009-10-01,45.0,45.0
44.5,68639100.0,45.0,2009-10-02,45.5,44.5
45.0,114954300.0,45.0,2009-10-05,45.5,45.0
45.5,168158050.0,45.5,2009-10-06,45.5,45.0
45.5,101044750.0,46.0,2009-10-07,46.0,45.5
45.5,28611400.0,45.5,2009-10-08,46.0,45.5
46.0,46433300.0,45.5,2009-10-09,46.0,45.5
45.5,28009500.0,45.0,2009-10-12,46.0,45.0
45.5,17092050.0,45.5,2009-10-13,45.5,45.0
45.5,101261100.0,45.5,2009-10-14,45.5,45.0
45.5,151787600.0,46.0,2009-10-15,46.0,45.5
46.0,108643600.0,46.0,2009-10-16,46.5,45.5
46.0,94712300.0,46.5,2009-10-19,47.0,46.0
47.0,298622100.0,48.0,2009-10-20,48.5,47.0
