OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.16,162600.0,0.16,2009-08-03,0.16,0.15
0.16,287300.0,0.165,2009-08-04,0.165,0.16
0.15,13500.0,0.15,2009-08-06,0.15,0.15
0.155,791250.0,0.165,2009-08-07,0.165,0.155
0.165,1523000.0,0.175,2009-08-11,0.175,0.16
0.17,73100.0,0.175,2009-08-12,0.175,0.165
0.165,135000.0,0.175,2009-08-13,0.175,0.165
0.16,11200.0,0.16,2009-08-17,0.16,0.16
0.17,6800.0,0.17,2009-08-18,0.17,0.17
0.17,42250.0,0.165,2009-08-19,0.17,0.165
0.16,217600.0,0.16,2009-08-20,0.16,0.16
0.165,1101300.0,0.16,2009-08-24,0.165,0.16
0.16,468800.0,0.16,2009-08-25,0.16,0.16
0.16,528000.0,0.16,2009-08-26,0.16,0.16
0.165,261100.0,0.17,2009-09-03,0.17,0.16
0.165,365200.0,0.175,2009-09-04,0.175,0.165
0.17,42250.0,0.165,2009-09-16,0.17,0.165
0.165,2847800.0,0.165,2009-09-17,0.17,0.165
0.16,3797300.0,0.155,2009-09-18,0.165,0.155
0.16,4800.0,0.16,2009-09-22,0.16,0.16
0.16,84900.0,0.16,2009-09-23,0.16,0.155
0.16,166400.0,0.16,2009-09-30,0.16,0.16
0.16,33600.0,0.16,2009-10-01,0.16,0.16
0.16,142400.0,0.16,2009-10-05,0.16,0.16
0.16,3200.0,0.16,2009-10-06,0.16,0.16
0.165,178300.0,0.16,2009-10-07,0.165,0.16
0.16,76450.0,0.165,2009-10-08,0.165,0.16
0.16,20850.0,0.165,2009-10-09,0.165,0.16
0.165,204000.0,0.155,2009-10-12,0.165,0.155
0.16,344250.0,0.165,2009-10-14,0.165,0.16
0.16,44800.0,0.16,2009-10-15,0.16,0.16
0.17,1863300.0,0.17,2009-10-16,0.19,0.17
0.17,111000.0,0.17,2009-10-19,0.175,0.17
0.175,815750.0,0.17,2009-10-20,0.175,0.17
0.175,77000.0,0.175,2009-10-21,0.175,0.175
0.175,314100.0,0.175,2009-10-22,0.18,0.17
0.175,83450.0,0.17,2009-10-23,0.175,0.17
0.175,148750.0,0.175,2009-10-26,0.175,0.17
0.17,6800.0,0.17,2009-10-27,0.17,0.17
0.16,12800.0,0.16,2009-10-28,0.16,0.16
0.16,16000.0,0.16,2009-10-29,0.16,0.16
0.16,254950.0,0.165,2009-10-30,0.175,0.16
0.155,17550.0,0.16,2009-11-05,0.16,0.155
0.16,146150.0,0.165,2009-11-09,0.165,0.16
0.155,68150.0,0.16,2009-11-11,0.165,0.155
0.155,28750.0,0.15,2009-12-15,0.155,0.15
0.145,290000.0,0.145,2009-12-16,0.145,0.145
0.15,152500.0,0.15,2009-12-17,0.155,0.15
0.155,15500.0,0.155,2009-12-18,0.155,0.155
0.14,8856400.0,0.14,2009-12-22,0.14,0.14
0.155,1550.0,0.155,2009-12-23,0.155,0.155
0.155,7750.0,0.155,2009-12-29,0.155,0.155
0.155,503850.0,0.165,2010-01-05,0.165,0.155
0.165,21450.0,0.165,2010-01-06,0.165,0.165
0.16,221750.0,0.165,2010-01-07,0.165,0.16
0.165,21450.0,0.165,2010-01-08,0.165,0.165
0.155,26500.0,0.17,2010-01-11,0.17,0.155
0.155,1293200.0,0.155,2010-01-12,0.16,0.155
0.16,22400.0,0.16,2010-01-13,0.16,0.16
0.155,298100.0,0.155,2010-01-14,0.155,0.15
0.155,172050.0,0.155,2010-01-15,0.155,0.155
0.16,160000.0,0.16,2010-01-18,0.16,0.16
0.15,6000.0,0.15,2010-01-20,0.15,0.15
0.155,873450.0,0.145,2010-01-22,0.16,0.145
0.14,4200.0,0.14,2010-01-25,0.14,0.14
0.14,35000.0,0.14,2010-01-29,0.14,0.14
0.1,1000.0,0.1,2010-02-03,0.1,0.1
0.13,272500.0,0.14,2010-02-05,0.14,0.13
0.14,67800.0,0.13,2010-02-08,0.14,0.13
0.135,233050.0,0.135,2010-02-10,0.145,0.13
0.14,2505000.0,0.155,2010-02-11,0.175,0.14
0.155,1550.0,0.155,2010-03-12,0.155,0.155
0.15,1500.0,0.15,2010-03-16,0.15,0.15
0.16,8000.0,0.16,2010-03-31,0.16,0.16
0.16,60800.0,0.15,2010-04-20,0.16,0.15
0.15,9000.0,0.15,2010-04-21,0.15,0.15
0.15,13600.0,0.15,2010-04-23,0.155,0.15
0.155,39500.0,0.15,2010-04-30,0.155,0.15
0.155,279500.0,0.15,2010-05-05,0.155,0.15
0.15,580500.0,0.15,2010-05-13,0.15,0.15
0.15,183000.0,0.15,2010-05-14,0.15,0.15
0.15,45000.0,0.15,2010-05-17,0.15,0.15
0.15,222000.0,0.15,2010-05-19,0.15,0.15
0.14,162400.0,0.14,2010-05-25,0.14,0.14
0.14,1400.0,0.14,2010-05-27,0.14,0.14
0.14,16800.0,0.14,2010-05-28,0.14,0.14
0.14,14000.0,0.14,2010-06-01,0.14,0.14
0.145,1450.0,0.145,2010-06-04,0.145,0.145
0.135,461700.0,0.145,2010-06-10,0.145,0.135
0.145,73950.0,0.145,2010-06-11,0.145,0.145
0.14,15900.0,0.145,2010-06-15,0.145,0.14
0.14,62150.0,0.145,2010-06-16,0.145,0.14
0.14,5600.0,0.14,2010-06-21,0.14,0.14
0.15,7400.0,0.14,2010-06-22,0.15,0.14
0.14,5600.0,0.14,2010-06-23,0.14,0.14
0.15,105000.0,0.15,2010-06-24,0.15,0.15
0.145,142150.0,0.15,2010-06-28,0.15,0.145
0.145,15950.0,0.145,2010-06-29,0.145,0.145
0.14,7000.0,0.14,2010-07-01,0.14,0.14
0.14,19600.0,0.14,2010-07-02,0.14,0.14
0.14,140000.0,0.14,2010-07-06,0.14,0.14
0.135,5550.0,0.145,2010-07-08,0.145,0.135
0.135,1350.0,0.135,2010-07-14,0.135,0.135
0.14,7140150.0,0.15,2010-07-15,0.155,0.14
0.14,41500.0,0.145,2010-07-16,0.145,0.14
0.145,46350.0,0.145,2010-07-19,0.145,0.14
0.14,401000.0,0.145,2010-07-20,0.15,0.14
0.145,933000.0,0.155,2010-07-22,0.165,0.145
0.16,713600.0,0.16,2010-07-23,0.16,0.16
0.161,75270.0,0.166,2010-09-20,0.166,0.16
0.165,602300.0,0.165,2010-09-21,0.17,0.165
0.17,960200.0,0.172,2010-09-22,0.172,0.17
0.172,573910.0,0.184,2010-09-23,0.184,0.172
0.175,253100.0,0.182,2010-09-24,0.182,0.175
0.185,995350.0,0.18,2010-09-27,0.185,0.173
0.175,97650.0,0.181,2010-09-28,0.181,0.175
0.18,81000.0,0.18,2010-09-29,0.18,0.18
0.181,515030.0,0.175,2010-09-30,0.181,0.17
0.175,137720.0,0.171,2010-10-01,0.175,0.171
0.17,22120.0,0.171,2010-10-04,0.171,0.17
0.171,133190.0,0.17,2010-10-05,0.172,0.164
0.17,1700.0,0.17,2010-10-06,0.17,0.17
0.17,333300.0,0.17,2010-10-07,0.178,0.17
0.17,11800.0,0.17,2010-10-08,0.17,0.165
0.17,88300.0,0.165,2010-10-12,0.17,0.165
0.166,14860.0,0.165,2010-10-13,0.166,0.165
0.177,3470.0,0.17,2010-10-14,0.177,0.17
0.165,136960.0,0.165,2010-10-15,0.166,0.165
0.164,13120.0,0.164,2010-10-19,0.164,0.164
0.164,164900.0,0.162,2010-10-20,0.164,0.161
0.162,106350.0,0.161,2010-10-21,0.162,0.161
0.161,1151210.0,0.16,2010-10-22,0.161,0.16
0.16,84780.0,0.16,2010-10-26,0.16,0.158
0.169,3380.0,0.169,2010-10-27,0.169,0.169
0.167,32280.0,0.16,2010-10-28,0.167,0.16
0.16,814550.0,0.163,2010-10-29,0.163,0.16
0.16,41850.0,0.167,2010-11-02,0.167,0.16
0.168,44120.0,0.156,2010-11-03,0.168,0.156
0.157,142150.0,0.16,2010-11-04,0.16,0.156
0.156,7800.0,0.156,2010-11-09,0.156,0.156
0.156,51120.0,0.16,2010-11-10,0.16,0.156
0.156,1154170.0,0.165,2010-11-11,0.165,0.15
