OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.04,1495309274.0,10.56,2017-08-08,11.22,10.56
10.56,582466294.0,10.04,2017-08-09,10.62,9.5
10.1,108316225.0,9.99,2017-08-10,10.38,9.95
9.97,101145253.0,9.58,2017-08-11,9.97,9.35
9.53,59346225.0,9.5,2017-08-14,9.8,9.45
9.51,95115684.0,10.12,2017-08-15,10.14,9.5
10.2,90510032.0,10.3,2017-08-16,10.46,10.14
10.36,66549790.0,10.42,2017-08-17,10.54,10.2
10.38,31366450.0,10.26,2017-08-18,10.48,10.2
10.24,31472144.0,10.0,2017-08-22,10.24,9.98
10.04,31271768.0,10.22,2017-08-23,10.34,10.0
10.24,71847884.0,10.5,2017-08-24,10.5,10.08
10.5,107422412.0,10.72,2017-08-25,10.76,10.38
10.72,54462826.0,10.42,2017-08-29,10.76,10.42
10.46,32790930.0,10.18,2017-08-30,10.54,10.18
10.18,27187288.0,10.24,2017-08-31,10.32,10.08
10.36,10601936.0,10.3,2017-09-04,10.4,10.26
10.32,61950234.0,10.5,2017-09-05,10.68,10.32
10.52,30910096.0,10.46,2017-09-06,10.68,10.46
10.46,23788304.0,10.5,2017-09-07,10.6,10.46
10.5,17058572.0,10.56,2017-09-08,10.64,10.5
10.56,224639254.0,10.78,2017-09-11,10.84,10.56
10.88,101429830.0,10.48,2017-09-13,10.9,10.48
10.48,34555048.0,10.54,2017-09-14,10.64,10.34
10.6,35598706.0,10.34,2017-09-15,10.62,10.28
10.48,24249488.0,10.36,2017-09-18,10.54,10.28
10.48,52090642.0,10.54,2017-09-19,10.7,10.4
10.64,27051590.0,10.4,2017-09-20,10.64,10.38
10.4,21867248.0,10.44,2017-09-21,10.5,10.38
10.5,46525250.0,10.22,2017-09-22,10.5,10.22
10.24,40097376.0,10.04,2017-09-25,10.36,10.04
10.04,47203272.0,9.97,2017-09-26,10.04,9.86
9.98,18274991.0,9.94,2017-09-27,10.1,9.94
9.97,18049876.0,9.9,2017-09-28,10.08,9.9
