OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
51.0,10200.0,51.0,2009-08-25,51.0,51.0
45.0,40500.0,45.0,2009-10-01,45.0,45.0
32.0,19200.0,32.0,2009-10-07,32.0,32.0
48.0,52800.0,48.0,2009-11-05,48.0,48.0
60.0,71400.0,72.0,2009-11-06,72.0,60.0
79.0,7900.0,79.0,2009-11-09,79.0,79.0
72.0,22400.0,80.0,2009-11-11,80.0,72.0
38.0,38000.0,38.0,2010-05-13,38.0,38.0
45.0,4500.0,45.0,2010-10-19,45.0,45.0
45.0,13500.0,45.0,2010-10-22,45.0,45.0
45.0,9000.0,45.0,2010-10-26,45.0,45.0
50.0,10000.0,50.0,2010-11-08,50.0,50.0
60.0,12000.0,60.0,2010-11-24,60.0,60.0
65.0,6500.0,65.0,2010-12-29,65.0,65.0
65.0,6500.0,65.0,2010-12-29,65.0,65.0
75.0,54750.0,75.0,2011-01-10,75.0,75.0
80.0,7200.0,80.0,2011-01-11,80.0,80.0
80.0,7200.0,80.0,2011-01-11,80.0,80.0
81.0,40500.0,81.0,2011-01-13,81.0,81.0
60.0,3600.0,60.0,2011-01-19,60.0,60.0
60.0,3600.0,60.0,2011-01-19,60.0,60.0
60.0,8400.0,60.0,2011-02-18,60.0,60.0
60.0,14391.0,59.9,2011-02-21,60.0,59.9
60.0,14391.0,59.9,2011-02-21,60.0,59.9
54.0,5400.0,54.0,2011-03-17,54.0,54.0
54.0,27000.0,54.0,2011-03-30,54.0,54.0
36.0,3240.0,36.0,2011-05-06,36.0,36.0
44.0,660000.0,44.0,2011-05-19,44.0,44.0
44.0,52800.0,44.0,2011-06-10,44.0,44.0
50.0,276000.0,50.0,2011-07-25,55.0,50.0
55.0,110000.0,55.0,2011-08-10,55.0,55.0
50.0,5000.0,50.0,2011-08-17,50.0,50.0
42.0,28400.0,50.0,2011-09-02,50.0,42.0
55.0,11000.0,55.0,2011-09-13,55.0,55.0
42.0,3360.0,42.0,2011-09-15,42.0,42.0
55.0,11000.0,55.0,2011-10-04,55.0,55.0
55.0,401500.0,55.0,2011-10-12,55.0,55.0
68.0,68000.0,68.0,2011-10-14,68.0,68.0
61.0,316700.0,100.0,2011-11-18,102.0,61.0
140.0,89300.0,99.0,2011-11-21,140.0,99.0
80.0,109520.0,88.0,2011-11-22,95.0,80.0
70.0,7000.0,70.0,2011-12-21,70.0,70.0
45.0,1222650.0,45.0,2011-12-23,45.0,45.0
50.0,5000.0,50.0,2011-12-27,50.0,50.0
50.0,25400.0,60.0,2011-12-29,60.0,50.0
74.0,91760.0,88.0,2012-01-12,90.0,74.0
90.0,4500.0,90.0,2012-01-13,90.0,90.0
99.0,112620.0,76.0,2012-01-16,110.0,76.0
79.0,18740.0,85.0,2012-01-17,85.0,78.0
85.0,16050.0,84.0,2012-01-20,85.0,84.0
80.0,8000.0,80.0,2012-01-24,80.0,80.0
80.0,60590.0,79.0,2012-01-25,80.0,75.0
75.0,28300.0,80.0,2012-01-26,80.0,75.0
80.0,800.0,80.0,2012-01-27,80.0,80.0
85.0,65450.0,85.0,2012-01-30,85.0,85.0
85.0,96900.0,85.0,2012-02-03,85.0,85.0
90.0,10800.0,90.0,2012-02-06,90.0,90.0
90.0,24800.0,96.0,2012-02-07,96.0,90.0
144.0,1860067.0,99.95,2012-02-09,144.0,99.95
90.0,225992.5,81.7,2012-02-10,91.0,80.0
71.0,1440.0,73.0,2012-02-14,73.0,71.0
97.0,22820.0,95.0,2012-02-15,97.0,95.0
72.5,1450.0,72.5,2012-02-16,72.5,72.5
75.5,14345.0,75.5,2012-02-17,75.5,75.5
79.0,2550.0,88.0,2012-02-20,88.0,79.0
88.0,10560.0,88.0,2012-02-21,88.0,88.0
74.0,74000.0,74.0,2012-02-23,74.0,74.0
74.0,8210.0,78.0,2012-02-24,78.0,73.0
73.0,34870.0,70.0,2012-02-27,73.0,70.0
70.0,7000.0,70.0,2012-03-05,70.0,70.0
70.0,2800.0,70.0,2012-03-06,70.0,70.0
81.0,41220.0,72.0,2012-03-08,81.0,72.0
70.0,14000.0,70.0,2012-03-09,70.0,70.0
70.0,2800.0,70.0,2012-03-13,70.0,70.0
75.0,1500.0,75.0,2012-03-14,75.0,75.0
77.0,1540.0,77.0,2012-03-16,77.0,77.0
70.0,38500.0,70.0,2012-03-20,70.0,70.0
70.0,70000.0,70.0,2012-03-22,70.0,70.0
69.0,13800.0,69.0,2012-03-26,69.0,69.0
70.0,27900.0,68.0,2012-03-27,70.0,68.0
