OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
89.0,178000.0,89.0,2016-11-21,89.0,89.0
120.0,79940.0,98.0,2016-11-22,120.0,96.0
130.0,173150.0,115.0,2016-11-23,130.0,110.0
95.0,22470.0,115.0,2016-11-24,115.0,95.0
95.0,22470.0,115.0,2016-11-24,115.0,95.0
95.0,22470.0,115.0,2016-11-24,115.0,95.0
84.0,840.0,84.0,2016-12-06,84.0,84.0
95.0,66920.0,120.0,2016-12-08,120.0,95.0
95.0,10450.0,95.0,2016-12-12,95.0,95.0
99.0,990.0,99.0,2016-12-13,99.0,99.0
118.0,29615.0,102.0,2016-12-14,139.0,102.0
120.0,13114.0,119.9,2016-12-15,120.0,118.0
130.0,65695.0,138.0,2016-12-16,138.0,130.0
130.0,1300.0,130.0,2016-12-19,130.0,130.0
120.0,7710.0,99.0,2016-12-20,120.0,96.0
104.0,1040.0,104.0,2016-12-22,104.0,104.0
119.0,7940.0,155.0,2016-12-27,155.0,119.0
155.0,138460.0,120.0,2016-12-28,155.0,119.0
149.0,76870.0,121.0,2016-12-29,149.0,121.0
149.0,19542.0,120.0,2017-01-03,149.0,120.0
95.0,47890.0,104.0,2017-01-05,105.0,95.0
112.0,35433.0,118.0,2017-01-06,120.0,112.0
118.0,24189.5,109.0,2017-01-09,118.0,97.05
109.1,1091.0,109.1,2017-01-10,109.1,109.1
109.1,1091.0,109.1,2017-01-11,109.1,109.1
109.0,65390.0,105.0,2017-01-13,109.0,105.0
102.0,1020.0,102.0,2017-01-17,102.0,102.0
100.0,11901.0,95.05,2017-01-18,100.0,95.05
95.15,1903.0,95.15,2017-01-19,95.15,95.15
96.5,965.0,96.5,2017-01-23,96.5,96.5
95.05,12504.5,110.0,2017-01-24,110.0,95.0
115.0,1150.0,115.0,2017-01-25,115.0,115.0
97.05,1941.0,97.05,2017-01-27,97.05,97.05
98.0,9800.0,98.0,2017-01-30,98.0,98.0
97.05,4932.0,105.0,2017-01-31,105.0,97.05
105.0,9450.0,105.0,2017-02-02,105.0,105.0
97.35,973.5,97.35,2017-02-07,97.35,97.35
97.3,5838.0,97.3,2017-02-10,97.3,97.3
97.3,5838.0,97.3,2017-02-10,97.3,97.3
98.0,63316.0,115.0,2017-02-13,120.0,98.0
98.0,63316.0,115.0,2017-02-13,120.0,98.0
98.05,43130.5,101.0,2017-02-14,101.0,98.05
100.0,1000.0,100.0,2017-02-17,100.0,100.0
99.6,29964.0,100.0,2017-02-20,100.0,99.6
100.0,10000.0,100.0,2017-02-21,100.0,100.0
99.0,21780.0,99.0,2017-02-22,99.0,99.0
99.0,546990.0,100.0,2017-03-03,100.0,99.0
99.95,47976.0,99.95,2017-03-07,99.95,99.95
95.7,957.0,95.7,2017-03-13,95.7,95.7
95.7,11484.0,95.7,2017-03-15,95.7,95.7
95.7,17226.0,95.7,2017-03-21,95.7,95.7
95.65,9565.0,95.65,2017-03-24,95.65,95.65
95.65,1913.0,95.65,2017-03-27,95.65,95.65
80.6,10157.5,94.95,2017-04-21,94.95,80.6
80.75,208854.0,90.0,2017-04-26,90.0,80.75
90.0,7200.0,90.0,2017-05-08,90.0,90.0
85.05,2551.5,85.05,2017-05-10,85.05,85.05
95.45,19944.5,94.95,2017-05-11,95.45,94.95
85.1,11187.0,94.85,2017-05-12,94.85,85.1
85.1,36630.0,86.0,2017-05-16,86.0,85.1
95.0,950.0,95.0,2017-05-29,95.0,95.0
85.1,851.0,85.1,2017-05-31,85.1,85.1
85.1,6808.0,85.1,2017-06-01,85.1,85.1
85.1,1702.0,85.1,2017-06-27,85.1,85.1
85.1,851.0,85.1,2017-06-29,85.1,85.1
85.05,22963.5,85.05,2017-07-03,85.05,85.05
95.25,1905.0,95.25,2017-07-06,95.25,95.25
95.25,1905.0,95.25,2017-07-10,95.25,95.25
94.5,46635.0,95.25,2017-07-17,95.25,94.5
82.0,14680.0,85.0,2017-07-21,87.0,82.0
85.0,17000.0,85.0,2017-07-24,85.0,85.0
82.0,8200.0,82.0,2017-08-03,82.0,82.0
82.0,16400.0,82.0,2017-08-04,82.0,82.0
82.0,4100.0,82.0,2017-08-07,82.0,82.0
83.0,830.0,83.0,2017-08-10,83.0,83.0
99.95,2949.0,95.0,2017-08-11,99.95,95.0
95.0,9500.0,95.0,2017-09-08,95.0,95.0
82.0,2471.5,83.0,2017-10-19,83.0,82.0
83.0,830.0,83.0,2017-11-14,83.0,83.0
83.0,1660.0,83.0,2017-11-16,83.0,83.0
83.5,835.0,83.5,2018-01-03,83.5,83.5
83.0,4150.0,83.0,2018-01-09,83.0,83.0
83.0,10790.0,83.0,2018-01-16,83.0,83.0
100.0,13800.0,95.0,2018-01-18,100.0,95.0
95.0,1950.0,100.0,2018-01-19,100.0,95.0
100.0,46260.0,102.0,2018-01-22,122.0,100.0
82.0,820.0,82.0,2018-01-30,82.0,82.0
82.3,823.0,82.3,2018-02-12,82.3,82.3
82.1,821.0,82.1,2018-02-23,82.1,82.1
82.1,821.0,82.1,2018-02-26,82.1,82.1
100.0,5000.0,100.0,2018-02-28,100.0,100.0
99.9,2997.0,99.9,2018-03-02,99.9,99.9
