OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.4,4400.0,4.4,2009-08-03,4.4,4.4
4.4,70400.0,4.4,2009-08-04,4.4,4.4
2.75,330000.0,2.75,2009-08-20,2.75,2.75
4.0,40000.0,4.0,2009-10-09,4.0,4.0
5.9,59000.0,5.9,2009-10-16,5.9,5.9
8.7,87000.0,8.7,2009-10-23,8.7,8.7
12.75,127500.0,12.75,2009-10-27,12.75,12.75
13.0,2600.0,13.0,2009-11-06,13.0,13.0
9.0,117000.0,9.0,2009-12-22,9.0,9.0
9.0,90000.0,9.0,2009-12-23,9.0,9.0
11.0,858000.0,11.0,2009-12-29,11.0,11.0
8.0,48000.0,8.0,2010-01-08,8.0,8.0
8.5,17000.0,8.5,2010-03-08,8.5,8.5
13.0,530800.0,14.0,2010-05-13,16.0,13.0
14.0,175200.0,13.0,2010-05-14,14.0,13.0
8.5,8500.0,8.5,2010-05-18,8.5,8.5
11.0,22000.0,11.0,2010-05-27,11.0,11.0
10.0,28000.0,9.0,2010-06-02,10.0,9.0
9.0,1476000.0,9.0,2010-06-03,9.0,9.0
10.0,300000.0,10.0,2010-06-04,10.0,10.0
10.0,20000.0,10.0,2010-06-08,10.0,10.0
10.0,450000.0,10.0,2010-06-09,10.0,10.0
12.0,24000.0,12.0,2010-06-11,12.0,12.0
9.1,808800.0,11.0,2010-06-16,11.0,7.3
10.0,2000.0,10.0,2010-06-28,10.0,10.0
10.0,10000.0,10.0,2010-07-06,10.0,10.0
14.5,29000.0,14.5,2010-07-14,14.5,14.5
12.5,6250.0,12.5,2010-07-16,12.5,12.5
11.0,2200.0,11.0,2010-07-19,11.0,11.0
10.0,8000.0,10.0,2010-09-22,10.0,10.0
12.5,1250.0,12.5,2010-09-24,12.5,12.5
12.38,1238.0,12.38,2010-09-27,12.38,12.38
12.0,12000.0,12.0,2010-09-28,12.0,12.0
9.0,19800.0,9.0,2010-10-13,9.0,9.0
7.65,28450.0,11.0,2010-10-14,11.0,7.65
11.0,66000.0,11.0,2010-10-26,11.0,11.0
9.5,60380.0,11.8,2010-11-10,11.8,9.5
17.7,856680.0,17.7,2011-11-03,17.7,17.7
23.5,5261320.0,25.0,2011-11-04,26.55,23.0
25.0,1418606.0,17.52,2011-11-08,25.0,17.0
20.0,500500.0,17.0,2011-11-09,20.0,17.0
17.1,67730.0,16.5,2011-11-10,17.1,16.0
13.6,121918.0,15.8,2011-11-11,15.8,13.6
16.5,85080.0,17.0,2011-11-14,18.7,14.52
17.0,647920.0,20.75,2011-11-15,22.0,15.0
20.0,228800.0,18.0,2011-11-16,20.5,18.0
17.98,240880.0,16.7,2011-11-17,17.98,15.2
19.0,101800.0,18.5,2011-11-18,19.0,17.4
18.5,1133465.0,19.9,2011-11-21,23.0,18.5
18.02,248468.0,17.04,2011-11-22,18.26,17.04
17.0,83350.0,16.6,2011-11-23,17.0,16.6
16.04,220288.0,17.96,2011-11-24,18.0,16.02
17.78,58432.0,16.02,2011-11-25,17.78,16.02
17.48,100452.0,16.96,2011-11-28,17.48,15.0
16.94,280498.0,15.0,2011-11-29,16.94,14.0
16.28,139956.0,15.0,2011-12-01,16.28,15.0
14.8,13640.0,15.58,2011-12-02,15.58,14.8
15.0,35870.0,14.5,2011-12-05,15.4,14.5
15.38,110530.0,14.7,2011-12-06,15.88,14.7
14.7,99888.0,15.4,2011-12-07,15.6,14.7
15.58,3116.0,15.58,2011-12-09,15.58,15.58
14.06,25378.0,14.52,2011-12-12,14.52,14.04
15.48,1548.0,15.48,2011-12-13,15.48,15.48
15.0,7500.0,15.0,2011-12-14,15.0,15.0
13.72,91894.0,15.26,2011-12-15,15.28,13.62
13.88,63848.0,13.88,2011-12-19,13.88,13.88
14.18,99400.0,14.2,2011-12-21,14.3,14.18
14.0,65820.0,14.0,2011-12-22,14.2,14.0
14.0,14000.0,14.0,2011-12-23,14.0,14.0
14.0,14000.0,14.0,2011-12-26,14.0,14.0
14.0,1400.0,14.0,2011-12-28,14.0,14.0
14.0,72940.0,13.08,2011-12-29,14.0,13.08
14.18,1418.0,14.18,2012-01-02,14.18,14.18
13.8,40020.0,13.8,2012-01-04,13.8,13.8
14.48,2898.0,14.5,2012-01-05,14.5,14.48
14.78,13700.0,13.58,2012-01-06,14.78,13.58
13.58,177062.0,13.32,2012-01-09,14.0,13.3
13.2,95496.0,13.08,2012-01-10,13.2,13.08
12.6,64500.0,13.0,2012-01-11,13.0,12.6
12.8,85760.0,12.8,2012-01-12,12.8,12.8
13.0,15600.0,13.0,2012-01-13,13.0,13.0
13.96,27396.0,13.0,2012-01-16,13.96,13.0
12.9,43950.0,13.0,2012-01-17,13.0,12.6
13.1,2620.0,13.1,2012-01-18,13.1,13.1
13.1,172460.0,13.5,2012-01-20,13.5,13.0
14.5,15850.0,14.4,2012-01-24,14.5,14.4
13.9,13700.0,13.5,2012-01-25,13.9,13.5
14.0,42950.0,13.9,2012-01-26,14.0,13.5
13.52,6760.0,13.52,2012-01-27,13.52,13.52
14.38,4314.0,14.38,2012-01-30,14.38,14.38
13.4,4020.0,13.4,2012-01-31,13.4,13.4
13.0,39646.0,13.9,2012-02-01,13.9,12.6
13.0,27580.0,13.1,2012-02-03,13.9,13.0
12.8,52500.0,12.8,2012-02-07,13.0,12.8
13.0,276494.0,14.4,2012-02-08,14.62,13.0
13.1,94874.0,12.6,2012-02-09,13.1,12.6
13.76,99212.0,12.5,2012-02-13,13.76,12.5
14.18,77864.0,12.5,2012-02-14,14.18,12.5
13.0,106400.0,13.0,2012-02-16,13.7,13.0
13.0,13000.0,13.0,2012-02-17,13.0,13.0
13.5,26050.0,13.0,2012-02-23,13.5,13.0
13.4,95340.0,14.0,2012-02-24,14.0,13.0
14.0,1400.0,14.0,2012-02-27,14.0,14.0
13.4,13400.0,13.4,2012-02-28,13.4,13.4
13.4,120600.0,13.4,2012-02-29,13.4,13.4
13.4,67300.0,13.4,2012-03-01,14.0,13.4
14.2,262188.0,14.0,2012-03-06,16.0,14.0
15.0,52146.0,15.5,2012-03-07,15.98,15.0
15.78,1578.0,15.78,2012-03-09,15.78,15.78
