OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.5,15000.0,1.5,2009-08-07,1.5,1.5
1.42,39760.0,1.42,2009-08-10,1.42,1.42
1.44,55380.0,1.44,2009-08-11,1.5,1.44
1.44,7200.0,1.44,2009-08-12,1.44,1.44
1.44,25920.0,1.44,2009-08-18,1.44,1.44
1.46,1460.0,1.46,2009-08-19,1.46,1.46
1.46,58400.0,1.46,2009-08-24,1.46,1.46
1.46,962140.0,1.46,2009-09-03,1.46,1.46
1.4,14000.0,1.4,2009-09-16,1.4,1.4
1.52,61480.0,1.54,2009-09-17,1.54,1.52
1.42,126380.0,1.42,2009-09-18,1.42,1.42
1.5,7500.0,1.5,2009-09-23,1.5,1.5
1.3,1300.0,1.3,2009-10-05,1.3,1.3
1.52,3040.0,1.52,2009-10-06,1.52,1.52
1.5,1500.0,1.5,2009-10-07,1.5,1.5
1.5,3000.0,1.5,2009-10-09,1.5,1.5
1.5,1500.0,1.5,2009-10-13,1.5,1.5
1.44,4320.0,1.44,2009-10-14,1.44,1.44
1.46,1460.0,1.46,2009-10-15,1.46,1.46
1.48,131720.0,1.48,2009-10-21,1.48,1.48
1.54,27720.0,1.54,2009-10-26,1.54,1.54
1.58,34360.0,1.56,2009-10-27,1.58,1.56
1.58,15800.0,1.58,2009-11-04,1.58,1.58
1.44,2880.0,1.44,2009-11-05,1.44,1.44
1.34,65060.0,1.36,2009-11-11,1.36,1.34
1.44,36000.0,1.44,2009-12-21,1.44,1.44
1.54,7700.0,1.54,2010-01-06,1.54,1.54
1.5,52540.0,1.5,2010-01-11,1.52,1.5
1.42,9940.0,1.42,2010-01-13,1.42,1.42
1.5,28500.0,1.5,2010-01-14,1.5,1.5
1.5,3000.0,1.5,2010-01-20,1.5,1.5
1.5,15000.0,1.5,2010-01-26,1.5,1.5
1.4,28900.0,0.9,2010-01-27,1.4,0.9
1.34,13400.0,1.34,2010-02-03,1.34,1.34
1.34,67000.0,1.34,2010-02-11,1.34,1.34
1.4,8400.0,1.4,2010-03-08,1.4,1.4
1.58,81040.0,1.3,2010-03-12,1.58,1.3
1.42,11360.0,1.42,2010-04-20,1.42,1.42
1.88,55000.0,1.8,2010-04-29,1.88,1.8
1.78,17900.0,1.8,2010-04-30,1.8,1.78
1.82,82760.0,1.78,2010-05-04,1.82,1.78
1.7,37400.0,1.7,2010-05-13,1.7,1.7
1.78,17160.0,1.7,2010-05-14,1.78,1.7
1.7,164900.0,1.7,2010-05-17,1.7,1.7
1.76,40520.0,1.78,2010-05-18,1.78,1.76
1.78,7040.0,1.74,2010-05-19,1.78,1.74
1.7,42500.0,1.7,2010-05-20,1.7,1.7
1.7,37400.0,1.7,2010-05-21,1.7,1.7
1.7,17000.0,1.7,2010-05-24,1.7,1.7
1.66,6640.0,1.66,2010-05-26,1.66,1.66
1.66,38180.0,1.66,2010-05-28,1.66,1.66
1.7,47460.0,1.68,2010-05-31,1.7,1.68
1.76,53480.0,1.8,2010-06-01,1.8,1.76
2.0,83180.0,1.98,2010-06-02,2.0,1.98
2.0,111840.0,2.0,2010-06-03,2.0,1.9
1.96,421240.0,1.92,2010-06-04,1.96,1.8
1.92,123100.0,1.92,2010-06-07,1.92,1.88
1.6,8000.0,1.6,2010-06-08,1.6,1.6
1.6,11200.0,1.6,2010-06-09,1.6,1.6
1.6,24000.0,1.6,2010-06-11,1.6,1.6
1.6,20800.0,1.6,2010-06-21,1.6,1.6
1.6,24000.0,1.6,2010-06-24,1.6,1.6
1.5,7500.0,1.5,2010-06-25,1.5,1.5
1.5,3000.0,1.5,2010-06-28,1.5,1.5
1.58,7900.0,1.58,2010-06-29,1.58,1.58
1.48,149800.0,1.6,2010-07-13,1.6,1.48
1.6,345860.0,1.76,2010-07-14,1.76,1.6
1.78,527340.0,1.78,2010-07-15,1.88,1.78
1.68,18480.0,1.68,2010-07-16,1.68,1.68
1.6,123200.0,1.6,2010-07-19,1.6,1.6
1.7,20400.0,1.7,2010-07-20,1.7,1.7
1.6,1600.0,1.6,2010-07-21,1.6,1.6
1.5,240940.0,1.74,2010-07-22,1.74,1.5
1.6,20800.0,1.6,2010-07-23,1.6,1.6
1.42,89840.0,1.45,2010-09-20,1.45,1.42
1.43,30030.0,1.43,2010-09-21,1.43,1.43
1.5,93300.0,1.48,2010-09-22,1.5,1.48
1.5,7500.0,1.5,2010-09-23,1.5,1.5
1.38,8280.0,1.38,2010-09-27,1.38,1.38
1.42,193560.0,1.45,2010-09-29,1.45,1.42
1.5,63000.0,1.5,2010-09-30,1.5,1.5
1.51,30200.0,1.51,2010-10-01,1.51,1.51
1.42,265960.0,1.41,2010-10-05,1.42,1.41
1.5,15000.0,1.5,2010-10-06,1.5,1.5
1.42,570000.0,1.44,2010-10-07,1.46,1.4
1.42,302920.0,1.42,2010-10-08,1.42,1.4
1.4,33200.0,1.5,2010-10-14,1.5,1.4
1.45,26100.0,1.45,2010-10-15,1.45,1.45
1.43,19980.0,1.42,2010-10-18,1.43,1.42
1.42,26980.0,1.42,2010-10-19,1.42,1.42
1.41,75420.0,1.43,2010-10-20,1.44,1.41
1.43,42400.0,1.41,2010-10-21,1.43,1.41
1.45,178100.0,1.42,2010-10-22,1.45,1.42
1.42,315240.0,1.42,2010-10-26,1.42,1.42
1.42,355000.0,1.42,2010-10-27,1.42,1.42
1.41,194580.0,1.41,2010-10-28,1.41,1.41
1.41,2820.0,1.41,2010-10-29,1.41,1.41
1.4,560000.0,1.4,2010-11-02,1.4,1.4
1.42,42600.0,1.42,2010-11-04,1.42,1.42
1.4,140000.0,1.4,2010-11-08,1.4,1.4
1.4,2800.0,1.4,2010-11-10,1.4,1.4
1.4,13950.0,1.39,2010-11-11,1.4,1.39
1.4,68600.0,1.4,2010-11-15,1.4,1.4
1.4,28000.0,1.4,2010-11-17,1.4,1.4
1.4,42000.0,1.4,2010-11-18,1.4,1.4
1.4,32080.0,1.39,2010-11-19,1.4,1.39
1.4,215520.0,1.39,2010-11-22,1.4,1.39
1.38,41400.0,1.38,2010-11-23,1.38,1.38
1.39,34510.0,1.38,2010-11-24,1.39,1.38
1.38,5520.0,1.38,2010-11-25,1.38,1.38
1.38,38640.0,1.38,2010-11-26,1.38,1.38
1.38,24690.0,1.37,2010-12-02,1.38,1.36
