OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
132.0,3400368646.0,133.0,2010-10-26,133.5,128.0
132.0,910367418.0,131.0,2010-10-27,132.3,129.5
131.0,544030230.0,125.1,2010-10-28,131.0,125.0
125.4,599936988.0,124.5,2010-10-29,125.4,124.1
124.5,460260823.0,124.0,2010-11-02,124.5,123.5
124.1,838630951.0,119.8,2010-11-03,124.1,116.0
119.8,250839982.0,122.4,2010-11-04,123.0,119.8
121.8,376003629.0,117.0,2010-11-08,121.8,116.9
117.0,313353110.0,124.5,2010-11-09,124.5,117.0
122.4,397498317.0,125.1,2010-11-10,125.5,122.4
124.5,289351562.0,126.0,2010-11-11,127.2,124.5
126.0,174045274.0,125.6,2010-11-12,126.5,124.4
125.3,404739304.0,124.0,2010-11-15,125.6,123.5
123.8,248476615.0,120.1,2010-11-17,123.8,119.0
120.3,211735658.0,125.5,2010-11-18,126.0,120.3
125.9,298684793.0,129.0,2010-11-19,129.4,125.9
129.0,299316217.0,127.3,2010-11-22,129.0,126.7
127.3,192146067.0,127.3,2010-11-23,127.6,126.5
126.5,232632477.0,125.5,2010-11-24,126.6,125.5
125.5,264449239.0,125.0,2010-11-25,126.0,125.0
125.0,161552140.0,125.0,2010-11-26,125.5,125.0
125.0,123709289.0,125.5,2010-11-30,125.5,125.0
125.0,37471423.0,125.5,2010-12-01,125.5,125.0
126.0,39921934.0,126.1,2010-12-02,126.5,125.8
126.0,51634504.0,127.0,2010-12-03,127.0,125.9
127.0,126807396.0,126.0,2010-12-06,127.0,126.0
125.5,89324810.0,125.0,2010-12-07,125.6,125.0
125.0,275841977.0,124.7,2010-12-08,125.1,124.6
106.3,88185425.0,106.6,2010-12-22,107.0,106.3
107.0,91551101.0,112.0,2010-12-23,112.0,106.2
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
109.9,96398034.0,111.0,2010-12-28,111.0,109.0
111.0,82691007.0,110.5,2010-12-29,111.0,110.0
111.0,82691007.0,110.5,2010-12-29,111.0,110.0
114.0,94143267.0,114.0,2011-01-03,114.0,113.0
114.0,94143267.0,114.0,2011-01-03,114.0,113.0
114.0,94143267.0,114.0,2011-01-03,114.0,113.0
113.8,98048996.0,111.0,2011-01-04,113.8,110.0
110.9,156993547.0,106.9,2011-01-05,110.9,106.9
108.0,123329218.0,105.6,2011-01-06,108.0,105.5
106.0,57679431.0,104.9,2011-01-07,106.8,104.8
105.0,171992068.0,102.0,2011-01-10,105.0,99.8
104.0,88089569.0,100.3,2011-01-11,104.0,100.3
104.0,88089569.0,100.3,2011-01-11,104.0,100.3
100.2,182886524.0,101.5,2011-01-12,101.9,100.2
102.0,239835391.0,100.8,2011-01-13,102.0,100.5
100.8,109787152.0,99.65,2011-01-14,101.0,99.3
99.5,191482289.5,98.95,2011-01-17,99.5,98.7
98.0,132699239.0,93.0,2011-01-18,98.0,92.8
93.0,294015009.5,90.2,2011-01-19,93.0,86.0
93.0,294015009.5,90.2,2011-01-19,93.0,86.0
90.2,212520569.0,91.6,2011-01-20,91.9,89.7
90.2,212520569.0,91.6,2011-01-20,91.9,89.7
94.7,123456469.0,92.9,2011-01-24,94.7,90.5
94.0,298292531.0,93.0,2011-01-25,94.2,92.9
93.6,114144241.5,94.7,2011-01-26,94.8,93.5
94.8,212805731.5,99.2,2011-01-27,99.5,94.8
99.2,136839464.0,99.2,2011-01-28,100.0,98.7
99.2,136839464.0,99.2,2011-01-28,100.0,98.7
98.55,58099272.5,98.0,2011-01-31,98.55,97.0
98.55,58099272.5,98.0,2011-01-31,98.55,97.0
98.0,53863211.0,97.0,2011-02-01,98.95,96.5
98.0,53863211.0,97.0,2011-02-01,98.95,96.5
97.0,72639918.0,97.0,2011-02-02,97.2,96.0
98.0,59128980.0,97.15,2011-02-03,98.0,97.0
92.3,89174603.5,89.75,2011-02-14,92.3,89.5
90.0,148478817.0,89.35,2011-02-16,90.0,89.25
90.0,148478817.0,89.35,2011-02-16,90.0,89.25
89.4,240971213.0,89.25,2011-02-17,89.4,89.2
90.0,61897588.5,89.8,2011-02-18,90.5,89.75
89.85,221803680.5,89.7,2011-02-21,89.9,89.65
89.85,221803680.5,89.7,2011-02-21,89.9,89.65
89.7,84952544.0,87.65,2011-02-22,89.7,87.6
89.7,84952544.0,87.65,2011-02-22,89.7,87.6
86.1,117279904.5,82.9,2011-02-23,86.1,82.0
86.1,117279904.5,82.9,2011-02-23,86.1,82.0
82.7,92739845.0,79.1,2011-02-24,82.7,79.1
82.7,92739845.0,79.1,2011-02-24,82.7,79.1
78.9,177977137.5,77.3,2011-02-25,78.9,74.5
77.0,133082168.0,81.9,2011-02-28,82.5,77.0
88.8,168577563.5,88.0,2011-03-02,88.8,85.0
88.0,100030247.0,88.5,2011-03-03,88.7,88.0
88.45,20003565.5,88.9,2011-03-04,89.95,88.45
88.45,20003565.5,88.9,2011-03-04,89.95,88.45
88.8,209099778.5,86.1,2011-03-07,90.0,85.0
86.0,264135475.0,86.0,2011-03-08,86.1,86.0
86.0,264135475.0,86.0,2011-03-08,86.1,86.0
85.5,18154253.0,85.45,2011-03-11,85.7,85.0
85.5,18154253.0,85.45,2011-03-11,85.7,85.0
85.25,138495790.5,86.0,2011-03-16,87.0,85.2
86.0,152805747.5,84.9,2011-03-17,86.0,84.9
87.9,150312878.5,85.5,2011-03-18,87.9,85.3
86.0,103371437.5,86.1,2011-03-21,90.0,86.0
88.0,40542469.5,86.1,2011-03-22,88.0,86.1
86.1,4672009.0,86.3,2011-03-23,86.3,86.0
86.5,5947349.0,86.15,2011-03-24,87.0,86.1
86.45,247205745.5,83.9,2011-03-25,86.45,83.9
83.9,160121509.0,79.65,2011-03-28,83.9,79.5
79.7,104438563.5,77.5,2011-03-29,79.7,77.5
79.0,286872837.0,79.0,2011-03-30,79.8,77.8
79.4,396332506.0,79.5,2011-03-31,79.7,78.7
79.8,231470286.0,81.35,2011-04-01,82.6,79.7
82.1,93564448.5,83.2,2011-04-04,83.5,82.1
83.2,101635671.5,82.3,2011-04-05,83.35,82.0
82.3,73474239.5,82.3,2011-04-06,82.5,81.9
82.5,90220896.5,83.2,2011-04-07,83.45,82.5
83.3,49711213.5,83.9,2011-04-08,83.9,83.15
82.5,127339649.0,79.5,2011-04-11,82.5,79.5
79.45,91225297.0,78.0,2011-04-12,79.45,77.5
78.2,189905136.0,78.0,2011-04-13,78.5,77.65
