OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.7,20100.0,6.7,2009-08-03,6.7,6.7
7.4,45000.0,8.0,2009-08-04,8.0,7.4
8.0,256000.0,8.0,2009-08-10,8.0,8.0
8.0,80000.0,8.0,2009-08-26,8.0,8.0
9.0,108500.0,9.5,2009-09-03,9.5,9.0
9.5,9500.0,9.5,2009-09-04,9.5,9.5
9.3,18600.0,9.3,2009-09-16,9.3,9.3
8.5,153000.0,8.5,2009-10-02,8.5,8.5
9.0,72000.0,9.0,2009-10-09,9.0,9.0
9.0,18000.0,9.0,2009-10-12,9.0,9.0
8.5,8500.0,8.5,2009-10-19,8.5,8.5
8.5,85000.0,8.5,2009-10-20,8.5,8.5
8.5,34000.0,8.5,2009-10-26,8.5,8.5
8.5,34000.0,8.5,2009-10-30,8.5,8.5
9.0,9000.0,9.0,2009-12-15,9.0,9.0
8.5,42500.0,8.5,2009-12-17,8.5,8.5
8.1,32400.0,8.1,2009-12-21,8.1,8.1
8.6,43000.0,8.6,2009-12-22,8.6,8.6
8.9,44500.0,8.9,2010-01-07,8.9,8.9
8.9,8900.0,8.9,2010-01-12,8.9,8.9
9.0,35700.0,8.9,2010-01-15,9.0,8.9
8.5,42500.0,8.5,2010-01-21,8.5,8.5
8.8,8800.0,8.8,2010-01-29,8.8,8.8
8.7,24900.0,8.1,2010-02-01,8.7,8.1
8.7,87000.0,8.7,2010-02-02,8.7,8.7
8.6,8600.0,8.6,2010-02-03,8.6,8.6
8.6,17200.0,8.6,2010-02-04,8.6,8.6
8.0,72400.0,8.4,2010-02-05,8.4,8.0
8.4,16800.0,8.4,2010-02-08,8.4,8.4
8.4,117600.0,8.4,2010-02-09,8.4,8.4
8.6,17400.0,8.8,2010-02-10,8.8,8.6
8.5,42500.0,8.5,2010-03-08,8.5,8.5
9.5,9500.0,9.5,2010-04-20,9.5,9.5
8.5,25500.0,8.5,2010-04-22,8.5,8.5
9.0,18000.0,9.0,2010-04-23,9.0,9.0
9.0,9000.0,9.0,2010-05-05,9.0,9.0
8.6,17600.0,9.0,2010-05-13,9.0,8.6
8.5,25500.0,8.5,2010-05-18,8.5,8.5
9.0,135000.0,9.0,2010-05-19,9.0,9.0
9.0,36000.0,9.0,2010-05-20,9.0,9.0
8.5,34000.0,8.5,2010-05-25,8.5,8.5
9.0,18000.0,9.0,2010-06-02,9.0,9.0
8.6,17600.0,9.0,2010-06-08,9.0,8.6
9.2,56200.0,9.5,2010-06-10,9.5,9.2
8.5,54500.0,9.2,2010-06-21,9.2,8.5
9.2,71200.0,8.6,2010-06-22,9.2,8.6
9.2,73600.0,9.2,2010-06-28,9.2,9.2
9.5,553600.0,10.0,2010-06-29,10.0,9.5
10.0,120000.0,10.0,2010-07-01,10.0,10.0
9.8,108400.0,10.0,2010-07-02,10.0,9.8
10.0,594000.0,10.25,2010-07-06,10.25,10.0
9.5,66500.0,9.5,2010-07-07,9.5,9.5
9.2,9200.0,9.2,2010-07-08,9.2,9.2
9.2,46000.0,9.2,2010-07-09,9.2,9.2
9.2,108200.0,9.0,2010-07-21,9.2,9.0
9.2,18400.0,9.2,2010-07-22,9.2,9.2
9.1,119210.0,9.1,2010-09-21,9.1,9.1
9.1,15470.0,9.1,2010-09-22,9.1,9.1
9.1,52780.0,9.1,2010-09-23,9.1,9.1
9.0,45000.0,9.0,2010-09-24,9.0,9.0
9.0,13500.0,9.0,2010-09-27,9.0,9.0
9.0,10800.0,9.0,2010-09-28,9.0,9.0
9.0,34600.0,9.0,2010-09-29,9.2,9.0
8.4,3360.0,8.4,2010-10-01,8.4,8.4
8.7,7830.0,8.7,2010-10-05,8.7,8.7
9.0,54000.0,9.0,2010-10-14,9.0,9.0
8.9,35600.0,8.9,2010-10-18,8.9,8.9
9.0,18000.0,9.0,2010-10-20,9.0,9.0
9.0,647800.0,9.4,2010-10-26,9.4,9.0
9.01,45001.0,9.0,2010-11-11,9.01,9.0
9.0,135000.0,9.0,2010-11-24,9.0,9.0
8.55,13680.0,8.55,2010-11-26,8.55,8.55
9.0,26100.0,9.0,2010-11-30,9.0,9.0
8.6,358400.0,9.0,2010-12-01,9.0,8.6
9.0,1800.0,9.0,2010-12-08,9.0,9.0
9.2,9200.0,9.2,2011-01-11,9.2,9.2
9.2,9200.0,9.2,2011-01-11,9.2,9.2
9.15,4575.0,9.15,2011-01-14,9.15,9.15
9.0,18000.0,9.0,2011-01-17,9.0,9.0
8.8,24460.0,8.7,2011-01-20,8.8,8.7
8.8,24460.0,8.7,2011-01-20,8.8,8.7
8.7,8685.0,8.65,2011-01-26,8.7,8.65
8.9,17800.0,8.9,2011-01-28,8.9,8.9
8.9,17800.0,8.9,2011-01-28,8.9,8.9
8.7,26000.0,8.65,2011-01-31,8.7,8.65
8.7,26000.0,8.65,2011-01-31,8.7,8.65
9.1,27310.0,8.8,2011-02-16,9.1,8.8
9.1,27310.0,8.8,2011-02-16,9.1,8.8
8.8,281600.0,8.8,2011-02-21,8.8,8.8
8.8,281600.0,8.8,2011-02-21,8.8,8.8
8.7,16710.0,8.9,2011-02-23,8.9,8.7
8.7,16710.0,8.9,2011-02-23,8.9,8.7
9.0,22500.0,9.0,2011-02-28,9.0,9.0
9.0,2394900.0,9.0,2011-03-04,9.0,9.0
9.0,2394900.0,9.0,2011-03-04,9.0,9.0
9.1,54600.0,9.1,2011-03-08,9.1,9.1
9.1,54600.0,9.1,2011-03-08,9.1,9.1
9.1,910.0,9.1,2011-03-11,9.1,9.1
9.1,910.0,9.1,2011-03-11,9.1,9.1
9.09,1818.0,9.09,2011-03-22,9.09,9.09
9.09,8818.0,8.75,2011-03-23,9.09,8.75
8.79,175452.0,8.75,2011-03-25,8.79,8.75
9.1,91000.0,9.1,2011-03-28,9.1,9.1
9.0,65700.0,9.0,2011-03-29,9.0,9.0
8.8,48400.0,8.8,2011-04-06,8.8,8.8
8.8,26400.0,8.8,2011-04-08,8.8,8.8
9.0,900.0,9.0,2011-04-11,9.0,9.0
8.9,80100.0,8.9,2011-04-27,8.9,8.9
8.9,21360.0,8.9,2011-04-29,8.9,8.9
8.95,44750.0,8.95,2011-05-04,8.95,8.95
9.0,900.0,9.0,2011-05-12,9.0,9.0
9.0,10800.0,9.0,2011-05-16,9.0,9.0
9.0,495900.0,9.0,2011-05-18,9.0,9.0
9.0,1572310.0,9.02,2011-05-19,9.02,9.0
9.1,18200.0,9.1,2011-05-20,9.1,9.1
9.0,22500.0,9.0,2011-05-24,9.0,9.0
9.02,4510.0,9.02,2011-05-26,9.02,9.02
9.2,136850.0,9.03,2011-05-30,9.3,9.03
9.3,1870.0,9.4,2011-06-01,9.4,9.3
9.4,4700.0,9.4,2011-06-03,9.4,9.4
9.39,18780.0,9.39,2011-06-06,9.39,9.39
9.39,13305.0,8.61,2011-06-07,9.39,8.61
9.2,2760.0,9.2,2011-06-08,9.2,9.2
8.8,581680.0,8.8,2011-06-09,8.8,8.8
8.8,7040.0,8.8,2011-06-23,8.8,8.8
8.8,6160.0,8.8,2011-06-27,8.8,8.8
8.8,22000.0,8.8,2011-07-19,8.8,8.8
8.8,132000.0,8.8,2011-07-20,8.8,8.8
9.0,63000.0,9.0,2011-07-21,9.0,9.0
9.0,22500.0,9.0,2011-07-26,9.0,9.0
8.99,24273.0,8.99,2011-07-27,8.99,8.99
9.0,139350.0,8.81,2011-07-28,9.0,8.81
8.81,8810.0,8.81,2011-07-29,8.81,8.81
8.99,6293.0,8.99,2011-08-01,8.99,8.99
8.8,17600.0,8.8,2011-08-03,8.8,8.8
8.99,53940.0,8.99,2011-08-04,8.99,8.99
8.82,35260.0,8.81,2011-08-09,8.82,8.81
8.8,88880.0,8.8,2011-08-19,8.8,8.8
9.0,900.0,9.0,2011-08-22,9.0,9.0
8.8,17600.0,8.8,2011-08-23,8.8,8.8
8.6,165980.0,8.6,2011-09-07,8.6,8.6
8.2,26240.0,8.2,2011-09-14,8.2,8.2
9.0,1800.0,9.0,2011-09-16,9.0,9.0
8.55,267615.0,8.55,2011-09-21,8.55,8.55
8.9,8900.0,8.9,2011-09-22,8.9,8.9
8.95,8950.0,8.95,2011-09-23,8.95,8.95
9.0,108000.0,9.0,2011-10-03,9.0,9.0
9.0,297000.0,9.0,2011-10-06,9.0,9.0
8.8,880.0,8.8,2011-10-11,8.8,8.8
8.5,36550.0,8.5,2011-10-12,8.5,8.5
8.5,42500.0,8.5,2011-10-20,8.5,8.5
9.5,13300.0,9.5,2011-11-14,9.5,9.5
10.0,1000.0,10.0,2011-11-15,10.0,10.0
9.5,23650.0,9.0,2011-11-16,10.0,9.0
9.4,14100.0,9.4,2011-11-17,9.4,9.4
9.5,17100.0,9.5,2011-11-18,9.5,9.5
9.0,180500.0,9.05,2011-11-23,9.05,9.0
9.05,54300.0,9.05,2011-11-25,9.05,9.05
8.7,70500.0,9.0,2011-11-28,9.0,8.7
9.0,89100.0,9.0,2011-12-01,9.0,9.0
9.0,117000.0,9.0,2011-12-02,9.0,9.0
9.0,90000.0,9.0,2011-12-05,9.0,9.0
8.71,444500.0,9.0,2011-12-06,9.0,8.71
9.0,6300.0,9.0,2011-12-07,9.0,9.0
9.0,900.0,9.0,2011-12-08,9.0,9.0
9.0,41400.0,9.0,2011-12-09,9.0,9.0
9.0,9000.0,9.0,2011-12-12,9.0,9.0
9.0,112500.0,9.0,2011-12-13,9.0,9.0
9.2,115300.0,9.0,2011-12-19,9.2,9.0
9.0,38700.0,9.0,2011-12-22,9.0,9.0
9.4,9400.0,9.4,2011-12-26,9.4,9.4
9.4,37060.0,8.5,2011-12-27,9.4,8.5
9.1,11830.0,9.1,2011-12-28,9.1,9.1
