OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.82,12740.0,1.82,2009-08-03,1.82,1.82
1.82,89740.0,1.84,2009-08-04,1.84,1.8
1.84,92000.0,1.84,2009-08-06,1.84,1.84
1.82,301920.0,1.82,2009-08-11,1.82,1.8
1.84,64400.0,1.84,2009-08-13,1.84,1.84
1.84,152480.0,1.82,2009-08-14,1.84,1.82
1.8,239400.0,1.8,2009-08-17,1.8,1.8
1.8,217800.0,1.8,2009-08-18,1.8,1.8
1.8,5400.0,1.8,2009-08-20,1.8,1.8
1.82,451360.0,1.82,2009-08-24,1.82,1.82
1.78,183340.0,1.78,2009-08-25,1.78,1.78
1.8,1800.0,1.8,2009-08-26,1.8,1.8
1.8,3698180.0,1.82,2009-09-03,1.82,1.8
1.98,57420.0,1.98,2009-09-04,1.98,1.98
1.9,3800.0,1.9,2009-09-16,1.9,1.9
1.9,3800.0,1.9,2009-09-17,1.9,1.9
1.88,47000.0,1.88,2009-09-18,1.88,1.88
1.86,165420.0,1.88,2009-09-22,1.88,1.86
1.9,287720.0,2.0,2009-09-30,2.0,1.9
2.0,48000.0,2.0,2009-10-02,2.0,2.0
2.0,34000.0,2.0,2009-10-05,2.0,2.0
1.88,306380.0,2.0,2009-10-06,2.0,1.8
1.9,388800.0,2.0,2009-10-07,2.0,1.9
2.0,226000.0,2.0,2009-10-08,2.0,2.0
1.94,194000.0,1.94,2009-10-09,1.94,1.94
1.9,19360.0,1.94,2009-10-13,1.94,1.9
1.9,13300.0,1.9,2009-10-14,1.9,1.9
1.92,5760.0,1.92,2009-10-15,1.92,1.92
1.92,22880.0,1.9,2009-10-16,1.92,1.9
1.9,5700.0,1.9,2009-10-19,1.9,1.9
2.0,43800.0,1.9,2009-10-21,2.0,1.9
1.9,592800.0,1.9,2009-10-22,1.9,1.9
1.92,319400.0,1.9,2009-10-23,1.92,1.9
1.9,22800.0,1.9,2009-10-26,1.9,1.9
1.88,28200.0,1.88,2009-10-27,1.88,1.88
1.88,376000.0,1.88,2009-10-28,1.88,1.88
1.88,98760.0,1.9,2009-10-30,1.9,1.88
1.88,497040.0,1.84,2009-11-03,1.88,1.84
1.82,65520.0,1.82,2009-11-05,1.82,1.82
1.84,103200.0,1.88,2009-11-06,1.88,1.84
1.9,28500.0,1.9,2009-11-11,1.9,1.9
1.84,75180.0,1.84,2009-12-17,1.84,1.74
1.84,679620.0,2.08,2009-12-18,2.08,1.84
2.0,1919520.0,2.2,2009-12-21,2.2,2.0
2.2,64758040.0,2.4,2009-12-22,2.5,2.08
2.4,80020380.0,2.28,2009-12-23,2.9,2.28
2.2,4480500.0,2.5,2009-12-29,2.5,2.2
2.14,75500.0,2.16,2010-01-04,2.16,2.14
2.14,406600.0,2.14,2010-01-05,2.14,2.14
2.12,287800.0,2.14,2010-01-06,2.14,2.12
2.14,57740.0,2.12,2010-01-07,2.14,2.12
2.12,528400.0,2.1,2010-01-08,2.12,2.1
2.1,18420.0,2.04,2010-01-11,2.1,2.04
2.04,87720.0,2.04,2010-01-12,2.04,2.04
2.08,237240.0,2.1,2010-01-13,2.1,2.08
2.08,104000.0,2.08,2010-01-14,2.08,2.08
2.04,137620.0,2.06,2010-01-15,2.06,2.04
2.08,38920.0,2.04,2010-01-19,2.08,2.04
2.08,10400.0,2.08,2010-01-20,2.08,2.08
2.08,20800.0,2.08,2010-01-22,2.08,2.08
2.06,53120.0,2.04,2010-01-25,2.06,2.04
2.04,169320.0,2.04,2010-01-26,2.04,2.04
2.06,205240.0,2.02,2010-01-27,2.06,2.0
2.02,44140.0,2.0,2010-02-01,2.02,2.0
1.96,35280.0,1.96,2010-02-02,1.96,1.96
1.96,7840.0,1.96,2010-02-03,1.96,1.96
1.96,72520.0,1.96,2010-02-04,1.96,1.96
1.94,48500.0,1.94,2010-02-05,1.94,1.94
1.94,62080.0,1.94,2010-02-09,1.94,1.94
1.9,5700.0,1.9,2010-02-10,1.9,1.9
