OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
350.0,34270075.0,350.0,2009-08-03,357.5,347.5
360.0,28405300.0,355.0,2009-08-04,360.0,350.0
357.5,26741100.0,355.0,2009-08-06,357.5,350.0
355.0,10217000.0,347.5,2009-08-07,355.0,347.5
350.0,13079400.0,350.0,2009-08-10,350.0,347.5
350.0,23193300.0,352.5,2009-08-11,352.5,350.0
352.5,10409950.0,352.5,2009-08-12,352.5,350.0
355.0,6001525.0,357.5,2009-08-13,357.5,352.5
365.0,17888275.0,367.5,2009-08-14,367.5,360.0
365.0,7935775.0,357.5,2009-08-17,365.0,357.5
357.5,9438425.0,362.5,2009-08-18,362.5,350.0
365.0,8955175.0,375.0,2009-08-19,375.0,365.0
375.0,16133275.0,380.0,2009-08-20,385.0,372.5
382.5,5735500.0,385.0,2009-08-24,387.5,382.5
387.5,3439200.0,385.0,2009-08-25,387.5,385.0
382.5,8023700.0,387.5,2009-08-26,387.5,382.5
407.5,8090475.0,405.0,2009-09-03,410.0,402.5
405.0,20601200.0,415.0,2009-09-04,417.5,405.0
387.5,2981650.0,382.5,2009-09-16,387.5,382.5
385.0,2326150.0,385.0,2009-09-17,387.5,385.0
385.0,7088475.0,387.5,2009-09-18,390.0,380.0
387.5,3634550.0,380.0,2009-09-22,387.5,380.0
382.5,1268400.0,380.0,2009-09-23,382.5,380.0
367.5,1561075.0,370.0,2009-09-30,370.0,367.5
370.0,1369475.0,370.0,2009-10-01,370.0,367.5
367.5,220500.0,367.5,2009-10-02,367.5,367.5
367.5,705600.0,367.5,2009-10-05,367.5,367.5
367.5,565925.0,370.0,2009-10-06,370.0,367.5
370.0,1697975.0,372.5,2009-10-07,372.5,367.5
372.5,3125925.0,370.0,2009-10-08,375.0,367.5
370.0,2353200.0,370.0,2009-10-09,370.0,370.0
370.0,1048800.0,365.0,2009-10-12,370.0,365.0
367.5,3738900.0,365.0,2009-10-13,367.5,365.0
365.0,3234600.0,362.5,2009-10-14,365.0,360.0
360.0,8089200.0,360.0,2009-10-15,360.0,360.0
360.0,2387975.0,357.5,2009-10-16,360.0,357.5
360.0,2693225.0,360.0,2009-10-19,360.0,357.5
362.5,3392350.0,360.0,2009-10-20,362.5,360.0
360.0,1780725.0,360.0,2009-10-21,362.5,360.0
360.0,5047625.0,360.0,2009-10-22,360.0,357.5
360.0,1702800.0,360.0,2009-10-23,360.0,360.0
360.0,3762000.0,360.0,2009-10-26,360.0,360.0
357.5,460400.0,362.5,2009-10-27,362.5,357.5
360.0,2860625.0,357.5,2009-10-28,360.0,357.5
357.5,3682250.0,357.5,2009-10-29,357.5,357.5
360.0,4237625.0,362.5,2009-10-30,362.5,360.0
360.0,3890650.0,355.0,2009-11-03,362.5,352.5
355.0,7759350.0,357.5,2009-11-04,357.5,350.0
357.5,1594150.0,360.0,2009-11-05,362.5,357.5
357.5,2969575.0,362.5,2009-11-06,362.5,357.5
362.5,2609775.0,367.5,2009-11-09,370.0,362.5
367.5,133025.0,370.0,2009-11-10,370.0,367.5
360.0,165700.0,370.0,2009-11-11,370.0,360.0
355.0,1579750.0,355.0,2009-12-15,355.0,355.0
352.5,145425.0,355.0,2009-12-16,355.0,352.5
355.0,616875.0,355.0,2009-12-17,357.5,355.0
355.0,53250.0,355.0,2009-12-18,355.0,355.0
355.0,997550.0,355.0,2009-12-21,355.0,355.0
352.5,1868225.0,350.0,2009-12-22,352.5,350.0
350.0,195093350.0,375.0,2009-12-23,380.0,350.0
367.5,667962900.0,370.0,2009-12-29,370.0,367.5
365.0,10373150.0,365.0,2010-01-04,367.5,365.0
365.0,414000.0,362.5,2010-01-05,365.0,362.5
362.5,4781300.0,360.0,2010-01-06,362.5,360.0
360.0,2560150.0,360.0,2010-01-07,362.5,360.0
360.0,579600.0,360.0,2010-01-08,360.0,360.0
360.0,86400.0,360.0,2010-01-11,360.0,360.0
360.0,2981600.0,355.0,2010-01-12,360.0,355.0
355.0,2584400.0,355.0,2010-01-13,355.0,355.0
360.0,1392600.0,360.0,2010-01-14,360.0,355.0
360.0,6852950.0,362.5,2010-01-15,365.0,355.0
360.0,802875.0,362.5,2010-01-18,362.5,360.0
362.5,1077900.0,360.0,2010-01-19,362.5,360.0
360.0,10461600.0,360.0,2010-01-20,360.0,360.0
360.0,201225.0,357.5,2010-01-21,360.0,357.5
357.5,282425.0,357.5,2010-01-22,357.5,357.5
357.5,3560800.0,355.0,2010-01-25,357.5,355.0
352.5,4416950.0,352.5,2010-01-26,352.5,350.0
350.0,699725.0,350.0,2010-01-27,350.0,347.5
350.0,1730850.0,355.0,2010-01-28,355.0,350.0
350.0,981000.0,352.5,2010-01-29,352.5,350.0
350.0,2086775.0,350.0,2010-02-01,352.5,350.0
352.5,3383600.0,350.0,2010-02-02,352.5,350.0
352.5,3357200.0,350.0,2010-02-03,355.0,350.0
350.0,1325500.0,352.5,2010-02-04,352.5,350.0
350.0,9136050.0,347.5,2010-02-05,350.0,345.0
350.0,1488575.0,347.5,2010-02-08,350.0,347.5
