OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.2,2939214912.0,11.1,2016-07-18,11.36,10.8
11.12,493112306.0,11.0,2016-07-19,11.12,10.82
11.0,355892394.0,10.96,2016-07-20,11.04,10.9
11.0,519285676.0,11.7,2016-07-21,11.7,10.98
11.8,588596022.0,11.94,2016-07-22,12.06,11.8
12.06,658498348.0,12.46,2016-07-25,12.96,12.06
12.48,346576888.0,12.36,2016-07-26,12.5,12.2
12.34,334567926.0,12.04,2016-07-27,12.34,11.86
12.06,301811510.0,12.18,2016-07-28,12.3,12.04
12.18,281179722.0,11.9,2016-07-29,12.24,11.86
11.88,139127424.0,12.16,2016-08-01,12.18,11.76
12.18,124254760.0,12.0,2016-08-02,12.18,11.98
12.0,186489696.0,12.0,2016-08-03,12.1,11.7
12.0,100146316.0,12.0,2016-08-04,12.02,11.94
12.04,183890338.0,12.3,2016-08-05,12.32,12.04
12.3,51365880.0,12.0,2016-08-08,12.3,12.0
12.1,123853880.0,12.04,2016-08-09,12.28,12.0
12.1,213939730.0,12.1,2016-08-10,12.18,12.02
12.08,172602310.0,11.98,2016-08-11,12.08,11.82
11.9,119461416.0,11.82,2016-08-12,11.94,11.74
11.82,226563410.0,11.54,2016-08-15,11.96,11.46
11.58,258638258.0,11.7,2016-08-16,11.78,11.56
11.6,517684972.0,12.42,2016-08-17,12.42,11.6
12.36,266532562.0,12.38,2016-08-18,12.52,12.2
12.38,216939564.0,12.66,2016-08-19,12.72,12.38
12.66,229657512.0,12.66,2016-08-22,12.8,12.5
12.64,153152270.0,12.4,2016-08-23,12.64,12.3
12.38,80126374.0,12.14,2016-08-24,12.4,12.1
12.1,76520040.0,12.3,2016-08-25,12.34,12.04
12.3,85389016.0,12.2,2016-08-26,12.4,12.16
12.2,94890996.0,12.2,2016-08-30,12.34,11.9
12.0,52369418.0,12.18,2016-08-31,12.2,11.98
12.16,296796668.0,12.0,2016-09-01,12.16,11.98
12.06,67401534.0,12.02,2016-09-02,12.16,11.98
12.0,91263400.0,12.04,2016-09-05,12.14,12.0
12.0,91263400.0,12.04,2016-09-05,12.14,12.0
12.04,175558838.0,12.0,2016-09-06,12.1,11.94
12.0,131961350.0,12.0,2016-09-07,12.14,11.88
12.0,31716050.0,11.92,2016-09-08,12.0,11.9
11.94,30371178.0,11.96,2016-09-09,12.04,11.92
11.98,100675670.0,11.82,2016-09-13,11.98,11.8
11.8,89087176.0,11.62,2016-09-14,11.8,11.5
11.64,110172144.0,11.68,2016-09-15,11.78,11.6
11.7,87492618.0,11.68,2016-09-16,11.72,11.66
11.68,29803258.0,11.68,2016-09-19,11.7,11.6
11.66,157596776.0,11.5,2016-09-20,11.66,11.3
11.64,392748342.0,11.88,2016-09-21,11.98,11.64
12.0,337635202.0,12.04,2016-09-22,12.26,11.98
12.18,272096530.0,12.1,2016-09-23,12.2,11.96
12.12,102442366.0,12.06,2016-09-26,12.12,12.0
12.06,148992468.0,12.22,2016-09-27,12.22,12.02
12.14,165701108.0,12.26,2016-09-28,12.26,12.14
12.2,380601042.0,12.12,2016-09-29,12.4,12.1
12.12,40200190.0,12.0,2016-09-30,12.18,12.0
12.0,23200364.0,12.0,2016-10-03,12.1,11.8
12.0,32863958.0,12.0,2016-10-04,12.0,11.9
12.0,70559006.0,11.86,2016-10-05,12.0,11.82
11.96,45503156.0,11.92,2016-10-06,11.96,11.86
11.94,16792550.0,11.8,2016-10-07,11.96,11.7
11.8,19931950.0,11.68,2016-10-10,11.82,11.54
11.68,52415694.0,11.7,2016-10-11,11.8,11.62
11.7,29684468.0,11.5,2016-10-12,11.7,11.44
11.7,29684468.0,11.5,2016-10-12,11.7,11.44
11.5,69957196.0,11.2,2016-10-13,11.52,11.1
11.22,65614806.0,11.12,2016-10-14,11.32,11.04
11.12,125578494.0,10.92,2016-10-17,11.18,10.92
10.96,91237402.0,10.98,2016-10-18,11.02,10.86
11.04,390165782.0,11.6,2016-10-19,11.76,10.98
11.58,179933254.0,11.74,2016-10-20,11.9,11.34
11.7,100866062.0,11.6,2016-10-21,11.7,11.44
11.7,72549286.0,11.4,2016-10-24,11.7,11.36
11.42,104561766.0,11.38,2016-10-25,11.54,11.38
11.38,109528028.0,11.2,2016-10-26,11.38,11.1
11.2,24688994.0,11.22,2016-10-27,11.28,11.2
11.26,117660690.0,11.42,2016-10-28,11.7,11.26
11.42,52497030.0,11.2,2016-11-02,11.42,11.18
11.2,85968548.0,11.32,2016-11-03,11.5,11.14
11.36,69633050.0,11.54,2016-11-04,11.66,11.3
11.58,29692348.0,11.5,2016-11-07,11.64,11.42
11.5,152047144.0,11.7,2016-11-08,11.82,11.44
11.7,39649644.0,11.3,2016-11-09,11.78,11.1
11.34,138926588.0,11.44,2016-11-10,11.72,11.32
11.5,91005082.0,11.36,2016-11-11,11.58,11.28
11.36,206675434.0,11.42,2016-11-14,11.5,11.2
11.8,281490788.0,11.62,2016-11-15,12.08,11.62
11.62,108550772.0,11.6,2016-11-16,11.88,11.56
11.6,199690524.0,11.2,2016-11-17,11.6,11.2
11.48,224343626.0,11.1,2016-11-18,11.52,11.0
11.3,99677738.0,11.26,2016-11-21,11.3,11.12
11.26,58423650.0,11.1,2016-11-22,11.34,11.02
11.1,59034848.0,10.9,2016-11-23,11.12,10.84
10.9,33963838.0,11.0,2016-11-24,11.16,10.9
10.9,33963838.0,11.0,2016-11-24,11.16,10.9
10.9,33963838.0,11.0,2016-11-24,11.16,10.9
11.1,64183032.0,11.08,2016-11-25,11.24,11.04
11.2,85007216.0,11.1,2016-11-28,11.28,11.06
11.22,426905666.0,10.64,2016-11-29,11.22,10.64
10.78,115751690.0,10.9,2016-12-01,10.96,10.78
11.08,243543708.0,11.28,2016-12-02,11.36,11.0
