OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
26.0,43043105.0,25.85,2013-11-27,26.0,24.0
25.5,17495050.0,26.0,2013-11-28,26.0,25.5
25.95,17967470.0,25.85,2013-11-29,26.0,25.85
26.0,1744485.0,25.9,2013-12-02,26.0,25.85
25.7,2172570.0,25.5,2013-12-03,25.8,25.5
25.5,8905580.0,25.25,2013-12-04,25.5,25.25
25.25,2635325.0,25.25,2013-12-05,25.25,25.2
25.0,2010200.0,25.2,2013-12-06,25.2,25.0
25.0,1530500.0,25.0,2013-12-09,25.2,25.0
25.2,3554190.0,25.0,2013-12-10,25.2,24.8
25.0,2323490.0,24.9,2013-12-11,25.0,24.8
25.0,4212450.0,24.8,2013-12-12,25.0,24.5
24.7,7947500.0,24.0,2013-12-13,24.7,24.0
24.0,1198450.0,23.85,2013-12-16,24.0,23.85
23.85,1042190.0,24.0,2013-12-17,24.0,23.8
24.2,6181020.0,23.8,2013-12-18,24.2,23.8
24.0,7817810.0,23.8,2013-12-19,24.0,23.6
23.5,2509050.0,23.8,2013-12-20,23.8,23.4
23.9,11533010.0,23.9,2013-12-23,24.1,23.9
24.8,3585840.0,24.5,2013-12-26,24.8,24.5
24.5,7350.0,24.5,2013-12-27,24.5,24.5
24.95,12475.0,24.95,2014-01-02,24.95,24.95
23.0,48480.0,24.8,2014-01-06,24.8,23.0
24.75,8848750.0,24.45,2014-01-07,24.75,24.45
24.45,8733575.0,24.0,2014-01-08,24.5,24.0
23.5,2335540.0,23.0,2014-01-09,23.55,21.5
23.0,5176290.0,22.5,2014-01-10,23.0,22.3
22.6,2275110.0,22.9,2014-01-13,23.0,22.6
23.0,64855.0,23.35,2014-01-14,23.35,23.0
23.35,14310570.0,24.0,2014-01-15,24.0,23.35
23.8,1451395.0,23.8,2014-01-16,23.8,23.35
24.0,1009500.0,23.75,2014-01-17,24.0,23.75
24.0,1423280.0,24.0,2014-01-20,24.2,24.0
23.5,117500.0,23.5,2014-01-21,23.5,23.5
23.5,6615295.0,23.45,2014-01-22,23.5,23.4
23.3,955300.0,23.3,2014-01-23,23.3,23.3
23.0,1039610.0,23.0,2014-01-24,23.05,23.0
22.9,5551695.0,22.8,2014-01-27,23.0,22.8
22.8,10788960.0,22.8,2014-01-28,22.8,22.8
22.8,280440.0,22.8,2014-01-29,22.8,22.8
22.8,2339345.0,23.45,2014-01-30,23.45,22.8
23.45,2345.0,23.45,2014-02-03,23.45,23.45
23.45,3107150.0,23.45,2014-02-04,23.5,23.45
23.45,54047560.0,23.45,2014-02-05,23.45,23.45
23.45,147840.0,23.5,2014-02-06,23.5,23.45
24.0,5596585.0,25.5,2014-02-07,25.5,24.0
24.0,24000.0,24.0,2014-02-10,24.0,24.0
25.75,3727670.0,25.85,2014-02-11,25.95,25.75
24.95,4891700.0,25.7,2014-02-13,25.7,24.35
25.9,838700.0,25.8,2014-02-14,25.9,24.4
25.95,20565.0,25.9,2014-02-17,25.95,25.0
24.6,10204445.0,25.9,2014-02-18,25.95,24.6
25.9,2307310.0,26.05,2014-02-19,26.25,25.5
25.85,88365.0,26.0,2014-02-20,26.1,25.85
26.1,7115130.0,26.5,2014-02-21,26.65,26.1
26.0,16894490.0,27.0,2014-02-24,27.1,26.0
26.15,16973195.0,26.95,2014-02-25,26.95,26.15
26.95,4860460.0,26.95,2014-02-26,27.25,26.95
26.95,8018610.0,27.0,2014-02-27,27.0,26.5
26.45,1115115.0,27.4,2014-02-28,27.4,26.45
27.0,1919700.0,27.0,2014-03-03,27.0,27.0
27.0,2700640.0,27.1,2014-03-04,27.1,27.0
27.0,148650.0,27.1,2014-03-05,27.1,27.0
27.1,2521480.0,27.1,2014-03-06,27.1,27.0
27.2,415660.0,27.1,2014-03-07,27.2,27.1
27.0,67500.0,27.0,2014-03-10,27.0,27.0
