OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
82.0,42310260.0,41.0,2011-12-28,82.0,41.0
61.5,30750.0,61.5,2011-12-29,61.5,61.5
82.0,1834750.0,92.25,2012-02-03,92.25,82.0
138.3,278500.0,137.0,2012-02-06,138.3,135.0
140.0,289500.0,145.0,2012-03-05,195.0,140.0
160.0,85320.0,192.0,2012-03-06,199.0,160.0
180.0,3600.0,180.0,2012-03-07,180.0,180.0
121.1,35837.0,145.0,2012-03-08,145.0,121.0
150.0,3000.0,150.0,2012-03-15,150.0,150.0
170.0,39900.0,220.0,2012-03-16,220.0,170.0
250.0,25000.0,250.0,2012-03-19,250.0,250.0
299.8,59960.0,299.8,2012-04-25,299.8,299.8
300.0,38700.0,290.0,2012-04-26,300.0,290.0
145.0,25990.0,279.0,2012-05-10,279.0,145.0
250.0,26450.0,279.0,2012-07-10,279.0,250.0
160.0,94830.0,180.0,2012-07-23,180.0,141.0
150.1,37736.0,156.0,2012-07-24,179.0,150.1
156.0,24456.0,140.0,2012-07-25,156.0,140.0
141.0,8460.0,141.0,2012-07-26,141.0,141.0
139.5,1395.0,139.5,2012-08-06,139.5,139.5
169.0,23650.0,169.0,2012-08-13,169.0,168.0
100.0,14000.0,100.0,2012-08-14,100.0,100.0
101.1,19821.0,90.0,2012-08-16,101.1,90.0
120.0,2400.0,120.0,2012-08-24,120.0,120.0
100.1,11001.0,100.0,2012-09-12,100.1,100.0
100.0,58005.0,100.0,2012-09-13,100.1,100.0
80.1,8001.0,80.0,2012-10-03,80.1,80.0
80.0,1600.0,80.0,2012-10-09,80.0,80.0
80.0,5600.0,80.0,2012-10-17,80.0,80.0
99.45,8950.5,99.45,2012-10-31,99.45,99.45
90.0,2700.0,90.0,2012-11-09,90.0,90.0
103.0,1030.0,103.0,2012-12-04,103.0,103.0
100.0,11029.0,102.9,2012-12-19,102.9,100.0
120.0,20600.0,125.0,2013-01-04,125.0,115.0
62.5,1865.0,124.0,2013-01-08,124.0,62.5
73.0,1460.0,73.0,2013-01-10,73.0,73.0
104.0,2080.0,104.0,2013-01-21,104.0,104.0
85.0,3400.0,85.0,2013-03-22,85.0,85.0
73.05,7305.0,73.05,2013-05-06,73.05,73.05
100.0,10000.0,100.0,2013-05-07,100.0,100.0
73.25,732.5,73.25,2013-05-28,73.25,73.25
109.8,6564.0,109.8,2013-06-21,109.8,109.0
109.8,1098.0,109.8,2013-06-24,109.8,109.8
73.2,1464.0,73.2,2013-06-26,73.2,73.2
73.0,2190.0,73.0,2013-06-28,73.0,73.0
73.0,3029500.0,73.0,2013-07-09,73.0,73.0
73.0,10081300.0,73.0,2013-08-23,73.0,73.0
73.0,2190.0,73.0,2013-09-11,73.0,73.0
109.5,1095.0,109.5,2013-10-02,109.5,109.5
120.0,3600.0,120.0,2013-10-03,120.0,120.0
138.0,44045.0,173.0,2013-10-07,180.0,138.0
173.0,40410.0,246.0,2013-10-08,246.0,173.0
228.0,2280.0,228.0,2013-10-09,228.0,228.0
194.0,8070.0,219.0,2013-10-10,219.0,194.0
200.0,23650.0,129.0,2013-10-11,200.0,129.0
148.3,10783.0,190.0,2013-11-13,190.0,148.3
189.0,19470.0,215.0,2013-11-28,220.0,189.0
258.0,2580.0,258.0,2013-11-29,258.0,258.0
200.0,20000.0,200.0,2013-12-05,200.0,200.0
200.0,16000.0,200.0,2013-12-06,200.0,200.0
210.0,4200.0,210.0,2013-12-12,210.0,210.0
107.5,1075.0,107.5,2014-01-16,107.5,107.5
130.0,2600.0,130.0,2014-01-17,130.0,130.0
130.0,16400.0,140.0,2014-01-20,140.0,130.0
120.0,11000.0,130.0,2014-01-21,130.0,120.0
150.0,1500.0,150.0,2014-01-24,150.0,150.0
150.0,3000.0,150.0,2014-01-29,150.0,150.0
120.0,2400.0,120.0,2014-01-30,120.0,120.0
120.0,1200.0,120.0,2014-02-04,120.0,120.0
120.0,1200.0,120.0,2014-02-05,120.0,120.0
80.0,5800.0,120.0,2014-02-17,120.0,80.0
100.0,8497.5,100.0,2014-03-17,100.0,85.0
120.0,10452.0,115.0,2014-03-19,129.9,102.0
100.0,1000.0,100.0,2014-04-07,100.0,100.0
