OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.2,431702617.0,5.16,2017-06-02,5.39,5.13
5.2,431702617.0,5.16,2017-06-02,5.39,5.13
5.23,74467546.0,5.22,2017-06-05,5.27,5.17
5.22,183923179.0,5.45,2017-06-06,5.45,5.2
5.45,200091923.0,5.67,2017-06-07,5.67,5.45
5.7,125330276.0,5.62,2017-06-08,5.74,5.52
5.6,68560736.0,5.42,2017-06-09,5.62,5.41
5.43,33335529.0,5.33,2017-06-13,5.5,5.31
5.34,18741896.0,5.41,2017-06-14,5.44,5.31
5.42,48270667.0,5.46,2017-06-15,5.56,5.41
5.47,24969022.0,5.37,2017-06-16,5.49,5.33
5.37,26498018.0,5.39,2017-06-19,5.44,5.37
5.41,91860927.0,5.59,2017-06-20,5.62,5.39
5.62,196816355.0,5.9,2017-06-21,5.92,5.54
5.95,118950514.0,5.65,2017-06-22,5.98,5.64
5.69,66837188.0,5.65,2017-06-23,5.78,5.65
5.7,40519067.0,5.6,2017-06-27,5.83,5.58
5.63,47294566.0,5.54,2017-06-28,5.7,5.54
5.56,100750252.0,5.36,2017-06-29,5.64,5.31
5.36,39767773.0,5.34,2017-06-30,5.44,5.27
5.39,34952902.0,5.4,2017-07-03,5.55,5.32
5.47,14422415.0,5.41,2017-07-04,5.48,5.41
5.44,28959036.0,5.41,2017-07-05,5.47,5.35
5.4,19576160.0,5.41,2017-07-06,5.58,5.4
5.41,19436439.0,5.36,2017-07-07,5.45,5.34
5.37,13960975.0,5.38,2017-07-10,5.4,5.33
5.4,14169560.0,5.36,2017-07-11,5.45,5.33
5.34,67924275.0,5.3,2017-07-12,5.36,5.22
5.3,34088635.0,5.23,2017-07-13,5.3,5.2
5.25,24913125.0,5.31,2017-07-14,5.38,5.23
5.35,64499879.0,5.33,2017-07-17,5.51,5.33
5.34,21389295.0,5.33,2017-07-18,5.45,5.3
5.33,18600455.0,5.32,2017-07-19,5.4,5.29
5.3,39590123.0,5.29,2017-07-20,5.35,5.23
5.29,16958978.0,5.25,2017-07-21,5.3,5.19
5.25,12613915.0,5.21,2017-07-24,5.25,5.19
5.21,125068629.0,4.85,2017-07-25,5.23,4.84
4.87,16072750.0,4.89,2017-07-26,4.97,4.87
4.92,42993840.0,4.75,2017-07-27,4.95,4.62
4.76,26418720.0,4.69,2017-07-28,4.9,4.67
4.7,8760870.0,4.61,2017-07-31,4.76,4.61
4.65,6063400.0,4.64,2017-08-01,4.7,4.58
4.67,9693560.0,4.75,2017-08-02,4.83,4.66
4.75,6395850.0,4.9,2017-08-03,4.9,4.75
4.9,5356790.0,4.76,2017-08-04,4.96,4.75
4.79,4144140.0,4.82,2017-08-07,4.89,4.79
4.82,21932540.0,4.66,2017-08-08,4.84,4.65
4.66,30789680.0,4.8,2017-08-09,4.86,4.66
4.95,60136860.0,4.87,2017-08-10,5.05,4.87
4.86,21883090.0,4.9,2017-08-11,4.99,4.74
4.91,51636690.0,5.1,2017-08-14,5.15,4.91
5.12,32101437.0,5.0,2017-08-15,5.23,5.0
5.05,15966222.0,5.0,2017-08-16,5.1,5.0
5.08,21329968.0,5.03,2017-08-17,5.09,5.0
5.01,11587529.0,5.02,2017-08-18,5.07,5.01
5.02,43073277.0,5.18,2017-08-22,5.2,4.98
5.2,41907348.0,5.22,2017-08-23,5.27,5.18
5.22,18172623.0,5.16,2017-08-24,5.23,5.1
5.18,23557704.0,5.08,2017-08-25,5.2,5.08
5.08,10010119.0,5.02,2017-08-29,5.08,5.02
5.0,18000456.0,5.03,2017-08-30,5.1,5.0
5.04,13932611.0,5.04,2017-08-31,5.04,4.93
5.04,7440949.0,5.03,2017-09-04,5.05,4.97
4.98,19255360.0,4.9,2017-09-05,5.03,4.9
4.89,7327970.0,4.85,2017-09-06,4.97,4.85
4.86,4283180.0,4.89,2017-09-07,4.93,4.84
4.94,8591510.0,4.92,2017-09-08,5.03,4.9
4.9,11910440.0,5.05,2017-09-11,5.06,4.89
5.05,11762727.0,5.1,2017-09-13,5.11,5.0
5.15,20491460.0,5.09,2017-09-14,5.18,5.09
5.09,17778550.0,5.12,2017-09-15,5.12,5.0
5.1,9036185.0,5.15,2017-09-18,5.2,5.08
5.15,7933518.0,5.04,2017-09-19,5.16,5.04
5.1,3632229.0,5.09,2017-09-20,5.1,5.04
5.09,9199193.0,5.05,2017-09-21,5.1,5.02
5.05,116384703.0,5.23,2017-09-22,5.32,5.05
5.3,53791577.0,5.4,2017-09-25,5.5,5.3
5.41,22202375.0,5.29,2017-09-26,5.41,5.15
5.29,9897438.0,5.25,2017-09-27,5.3,5.16
5.22,6077495.0,5.16,2017-09-28,5.25,5.13
5.2,8697458.0,5.07,2017-09-29,5.2,5.07
5.14,6294909.0,5.08,2017-10-02,5.15,5.04
5.08,10421026.0,5.1,2017-10-03,5.16,5.08
5.14,19202528.0,5.04,2017-10-04,5.17,5.03
5.09,7195603.0,5.07,2017-10-05,5.09,5.05
5.1,11611147.0,5.03,2017-10-06,5.13,5.03
5.05,12163034.0,5.03,2017-10-09,5.1,5.0
5.03,15996127.0,5.04,2017-10-10,5.16,5.02
5.06,4442447.0,5.05,2017-10-11,5.07,5.04
5.05,10382847.0,5.04,2017-10-12,5.12,5.04
5.04,29128218.0,4.9,2017-10-13,5.1,4.9
4.91,3935660.0,4.95,2017-10-17,5.12,4.91
4.97,3731830.0,4.98,2017-10-18,5.0,4.88
4.91,4587420.0,4.91,2017-10-19,4.97,4.85
4.91,7098530.0,4.84,2017-10-20,4.91,4.81
4.87,1801810.0,4.83,2017-10-23,4.9,4.83
4.85,7244710.0,4.8,2017-10-24,4.88,4.8
4.8,5013090.0,4.79,2017-10-25,4.82,4.78
4.79,3995480.0,4.8,2017-10-26,4.86,4.79
4.86,6614930.0,4.85,2017-10-27,4.86,4.8
4.86,2024650.0,4.91,2017-10-30,4.95,4.85
4.95,2739850.0,4.91,2017-11-02,4.95,4.82
4.91,2406470.0,4.91,2017-11-03,4.92,4.85
4.91,17865950.0,5.05,2017-11-06,5.14,4.87
5.09,6943452.0,5.03,2017-11-07,5.1,5.0
5.08,4624151.0,4.97,2017-11-08,5.08,4.95
5.04,5663210.0,4.87,2017-11-09,5.04,4.86
4.86,4514250.0,4.84,2017-11-10,4.86,4.8
4.83,11287180.0,5.0,2017-11-13,5.05,4.81
5.01,2970439.0,4.9,2017-11-14,5.05,4.86
4.9,2543890.0,4.9,2017-11-15,5.0,4.88
4.9,11285430.0,4.86,2017-11-16,4.9,4.78
4.85,1029420.0,4.86,2017-11-17,4.88,4.8
4.85,5119570.0,4.85,2017-11-20,4.9,4.72
4.89,2499250.0,4.85,2017-11-21,4.95,4.79
4.78,5347030.0,4.77,2017-11-22,4.86,4.74
4.79,2610940.0,4.75,2017-11-23,4.79,4.7
4.72,4239710.0,4.72,2017-11-24,4.75,4.69
4.72,7853870.0,4.68,2017-11-27,4.72,4.65
4.67,10128160.0,4.66,2017-11-28,4.77,4.59
4.8,14986450.0,4.91,2017-11-29,4.95,4.8
4.95,13029820.0,4.85,2017-12-01,5.01,4.75
4.76,5104400.0,4.74,2017-12-04,4.85,4.69
4.75,3299060.0,4.76,2017-12-05,4.78,4.74
4.76,2168340.0,4.79,2017-12-06,4.8,4.75
4.8,8971320.0,4.72,2017-12-07,4.8,4.65
4.79,1848590.0,4.75,2017-12-08,4.8,4.71
4.7,2630400.0,4.72,2017-12-11,4.78,4.7
4.71,1665860.0,4.75,2017-12-12,4.78,4.7
4.77,3385540.0,4.75,2017-12-13,4.77,4.7
4.75,2362390.0,4.75,2017-12-14,4.77,4.72
4.72,5954460.0,4.71,2017-12-15,4.74,4.69
4.72,2916770.0,4.7,2017-12-18,4.74,4.69
4.75,3444250.0,4.7,2017-12-19,4.75,4.69
4.7,12243470.0,4.69,2017-12-20,4.73,4.6
4.73,2478950.0,4.7,2017-12-21,4.73,4.64
4.7,24987430.0,4.69,2017-12-22,4.7,4.6
4.69,6652920.0,4.86,2017-12-27,4.86,4.65
4.86,6694270.0,4.94,2017-12-28,4.95,4.77
4.92,8010620.0,4.88,2017-12-29,4.92,4.84
4.85,5762740.0,4.8,2018-01-03,4.85,4.7
4.77,2232780.0,4.79,2018-01-04,4.8,4.71
4.77,4123980.0,4.72,2018-01-05,4.78,4.69
4.72,3451020.0,4.73,2018-01-08,4.76,4.72
4.73,8069940.0,4.71,2018-01-09,4.77,4.65
4.7,1827170.0,4.77,2018-01-10,4.79,4.69
4.77,3126640.0,4.77,2018-01-11,4.85,4.76
4.77,14199340.0,4.9,2018-01-12,4.93,4.77
4.96,8655950.0,4.95,2018-01-15,5.05,4.9
4.95,2381090.0,4.9,2018-01-16,4.97,4.85
4.97,19710880.0,5.05,2018-01-17,5.12,4.95
5.1,3543026.0,5.04,2018-01-18,5.1,4.99
5.04,35064331.0,5.0,2018-01-19,5.09,4.98
5.0,6803199.0,4.84,2018-01-22,5.0,4.78
4.84,1861760.0,4.86,2018-01-23,4.89,4.82
4.85,2260270.0,4.87,2018-01-24,4.87,4.8
4.87,3866930.0,4.82,2018-01-25,4.9,4.82
4.82,4906420.0,4.82,2018-01-26,4.85,4.74
4.8,12870630.0,4.71,2018-01-29,4.8,4.69
4.7,11101370.0,4.7,2018-01-30,4.71,4.65
4.7,6155720.0,4.63,2018-01-31,4.7,4.62
4.63,5951140.0,4.66,2018-02-01,4.7,4.62
4.66,2708980.0,4.74,2018-02-02,4.75,4.64
4.74,4044210.0,4.71,2018-02-05,4.74,4.6
4.67,7782850.0,4.62,2018-02-06,4.67,4.59
4.62,3381620.0,4.64,2018-02-07,4.74,4.62
4.64,2163430.0,4.69,2018-02-08,4.69,4.62
4.68,11176060.0,4.63,2018-02-09,4.69,4.56
4.6,12458930.0,4.64,2018-02-12,4.67,4.4
4.53,3041350.0,4.6,2018-02-13,4.63,4.5
4.6,11971510.0,4.54,2018-02-14,4.6,4.4
4.54,3920670.0,4.49,2018-02-15,4.55,4.4
4.4,2312260.0,4.48,2018-02-19,4.48,4.4
4.42,7778790.0,4.46,2018-02-20,4.48,4.4
4.47,6871470.0,4.46,2018-02-21,4.55,4.4
4.4,8437740.0,4.33,2018-02-22,4.44,4.33
4.33,10083560.0,4.5,2018-02-23,4.5,4.21
4.5,3511320.0,4.52,2018-02-26,4.52,4.33
4.5,6115590.0,4.59,2018-02-27,4.8,4.45
4.8,11259180.0,4.74,2018-02-28,4.82,4.72
4.75,2656790.0,4.67,2018-03-01,4.79,4.66
4.67,1947360.0,4.71,2018-03-02,4.74,4.57
4.71,3477870.0,4.7,2018-03-05,4.72,4.57
4.62,2463880.0,4.7,2018-03-06,4.75,4.62
4.71,6238320.0,4.78,2018-03-07,4.81,4.71
4.8,5112570.0,4.86,2018-03-08,4.88,4.79
4.86,4238360.0,4.85,2018-03-09,4.95,4.85
4.86,6689770.0,4.85,2018-03-12,4.9,4.85
4.85,2355470.0,4.83,2018-03-13,4.9,4.8
4.84,7701240.0,4.8,2018-03-14,4.85,4.77
4.77,10459740.0,4.92,2018-03-15,4.94,4.72
4.91,5758810.0,4.91,2018-03-16,4.92,4.85
4.9,10738020.0,4.8,2018-03-19,4.9,4.78
4.75,6284950.0,4.58,2018-03-20,4.75,4.52
4.59,5447550.0,4.7,2018-03-21,4.76,4.59
4.74,574560.0,4.7,2018-03-22,4.78,4.7
4.73,2023350.0,4.6,2018-03-23,4.73,4.6
4.66,298100.0,4.6,2018-03-26,4.66,4.57
4.66,895110.0,4.62,2018-03-27,4.7,4.62
4.61,3064080.0,4.7,2018-03-28,4.7,4.58
4.7,668580.0,4.67,2018-04-02,4.71,4.62
4.67,530900.0,4.66,2018-04-03,4.67,4.61
4.61,2745050.0,4.62,2018-04-04,4.73,4.61
4.64,1955640.0,4.62,2018-04-05,4.66,4.62
4.64,4210370.0,4.61,2018-04-06,4.65,4.61
4.62,3259100.0,4.71,2018-04-10,4.71,4.58
4.71,5821300.0,4.71,2018-04-11,4.75,4.62
4.7,5217610.0,4.6,2018-04-12,4.7,4.6
4.59,8672400.0,4.67,2018-04-13,4.69,4.5
4.69,9342280.0,4.64,2018-04-16,4.69,4.5
4.64,5305740.0,4.56,2018-04-17,4.64,4.51
4.54,585910.0,4.59,2018-04-18,4.64,4.54
4.6,7115500.0,4.58,2018-04-19,4.6,4.5
4.58,2107150.0,4.51,2018-04-20,4.61,4.51
4.57,3159090.0,4.58,2018-04-23,4.65,4.51
4.58,7252820.0,4.6,2018-04-24,4.62,4.5
4.59,3482360.0,4.58,2018-04-25,4.59,4.5
4.58,647120.0,4.51,2018-04-26,4.58,4.5
4.52,334580.0,4.51,2018-04-27,4.55,4.5
4.51,1201730.0,4.54,2018-04-30,4.55,4.48
4.54,6960610.0,4.58,2018-05-02,4.58,4.49
4.58,2975360.0,4.59,2018-05-03,4.59,4.51
4.52,4320570.0,4.56,2018-05-04,4.57,4.5
4.58,347600.0,4.57,2018-05-07,4.58,4.57
4.57,4968160.0,4.6,2018-05-08,4.6,4.51
4.53,7838140.0,4.73,2018-05-09,4.79,4.53
4.71,6319660.0,4.8,2018-05-10,4.8,4.64
4.72,14053950.0,4.93,2018-05-11,4.93,4.72
4.93,6659640.0,4.89,2018-05-15,4.95,4.83
4.89,5118210.0,4.93,2018-05-16,4.94,4.84
4.92,31866310.0,4.94,2018-05-17,5.06,4.86
4.95,8030910.0,4.92,2018-05-18,4.95,4.75
4.89,4046460.0,4.82,2018-05-21,4.94,4.8
4.88,6018480.0,4.88,2018-05-22,4.9,4.82
4.88,2629930.0,4.86,2018-05-23,4.88,4.78
4.76,2713110.0,4.85,2018-05-24,4.85,4.75
4.81,1005610.0,4.88,2018-05-25,4.88,4.78
4.85,1281190.0,4.87,2018-05-28,4.89,4.8
4.86,3385530.0,4.88,2018-05-29,4.9,4.78
4.88,4213860.0,4.7,2018-05-30,4.9,4.7
4.75,2815850.0,4.7,2018-05-31,4.78,4.7
4.7,11082490.0,4.71,2018-06-01,4.79,4.7
4.71,1775890.0,4.69,2018-06-04,4.71,4.68
4.68,2659870.0,4.65,2018-06-05,4.69,4.62
4.65,1074730.0,4.66,2018-06-06,4.75,4.61
4.67,1201350.0,4.75,2018-06-07,4.76,4.67
4.76,453770.0,4.79,2018-06-08,4.8,4.75
4.81,4019230.0,4.82,2018-06-11,4.9,4.8
4.9,2293670.0,4.88,2018-06-13,4.9,4.8
4.82,824460.0,4.76,2018-06-14,4.82,4.76
4.8,2131950.0,4.67,2018-06-18,4.8,4.67
4.66,2375580.0,4.67,2018-06-19,4.7,4.59
4.67,1606510.0,4.69,2018-06-20,4.69,4.59
4.69,2631190.0,4.68,2018-06-21,4.69,4.55
4.57,1585620.0,4.67,2018-06-22,4.67,4.57
4.56,2872620.0,4.7,2018-06-25,4.71,4.56
4.7,387730.0,4.6,2018-06-26,4.7,4.59
4.62,1427680.0,4.65,2018-06-27,4.65,4.59
4.65,3971120.0,4.56,2018-06-28,4.68,4.56
4.57,5711830.0,4.58,2018-06-29,4.59,4.5
4.57,5415010.0,4.57,2018-07-02,4.59,4.45
4.57,1150750.0,4.55,2018-07-03,4.57,4.52
