OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
15.5,941505302.0,15.2,2014-05-06,16.04,15.0
15.3,277229816.0,14.62,2014-05-07,15.36,14.6
14.64,137073512.0,14.92,2014-05-08,14.96,14.62
14.98,176266120.0,15.3,2014-05-09,15.3,14.98
15.4,312530924.0,15.98,2014-05-12,16.1,15.4
16.1,89274992.0,15.84,2014-05-13,16.2,15.78
15.96,166144320.0,16.0,2014-05-14,16.06,15.84
16.0,70696960.0,15.96,2014-05-15,16.06,15.82
15.8,50220854.0,15.5,2014-05-16,15.8,15.42
15.54,55772202.0,16.0,2014-05-19,16.0,15.54
16.04,26113852.0,15.96,2014-05-20,16.1,15.76
15.9,33174496.0,15.8,2014-05-21,15.92,15.62
15.84,146468610.0,16.36,2014-05-22,16.5,15.84
16.46,42323216.0,16.2,2014-05-23,16.46,16.1
16.24,161087588.0,16.9,2014-05-26,17.02,16.24
17.0,30972800.0,16.74,2014-05-27,17.0,16.7
16.86,27364516.0,16.82,2014-05-28,16.96,16.76
16.82,61570036.0,16.64,2014-05-29,16.92,16.56
16.64,20746792.0,16.72,2014-05-30,16.74,16.5
16.72,21220348.0,16.8,2014-06-02,16.86,16.72
16.8,7684812.0,16.82,2014-06-03,16.9,16.8
16.96,55727556.0,16.86,2014-06-04,17.2,16.8
16.88,29745092.0,16.74,2014-06-05,16.9,16.64
16.76,39829164.0,16.8,2014-06-06,16.86,16.76
16.8,48363668.0,16.36,2014-06-09,16.82,16.36
16.52,19229768.0,16.42,2014-06-10,16.6,16.34
16.42,22562988.0,16.68,2014-06-11,16.74,16.3
16.64,12986808.0,16.66,2014-06-13,16.68,16.5
16.66,9680768.0,16.6,2014-06-16,16.66,16.54
16.6,17324630.0,16.4,2014-06-17,16.6,16.36
16.38,33288530.0,16.22,2014-06-18,16.4,16.2
16.32,14528498.0,16.32,2014-06-19,16.48,16.3
16.32,9417232.0,16.6,2014-06-20,16.66,16.3
16.5,2422338.0,16.3,2014-06-23,16.6,16.3
16.32,3948526.0,16.28,2014-06-24,16.5,16.2
16.2,3240564.0,16.3,2014-06-25,16.3,16.2
16.28,17819520.0,16.14,2014-06-26,16.28,16.14
16.18,20427778.0,15.8,2014-06-27,16.18,15.8
16.0,7361860.0,16.06,2014-06-30,16.06,15.8
16.06,14760428.0,15.98,2014-07-01,16.06,15.94
16.0,28150694.0,16.0,2014-07-02,16.06,15.98
16.04,8186204.0,15.98,2014-07-03,16.04,15.8
16.0,56448646.0,16.1,2014-07-04,16.1,16.0
16.06,11629172.0,16.0,2014-07-07,16.1,16.0
16.02,5725568.0,16.02,2014-07-08,16.14,15.98
16.0,3429550.0,15.86,2014-07-09,16.0,15.8
15.86,16552264.0,16.34,2014-07-10,16.38,15.86
16.3,1874268.0,16.2,2014-07-11,16.3,16.1
16.2,1168714.0,15.98,2014-07-14,16.2,15.98
15.94,1913038.0,15.9,2014-07-15,16.0,15.9
15.9,2511332.0,16.0,2014-07-17,16.0,15.9
16.0,7008816.0,16.0,2014-07-18,16.02,15.9
16.0,1530682.0,15.92,2014-07-21,16.0,15.9
15.92,1579402.0,15.9,2014-07-22,15.94,15.9
15.9,2330478.0,16.0,2014-07-23,16.0,15.9
16.0,20166898.0,16.02,2014-07-24,16.1,16.0
16.0,5328604.0,15.96,2014-07-25,16.06,15.96
16.0,7690110.0,15.92,2014-07-28,16.02,15.86
15.92,3364990.0,15.9,2014-07-30,15.94,15.86
15.9,3730058.0,15.88,2014-07-31,15.92,15.88
15.84,18210698.0,15.66,2014-08-01,15.84,15.62
15.68,3906158.0,16.0,2014-08-04,16.02,15.68
16.0,855214.0,15.94,2014-08-05,16.0,15.9
15.9,15262060.0,15.88,2014-08-06,15.9,15.88
15.82,591022.0,15.86,2014-08-07,15.9,15.82
15.86,3579654.0,15.86,2014-08-08,15.88,15.86
15.8,3216556.0,15.74,2014-08-11,15.8,15.7
