OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.0,15134200.0,9.9,2009-08-03,9.9,9.0
10.25,1421550.0,10.0,2009-08-04,10.25,9.9
10.0,1875100.0,9.8,2009-08-06,10.0,9.6
9.7,357600.0,9.7,2009-08-07,9.8,9.6
9.8,5823600.0,10.5,2009-08-10,10.5,9.8
10.5,2870750.0,10.25,2009-08-11,10.5,9.9
10.0,7239425.0,11.0,2009-08-12,11.0,10.0
11.0,672700.0,11.0,2009-08-13,11.25,10.75
11.25,1175625.0,10.5,2009-08-14,11.25,10.5
10.5,3329880.0,9.7,2009-08-17,10.5,9.7
9.6,1511300.0,9.9,2009-08-18,9.9,9.4
10.0,12347750.0,10.25,2009-08-19,10.25,10.0
10.0,1761900.0,10.0,2009-08-20,10.0,9.8
10.0,3517250.0,10.5,2009-08-24,10.5,10.0
10.25,899260.0,10.25,2009-08-25,10.5,9.9
10.25,2736450.0,10.5,2009-08-26,10.5,10.25
9.9,2316700.0,10.0,2009-09-03,10.0,9.9
10.0,4460200.0,10.0,2009-09-04,10.0,9.9
10.25,1088175.0,10.0,2009-09-16,10.25,10.0
10.0,280500.0,10.25,2009-09-17,10.25,10.0
10.25,2105125.0,10.25,2009-09-18,10.25,10.0
10.25,52050.0,10.25,2009-09-22,10.25,10.0
10.25,703100.0,10.25,2009-09-23,10.25,10.0
10.0,1089750.0,10.25,2009-10-01,10.25,9.9
9.9,960430.0,10.0,2009-10-02,10.0,9.9
10.0,851000.0,10.25,2009-10-06,10.25,10.0
10.25,11390025.0,11.0,2009-10-07,11.0,10.25
11.0,1622775.0,10.75,2009-10-08,11.0,10.5
10.75,934875.0,10.75,2009-10-09,10.75,10.25
10.5,545100.0,10.5,2009-10-12,10.5,10.25
10.5,208850.0,10.5,2009-10-13,10.5,10.25
10.5,486050.0,10.5,2009-10-14,10.5,10.25
10.5,1934850.0,10.75,2009-10-15,10.75,10.5
10.5,118050.0,10.75,2009-10-16,10.75,10.5
10.25,115100.0,10.5,2009-10-19,10.5,10.25
10.5,11489300.0,10.75,2009-10-20,10.75,10.5
10.5,1230475.0,10.25,2009-10-21,10.5,10.25
10.0,1956750.0,10.0,2009-10-22,10.25,9.9
10.0,8358000.0,10.75,2009-10-23,10.75,10.0
10.5,371300.0,10.75,2009-10-26,10.75,10.5
10.5,194250.0,10.5,2009-10-27,10.5,10.5
10.25,481750.0,10.25,2009-10-28,10.25,10.25
10.25,972050.0,10.5,2009-10-29,10.5,10.0
10.5,1231725.0,10.75,2009-10-30,10.75,10.5
10.5,1674350.0,10.5,2009-11-03,10.5,10.25
10.25,28750.0,10.5,2009-11-05,10.5,10.25
10.25,19204350.0,10.5,2009-11-06,10.5,10.0
10.25,427250.0,10.5,2009-11-09,10.5,10.25
10.5,14284600.0,11.5,2009-11-10,11.5,10.5
11.25,3054550.0,11.75,2009-11-11,11.75,11.25
10.75,333250.0,10.75,2009-12-15,10.75,10.75
10.75,10750.0,10.75,2009-12-16,10.75,10.75
10.75,396675.0,10.75,2009-12-17,10.75,10.75
10.5,1293600.0,10.5,2009-12-18,10.5,10.5
10.5,233150.0,10.75,2009-12-21,10.75,10.5
10.75,136525.0,10.75,2009-12-22,10.75,10.75
10.75,518200.0,11.0,2009-12-29,11.0,10.75
10.5,243600.0,10.5,2010-01-04,10.5,10.5
10.5,1250500.0,10.25,2010-01-05,10.5,10.25
10.25,376050.0,10.25,2010-01-06,10.25,10.0
10.25,326750.0,10.25,2010-01-07,10.25,10.0
10.25,66850.0,10.5,2010-01-08,10.5,10.25
10.25,1775950.0,10.25,2010-01-12,10.5,10.0
10.0,1665050.0,10.25,2010-01-13,10.25,10.0
10.0,236050.0,10.25,2010-01-14,10.25,10.0
10.0,2937550.0,10.75,2010-01-15,10.75,10.0
10.5,1752450.0,10.5,2010-01-19,10.5,10.5
10.5,412650.0,10.5,2010-01-20,10.5,10.5
10.25,822050.0,10.75,2010-01-21,10.75,10.25
10.5,10500.0,10.5,2010-01-22,10.5,10.5
10.25,1881325.0,10.5,2010-01-25,10.5,10.0
10.0,4958000.0,10.25,2010-01-26,10.5,10.0
10.25,30980000.0,10.0,2010-01-27,10.25,10.0
