OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.008,440000.0,0.008,2009-08-03,0.008,0.008
0.008,605500.0,0.0085,2009-08-04,0.0085,0.008
0.008,76500.0,0.0075,2009-08-06,0.008,0.0075
0.008,128000.0,0.008,2009-08-10,0.008,0.008
0.008,133500.0,0.0075,2009-08-11,0.008,0.0075
0.0075,1731500.0,0.0075,2009-08-12,0.0075,0.0065
0.0075,1237500.0,0.0075,2009-08-13,0.0075,0.0075
0.008,600000.0,0.008,2009-08-14,0.008,0.008
0.007,39000.0,0.008,2009-08-17,0.008,0.007
0.0075,660000.0,0.0075,2009-08-19,0.0075,0.0075
0.0075,130000.0,0.008,2009-08-24,0.008,0.0075
0.008,3001000.0,0.0075,2009-08-25,0.0085,0.0075
0.008,1944000.0,0.008,2009-08-26,0.008,0.008
0.0085,1192000.0,0.009,2009-09-03,0.009,0.0085
0.009,1817000.0,0.009,2009-09-04,0.0095,0.009
0.0085,1198500.0,0.0085,2009-09-16,0.0085,0.0085
0.0085,42500.0,0.0085,2009-09-17,0.0085,0.0085
0.009,9000.0,0.009,2009-09-18,0.009,0.009
0.008,82500.0,0.0085,2009-09-23,0.0085,0.008
0.008,32000.0,0.008,2009-09-30,0.008,0.008
0.0085,8500.0,0.0085,2009-10-01,0.0085,0.0085
0.008,64000.0,0.008,2009-10-02,0.008,0.008
0.008,712000.0,0.008,2009-10-05,0.008,0.008
0.008,16000.0,0.008,2009-10-06,0.008,0.008
0.008,408500.0,0.0085,2009-10-07,0.0085,0.008
0.008,760000.0,0.008,2009-10-08,0.008,0.008
0.008,8000.0,0.008,2009-10-12,0.008,0.008
0.008,24000.0,0.008,2009-10-14,0.008,0.008
0.009,376000.0,0.008,2009-10-15,0.009,0.008
0.008,208000.0,0.008,2009-10-19,0.008,0.008
0.009,45000.0,0.009,2009-10-20,0.009,0.009
0.009,27000.0,0.009,2009-10-21,0.009,0.009
0.0085,17000.0,0.0085,2009-10-22,0.0085,0.0085
0.0085,25500.0,0.0085,2009-10-23,0.0085,0.0085
0.008,8000.0,0.008,2009-10-28,0.008,0.008
0.008,40000.0,0.008,2009-10-30,0.008,0.008
0.008,105500.0,0.0075,2009-11-03,0.008,0.0075
0.008,16000.0,0.008,2009-11-06,0.008,0.008
0.0085,102000.0,0.0085,2009-11-10,0.0085,0.0085
0.0075,15000.0,0.0075,2009-12-15,0.0075,0.0075
0.008,16000.0,0.008,2009-12-23,0.008,0.008
0.008,168000.0,0.008,2009-12-29,0.008,0.008
0.0075,15000.0,0.0075,2010-01-04,0.0075,0.0075
0.0085,16500.0,0.008,2010-01-05,0.0085,0.008
0.008,112000.0,0.008,2010-01-06,0.008,0.008
0.008,240000.0,0.008,2010-01-07,0.008,0.008
0.008,128000.0,0.008,2010-01-08,0.008,0.008
0.0085,556000.0,0.008,2010-01-12,0.0085,0.008
0.008,152000.0,0.008,2010-01-14,0.008,0.008
0.008,144000.0,0.008,2010-01-15,0.008,0.008
0.0085,680500.0,0.008,2010-01-18,0.0085,0.008
0.008,16000.0,0.008,2010-01-22,0.008,0.008
0.0075,60000.0,0.0075,2010-01-25,0.0075,0.0075
0.0075,262500.0,0.0075,2010-01-26,0.0075,0.0075
0.0075,52500.0,0.0075,2010-01-27,0.0075,0.0075
0.0075,15000.0,0.0075,2010-01-29,0.0075,0.0075
0.0075,135000.0,0.0075,2010-02-01,0.0075,0.0075
0.0075,150000.0,0.0075,2010-02-02,0.0075,0.0075
0.008,294500.0,0.0075,2010-02-03,0.008,0.0075
0.007,175500.0,0.0075,2010-02-04,0.0075,0.007
0.007,371000.0,0.007,2010-02-08,0.007,0.007
0.007,217000.0,0.007,2010-02-10,0.007,0.007
0.0075,75000.0,0.0075,2010-03-08,0.0075,0.0075
0.0075,42500.0,0.007,2010-03-12,0.0075,0.007
0.0075,7500.0,0.0075,2010-03-16,0.0075,0.0075
0.0075,67500.0,0.0075,2010-03-17,0.0075,0.0075
0.008,1232000.0,0.008,2010-03-31,0.008,0.008
0.0075,600000.0,0.0075,2010-04-21,0.0075,0.0075
0.008,920000.0,0.008,2010-04-22,0.008,0.008
0.011,4729900.0,0.011,2010-04-29,0.011,0.01
0.011,1100400.0,0.011,2010-04-30,0.011,0.01
0.01,1992200.0,0.01,2010-05-04,0.011,0.01
0.01,6685500.0,0.0095,2010-05-05,0.01,0.0095
0.0095,171000.0,0.0095,2010-05-13,0.0095,0.0095
0.0095,76000.0,0.0095,2010-05-14,0.0095,0.0095
0.0095,161500.0,0.0095,2010-05-17,0.0095,0.0095
0.0095,237500.0,0.0095,2010-05-18,0.0095,0.0095
0.009,28000.0,0.0095,2010-05-19,0.0095,0.009
0.0095,237500.0,0.0095,2010-05-21,0.0095,0.0095
0.01,1864000.0,0.011,2010-05-24,0.011,0.01
0.01,5043000.0,0.01,2010-05-25,0.01,0.01
0.011,720000.0,0.01,2010-05-26,0.011,0.01
0.01,590000.0,0.01,2010-05-27,0.01,0.01
0.011,1232000.0,0.011,2010-05-28,0.011,0.011
0.011,946000.0,0.01,2010-05-31,0.011,0.01
0.01,1570000.0,0.01,2010-06-01,0.01,0.01
0.01,580000.0,0.01,2010-06-02,0.01,0.01
0.01,650000.0,0.01,2010-06-03,0.01,0.01
0.01,1540000.0,0.01,2010-06-04,0.01,0.01
0.01,300000.0,0.01,2010-06-07,0.01,0.01
0.01,210000.0,0.01,2010-06-09,0.01,0.01
0.01,40000.0,0.01,2010-06-10,0.01,0.01
0.01,30000.0,0.01,2010-06-15,0.01,0.01
0.01,550000.0,0.01,2010-06-16,0.01,0.01
0.01,60000.0,0.01,2010-06-21,0.01,0.01
0.01,160000.0,0.01,2010-06-22,0.01,0.01
0.01,150000.0,0.01,2010-06-23,0.01,0.01
0.01,480000.0,0.01,2010-06-25,0.01,0.01
0.01,140000.0,0.01,2010-06-28,0.01,0.01
0.01,40000.0,0.01,2010-06-29,0.01,0.01
0.01,270000.0,0.01,2010-07-01,0.01,0.01
0.009,92000.0,0.01,2010-07-02,0.01,0.009
0.01,20000.0,0.01,2010-07-06,0.01,0.01
0.01,290000.0,0.01,2010-07-07,0.01,0.01
0.01,410000.0,0.01,2010-07-08,0.01,0.01
0.01,300000.0,0.01,2010-07-09,0.01,0.01
0.01,920000.0,0.01,2010-07-13,0.01,0.01
0.01,100000.0,0.01,2010-07-15,0.01,0.01
0.01,100000.0,0.01,2010-07-16,0.01,0.01
0.01,1050000.0,0.01,2010-07-19,0.01,0.01
0.01,30000.0,0.01,2010-07-20,0.01,0.01
0.01,1161000.0,0.011,2010-07-21,0.011,0.01
0.011,65100.0,0.01,2010-07-22,0.011,0.01
0.01,130000.0,0.01,2010-07-23,0.01,0.01
0.01,100000.0,0.01,2010-09-20,0.01,0.01
0.01,1100000.0,0.01,2010-09-21,0.01,0.01
0.01,103000.0,0.01,2010-09-22,0.01,0.01
0.01,229000.0,0.01,2010-09-23,0.01,0.01
0.01,64000.0,0.011,2010-09-24,0.011,0.01
0.011,1100.0,0.011,2010-09-27,0.011,0.011
0.01,30000.0,0.01,2010-09-28,0.01,0.01
0.01,1180000.0,0.01,2010-09-29,0.01,0.01
0.01,6000.0,0.01,2010-09-30,0.01,0.01
0.01,60000.0,0.01,2010-10-01,0.01,0.01
0.01,10000.0,0.01,2010-10-04,0.01,0.01
0.01,13100.0,0.011,2010-10-05,0.011,0.01
0.011,63000.0,0.01,2010-10-06,0.011,0.01
0.01,33100.0,0.011,2010-10-07,0.011,0.01
0.01,100000.0,0.01,2010-10-08,0.01,0.01
0.011,2200.0,0.011,2010-10-12,0.011,0.011
0.011,121600.0,0.011,2010-10-13,0.011,0.01
0.011,242000.0,0.011,2010-10-14,0.011,0.011
0.011,8429600.0,0.012,2010-10-15,0.012,0.011
0.012,1312800.0,0.011,2010-10-18,0.012,0.011
0.011,434500.0,0.011,2010-10-19,0.012,0.011
0.011,1400300.0,0.011,2010-10-20,0.011,0.011
0.011,7700.0,0.011,2010-10-21,0.011,0.011
0.011,69200.0,0.011,2010-10-22,0.011,0.01
0.011,629200.0,0.011,2010-10-26,0.011,0.011
0.011,804100.0,0.011,2010-10-27,0.011,0.011
0.012,674900.0,0.011,2010-10-28,0.012,0.011
0.011,959800.0,0.011,2010-10-29,0.012,0.011
0.011,1184900.0,0.012,2010-11-02,0.012,0.011
0.012,786000.0,0.011,2010-11-03,0.012,0.011
0.012,200700.0,0.011,2010-11-04,0.012,0.011
0.011,45200.0,0.011,2010-11-08,0.012,0.011
0.012,1100100.0,0.011,2010-11-09,0.012,0.011
0.012,5659900.0,0.011,2010-11-10,0.012,0.011
0.011,355300.0,0.011,2010-11-11,0.011,0.011
0.011,2093300.0,0.011,2010-11-12,0.011,0.011
0.011,1211100.0,0.011,2010-11-15,0.011,0.011
0.011,4402200.0,0.011,2010-11-17,0.011,0.011
0.012,2200400.0,0.012,2010-11-18,0.012,0.011
0.012,608600.0,0.012,2010-11-19,0.012,0.011
0.012,2851400.0,0.011,2010-11-22,0.012,0.011
0.012,74400.0,0.012,2010-11-23,0.012,0.012
0.011,300600.0,0.012,2010-11-24,0.012,0.011
0.011,1591600.0,0.012,2010-11-25,0.012,0.011
0.012,79900.0,0.011,2010-11-26,0.012,0.011
0.011,495000.0,0.011,2010-11-30,0.011,0.011
0.011,220000.0,0.011,2010-12-01,0.011,0.011
0.012,62300.0,0.012,2010-12-02,0.012,0.011
0.011,33000.0,0.011,2010-12-03,0.011,0.011
0.012,43200.0,0.012,2010-12-06,0.012,0.012
0.011,567500.0,0.012,2010-12-07,0.012,0.011
0.012,372100.0,0.011,2010-12-08,0.012,0.011
0.011,276200.0,0.011,2010-12-16,0.012,0.011
0.011,770100.0,0.012,2010-12-22,0.012,0.011
0.012,307000.0,0.011,2010-12-23,0.012,0.011
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,156000.0,0.012,2010-12-28,0.012,0.012
0.012,22900.0,0.012,2010-12-29,0.012,0.011
0.012,22900.0,0.012,2010-12-29,0.012,0.011
0.013,35989700.0,0.015,2011-01-03,0.016,0.013
0.013,35989700.0,0.015,2011-01-03,0.016,0.013
0.013,35989700.0,0.015,2011-01-03,0.016,0.013
0.015,10621400.0,0.014,2011-01-04,0.016,0.014
0.014,2485400.0,0.014,2011-01-05,0.015,0.013
0.014,1543100.0,0.014,2011-01-06,0.015,0.014
0.015,8421000.0,0.015,2011-01-07,0.015,0.015
0.015,15776000.0,0.016,2011-01-10,0.017,0.015
0.017,6683200.0,0.016,2011-01-11,0.017,0.016
0.017,6683200.0,0.016,2011-01-11,0.017,0.016
0.017,28141800.0,0.019,2011-01-12,0.019,0.017
0.019,19793200.0,0.017,2011-01-13,0.019,0.017
0.018,9916200.0,0.018,2011-01-14,0.019,0.017
0.018,1804400.0,0.018,2011-01-17,0.018,0.017
0.017,8928700.0,0.018,2011-01-18,0.018,0.017
0.017,5761300.0,0.018,2011-01-19,0.019,0.017
0.017,5761300.0,0.018,2011-01-19,0.019,0.017
0.018,4543200.0,0.018,2011-01-20,0.018,0.018
0.018,4543200.0,0.018,2011-01-20,0.018,0.018
0.017,7647700.0,0.015,2011-01-24,0.017,0.015
0.016,776000.0,0.016,2011-01-25,0.016,0.016
0.016,1240500.0,0.015,2011-01-26,0.016,0.015
0.016,4036400.0,0.017,2011-01-27,0.017,0.016
0.017,1191700.0,0.017,2011-01-28,0.017,0.017
0.017,1191700.0,0.017,2011-01-28,0.017,0.017
0.017,710600.0,0.017,2011-01-31,0.017,0.017
0.017,710600.0,0.017,2011-01-31,0.017,0.017
0.017,900000.0,0.017,2011-02-01,0.017,0.016
0.017,900000.0,0.017,2011-02-01,0.017,0.016
0.017,9476300.0,0.017,2011-02-02,0.018,0.017
0.018,2159000.0,0.018,2011-02-03,0.018,0.017
0.018,315800.0,0.018,2011-02-14,0.018,0.017
0.017,54600.0,0.018,2011-02-16,0.018,0.017
0.017,54600.0,0.018,2011-02-16,0.018,0.017
0.017,1093100.0,0.017,2011-02-17,0.017,0.017
0.017,37400.0,0.017,2011-02-18,0.017,0.017
0.018,2297500.0,0.017,2011-02-21,0.018,0.017
0.018,2297500.0,0.017,2011-02-21,0.018,0.017
0.017,1868300.0,0.017,2011-02-22,0.017,0.017
0.017,1868300.0,0.017,2011-02-22,0.017,0.017
0.017,635800.0,0.017,2011-02-23,0.017,0.017
0.017,635800.0,0.017,2011-02-23,0.017,0.017
0.017,1260700.0,0.017,2011-02-24,0.017,0.016
0.017,1260700.0,0.017,2011-02-24,0.017,0.016
0.017,357000.0,0.017,2011-02-25,0.017,0.017
0.017,2211700.0,0.017,2011-02-28,0.017,0.017
0.017,707200.0,0.017,2011-03-02,0.017,0.017
0.017,187000.0,0.017,2011-03-03,0.017,0.017
0.017,110500.0,0.017,2011-03-04,0.017,0.017
0.017,110500.0,0.017,2011-03-04,0.017,0.017
0.017,1819000.0,0.017,2011-03-07,0.017,0.017
0.017,486200.0,0.017,2011-03-08,0.017,0.017
0.017,486200.0,0.017,2011-03-08,0.017,0.017
