OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.1,2200.0,1.1,2009-09-22,1.1,1.1
1.64,1640.0,1.64,2009-10-09,1.64,1.64
1.9,1900.0,1.9,2009-10-15,1.9,1.9
1.9,7520.0,1.86,2009-11-03,1.9,1.86
1.92,9600.0,1.92,2010-01-04,1.92,1.92
1.92,9600.0,1.92,2010-01-05,1.92,1.92
1.92,28700.0,1.9,2010-01-06,1.92,1.9
1.7,1365100.0,1.7,2010-02-09,1.7,1.7
1.86,638140.0,1.7,2010-02-11,1.86,1.7
1.7,369000.0,1.76,2010-04-20,1.76,1.7
1.72,17200.0,1.72,2010-04-30,1.72,1.72
1.72,17200.0,1.72,2010-05-05,1.72,1.72
1.6,8000.0,1.6,2010-05-24,1.6,1.6
1.7,8500.0,1.7,2010-07-08,1.7,1.7
1.88,93700.0,1.82,2010-09-20,1.88,1.82
1.72,6880.0,1.72,2010-09-21,1.72,1.72
1.9,190000.0,1.9,2010-09-24,1.9,1.9
1.9,3046400.0,1.93,2010-09-28,1.93,1.9
1.93,1006250.0,1.84,2010-09-29,2.0,1.84
1.85,127650.0,1.85,2010-09-30,1.85,1.85
1.85,325600.0,1.85,2010-10-05,1.85,1.85
1.8,18000.0,1.8,2010-10-07,1.8,1.8
2.0,601000.0,1.85,2010-10-18,2.0,1.85
1.85,370000.0,1.85,2010-10-19,1.85,1.85
1.95,117000.0,1.95,2010-10-28,1.95,1.95
2.0,200000.0,2.0,2010-11-08,2.0,2.0
1.97,793000.0,1.99,2010-11-09,1.99,1.97
1.99,995000.0,1.99,2010-11-18,1.99,1.99
1.99,39800.0,1.99,2010-11-22,1.99,1.99
1.99,11940.0,1.99,2010-11-23,1.99,1.99
1.99,19900.0,1.99,2010-11-24,1.99,1.99
1.99,59700.0,1.99,2010-12-02,1.99,1.99
2.0,16000.0,2.0,2010-12-22,2.0,2.0
2.1,126000.0,2.1,2011-01-10,2.1,2.1
2.1,105000.0,2.1,2011-01-12,2.1,2.1
1.6,9600.0,1.6,2011-01-28,1.6,1.6
1.6,9600.0,1.6,2011-01-28,1.6,1.6
1.9,76000.0,1.9,2011-02-14,1.9,1.9
1.92,230400.0,1.92,2011-03-08,1.92,1.92
1.92,230400.0,1.92,2011-03-08,1.92,1.92
1.96,205800.0,1.96,2011-03-11,1.96,1.96
1.96,205800.0,1.96,2011-03-11,1.96,1.96
1.98,39600.0,1.98,2011-03-16,1.98,1.98
2.0,60000.0,2.0,2011-03-17,2.0,2.0
1.9,91300.0,2.0,2011-03-25,2.0,1.9
2.05,215250.0,2.05,2011-04-01,2.05,2.05
2.1,4200.0,2.1,2011-04-05,2.1,2.1
2.1,31500.0,2.1,2011-04-06,2.1,2.1
2.04,207000.0,2.1,2011-04-07,2.1,2.04
1.92,190080.0,1.92,2011-04-12,1.92,1.92
1.94,100880.0,1.94,2011-04-13,1.94,1.94
1.94,9700.0,1.94,2011-04-15,1.94,1.94
2.0,383010.0,2.15,2011-04-29,2.15,2.0
2.18,219000.0,2.2,2011-05-02,2.2,2.18
2.5,7500.0,2.5,2011-05-03,2.5,2.5
2.5,5000.0,2.5,2011-05-12,2.5,2.5
2.45,73500.0,2.45,2011-05-31,2.45,2.45
2.5,350000.0,2.5,2011-06-01,2.5,2.5
2.6,117000.0,2.6,2011-06-06,2.6,2.6
2.4,115200.0,2.4,2011-06-09,2.4,2.4
2.22,232220.0,2.3,2011-06-21,2.3,2.22
2.3,230000.0,2.3,2011-06-22,2.3,2.3
2.6,52000.0,2.6,2011-06-28,2.6,2.6
2.6,240400.0,2.3,2011-06-29,2.6,2.3
2.3,27600.0,2.3,2011-06-30,2.3,2.3
2.4,120000.0,2.4,2011-07-06,2.4,2.4
2.4,69600.0,2.4,2011-07-13,2.4,2.4
2.4,4800.0,2.4,2011-07-18,2.4,2.4
2.5,50000.0,2.5,2011-07-29,2.5,2.5
2.5,150000.0,2.5,2011-08-03,2.5,2.5
2.5,262500.0,2.5,2011-08-05,2.5,2.5
2.5,37500.0,2.5,2011-08-08,2.5,2.5
2.3,254600.0,2.5,2011-08-09,2.5,2.3
2.3,2300.0,2.3,2011-08-16,2.3,2.3
2.5,250000.0,2.5,2011-08-17,2.5,2.5
2.32,113680.0,2.32,2011-08-19,2.32,2.32
2.5,207500.0,2.5,2011-08-24,2.5,2.5
2.5,75000.0,2.5,2011-08-31,2.5,2.5
2.5,12500.0,2.5,2011-09-01,2.5,2.5
2.5,50000.0,2.5,2011-09-16,2.5,2.5
2.32,4640.0,2.32,2011-09-21,2.32,2.32
2.35,117500.0,2.35,2011-09-28,2.35,2.35
2.38,286800.0,2.4,2011-10-12,2.4,2.38
2.35,80250.0,2.44,2011-10-13,2.44,2.35
2.48,133920.0,2.48,2011-10-14,2.48,2.48
2.45,19600.0,2.45,2011-10-18,2.45,2.45
2.52,75600.0,2.52,2011-10-19,2.52,2.52
2.56,115200.0,2.56,2011-10-20,2.56,2.56
2.58,233900.0,2.65,2011-10-28,2.65,2.58
2.65,45050.0,2.65,2011-11-09,2.65,2.65
2.75,137500.0,2.75,2011-11-14,2.75,2.75
2.6,26000.0,2.6,2011-11-22,2.6,2.6
2.6,39000.0,2.6,2011-11-29,2.6,2.6
2.65,126040.0,3.8,2011-12-01,3.9,2.65
3.8,3800.0,3.8,2011-12-02,3.8,3.8
2.4,4800.0,2.4,2011-12-08,2.4,2.4
2.4,77500.0,2.95,2011-12-15,2.95,2.4
2.8,5600.0,2.8,2011-12-26,2.8,2.8
2.5,72500.0,2.5,2012-01-04,2.5,2.5
2.8,2800.0,2.8,2012-01-11,2.8,2.8
2.95,103250.0,2.95,2012-01-26,2.95,2.95
2.95,17700.0,2.95,2012-01-31,2.95,2.95
3.05,109800.0,3.05,2012-02-03,3.05,3.05
3.05,644100.0,3.05,2012-02-06,3.3,3.05
2.8,8400.0,2.8,2012-02-07,2.8,2.8
2.9,14500.0,2.9,2012-02-08,2.9,2.9
2.9,78300.0,2.9,2012-02-09,2.9,2.9
3.1,46500.0,3.1,2012-02-10,3.1,3.1
3.1,6200.0,3.1,2012-02-13,3.1,3.1
3.15,277300.0,3.45,2012-02-15,3.45,3.15
3.6,457030.0,3.81,2012-02-16,4.4,3.6
4.0,259500.0,4.1,2012-02-17,4.3,4.0
4.1,1179080.0,4.35,2012-02-20,4.35,4.1
4.8,428050.0,4.95,2012-02-21,4.95,4.8
4.4,227350.0,4.98,2012-02-22,5.0,4.4
4.0,8000.0,4.0,2012-02-23,4.0,4.0
4.0,40000.0,4.0,2012-03-01,4.0,4.0
4.25,127500.0,4.25,2012-03-02,4.25,4.25
4.5,27500.0,4.6,2012-03-06,4.6,4.5
4.6,161000.0,4.6,2012-03-07,4.6,4.6
4.6,720400.0,4.6,2012-03-09,4.6,4.4
4.6,197800.0,4.6,2012-03-12,4.6,4.6
4.6,106000.0,4.61,2012-03-13,4.61,4.6
4.9,98000.0,4.9,2012-03-14,4.9,4.9
5.05,151500.0,5.05,2012-03-15,5.05,5.05
4.8,24000.0,4.8,2012-03-19,4.8,4.8
4.81,139890.0,4.85,2012-03-20,4.85,4.81
4.8,96000.0,4.8,2012-03-22,4.8,4.8
5.5,11000.0,5.5,2012-03-27,5.5,5.5
5.5,15120.0,5.3,2012-03-28,5.5,5.2
4.8,4800.0,4.8,2012-03-29,4.8,4.8
5.6,5600.0,5.6,2012-03-30,5.6,5.6
5.0,82000.0,5.0,2012-04-02,5.0,5.0
4.9,7840.000000000001,4.9,2012-04-03,4.9,4.9
5.1,102000.0,5.1,2012-04-12,5.1,5.1
5.1,306000.0,5.1,2012-04-13,5.1,5.1
5.1,102000.0,5.1,2012-04-16,5.1,5.1
5.0,149000.0,4.9,2012-04-17,5.0,4.9
4.9,147000.0,4.9,2012-04-19,4.9,4.9
4.8,103710.0,4.71,2012-04-24,5.1,4.71
4.71,910300.0,5.0,2012-04-26,5.0,4.71
4.95,294100.0,4.71,2012-04-27,4.95,4.71
5.0,686500.0,5.3,2012-04-30,5.3,5.0
4.9,383430.0,5.2,2012-05-03,5.2,4.9
5.0,50000.0,5.0,2012-05-08,5.0,5.0
5.0,400000.0,5.0,2012-05-09,5.0,5.0
5.0,195000.0,5.0,2012-05-10,5.0,5.0
5.0,200000.0,5.0,2012-05-11,5.0,5.0
5.0,13000.0,5.0,2012-05-14,5.0,5.0
4.91,16694.0,4.91,2012-05-15,4.91,4.91
4.9,215600.0,4.9,2012-05-16,4.9,4.9
4.9,147000.0,4.9,2012-05-30,4.9,4.9
4.9,9800.0,4.9,2012-05-31,4.9,4.9
5.0,150000.0,5.0,2012-06-08,5.0,5.0
5.0,38500.0,5.0,2012-06-13,5.0,5.0
4.9,441000.0,4.9,2012-06-21,4.9,4.9
4.86,97200.0,4.86,2012-06-22,4.86,4.86
5.0,500000.0,5.0,2012-06-27,5.0,5.0
5.0,150000.0,5.0,2012-07-13,5.0,5.0
4.86,4374.0,4.86,2012-07-16,4.86,4.86
5.0,150000.0,5.0,2012-07-18,5.0,5.0
4.86,589800.0,5.02,2012-07-27,5.02,4.86
4.91,4419.0,4.91,2012-07-30,4.91,4.91
4.86,444600.0,5.04,2012-08-02,5.04,4.86
4.9,142100.0,4.9,2012-08-06,4.9,4.9
4.9,297000.0,5.0,2012-08-09,5.0,4.9
5.0,113000.0,4.9,2012-08-10,5.0,4.9
5.0,250000.0,5.0,2012-08-31,5.0,5.0
5.0,100000.0,5.0,2012-09-04,5.0,5.0
5.1,102000.0,5.1,2012-10-15,5.1,5.1
5.1,484500.0,5.1,2012-11-13,5.1,5.1
5.1,51000.0,5.1,2012-11-14,5.1,5.1
4.9,103960.0,5.1,2012-11-15,5.1,4.9
5.1,153000.0,5.1,2012-11-20,5.1,5.1
5.0,2500.0,5.0,2012-12-18,5.0,5.0
5.1,204000.0,5.1,2013-01-04,5.1,5.1
5.1,114240.0,5.1,2013-01-07,5.1,5.1
4.9,980.0000000000001,4.9,2013-01-16,4.9,4.9
4.9,4900.0,4.9,2013-01-21,4.9,4.9
4.9,19600.0,4.9,2013-01-22,4.9,4.9
4.9,4900.0,4.9,2013-01-29,4.9,4.9
4.81,57719.99999999999,4.81,2013-02-01,4.81,4.81
4.81,14430.0,4.81,2013-02-04,4.81,4.81
5.0,255000.0,5.0,2013-02-06,5.0,5.0
5.0,152000.0,5.0,2013-02-11,5.0,5.0
5.0,100000.0,5.0,2013-02-12,5.0,5.0
5.0,500000.0,5.0,2013-02-15,5.0,5.0
4.81,57238.99999999999,4.81,2013-02-18,4.81,4.81
4.7,606300.0,4.7,2013-03-25,4.7,4.7
5.1,117300.0,5.1,2013-04-22,5.1,5.1
5.05,249209.0,4.91,2013-04-25,5.05,4.91
5.2,166500.0,5.25,2013-05-06,5.25,5.2
5.5,84150.0,5.5,2013-05-22,5.5,5.5
5.6,168000.0,5.6,2013-06-04,5.6,5.6
5.2,81640.0,5.2,2013-06-26,5.2,5.2
5.2,156000.0,5.2,2013-06-28,5.2,5.2
5.2,78000.0,5.2,2013-07-01,5.2,5.2
5.3,596250.0,5.3,2013-07-09,5.3,5.3
5.2,31200.0,5.2,2013-07-10,5.2,5.2
5.1,76500.0,5.1,2013-08-01,5.1,5.1
5.0,500000.0,5.0,2013-09-12,5.0,5.0
5.1,51000.0,5.1,2013-09-20,5.1,5.1
4.0,36000.0,4.0,2013-10-30,4.0,4.0
5.0,45000.0,5.0,2013-10-31,5.0,5.0
5.0,100000.0,5.0,2013-11-11,5.0,5.0
5.0,475000.0,5.0,2013-12-03,5.0,5.0
4.6,1839.9999999999998,4.6,2014-01-20,4.6,4.6
5.0,250000.0,5.0,2014-02-18,5.0,5.0
4.6,86020.0,4.6,2014-02-21,4.6,4.6
5.2,104000.0,5.2,2014-03-05,5.2,5.2
5.2,104000.0,5.2,2014-03-20,5.2,5.2
5.5,550.0,5.5,2014-04-04,5.5,5.5
5.0,50000.0,5.0,2014-04-16,5.0,5.0
5.4,1080.0,5.4,2014-04-21,5.4,5.4
5.0,51620.0,5.4,2014-05-09,5.4,5.0
5.4,37800.0,5.4,2014-05-29,5.4,5.4
5.4,177950.0,5.5,2014-05-30,5.5,5.4
5.6,507420.0,5.7,2014-06-02,6.7,5.6
5.1,223329.0,5.42,2014-06-03,6.0,5.1
6.0,106500.0,5.5,2014-06-04,6.0,5.5
5.3,15850.0,6.0,2014-06-05,6.0,5.3
6.0,318000.0,6.0,2014-06-10,6.0,6.0
5.4,540.0,5.4,2014-06-11,5.4,5.4
5.5,16500.0,5.5,2014-06-17,5.5,5.5
5.5,110000.0,5.5,2014-06-19,5.5,5.5
6.2,6820.0,6.2,2014-06-24,6.2,6.2
6.1,77470.0,6.1,2014-06-26,6.1,6.1
6.1,177600.0,6.15,2014-06-27,6.15,6.1
6.1,18300.0,6.1,2014-07-01,6.1,6.1
6.0,65400.0,6.0,2014-07-02,6.0,6.0
6.0,120000.0,6.0,2014-07-04,6.0,6.0
6.15,615.0,6.15,2014-07-07,6.15,6.15
6.1,121390.0,6.1,2014-07-11,6.1,6.1
6.0,60000.0,6.0,2014-07-17,6.0,6.0
6.1,61000.0,6.1,2014-07-22,6.1,6.1
6.1,42700.0,6.1,2014-07-23,6.1,6.1
6.1,610000.0,6.1,2014-07-24,6.1,6.1
5.8,357780.0,6.1,2014-07-25,6.4,5.8
5.7,57000.0,5.7,2014-08-18,5.7,5.7
6.15,18450.0,6.15,2014-08-20,6.15,6.15
6.15,61500.0,6.15,2014-08-22,6.15,6.15
6.15,36900.0,6.15,2014-08-26,6.15,6.15
6.1,92115.0,6.1,2014-09-01,6.15,6.1
5.7,269890.0,6.1,2014-09-02,6.1,5.7
5.7,148500.0,6.1,2014-09-03,6.1,5.7
6.1,122000.0,6.1,2014-09-11,6.1,6.1
6.1,6100.0,6.1,2014-09-15,6.1,6.1
6.1,183000.0,6.1,2014-09-18,6.1,6.1
6.13,604028.0,6.16,2014-09-30,6.16,6.13
6.1,61000.0,6.1,2014-10-27,6.1,6.1
5.7,113430.0,5.7,2014-11-13,5.7,5.7
6.0,3000.0,6.0,2014-11-17,6.0,6.0
5.41,108200.0,5.41,2014-12-29,5.41,5.41
6.2,9920.0,6.2,2015-01-12,6.2,6.2
6.6,660.0,6.6,2015-01-13,6.6,6.6
6.56,9840.0,6.56,2015-02-06,6.56,6.56
6.22,622.0,6.22,2015-02-10,6.22,6.22
6.3,126000.0,6.3,2015-02-26,6.3,6.3
6.03,5427.0,6.03,2015-02-27,6.03,6.03
6.03,603.0,6.03,2015-03-02,6.03,6.03
6.1,610.0,6.1,2015-03-05,6.1,6.1
6.2,226175.0,5.6,2015-03-20,6.2,5.6
5.6,166880.0,5.6,2015-03-25,5.6,5.6
5.8,1131000.0,5.8,2015-03-27,5.8,5.8
6.49,1298.0,6.49,2015-03-31,6.49,6.49
6.49,44032.0,6.2,2015-04-01,6.49,5.71
6.49,8437.0,6.49,2015-04-08,6.49,6.49
6.48,5184.0,6.48,2015-04-14,6.48,6.48
6.49,9735.0,6.49,2015-04-22,6.49,6.49
6.0,3000.0,6.0,2015-04-28,6.0,6.0
6.5,650.0,6.5,2015-05-04,6.5,6.5
