OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.74,52200.0,1.74,2009-08-18,1.74,1.74
1.72,12040.0,1.72,2009-10-22,1.72,1.72
1.8,129600.0,1.8,2009-11-09,1.8,1.8
1.82,364000.0,1.82,2009-12-18,1.82,1.82
1.8,1800.0,1.8,2010-01-06,1.8,1.8
1.9,7600.0,1.9,2010-01-07,1.9,1.9
1.76,144240.0,1.72,2010-03-16,1.76,1.72
1.7,18700.0,1.7,2010-04-20,1.7,1.7
1.14,11400.0,1.14,2010-07-02,1.14,1.14
1.64,4920.0,1.64,2010-07-07,1.64,1.64
1.7,15300.0,1.7,2010-07-13,1.7,1.7
1.81,7240.0,1.81,2010-10-01,1.81,1.81
2.0,200000.0,2.0,2010-11-08,2.0,2.0
2.0,20000.0,2.0,2010-12-02,2.0,2.0
2.1,210000.0,2.1,2011-01-10,2.1,2.1
2.0,52000.0,2.0,2011-03-11,2.0,2.0
2.0,52000.0,2.0,2011-03-11,2.0,2.0
2.1,31500.0,2.1,2011-04-06,2.1,2.1
2.2,66000.0,2.2,2011-05-02,2.2,2.2
2.4,117600.0,2.4,2011-05-27,2.4,2.4
2.4,62400.0,2.4,2011-05-30,2.4,2.4
2.45,73500.0,2.45,2011-05-31,2.45,2.45
2.5,300000.0,2.5,2011-06-01,2.5,2.5
2.55,76500.0,2.55,2011-06-06,2.55,2.55
2.3,437000.0,2.3,2011-06-09,2.3,2.3
2.4,480000.0,2.4,2011-06-13,2.4,2.4
2.4,480000.0,2.4,2011-06-14,2.4,2.4
2.3,4600.0,2.3,2011-07-11,2.3,2.3
2.4,31200.0,2.4,2011-07-13,2.4,2.4
2.3,23000.0,2.3,2011-07-26,2.3,2.3
2.55,10200.0,2.55,2011-08-05,2.55,2.55
2.3,11500.0,2.3,2011-08-16,2.3,2.3
2.5,250000.0,2.5,2011-08-24,2.5,2.5
2.5,75000.0,2.5,2011-08-31,2.5,2.5
2.5,75000.0,2.5,2011-09-29,2.5,2.5
2.5,1370000.0,2.5,2011-10-13,2.5,2.5
2.56,76800.0,2.56,2011-10-21,2.56,2.56
2.6,330200.0,2.6,2011-10-28,2.6,2.6
2.65,87450.0,2.65,2011-11-09,2.65,2.65
2.65,79500.0,2.65,2011-11-15,2.65,2.65
2.65,66250.0,2.65,2011-12-02,2.65,2.65
2.43,97200.0,2.43,2012-01-04,2.43,2.43
2.65,103350.0,2.65,2012-01-09,2.65,2.65
2.65,265000.0,2.65,2012-01-11,2.65,2.65
2.75,99000.0,2.75,2012-01-13,2.75,2.75
2.8,84000.0,2.8,2012-01-16,2.8,2.8
3.1,93000.0,3.1,2012-02-13,3.1,3.1
3.4,156000.0,3.5,2012-02-15,3.5,3.4
3.6,247800.0,3.9,2012-02-16,3.9,3.6
4.2,269800.0,3.95,2012-02-17,4.25,3.95
4.2,540050.0,4.35,2012-02-20,4.35,4.2
4.8,264000.0,4.8,2012-02-21,4.8,4.8
5.1,51000.0,5.1,2012-02-22,5.1,5.1
4.1,49199.99999999999,4.1,2012-02-24,4.1,4.1
4.0,12000.0,4.0,2012-02-27,4.0,4.0
4.6,358000.0,4.6,2012-03-09,4.6,4.4
4.6,552000.0,4.6,2012-03-12,4.6,4.6
4.6,96800.0,4.61,2012-03-13,4.61,4.6
4.7,386750.0,4.95,2012-03-14,4.95,4.7
5.05,303000.0,5.05,2012-03-15,5.05,5.05
4.8,4800.0,4.8,2012-03-22,4.8,4.8
5.2,52000.0,5.2,2012-03-23,5.2,5.2
5.2,103000.0,5.1,2012-03-26,5.2,5.1
5.0,99000.0,5.0,2012-03-29,5.0,5.0
5.0,1000.0,5.0,2012-03-30,5.0,5.0
5.0,50000.0,5.0,2012-04-02,5.0,5.0
5.0,50000.0,5.0,2012-04-04,5.0,5.0
4.9,98000.0,4.9,2012-04-18,4.9,4.9
4.9,98000.0,4.9,2012-04-19,4.9,4.9
4.95,49500.0,4.95,2012-04-24,4.95,4.95
4.95,652700.0,5.2,2012-04-30,5.2,4.95
