OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.11,22910380.0,2.11,2015-04-27,2.11,2.11
2.8,370741290.0,2.82,2015-04-28,2.97,2.3
2.83,97682970.0,2.63,2015-04-29,2.94,2.57
2.6,69388820.0,2.43,2015-04-30,2.6,2.35
2.5,36879380.0,2.59,2015-05-04,2.64,2.42
2.61,26791920.0,2.43,2015-05-05,2.66,2.4
2.43,22557680.0,2.38,2015-05-06,2.48,2.32
2.37,24706800.0,2.21,2015-05-07,2.37,2.21
2.21,25346000.0,2.41,2015-05-08,2.41,2.21
2.45,16104220.0,2.41,2015-05-11,2.53,2.41
2.41,11532740.0,2.31,2015-05-12,2.41,2.28
2.32,9818330.0,2.25,2015-05-13,2.33,2.24
2.25,41001740.0,2.0,2015-05-14,2.3,1.99
2.08,25458150.0,2.0,2015-05-15,2.11,1.91
2.01,7370330.0,2.02,2015-05-18,2.05,1.96
2.02,10544620.0,1.95,2015-05-19,2.02,1.95
1.92,22173680.0,1.99,2015-05-20,1.99,1.79
2.03,8597190.0,1.85,2015-05-21,2.04,1.85
1.86,4318140.0,1.84,2015-05-22,1.92,1.81
1.85,13637680.0,1.72,2015-05-25,1.85,1.7
1.7,15839000.0,1.53,2015-05-26,1.71,1.5
1.53,18335510.0,1.63,2015-05-27,1.72,1.52
1.63,7091690.0,1.57,2015-05-28,1.67,1.5
1.56,5731660.0,1.6,2015-05-29,1.65,1.51
1.6,3206790.0,1.6,2015-06-01,1.66,1.55
1.67,58002070.0,2.02,2015-06-02,2.02,1.62
2.07,121648020.0,2.0,2015-06-03,2.23,2.0
2.02,9432560.0,1.98,2015-06-04,2.08,1.97
1.98,8859900.0,1.9,2015-06-05,1.98,1.85
1.92,10213600.0,1.95,2015-06-08,2.07,1.89
2.0,5527990.0,1.87,2015-06-09,2.0,1.84
1.85,2124820.0,1.94,2015-06-10,1.96,1.85
1.95,10106180.0,2.03,2015-06-11,2.03,1.92
2.04,25563580.0,2.2,2015-06-15,2.21,2.04
2.23,20066590.0,2.1,2015-06-16,2.27,2.1
2.1,9687670.0,2.17,2015-06-17,2.2,2.04
2.19,23756620.0,2.21,2015-06-18,2.3,2.17
2.21,4759300.0,2.21,2015-06-19,2.25,2.17
2.22,5650140.0,2.08,2015-06-22,2.22,2.08
2.1,4176690.0,2.17,2015-06-23,2.17,2.08
2.18,29280620.0,2.36,2015-06-24,2.38,2.16
2.36,27489140.0,2.46,2015-06-25,2.48,2.31
2.36,27489140.0,2.46,2015-06-25,2.48,2.31
2.48,14927470.0,2.42,2015-06-26,2.5,2.37
2.42,19331510.0,2.44,2015-06-29,2.52,2.27
2.45,23698220.0,2.54,2015-06-30,2.57,2.39
2.57,23735990.0,2.52,2015-07-01,2.58,2.5
2.55,10104640.0,2.45,2015-07-02,2.58,2.45
2.45,10243160.0,2.48,2015-07-03,2.51,2.38
2.49,8925530.0,2.37,2015-07-06,2.52,2.32
