OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
27.5,6600000.0,27.5,2009-08-11,27.5,27.5
27.5,8685000.0,28.0,2009-10-14,28.0,27.5
27.0,16450.0,27.5,2009-10-20,27.5,27.0
27.5,8315000.0,28.0,2009-10-28,28.0,27.5
28.0,8008000.0,28.0,2009-11-04,28.0,28.0
28.0,9800000.0,28.0,2009-12-15,28.0,28.0
28.0,9548000.0,28.0,2009-12-22,28.0,28.0
28.0,9520000.0,28.0,2009-12-29,28.0,28.0
28.0,9100000.0,28.0,2010-01-07,28.0,28.0
27.5,8416500.0,28.0,2010-01-14,28.0,27.5
28.0,8551150.0,28.0,2010-01-20,28.0,27.5
28.0,8400000.0,28.0,2010-01-26,28.0,28.0
28.0,14000.0,28.0,2010-02-08,28.0,28.0
28.0,14000.0,28.0,2010-05-17,28.0,28.0
28.0,14000.0,28.0,2010-05-28,28.0,28.0
28.0,14000.0,28.0,2010-06-15,28.0,28.0
28.0,14000.0,28.0,2010-06-23,28.0,28.0
28.0,9856000.0,28.0,2010-07-16,28.0,28.0
28.0,9912000.0,28.0,2010-07-22,28.0,28.0
27.0,16700.0,28.0,2010-10-01,28.0,27.0
28.0,14000.0,28.0,2010-10-14,28.0,28.0
28.0,8400000.0,28.0,2010-10-28,28.0,28.0
28.0,8540000.0,28.0,2010-11-04,28.0,28.0
28.0,8680000.0,28.0,2010-11-11,28.0,28.0
28.0,8680000.0,28.0,2010-11-18,28.0,28.0
28.0,8960000.0,28.0,2010-11-26,28.0,28.0
28.0,14000.0,28.0,2011-01-05,28.0,28.0
27.8,41700.0,27.8,2011-01-11,27.8,27.8
27.8,41700.0,27.8,2011-01-11,27.8,27.8
28.0,14000.0,28.0,2011-02-21,28.0,28.0
28.0,14000.0,28.0,2011-02-21,28.0,28.0
28.0,14000.0,28.0,2011-03-25,28.0,28.0
28.0,28000.0,28.0,2011-06-30,28.0,28.0
28.5,14250.0,28.5,2011-09-16,28.5,28.5
28.5,14250.0,28.5,2011-09-19,28.5,28.5
28.5,14250.0,28.5,2011-10-10,28.5,28.5
28.5,14250.0,28.5,2011-10-12,28.5,28.5
28.5,14250.0,28.5,2011-10-28,28.5,28.5
28.5,28500.0,28.5,2011-11-02,28.5,28.5
28.5,28500.0,28.5,2011-11-04,28.5,28.5
28.5,28500.0,28.5,2011-11-10,28.5,28.5
28.5,28500.0,28.5,2011-11-23,28.5,28.5
28.5,28500.0,28.5,2011-11-28,28.5,28.5
28.5,28500.0,28.5,2011-11-29,28.5,28.5
28.5,28500.0,28.5,2011-12-29,28.5,28.5
28.5,2850.0,28.5,2012-01-30,28.5,28.5
27.0,2700.0,27.0,2012-02-14,27.0,27.0
27.0,9180000.0,27.0,2012-06-01,27.0,27.0
28.5,84150.0,29.5,2012-06-04,29.5,28.5
30.0,21200.0,31.0,2012-06-05,31.0,30.0
28.0,14000.0,28.0,2012-07-03,28.0,28.0
28.0,6224400.0,28.0,2012-07-23,28.0,28.0
28.5,102600.0,28.5,2012-07-24,28.5,28.5
28.0,28000000.0,28.0,2012-07-25,28.0,28.0
28.0,10822000.0,28.0,2012-08-29,28.0,28.0
25.0,25000.0,25.0,2012-10-19,25.0,25.0
18.0,28800.0,18.0,2012-11-06,18.0,18.0
19.0,161500.0,19.0,2012-12-07,19.0,19.0
21.0,10500.0,21.0,2012-12-17,21.0,21.0
23.0,11500.0,23.0,2012-12-18,23.0,23.0
25.0,10000.0,25.0,2012-12-19,25.0,25.0
25.0,13300.0,27.0,2012-12-20,27.0,25.0
27.0,8300.0,28.0,2012-12-21,28.0,27.0
28.0,14000.0,28.0,2012-12-28,28.0,28.0
27.5,13750.0,27.5,2013-01-02,27.5,27.5
18.0,325800.0,18.0,2013-03-21,18.0,18.0
18.0,61200.0,18.0,2013-03-22,18.0,18.0
18.0,5400.0,18.0,2013-04-04,18.0,18.0
18.0,5400.0,18.0,2013-04-12,18.0,18.0
11.0,343600.0,12.0,2013-05-03,12.0,11.0
14.0,1330398.0,11.0,2013-05-06,14.0,10.0
10.2,516450.0,11.74,2013-05-07,11.74,10.2
11.98,662132.0,11.0,2013-05-08,11.98,10.52
11.0,580858.0,11.0,2013-05-09,11.5,11.0
11.1,183696.0,11.5,2013-05-10,11.5,11.1
11.5,724500.0,11.5,2013-05-14,11.5,11.5
11.18,131570.0,11.48,2013-05-15,11.48,11.18
11.26,232278.0,11.22,2013-05-16,11.26,11.22
11.22,976192.0,11.5,2013-05-17,11.5,11.22
11.98,146198.0,11.5,2013-05-20,11.98,11.5
11.98,70682.0,11.98,2013-05-21,11.98,11.98
11.5,26970.0,11.9,2013-05-22,11.9,11.5
11.9,10722.0,11.96,2013-05-23,11.96,11.9
11.96,13168.0,11.98,2013-05-24,11.98,11.9
11.98,29998.0,11.52,2013-05-27,11.98,11.52
11.52,123044.0,11.98,2013-05-29,11.98,11.52
11.52,109472.0,11.56,2013-05-30,11.56,11.52
11.6,33430.0,11.98,2013-05-31,11.98,11.6
11.66,2328.0,11.62,2013-06-03,11.66,11.62
11.64,2326.0,11.62,2013-06-04,11.64,11.62
11.64,108362.0,11.66,2013-06-05,11.66,11.64
11.66,89480.0,12.48,2013-06-06,12.48,11.66
12.46,87076.0,11.74,2013-06-11,12.46,11.74
11.74,23480.0,11.74,2013-06-13,11.74,11.74
11.7,9360.0,11.7,2013-06-18,11.7,11.7
11.7,23400.0,11.7,2013-06-24,11.7,11.7
11.7,11700.0,11.7,2013-06-25,11.7,11.7
11.7,2340.0,11.7,2013-06-26,11.7,11.7
13.5,32954.0,11.7,2013-06-28,13.5,11.7
11.7,2340.0,11.7,2013-07-01,11.7,11.7
13.48,1348.0,13.48,2013-07-02,13.48,13.48
13.46,1346.0,13.46,2013-07-15,13.46,13.46
11.62,70424.0,12.8,2013-08-02,12.8,11.62
12.68,212270.0,12.5,2013-08-05,12.7,12.5
11.6,463055.99999999994,11.54,2013-08-06,11.6,11.54
11.5,536256.0,11.1,2013-08-07,12.5,10.02
11.0,166500.0,11.2,2013-08-12,11.2,11.0
10.7,16350.0,11.3,2013-08-13,11.3,10.7
11.3,5650.0,11.3,2013-08-14,11.3,11.3
11.3,5650.0,11.3,2013-08-15,11.3,11.3
10.72,7794.0,11.3,2013-08-27,11.3,10.72
10.7,17120.0,10.7,2013-08-29,10.7,10.7
10.7,41880.0,11.0,2013-08-30,11.0,10.7
10.04,62266.0,11.0,2013-09-04,11.0,10.0
10.7,2140.0,10.7,2013-09-17,10.7,10.7
10.7,115360.0,11.0,2013-09-19,11.0,10.0
9.56,581796.0,11.0,2013-09-23,11.0,9.56
10.0,24000.0,10.0,2013-09-26,10.0,10.0
10.0,41756.0,9.6,2013-09-27,10.0,9.56
9.6,376232.0,9.6,2013-09-30,9.6,9.56
8.58,235145.0,9.99,2013-10-14,9.99,8.58
9.0,24300.0,9.0,2013-10-17,9.0,9.0
9.0,74800.0,9.2,2013-10-18,9.2,9.0
9.2,207270.0,9.3,2013-10-21,9.3,9.2
