OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.78,44388800.0,0.74,2009-08-03,0.81,0.73
0.74,46159100.0,0.69,2009-08-04,0.76,0.69
0.67,22566400.0,0.66,2009-08-06,0.7,0.66
0.67,21741000.0,0.69,2009-08-07,0.73,0.66
0.7,7504600.0,0.7,2009-08-10,0.72,0.69
0.69,4890200.0,0.7,2009-08-11,0.71,0.69
0.69,11424300.0,0.71,2009-08-12,0.73,0.69
0.72,5391100.0,0.7,2009-08-13,0.72,0.69
0.7,62369000.0,0.75,2009-08-14,0.76,0.66
0.74,43230700.0,0.7,2009-08-17,0.75,0.69
0.68,21269900.0,0.71,2009-08-18,0.71,0.68
0.71,32792700.0,0.72,2009-08-19,0.74,0.71
0.73,11721900.0,0.71,2009-08-20,0.73,0.7
0.72,8064600.0,0.71,2009-08-24,0.72,0.7
0.71,8765800.0,0.69,2009-08-25,0.72,0.69
0.69,9430800.0,0.7,2009-08-26,0.73,0.69
0.69,6520200.0,0.7,2009-09-03,0.7,0.68
0.7,16028800.0,0.68,2009-09-04,0.7,0.68
0.63,20735400.0,0.59,2009-09-16,0.63,0.58
0.6,3155500.0,0.57,2009-09-17,0.6,0.57
0.56,1993200.0,0.57,2009-09-18,0.58,0.56
0.61,12093300.0,0.59,2009-09-22,0.61,0.58
0.6,21580700.0,0.6,2009-09-23,0.63,0.59
0.54,1953500.0,0.53,2009-09-30,0.55,0.53
0.53,5169400.0,0.54,2009-10-01,0.55,0.53
0.52,3181800.0,0.52,2009-10-02,0.53,0.51
0.52,925600.0,0.52,2009-10-05,0.52,0.52
0.53,7393400.0,0.52,2009-10-06,0.54,0.52
0.52,2604400.0,0.53,2009-10-07,0.53,0.52
0.54,13326500.0,0.58,2009-10-08,0.58,0.54
0.59,14176300.0,0.6,2009-10-09,0.6,0.58
0.6,5830000.0,0.57,2009-10-12,0.6,0.57
0.58,5039500.0,0.55,2009-10-13,0.58,0.55
0.55,1646000.0,0.56,2009-10-14,0.57,0.55
0.56,2330700.0,0.55,2009-10-15,0.57,0.55
0.55,3518100.0,0.54,2009-10-16,0.56,0.54
0.55,1430000.0,0.55,2009-10-19,0.55,0.55
0.55,2234500.0,0.55,2009-10-20,0.56,0.54
0.54,1128700.0,0.54,2009-10-21,0.55,0.54
0.54,1870000.0,0.54,2009-10-22,0.54,0.53
0.54,445400.0,0.54,2009-10-23,0.55,0.54
0.54,1324500.0,0.54,2009-10-26,0.54,0.53
0.54,2354800.0,0.53,2009-10-27,0.54,0.53
0.53,2355800.0,0.54,2009-10-28,0.56,0.53
0.53,2604900.0,0.52,2009-10-29,0.53,0.52
0.52,1433700.0,0.52,2009-10-30,0.53,0.52
0.52,920400.0,0.52,2009-11-03,0.52,0.52
0.52,6324100.0,0.5,2009-11-04,0.52,0.48
0.51,1309300.0,0.5,2009-11-05,0.51,0.5
0.49,6652900.0,0.53,2009-11-06,0.54,0.49
0.52,1383400.0,0.52,2009-11-09,0.52,0.51
0.53,20888000.0,0.59,2009-11-10,0.6,0.53
0.58,4075200.0,0.56,2009-11-11,0.58,0.54
0.52,1791200.0,0.51,2009-12-15,0.52,0.51
0.51,596100.0,0.51,2009-12-16,0.51,0.5
0.51,158000.0,0.5,2009-12-17,0.51,0.5
0.51,307000.0,0.51,2009-12-18,0.52,0.51
0.5,562000.0,0.49,2009-12-21,0.5,0.49
0.48,1013300.0,0.48,2009-12-22,0.49,0.48
0.48,127100.0,0.49,2009-12-23,0.49,0.48
0.51,1716200.0,0.51,2009-12-29,0.51,0.5
0.51,56100.0,0.51,2010-01-04,0.51,0.51
0.52,474100.0,0.53,2010-01-05,0.53,0.52
0.52,501600.0,0.51,2010-01-06,0.52,0.51
0.52,20446600.0,0.57,2010-01-07,0.62,0.52
0.59,66439900.0,0.66,2010-01-08,0.68,0.58
0.67,34911900.0,0.66,2010-01-11,0.68,0.62
0.66,9177100.0,0.63,2010-01-12,0.66,0.62
0.61,5016900.0,0.61,2010-01-13,0.64,0.6
0.61,11582700.0,0.59,2010-01-14,0.62,0.59
0.59,9251000.0,0.59,2010-01-15,0.61,0.59
0.6,3711700.0,0.58,2010-01-18,0.6,0.58
0.59,11132800.0,0.61,2010-01-19,0.63,0.59
0.62,3225800.0,0.6,2010-01-20,0.62,0.59
0.6,2962700.0,0.6,2010-01-21,0.61,0.6
0.59,3378800.0,0.59,2010-01-22,0.59,0.58
0.62,85410100.0,0.74,2010-01-25,0.74,0.61
0.77,78862300.0,0.69,2010-01-26,0.79,0.68
0.69,57231400.0,0.77,2010-01-27,0.77,0.66
0.77,83974300.0,0.76,2010-01-28,0.82,0.75
0.76,22041000.0,0.75,2010-01-29,0.77,0.73
0.74,25732300.0,0.71,2010-02-01,0.76,0.71
0.72,17998600.0,0.7,2010-02-02,0.73,0.68
0.7,34894400.0,0.76,2010-02-03,0.76,0.7
0.77,19679400.0,0.75,2010-02-04,0.78,0.74
0.71,11511900.0,0.72,2010-02-05,0.73,0.7
0.71,2616000.0,0.71,2010-02-08,0.72,0.7
0.7,13915000.0,0.67,2010-02-09,0.7,0.66
0.69,9189200.0,0.69,2010-02-10,0.7,0.68
0.7,19038900.0,0.72,2010-02-11,0.74,0.7
0.64,14610800.0,0.62,2010-03-08,0.65,0.62
0.61,8238600.0,0.64,2010-03-12,0.64,0.61
0.65,2796200.0,0.63,2010-03-15,0.65,0.63
0.63,1719900.0,0.63,2010-03-16,0.63,0.63
0.64,2810500.0,0.65,2010-03-17,0.65,0.64
0.69,641800.0,0.69,2010-03-31,0.7,0.69
0.69,517500.0,0.69,2010-04-20,0.69,0.69
0.69,536100.0,0.71,2010-04-21,0.71,0.69
0.7,755200.0,0.69,2010-04-22,0.7,0.69
0.7,319400.0,0.69,2010-04-23,0.7,0.69
0.69,207000.0,0.69,2010-04-29,0.69,0.69
0.69,876300.0,0.69,2010-04-30,0.69,0.69
0.68,1435100.0,0.66,2010-05-04,0.68,0.66
0.64,1447300.0,0.64,2010-05-05,0.64,0.62
0.66,629000.0,0.65,2010-05-13,0.66,0.65
0.65,117000.0,0.65,2010-05-14,0.65,0.65
0.65,780000.0,0.65,2010-05-17,0.65,0.65
0.65,409500.0,0.65,2010-05-18,0.65,0.65
0.64,518400.0,0.64,2010-05-19,0.64,0.64
0.63,6300.0,0.63,2010-05-20,0.63,0.63
0.63,75600.0,0.63,2010-05-21,0.63,0.63
0.63,50400.0,0.63,2010-05-24,0.63,0.63
0.63,752000.0,0.62,2010-05-25,0.63,0.62
0.62,6200.0,0.62,2010-05-26,0.62,0.62
0.62,510600.0,0.62,2010-05-27,0.63,0.62
0.63,126000.0,0.63,2010-05-28,0.63,0.63
0.63,678900.0,0.62,2010-05-31,0.63,0.62
0.63,125000.0,0.62,2010-06-01,0.63,0.62
0.63,537900.0,0.63,2010-06-02,0.64,0.63
0.64,147200.0,0.64,2010-06-03,0.64,0.64
0.63,581500.0,0.65,2010-06-04,0.65,0.63
0.63,114200.0,0.64,2010-06-08,0.64,0.62
0.65,1784700.0,0.65,2010-06-09,0.67,0.65
0.64,499200.0,0.64,2010-06-10,0.64,0.64
0.65,1859000.0,0.65,2010-06-11,0.65,0.65
0.65,1095000.0,0.65,2010-06-15,0.66,0.65
0.65,2860700.0,0.66,2010-06-16,0.67,0.64
0.67,1407000.0,0.67,2010-06-21,0.67,0.67
0.66,522100.0,0.66,2010-06-22,0.67,0.66
0.66,12497400.0,0.7,2010-06-23,0.71,0.66
0.7,10389200.0,0.66,2010-06-24,0.7,0.65
0.66,1784100.0,0.67,2010-06-25,0.67,0.66
0.66,613800.0,0.66,2010-06-28,0.66,0.66
0.66,2115600.0,0.66,2010-06-29,0.68,0.66
0.66,4106800.0,0.65,2010-07-01,0.66,0.65
0.64,2490200.0,0.64,2010-07-02,0.65,0.64
0.63,2260600.0,0.62,2010-07-06,0.63,0.62
0.62,4994700.0,0.61,2010-07-07,0.62,0.61
0.62,816600.0,0.61,2010-07-08,0.62,0.61
0.62,1456800.0,0.62,2010-07-09,0.62,0.61
0.61,1853500.0,0.62,2010-07-13,0.62,0.61
0.63,264600.0,0.63,2010-07-14,0.63,0.63
0.63,1194400.0,0.64,2010-07-15,0.65,0.63
0.64,438200.0,0.63,2010-07-16,0.64,0.63
0.63,144900.0,0.63,2010-07-20,0.63,0.63
0.62,849400.0,0.62,2010-07-21,0.62,0.62
0.65,838800.0,0.61,2010-07-22,0.65,0.61
0.62,421600.0,0.62,2010-07-23,0.62,0.62
0.62,359290.0,0.61,2010-09-20,0.62,0.6
0.61,1848510.0,0.6,2010-09-21,0.61,0.6
0.6,1430400.0,0.6,2010-09-22,0.61,0.59
0.61,684660.0,0.6,2010-09-23,0.61,0.6
0.6,207000.0,0.61,2010-09-24,0.61,0.6
0.62,432140.0,0.6,2010-09-27,0.62,0.6
0.59,824250.0,0.61,2010-09-28,0.61,0.59
0.61,5775430.0,0.6,2010-09-29,0.63,0.6
0.6,706100.0,0.59,2010-09-30,0.6,0.59
0.6,69600.0,0.6,2010-10-01,0.6,0.6
0.6,745300.0,0.6,2010-10-04,0.61,0.6
0.6,1225000.0,0.61,2010-10-05,0.61,0.59
0.6,1317000.0,0.6,2010-10-06,0.6,0.6
0.6,337200.0,0.6,2010-10-07,0.6,0.6
0.6,800480.0,0.61,2010-10-08,0.61,0.6
0.61,1268770.0,0.6,2010-10-12,0.61,0.6
0.61,2062330.0,0.61,2010-10-13,0.62,0.61
0.61,158600.0,0.61,2010-10-14,0.61,0.61
0.6,600000.0,0.6,2010-10-15,0.6,0.6
0.59,885000.0,0.59,2010-10-18,0.59,0.59
0.59,215940.0,0.59,2010-10-19,0.59,0.59
0.58,1002960.0,0.59,2010-10-20,0.59,0.58
0.58,168200.0,0.58,2010-10-21,0.58,0.58
0.58,255650.0,0.59,2010-10-22,0.59,0.58
0.59,11862550.0,0.63,2010-10-26,0.67,0.59
0.63,6306910.0,0.64,2010-10-27,0.66,0.63
0.63,2484240.0,0.62,2010-10-28,0.64,0.62
0.61,962150.0,0.6,2010-10-29,0.61,0.6
0.6,540000.0,0.6,2010-11-02,0.6,0.6
0.6,2509500.0,0.64,2010-11-03,0.64,0.6
0.63,769800.0,0.62,2010-11-04,0.63,0.62
0.64,674560.0,0.64,2010-11-08,0.64,0.64
0.63,408500.0,0.62,2010-11-09,0.63,0.62
0.63,1106300.0,0.61,2010-11-10,0.63,0.61
0.61,365900.0,0.61,2010-11-11,0.61,0.6
0.6,597600.0,0.6,2010-11-12,0.6,0.6
0.59,1235980.0,0.6,2010-11-15,0.6,0.59
0.59,1661720.0,0.58,2010-11-17,0.59,0.58
0.58,2255620.0,0.58,2010-11-18,0.58,0.58
0.58,5740100.0,0.58,2010-11-19,0.59,0.57
0.58,2247600.0,0.57,2010-11-22,0.58,0.57
0.56,3000460.0,0.57,2010-11-23,0.57,0.56
0.57,19757860.0,0.62,2010-11-24,0.65,0.56
0.63,25859100.0,0.61,2010-11-25,0.67,0.61
0.61,2598140.0,0.6,2010-11-26,0.62,0.6
0.59,1510880.0,0.57,2010-11-30,0.59,0.57
0.57,3219390.0,0.57,2010-12-01,0.58,0.57
0.58,3150220.0,0.57,2010-12-02,0.59,0.57
0.59,750190.0,0.57,2010-12-03,0.6,0.57
0.57,3392430.0,0.58,2010-12-06,0.58,0.57
0.57,1877300.0,0.57,2010-12-07,0.58,0.56
0.57,6521560.0,0.57,2010-12-08,0.57,0.56
0.57,5180740.0,0.55,2010-12-16,0.57,0.54
0.55,3964920.0,0.55,2010-12-22,0.55,0.54
0.55,6183500.0,0.55,2010-12-23,0.56,0.55
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.56,1310200.0,0.57,2010-12-28,0.58,0.56
0.57,2069180.0,0.58,2010-12-29,0.58,0.56
0.57,2069180.0,0.58,2010-12-29,0.58,0.56
0.69,218773500.0,0.83,2011-01-03,0.83,0.68
0.69,218773500.0,0.83,2011-01-03,0.83,0.68
0.69,218773500.0,0.83,2011-01-03,0.83,0.68
0.89,202920940.0,0.75,2011-01-04,0.9,0.74
0.75,116564640.0,0.81,2011-01-05,0.82,0.74
0.85,108879510.0,0.82,2011-01-06,0.86,0.8
0.81,330287100.0,1.02,2011-01-07,1.03,0.81
1.03,152764120.0,1.02,2011-01-10,1.09,0.97
1.03,237849620.0,1.15,2011-01-11,1.19,0.97
1.03,237849620.0,1.15,2011-01-11,1.19,0.97
1.16,312436080.0,1.35,2011-01-12,1.35,1.13
1.37,350851120.0,1.28,2011-01-13,1.42,1.28
1.29,192946570.0,1.34,2011-01-14,1.38,1.26
1.37,202262450.0,1.43,2011-01-17,1.47,1.36
1.45,95032770.0,1.33,2011-01-18,1.46,1.33
1.34,119860670.0,1.25,2011-01-19,1.36,1.22
1.34,119860670.0,1.25,2011-01-19,1.36,1.22
1.25,68421680.0,1.24,2011-01-20,1.28,1.16
1.25,68421680.0,1.24,2011-01-20,1.28,1.16
1.16,59781930.0,1.05,2011-01-24,1.18,1.04
1.06,61399750.0,1.18,2011-01-25,1.18,1.04
1.21,113241630.0,1.21,2011-01-26,1.27,1.16
1.24,56173450.0,1.19,2011-01-27,1.28,1.19
1.2,68343010.0,1.22,2011-01-28,1.25,1.19
1.2,68343010.0,1.22,2011-01-28,1.25,1.19
1.17,29832350.0,1.15,2011-01-31,1.21,1.15
1.17,29832350.0,1.15,2011-01-31,1.21,1.15
1.19,16319650.0,1.11,2011-02-01,1.19,1.09
1.19,16319650.0,1.11,2011-02-01,1.19,1.09
1.14,16344660.0,1.16,2011-02-02,1.2,1.11
1.16,54295070.0,1.22,2011-02-03,1.24,1.16
1.06,23384280.0,1.15,2011-02-14,1.15,1.06
1.12,7325860.0,1.12,2011-02-16,1.13,1.1
1.12,7325860.0,1.12,2011-02-16,1.13,1.1
1.12,5696080.0,1.1,2011-02-17,1.13,1.1
1.1,4404700.0,1.09,2011-02-18,1.1,1.08
1.12,2443660.0,1.09,2011-02-21,1.12,1.07
1.12,2443660.0,1.09,2011-02-21,1.12,1.07
1.09,7409790.0,1.05,2011-02-22,1.09,1.05
1.09,7409790.0,1.05,2011-02-22,1.09,1.05
1.03,16816930.0,1.03,2011-02-23,1.04,1.0
1.03,16816930.0,1.03,2011-02-23,1.04,1.0
1.01,7095540.0,1.01,2011-02-24,1.03,1.01
1.01,7095540.0,1.01,2011-02-24,1.03,1.01
1.02,14626820.0,1.03,2011-02-25,1.05,1.02
1.04,11870390.0,1.07,2011-02-28,1.08,1.01
1.05,6170630.0,1.03,2011-03-02,1.06,1.03
1.04,4115780.0,1.07,2011-03-03,1.07,1.04
1.09,25188510.0,1.09,2011-03-04,1.14,1.07
1.09,25188510.0,1.09,2011-03-04,1.14,1.07
1.08,8660470.0,1.09,2011-03-07,1.12,1.08
1.09,2851120.0,1.09,2011-03-08,1.09,1.06
1.09,2851120.0,1.09,2011-03-08,1.09,1.06
1.06,5178250.0,1.06,2011-03-11,1.08,1.05
1.06,5178250.0,1.06,2011-03-11,1.08,1.05
1.03,3247390.0,1.04,2011-03-16,1.05,1.03
1.03,14769410.0,1.0,2011-03-17,1.04,1.0
1.01,8147340.0,1.03,2011-03-18,1.04,1.01
1.03,4559290.0,1.0,2011-03-21,1.03,1.0
1.0,12630460.0,1.01,2011-03-22,1.01,1.0
1.01,27131400.0,0.92,2011-03-23,1.01,0.92
0.94,9031800.0,0.93,2011-03-24,0.96,0.92
0.92,4363940.0,0.92,2011-03-25,0.94,0.92
0.92,9627080.0,0.95,2011-03-28,0.98,0.92
0.95,94760790.0,1.16,2011-03-29,1.16,0.95
1.18,64054790.0,1.09,2011-03-30,1.2,1.09
1.1,6914780.0,1.09,2011-03-31,1.13,1.08
1.1,7496540.0,1.12,2011-04-01,1.13,1.08
1.12,29597770.0,1.14,2011-04-04,1.17,1.12
1.16,8169720.0,1.12,2011-04-05,1.18,1.1
1.13,47436970.0,1.2,2011-04-06,1.2,1.1
1.2,41238190.0,1.18,2011-04-07,1.25,1.18
1.18,18887410.0,1.2,2011-04-08,1.21,1.17
1.2,21215120.0,1.13,2011-04-11,1.22,1.13
1.15,12547800.0,1.12,2011-04-12,1.15,1.11
1.11,8069090.0,1.12,2011-04-13,1.14,1.1
1.12,16420250.0,1.09,2011-04-14,1.14,1.09
1.1,10633610.0,1.08,2011-04-15,1.12,1.08
1.04,7475620.0,1.07,2011-04-26,1.09,1.04
1.09,23980930.0,1.11,2011-04-27,1.12,1.09
1.12,4164430.0,1.09,2011-04-28,1.12,1.09
1.09,4515530.0,1.08,2011-04-29,1.1,1.08
1.09,20745370.0,1.1,2011-05-02,1.13,1.08
1.12,11132120.0,1.1,2011-05-03,1.12,1.08
1.1,44248370.0,1.13,2011-05-04,1.16,1.08
1.13,46119120.0,1.06,2011-05-05,1.13,1.04
1.05,9192590.0,1.06,2011-05-06,1.08,1.04
1.08,9011570.0,1.08,2011-05-09,1.1,1.05
1.08,8792560.0,1.04,2011-05-10,1.08,1.04
1.06,8496720.0,1.04,2011-05-11,1.07,1.04
1.04,12014030.0,1.04,2011-05-12,1.06,1.02
1.04,11653040.0,1.05,2011-05-13,1.07,1.04
1.03,10946220.0,1.02,2011-05-16,1.03,1.02
1.01,14180010.0,1.01,2011-05-17,1.03,1.0
1.01,5581150.0,1.03,2011-05-18,1.03,1.01
1.03,3727870.0,1.02,2011-05-19,1.04,1.02
1.02,8457700.0,1.02,2011-05-20,1.02,1.0
1.02,7181290.0,1.0,2011-05-23,1.02,1.0
0.98,15023170.0,0.96,2011-05-24,1.0,0.94
0.96,2888360.0,0.97,2011-05-25,0.99,0.95
0.98,1705490.0,1.0,2011-05-26,1.0,0.97
1.0,1256020.0,1.0,2011-05-27,1.02,1.0
0.99,1460470.0,1.01,2011-05-30,1.01,0.99
1.01,1925580.0,0.99,2011-05-31,1.01,0.99
0.99,9485230.0,1.02,2011-06-01,1.04,0.99
1.01,7208050.0,1.0,2011-06-03,1.04,1.0
1.0,2541980.0,0.99,2011-06-06,1.0,0.98
0.97,2281530.0,0.97,2011-06-07,0.98,0.97
0.97,1142960.0,0.98,2011-06-08,0.98,0.97
0.97,907580.0,0.98,2011-06-09,0.98,0.97
0.98,819470.0,0.97,2011-06-10,0.98,0.97
0.97,1234910.0,0.95,2011-06-13,0.97,0.95
0.94,7423820.0,0.93,2011-06-14,0.95,0.92
0.97,622280.0,0.94,2011-06-15,0.97,0.94
0.94,1060620.0,0.93,2011-06-16,0.95,0.93
0.94,1110720.0,0.93,2011-06-17,0.94,0.93
0.93,550300.0,0.93,2011-06-21,0.94,0.93
0.94,1413710.0,0.94,2011-06-22,0.95,0.93
0.93,2237640.0,0.92,2011-06-23,0.93,0.92
0.91,2538960.0,0.91,2011-06-24,0.93,0.91
0.92,3352330.0,0.96,2011-06-27,0.96,0.92
0.95,5518510.0,0.95,2011-06-28,0.99,0.95
0.97,2642380.0,0.96,2011-06-29,0.98,0.95
0.97,1628950.0,0.96,2011-06-30,0.97,0.95
0.97,19540460.0,1.02,2011-07-01,1.04,0.95
1.04,8236640.0,1.0,2011-07-04,1.04,1.0
1.02,10718990.0,1.0,2011-07-05,1.03,1.0
1.0,4970580.0,1.0,2011-07-06,1.0,0.99
0.99,4140470.0,0.98,2011-07-07,1.0,0.97
1.0,3788020.0,0.96,2011-07-08,1.0,0.96
0.96,2574780.0,0.99,2011-07-11,1.0,0.96
0.99,7857630.0,0.95,2011-07-12,0.99,0.95
0.95,10467180.0,0.97,2011-07-13,0.97,0.94
0.98,4436670.0,0.95,2011-07-14,0.98,0.95
0.96,2392540.0,0.96,2011-07-15,0.97,0.96
0.95,25194670.0,1.01,2011-07-18,1.04,0.95
1.02,6932850.0,1.0,2011-07-19,1.02,0.99
1.01,4702700.0,1.01,2011-07-20,1.02,1.0
1.0,3540020.0,0.97,2011-07-21,1.0,0.97
0.98,5167600.0,0.98,2011-07-22,0.99,0.96
0.98,2546990.0,0.96,2011-07-25,0.99,0.94
0.95,1903640.0,0.95,2011-07-26,0.96,0.95
0.95,4190850.0,0.96,2011-07-27,0.97,0.94
0.97,1056440.0,0.96,2011-07-28,0.97,0.95
0.95,2295660.0,0.95,2011-07-29,0.96,0.94
0.94,812690.0,0.96,2011-08-01,0.98,0.94
0.98,3559920.0,0.95,2011-08-02,0.98,0.95
0.95,7949690.0,0.94,2011-08-03,0.95,0.91
0.94,9134270.0,0.93,2011-08-04,0.94,0.92
0.89,12892160.0,0.86,2011-08-05,0.9,0.86
0.86,8584250.0,0.82,2011-08-08,0.86,0.82
0.76,14418180.0,0.75,2011-08-09,0.78,0.7
0.77,5429830.0,0.82,2011-08-10,0.82,0.77
0.75,7141110.0,0.8,2011-08-11,0.83,0.75
0.82,4633550.0,0.8,2011-08-12,0.84,0.79
0.84,4518850.0,0.79,2011-08-15,0.84,0.79
0.79,5644460.0,0.82,2011-08-16,0.82,0.79
0.8,1899870.0,0.8,2011-08-17,0.81,0.8
0.8,743700.0,0.81,2011-08-18,0.82,0.8
0.8,1321200.0,0.79,2011-08-19,0.8,0.78
0.79,1038490.0,0.79,2011-08-22,0.8,0.78
0.77,1648360.0,0.78,2011-08-23,0.79,0.77
0.78,6434370.0,0.75,2011-08-24,0.78,0.75
0.75,3115980.0,0.76,2011-08-25,0.77,0.74
0.79,5415080.0,0.8,2011-08-26,0.82,0.76
0.82,8399670.0,0.83,2011-08-31,0.83,0.78
0.9,95040280.0,0.95,2011-09-01,1.02,0.9
0.95,17767170.0,0.9,2011-09-02,0.96,0.9
0.89,9123120.0,0.91,2011-09-05,0.93,0.87
0.9,6813940.0,0.86,2011-09-06,0.9,0.86
0.88,19255280.0,0.88,2011-09-07,0.95,0.85
0.9,2662140.0,0.9,2011-09-08,0.91,0.89
0.9,6694530.0,0.88,2011-09-09,0.9,0.86
0.88,11484070.0,0.86,2011-09-12,0.88,0.82
0.83,2332000.0,0.84,2011-09-13,0.85,0.83
0.84,2473940.0,0.82,2011-09-14,0.85,0.82
0.82,1598470.0,0.84,2011-09-15,0.84,0.81
0.85,1721420.0,0.83,2011-09-16,0.86,0.83
0.82,2309490.0,0.82,2011-09-19,0.83,0.81
0.82,801270.0,0.82,2011-09-20,0.84,0.82
0.81,1627550.0,0.81,2011-09-21,0.83,0.81
0.8,7558200.0,0.77,2011-09-22,0.81,0.77
0.77,4542840.0,0.73,2011-09-23,0.77,0.72
0.73,1927280.0,0.7,2011-09-26,0.73,0.67
0.72,979610.0,0.72,2011-09-28,0.75,0.71
0.68,637940.0,0.7,2011-09-29,0.72,0.68
0.7,1146060.0,0.71,2011-10-03,0.71,0.7
0.71,604630.0,0.71,2011-10-04,0.71,0.69
0.71,587800.0,0.7,2011-10-05,0.71,0.7
0.7,886430.0,0.71,2011-10-06,0.71,0.69
0.71,980200.0,0.73,2011-10-07,0.74,0.7
0.74,960520.0,0.74,2011-10-10,0.74,0.74
0.75,1002200.0,0.73,2011-10-11,0.77,0.71
0.72,207130.0,0.74,2011-10-12,0.74,0.72
0.74,1149900.0,0.75,2011-10-13,0.75,0.74
0.76,331650.0,0.75,2011-10-14,0.77,0.74
0.75,14775890.0,0.79,2011-10-17,0.8,0.75
0.75,3231700.0,0.78,2011-10-18,0.8,0.75
0.76,1293900.0,0.76,2011-10-19,0.79,0.76
0.75,221250.0,0.75,2011-10-20,0.75,0.75
0.75,1174260.0,0.78,2011-10-21,0.78,0.75
